School_Label,ID_Race,CIPFamily,CIPFamilyTitle,Variable,Value,Percentage_Race_School
Northwestern,AA,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,1,0.027027027
Northwestern,AA,42,PSYCHOLOGY.,College Major,4,0.108108108
Northwestern,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.027027027
Northwestern,AS,54,HISTORY.,College Major,1,1
Northwestern,C,14,ENGINEERING.,College Major,10,0.166666667
Northwestern,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,4,0.066666667
Northwestern,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.016666667
Northwestern,C,13,EDUCATION.,College Major,1,0.016666667
Northwestern,C,42,PSYCHOLOGY.,College Major,1,0.016666667
Northwestern,C,45,SOCIAL SCIENCES.,College Major,23,0.383333333
Northwestern,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,11,0.183333333
Northwestern,C,44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,College Major,6,0.1
Northwestern,C,54,HISTORY.,College Major,3,0.05
Notre Dame,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,3,0.272727273
Notre Dame,AA,50,VISUAL AND PERFORMING ARTS.,College Major,8,0.727272727
Notre Dame,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,0.041666667
Notre Dame,C,42,PSYCHOLOGY.,College Major,2,0.083333333
Notre Dame,C,45,SOCIAL SCIENCES.,College Major,3,0.125
Notre Dame,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,13,0.541666667
Notre Dame,C,50,VISUAL AND PERFORMING ARTS.,College Major,5,0.208333333
Notre Dame,H,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,1
Notre Dame,PI,45,SOCIAL SCIENCES.,College Major,2,0.666666667
Notre Dame,PI,50,VISUAL AND PERFORMING ARTS.,College Major,1,0.333333333
Ohio State,AA,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,3,0.09375
Ohio State,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,5,0.15625
Ohio State,AA,45,SOCIAL SCIENCES.,College Major,7,0.21875
Ohio State,AA,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,1,0.03125
Ohio State,AA,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,6,0.1875
Ohio State,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,2,0.0625
Ohio State,AA,14,ENGINEERING.,College Major,1,0.03125
Ohio State,AA,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,2,0.0625
Ohio State,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,3,0.09375
Ohio State,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,2,0.0625
Ohio State,C,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,1,0.03030303
Ohio State,C,14,ENGINEERING.,College Major,3,0.090909091
Ohio State,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,2,0.060606061
Ohio State,C,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,4,0.121212121
Ohio State,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,7,0.212121212
Ohio State,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,5,0.151515152
Ohio State,C,45,SOCIAL SCIENCES.,College Major,6,0.181818182
Ohio State,C,49,TRANSPORTATION AND MATERIALS MOVING.,College Major,1,0.03030303
Ohio State,C,13,EDUCATION.,College Major,1,0.03030303
