ID_Sport,ID_School,Season,Number,Player,First_Name,Last_Name,Position,Height,Weight,Year,Experience,Hometown/Prior_School,Player_URL,Photo_URL
FBALL,UF,2005-2006,62,Andrew Johnson,Andrew,Johnson,OL,6/1/13,240,FR,HS,Parkland/ St. Thomas Aquinas,http://www.gatorzone.com/football/bios.php?sub=team&bio=johnson_andrew.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=johnson_andrew.html
FBALL,UF,2005-2006,63,Jonathan Marvin,Jonathan,Marvin,OL,6/3/13,330,SR,SQ,"Hendersonville, N.C./West Henderson",http://www.gatorzone.com/football/bios.php?sub=team&bio=marvin.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=marvin.html
FBALL,UF,2005-2006,63,Jim Tartt,Jim,Tartt,OL,6/3/13,315,RFR,SQ,Sopchoppy /Wakulla,http://www.gatorzone.com/football/bios.php?sub=team&bio=tartt.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=tartt.html
FBALL,UF,2005-2006,64,Kyle Newell,Kyle,Newell,OL,6/8/13,279,FR,HS,Tampa/Chamberlain,http://www.gatorzone.com/football/bios.php?sub=team&bio=newell.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=newell.html
FBALL,UF,2005-2006,66,Todd Bunce,Todd,Bunce,DT,6/3/13,290,JR,SQ,Bradenton/Southeast,http://www.gatorzone.com/football/bios.php?sub=team&bio=bunce.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=bunce.html
FBALL,UF,2005-2006,67,Drew Miller,Drew,Miller,OL,6/5/13,310,SO,1L,Sarasota/Riverview,http://www.gatorzone.com/football/bios.php?sub=team&bio=miller.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=miller.html
FBALL,UF,2005-2006,68,Mike Degory,Mike,Degory,C,6/6/13,304,SR,3L,Palm Bay/Palm Bay,http://www.gatorzone.com/football/bios.php?sub=team&bio=degory.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=degory.html
FBALL,UF,2005-2006,69,Eddie Haupt,Eddie,Haupt,OL,6/4/13,300,FR,HS,Merritt Island/Merritt Island,http://www.gatorzone.com/football/bios.php?sub=team&bio=haupt.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=haupt.html
FBALL,UF,2005-2006,70,Ronnie Wilson,Ronnie,Wilson,OL,6/4/13,310,FR,HS,Pompano Beach/Blanche Ely,http://www.gatorzone.com/football/bios.php?sub=team&bio=wilson.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=wilson.html
FBALL,UF,2005-2006,71,Doug Pokorny,Doug,Pokorny,OL,6/5/13,295,JR,SQ,Gainesville/Sickles,http://www.gatorzone.com/football/bios.php?sub=team&bio=pokorny.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=pokorny.html
FBALL,UF,2005-2006,72,Lance Butler,Lance,Butler,OL,6/7/13,315,SR,2L,"Lexington, N.C./West Davidson",http://www.gatorzone.com/football/bios.php?sub=team&bio=butler.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=butler.html
FBALL,UF,2005-2006,73,Carlton Medder,Carlton,Medder,OL,6/5/13,312,SO,SQ,Clermont/Southlake,http://www.gatorzone.com/football/bios.php?sub=team&bio=medder.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=medder.html
FBALL,UF,2005-2006,74,Randy Hand,Randy,Hand,OL,6/6/13,310,SR,3L,Fort Myers/Estero,http://www.gatorzone.com/football/bios.php?sub=team&bio=hand.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=hand.html
FBALL,UF,2005-2006,75,Phil Trautwein,Phil,Trautwein,OL,6/6/13,310,SO,1L,"Voorhees, N.J./Eastern",http://www.gatorzone.com/football/bios.php?sub=team&bio=trautwein.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=trautwein.html
FBALL,UF,2005-2006,76,Tavares Washington,Tavares,Washington,OL,6/4/13,320,SR,SQ,"Greenville, Miss./South Delta/Mississippi Delta JC",http://www.gatorzone.com/football/bios.php?sub=team&bio=washington.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=washington.html
FBALL,UF,2005-2006,77,Jason Watkins,Jason,Watkins,OL,6/6/13,300,RFR,SQ,Lakeland/Lake Gibson,http://www.gatorzone.com/football/bios.php?sub=team&bio=watkins.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=watkins.html
FBALL,UF,2005-2006,78,Simon Codrington,Simon,Codrington,OL,6/7/13,270,FR,HS,Miami/South Miami,http://www.gatorzone.com/football/bios.php?sub=team&bio=codrington.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=codrington.html
FBALL,UF,2005-2006,78,Michael Brown,Michael,Brown,OL,6/4/13,295,FR,HS,"Atlanta, Ga./Westlake",http://www.gatorzone.com/football/bios.php?sub=team&bio=brown_m.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=brown_m.html
FBALL,UF,2005-2006,79,Steve Rissler,Steve,Rissler,OL,6/3/13,310,JR,2L,Sarasota/Riverview,http://www.gatorzone.com/football/bios.php?sub=team&bio=rissler.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=rissler.html
FBALL,UF,2005-2006,80,Nyan Boateng,Nyan,Boateng,WR,6/2/13,199,FR,HS,"Brooklyn, N.Y./Abraham Lincoln",http://www.gatorzone.com/football/bios.php?sub=team&bio=boateng.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=boateng.html
FBALL,UF,2005-2006,81,Dallas Baker,Dallas,Baker,WR,6/3/13,204,SR,2L,New Smyrna Beach/New Smyrna Beach HS,http://www.gatorzone.com/football/bios.php?sub=team&bio=baker.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=baker.html
FBALL,UF,2005-2006,82,Otto Graham,Otto,Graham,TE,6/4/13,235,SR,SQ,St. Petersburg/Admiral Farragut Academy,http://www.gatorzone.com/football/bios.php?sub=team&bio=graham_o.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=graham_o.html
