ID_School,ID_Sport,Season,Number,Player,First_Name,Last_Name,Position,Year,Height,Weight,Hometown/Last_School,Last_School,Player_URL
UGA,FBALL,2011-2012,51,Ramik Wilson,Ramik,Wilson,LB,FR,6/2/13,224,"Tampa, Fla./Jefferson H.S.",,http://www.georgiadogs.com/sports/m-footbl/mtt/wilson_ramik00.html
UGA,FBALL,2011-2012,17,Rantavious Wooten,Rantavious,Wooten,FLK,JR,5/10/13,185,"Belle Glade, Fla./Glades Central",,http://www.georgiadogs.com/sports/m-footbl/mtt/wooten_rantavious00.html
UGA,FBALL,2011-2012,9,Curtis Wyatt,Curtis,Wyatt,WR,SO,6/1/13,195,"Locust Grove, Ga./Ola/Shorter University",,http://www.georgiadogs.com/sports/m-footbl/mtt/wyatt_curtis00.html
UGA,FBALL,2011-2012,35,Chris Young,Chris,Young,FB,RS SO,6/1/13,230,"Hinesville, Ga./Bradwell Institute",,http://www.georgiadogs.com/sports/m-footbl/mtt/young_chris00.html
UGA,FBALL,2010-2011,41,Cameron Allen,Cameron,Allen,FB,RSo.,6/1/13,220,"Canton, Ga.",Woodstock,http://www.georgiadogs.com/sports/m-footbl/mtt/allen_cameron00.html
UGA,FBALL,2010-2011,24,Jamel Allen,Jamel,Allen,ILB,So.,6/2/13,218,"Sylvester, Ga.",Albany State,http://www.georgiadogs.com/sports/m-footbl/mtt/allen_jamel00.html
UGA,FBALL,2010-2011,79,Justin Anderson,Justin,Anderson,N,Jr.,6/5/13,326,"Ocilla, Ga.",Hargrave Military,http://www.georgiadogs.com/sports/m-footbl/mtt/anderson_justin00.html
UGA,FBALL,2010-2011,73,Brent Benedict,Brent,Benedict,OT,Fr.,6/5/13,301,"Jacksonville, Fla.",Bolles,http://www.georgiadogs.com/sports/m-footbl/mtt/benedict_brent00.html
UGA,FBALL,2010-2011,82,Michael Bennett,Michael,Bennett,SE,Fr.,6/3/13,202,"Alpharetta, Ga.",Alpharetta,http://www.georgiadogs.com/sports/m-footbl/mtt/bennett_michael00.html
UGA,FBALL,2010-2011,10,Greg Bingham,Greg,Bingham,QB,Fr.,6/4/13,223,"Columbus, Ga.",Columbus,http://www.georgiadogs.com/sports/m-footbl/mtt/bingham_greg00.html
