Year,unitid,Institution_Name,Major,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.AI,T.AI.M,T.AI.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.C,T.C.M,T.C.F,T.AS,T.AS.M,T.AS.W,T.PI,T.PI.M,T.PI.W,T.MIX,T.MIX.M,T.MIX.W,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2009-2010,134097,Florida State University,First major,Homeland Security- Law Enforcement- Firefighting- and Related Protective Service,'43',Bachelor's degree,386,216,170,2,1,1,5,1,4,61,20,41,47,25,22,269,168,101,,,,,,,,,,1,1,0,1,0,1
2009-2010,134097,Florida State University,First major,Psychology,'42',Bachelor's degree,337,83,254,3,0,3,9,2,7,38,4,34,55,15,40,226,61,165,,,,,,,,,,3,1,2,3,0,3
2009-2010,134097,Florida State University,First major,Public Administration and Social Service Professions,'44',Bachelor's degree,106,15,91,2,1,1,0,0,0,26,3,23,15,2,13,63,9,54,,,,,,,,,,0,0,0,0,0,0
2009-2010,134097,Florida State University,First major,Area- Ethnic- Cultural- Gender- and Group Studies,'05',Bachelor's degree,33,18,15,1,0,1,2,2,0,3,2,1,5,2,3,22,12,10,,,,,,,,,,0,0,0,0,0,0
2009-2010,134097,Florida State University,First major,Engineering,'14',Bachelor's degree,253,188,65,0,0,0,16,14,2,17,11,6,23,13,10,185,145,40,,,,,,,,,,0,0,0,12,5,7
2009-2010,134097,Florida State University,First major,English Language and Literature/Letters,'23',Bachelor's degree,364,146,218,3,0,3,9,5,4,39,17,22,38,16,22,271,106,165,,,,,,,,,,2,1,1,2,1,1
2009-2010,134097,Florida State University,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,67,22,45,2,1,1,4,1,3,6,1,5,9,4,5,44,15,29,,,,,,,,,,2,0,2,0,0,0
2009-2010,134097,Florida State University,First major,Liberal Arts and Sciences- General Studies and Humanities,'24',Bachelor's degree,57,13,44,0,0,0,0,0,0,6,1,5,6,1,5,44,11,33,,,,,,,,,,1,0,1,0,0,0
2009-2010,134097,Florida State University,First major,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,379,133,246,2,1,1,15,4,11,43,13,30,44,14,30,271,99,172,,,,,,,,,,2,1,1,2,1,1
2009-2010,134097,Florida State University,First major,Health Professions and Related Programs,'51',Bachelor's degree,432,50,382,4,0,4,14,4,10,42,6,36,50,5,45,319,33,286,,,,,,,,,,1,0,1,2,2,0
2009-2010,134097,Florida State University,First major,Mathematics and Statistics,'27',Bachelor's degree,31,20,11,0,0,0,1,1,0,1,0,1,3,2,1,24,16,8,,,,,,,,,,1,1,0,1,0,1
2009-2010,134097,Florida State University,First major,Social Sciences,'45',Bachelor's degree,1504,806,698,11,9,2,32,15,17,181,79,102,171,91,80,1086,600,486,,,,,,,,,,4,3,1,19,9,10
2009-2010,134097,Florida State University,First major,Communication- Journalism- and Related Programs,'09',Bachelor's degree,296,70,226,1,1,0,5,2,3,24,2,22,27,5,22,237,60,177,,,,,,,,,,1,0,1,1,0,1
2009-2010,134097,Florida State University,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,153,130,23,1,1,0,4,4,0,23,18,5,11,11,0,113,95,18,,,,,,,,,,0,0,0,1,1,0
2009-2010,134097,Florida State University,First major,Education,'13',Bachelor's degree,450,119,331,3,1,2,8,2,6,35,12,23,40,11,29,361,92,269,,,,,,,,,,2,1,1,1,0,1
2009-2010,134097,Florida State University,First major,History,'54',Bachelor's degree,118,75,43,1,1,0,2,1,1,6,2,4,14,10,4,93,59,34,,,,,,,,,,1,1,0,1,1,0
2009-2010,134097,Florida State University,First major,Philosophy and Religious Studies,'38',Bachelor's degree,57,32,25,0,0,0,2,0,2,6,4,2,3,3,0,46,25,21,,,,,,,,,,0,0,0,0,0,0
2009-2010,134097,Florida State University,First major,Physical Sciences,'40',Bachelor's degree,91,52,39,1,1,0,1,1,0,10,4,6,12,5,7,62,39,23,,,,,,,,,,1,1,0,4,1,3
2009-2010,134097,Florida State University,First major,Visual and Performing Arts,'50',Bachelor's degree,424,154,270,1,1,0,16,7,9,30,18,12,45,19,26,329,108,221,,,,,,,,,,2,1,1,1,0,1
2009-2010,131496,Georgetown University,First major,English Language and Literature/Letters,'23',Bachelor's degree,134,43,91,0,0,0,3,0,3,9,3,6,12,4,8,101,33,68,3,0,3,0,0,0,2,1,1,2,2,0,5,0,5
2009-2010,131496,Georgetown University,First major,Physical Sciences,'40',Bachelor's degree,17,13,4,0,0,0,1,1,0,1,1,0,0,0,0,14,11,3,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2009-2010,131496,Georgetown University,First major,Social Sciences,'45',Bachelor's degree,637,316,321,1,0,1,50,19,31,37,16,21,52,22,30,394,216,178,49,19,30,1,0,1,16,5,11,20,8,12,67,30,37
2009-2010,131496,Georgetown University,First major,Biological and Biomedical Sciences,'26',Bachelor's degree,81,35,46,0,0,0,13,7,6,3,1,2,3,1,2,57,22,35,13,7,6,0,0,0,1,1,0,1,0,1,3,3,0
2009-2010,131496,Georgetown University,First major,Health Professions and Related Programs,'51',Bachelor's degree,165,18,147,0,0,0,13,2,11,9,1,8,8,1,7,126,13,113,13,2,11,0,0,0,2,1,1,6,0,6,1,0,1
2009-2010,131496,Georgetown University,First major,Mathematics and Statistics,'27',Bachelor's degree,26,19,7,0,0,0,1,0,1,0,0,0,1,1,0,19,14,5,1,0,1,0,0,0,2,2,0,2,1,1,1,1,0
2009-2010,131496,Georgetown University,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,114,29,85,0,0,0,4,1,3,3,1,2,9,2,7,90,23,67,4,1,3,0,0,0,4,1,3,4,1,3,0,0,0
