Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.NON,T.NON.M,T.NON.F
1988-1999,134097,Florida State University,Philosophy and Religion,'38.0000',Bachelor's degree,5,3,2,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,134097,Florida State University,Physical Sciences,'40.0000',Bachelor's degree,48,39,9,35,31,4,2,0,2,8,7,1,1,0,1,0,0,0,2,1,1
1988-1999,134097,Florida State University,Protective Services,'43.0000',Bachelor's degree,213,138,75,176,116,60,23,12,11,13,9,4,1,1,0,0,0,0,0,0,0
1988-1999,134097,Florida State University,Psychology,'42.0000',Bachelor's degree,167,53,114,144,47,97,11,2,9,7,2,5,2,2,0,2,0,2,1,0,1
1988-1999,134097,Florida State University,Public Administration and Services,'44.0000',Bachelor's degree,55,6,49,46,6,40,6,0,6,1,0,1,0,0,0,1,0,1,1,0,1
1988-1999,134097,Florida State University,Social Sciences and History,'45.0000',Bachelor's degree,611,424,187,549,394,155,26,7,19,26,19,7,4,2,2,2,1,1,4,1,3
1988-1999,134097,Florida State University,Visual and Performing Arts,'50.0000',Bachelor's degree,136,47,89,119,38,81,6,3,3,8,4,4,1,0,1,0,0,0,2,2,0
1988-1999,131496,Georgetown University,Area- Ethnic and Cultural Studies,'05.0000',Bachelor's degree,60,25,35,50,21,29,4,1,3,2,1,1,3,1,2,0,0,0,1,1,
1988-1999,131496,Georgetown University,Biological Sciences/Life Sciences,'26.0000',Bachelor's degree,43,23,20,26,15,11,5,2,3,2,1,1,8,5,3,0,0,0,2,,2
1988-1999,131496,Georgetown University,Business and Management,'06.0000',Bachelor's degree,256,158,98,200,129,71,19,7,12,10,7,3,7,3,4,1,,1,19,12,7
1988-1999,131496,Georgetown University,Computer and Information Sciences,'11.0000',Bachelor's degree,5,4,1,2,2,,0,0,0,0,0,0,1,1,,0,0,0,2,1,1
1988-1999,131496,Georgetown University,English Language and Literature/Letters,'23.0000',Bachelor's degree,158,62,96,140,56,84,6,2,4,2,,2,5,1,4,0,,,5,3,2
1988-1999,131496,Georgetown University,Foreign Languages and Literatures,'16.0000',Bachelor's degree,136,32,104,113,32,81,3,,3,6,,6,4,,4,0,0,0,10,,10
1988-1999,131496,Georgetown University,Health Sciences,'18.0000',Bachelor's degree,71,1,70,60,1,59,4,,4,1,,1,3,,3,1,,1,2,,2
1988-1999,131496,Georgetown University,Liberal/General Studies and Humanities,'24.0000',Bachelor's degree,8,4,4,4,2,2,0,0,0,1,1,,0,0,0,0,0,0,3,1,2
1988-1999,131496,Georgetown University,Mathematics,'27.0000',Bachelor's degree,7,3,4,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,131496,Georgetown University,Multi/Interdisciplinary Studies,'30.0000',Bachelor's degree,4,1,3,3,1,2,0,0,0,1,,1,0,0,0,0,0,0,0,0,0
1988-1999,131496,Georgetown University,Philosophy and Religion,'38.0000',Bachelor's degree,42,25,17,37,21,16,0,,,2,2,,0,0,0,0,0,0,3,2,1
1988-1999,131496,Georgetown University,Physical Sciences,'40.0000',Bachelor's degree,22,19,3,15,13,2,2,1,1,0,0,0,2,2,,0,0,0,3,3,
1988-1999,131496,Georgetown University,Psychology,'42.0000',Bachelor's degree,49,19,30,41,17,24,4,,4,3,2,1,1,,1,0,0,0,0,0,0
1988-1999,131496,Georgetown University,Social Sciences and History,'45.0000',Bachelor's degree,629,353,276,490,285,205,46,18,28,20,12,8,21,9,12,3,2,1,49,27,22
1988-1999,131496,Georgetown University,Visual and Performing Arts,'50.0000',Bachelor's degree,12,2,10,10,1,9,0,0,0,0,0,0,1,,1,0,0,0,1,1,
1988-1999,155399,Kansas State University,Agricultural Business and Production,'01.0000',Bachelor's degree,103,91,12,94,82,12,0,0,0,2,2,,0,0,0,0,0,0,7,7,
1988-1999,155399,Kansas State University,Agricultural Sciences,'02.0000',Bachelor's degree,183,146,37,150,118,32,1,1,,10,6,4,0,0,0,0,0,0,22,21,1
1988-1999,155399,Kansas State University,Allied Health,'17.0000',Bachelor's degree,14,1,13,11,1,10,0,0,0,1,,1,0,0,0,0,0,0,2,,2
1988-1999,155399,Kansas State University,Architecture and Related Programs,'04.0000',Bachelor's degree,111,79,32,106,76,30,1,,1,2,1,1,0,0,0,0,0,0,2,2,
1988-1999,155399,Kansas State University,Biological Sciences/Life Sciences,'26.0000',Bachelor's degree,88,49,39,85,48,37,2,1,1,0,0,0,0,0,0,0,0,0,1,,1
1988-1999,155399,Kansas State University,Business (Admin Support),'07.0000',Bachelor's degree,1,,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,155399,Kansas State University,Business and Management,'06.0000',Bachelor's degree,483,284,199,464,277,187,11,4,7,3,1,2,1,,1,1,1,,3,1,2
