Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Major,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2000-2001,198419,Duke University,Computer and Information Sciences,'11',Bachelor's degree,First major,54,42,12,30,26,4,3,1,2,2,2,0,8,5,3,0,0,0,6,5,1,5,3,2
2000-2001,198419,Duke University,Engineering,'14',Bachelor's degree,First major,202,154,48,108,77,31,4,3,1,6,5,1,49,39,10,0,0,0,21,18,3,14,12,2
2000-2001,198419,Duke University,Physical Sciences,'40',Bachelor's degree,First major,66,40,26,40,22,18,8,5,3,1,0,1,10,9,1,0,0,0,5,3,2,2,1,1
2000-2001,198419,Duke University,Psychology,'42',Bachelor's degree,First major,140,36,104,93,23,70,16,5,11,5,2,3,10,2,8,0,0,0,13,3,10,3,1,2
2000-2001,198419,Duke University,Social Sciences and History,'45',Bachelor's degree,First major,497,302,195,329,200,129,49,24,25,16,11,5,50,33,17,0,0,0,32,23,9,21,11,10
2000-2001,198419,Duke University,Foreign Languages and Literatures,'16',Bachelor's degree,First major,32,7,25,25,5,20,2,1,1,2,0,2,1,0,1,0,0,0,2,1,1,0,0,0
2000-2001,198419,Duke University,Mathematics,'27',Bachelor's degree,First major,15,11,4,10,9,1,0,0,0,2,1,1,1,1,0,0,0,0,2,0,2,0,0,0
2000-2001,198419,Duke University,Public Administration and Services,'44',Bachelor's degree,First major,156,73,83,119,58,61,13,7,6,6,3,3,11,3,8,0,0,0,5,2,3,2,0,2
2000-2001,198419,Duke University,Visual and Performing Arts,'50',Bachelor's degree,First major,36,12,24,30,10,20,0,0,0,1,0,1,1,0,1,0,0,0,3,1,2,1,1,0
2000-2001,198419,Duke University,Area- Ethnic and Cultural Studies,'05',Bachelor's degree,First major,35,9,26,19,4,15,8,1,7,1,0,1,4,3,1,0,0,0,3,1,2,0,0,0
2000-2001,198419,Duke University,Biological Science/Life Sciences,'26',Bachelor's degree,First major,202,98,104,93,41,52,12,5,7,11,5,6,52,29,23,0,0,0,22,12,10,12,6,6
2000-2001,198419,Duke University,Conservation and Renewable Natural Resources,'03',Bachelor's degree,First major,17,5,12,11,4,7,0,0,0,1,1,0,2,0,2,0,0,0,3,0,3,0,0,0
2000-2001,198419,Duke University,English Language and Literature/Letters,'23',Bachelor's degree,First major,94,35,59,64,23,41,9,3,6,4,2,2,4,1,3,0,0,0,10,5,5,3,1,2
2000-2001,198419,Duke University,Multi/Interdisciplinary Studies,'30',Bachelor's degree,First major,23,9,14,17,8,9,0,0,0,0,0,0,2,1,1,0,0,0,2,0,2,2,0,2
2000-2001,198419,Duke University,Philosophy and Religion,'38',Bachelor's degree,First major,20,15,5,13,8,5,0,0,0,2,2,0,0,0,0,0,0,0,4,4,0,1,1,0
2000-2001,134097,Florida State University,Protective Services,'43',Bachelor's degree,First major,359,197,162,254,158,96,71,21,50,26,14,12,6,3,3,2,1,1,0,0,0,0,0,0
