"","Sport","Facet_Type","Facet_Value","Fangraph_URL","Date","Variable","Value","NA."
"71","Football","Entity","Stanford University Footb...","http://www.sportsfangraph.com/team/stanford-university-football",2012-12-06,"Rank",71,NA
"72","Football","Entity","Auburn University Footbal...","http://www.sportsfangraph.com/team/auburn-university-football",2012-12-06,"Rank",72,NA
"73","Football","Entity","University of Tennessee F...","http://www.sportsfangraph.com/team/university-of-tennessee-football",2012-12-06,"Rank",73,NA
"74","Football","Entity","Melbourne Football Club","http://www.sportsfangraph.com/team/melbourne",2012-12-06,"Rank",74,NA
"75","Football","Entity","Texas A&M University Foot...","http://www.sportsfangraph.com/team/texas-am-university-football",2012-12-06,"Rank",75,NA
"76","Football","Entity","University of Florida Foo...","http://www.sportsfangraph.com/team/university-of-florida-football",2012-12-06,"Rank",76,NA
"77","Football","Entity","Michigan State University...","http://www.sportsfangraph.com/team/michigan-state-university-football",2012-12-06,"Rank",77,NA
"78","Football","Entity","Iowa State University Foo...","http://www.sportsfangraph.com/team/iowa-state-university-football",2012-12-06,"Rank",78,NA
"79","Football","Entity","Hamilton Tiger-Cats","http://www.sportsfangraph.com/team/hamilton-tiger-cats",2012-12-06,"Rank",79,NA
"80","Football","Entity","Greater Western Sydney Gi...","http://www.sportsfangraph.com/team/greater-western-sydney-football-club",2012-12-06,"Rank",80,NA
"81","Football","Entity","University of Maryland Fo...","http://www.sportsfangraph.com/team/university-of-maryland-football",2012-12-06,"Rank",81,NA
"82","Football","Entity","Nebraska University Footb...","http://www.sportsfangraph.com/team/nebraska-university-football",2012-12-06,"Rank",82,NA
"83","Football","Entity","Toronto Argonauts","http://www.sportsfangraph.com/team/toronto-argonauts",2012-12-06,"Rank",83,NA
"84","Football","Entity","South Carolina University...","http://www.sportsfangraph.com/team/south-carolina-university-football",2012-12-06,"Rank",84,NA
"85","Football","Entity","Virginia Tech Football","http://www.sportsfangraph.com/team/virginia-tech-football",2012-12-06,"Rank",85,NA
"86","Football","Entity","United Football League","http://www.sportsfangraph.com/team/united-football-league",2012-12-06,"Rank",86,NA
"87","Football","Entity","Spokane Shock","http://www.sportsfangraph.com/team/spokane-shock",2012-12-06,"Rank",87,NA
"88","Football","Entity","Calgary Stampeders","http://www.sportsfangraph.com/team/calgary-stampeders",2012-12-06,"Rank",88,NA
"89","Football","Entity","Ohio State University Foo...","http://www.sportsfangraph.com/team/ohio-state-university-football",2012-12-06,"Rank",89,NA
"90","Football","Entity","Texas Tech University Foo...","http://www.sportsfangraph.com/team/texas-tech-university-football",2012-12-06,"Rank",90,NA
