Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F
1983-1984,147767,Northwestern University,Bachelor's degrees,Allied Health,17',84,12,72
1983-1984,147767,Northwestern University,Bachelor's degrees,Foreign Languages,16',25,7,18
1983-1984,147767,Northwestern University,Bachelor's degrees,Mathematics,27',37,21,16
1983-1984,147767,Northwestern University,Bachelor's degrees,Multi/Interdisciplinary Studies,30',19,13,6
1983-1984,147767,Northwestern University,Bachelor's degrees,Philosophy and Religion,38',22,15,7
1983-1984,147767,Northwestern University,Bachelor's degrees,Architecture and Environmental Design,4',1,1,0
1983-1984,147767,Northwestern University,Bachelor's degrees,Psychology,42',52,17,35
1983-1984,147767,Northwestern University,Bachelor's degrees,Life Sciences,26',70,40,30
1983-1984,147767,Northwestern University,Bachelor's degrees,Physical Sciences,40',44,30,14
1983-1984,147767,Northwestern University,Bachelor's degrees,Social Sciences,45',425,261,164
1983-1984,204796,Ohio State University-Main Campus,Bachelor's degrees,Engineering,14',895,774,121
1983-1984,204796,Ohio State University-Main Campus,Bachelor's degrees,Foreign Languages,16',54,11,43
1983-1984,204796,Ohio State University-Main Campus,Bachelor's degrees,Allied Health,17',236,28,208
1983-1984,204796,Ohio State University-Main Campus,Bachelor's degrees,Home Economics,19',223,6,217
1983-1984,204796,Ohio State University-Main Campus,Bachelor's degrees,Vocational Home Economics,20',8,2,6
1983-1984,204796,Ohio State University-Main Campus,Bachelor's degrees,Renewable Natural Resources,3',101,68,33
1983-1984,204796,Ohio State University-Main Campus,Bachelor's degrees,Parks and Recreation,31',33,16,17
1983-1984,204796,Ohio State University-Main Campus,Bachelor's degrees,Physical Sciences,40',92,67,25
1983-1984,204796,Ohio State University-Main Campus,Bachelor's degrees,Public Affairs,44',82,10,72
1983-1984,204796,Ohio State University-Main Campus,Bachelor's degrees,Transportation and Material Moving,49',15,14,1
1983-1984,204796,Ohio State University-Main Campus,Bachelor's degrees,Marketing and Distribution,8',445,270,175
1983-1984,204796,Ohio State University-Main Campus,Bachelor's degrees,Computer and Information Sciences,11',223,157,66
1983-1984,204796,Ohio State University-Main Campus,Bachelor's degrees,Letters,23',98,45,53
1983-1984,204796,Ohio State University-Main Campus,Bachelor's degrees,Mathematics,27',39,25,14
1983-1984,204796,Ohio State University-Main Campus,Bachelor's degrees,Multi/Interdisciplinary Studies,30',50,23,27
1983-1984,204796,Ohio State University-Main Campus,Bachelor's degrees,Communications,9',432,149,283
1983-1984,204796,Ohio State University-Main Campus,Bachelor's degrees,Health Sciences,18',262,19,243
1983-1984,204796,Ohio State University-Main Campus,Bachelor's degrees,Philosophy and Religion,38',14,11,3
1983-1984,204796,Ohio State University-Main Campus,Bachelor's degrees,Visual and Performing Arts,50',211,95,116
1983-1984,204796,Ohio State University-Main Campus,Bachelor's degrees,Business and Management,6',895,586,309
1983-1984,204796,Ohio State University-Main Campus,Bachelor's degrees,Agricultural Business and Production,1',92,71,21
1983-1984,204796,Ohio State University-Main Campus,Bachelor's degrees,Education,13',903,273,630
