Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1996-1997,217882,Clemson University,Social Sciences and History,'45',Bachelor's degree,135,82,53,118,72,46,12,7,5,2,1,1,2,1,1,0,0,0,1,1,0,0,0,0
1996-1997,217882,Clemson University,Visual and Performing Arts,'50',Bachelor's degree,46,23,23,39,19,20,5,4,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1996-1997,198419,Duke University,Area- Ethnic and Cultural Studies,'05',Bachelor's degree,47,15,32,25,7,18,7,4,3,10,2,8,4,2,2,0,0,0,1,0,1,0,0,0
1996-1997,198419,Duke University,Biological Science/Life Sciences,'26',Bachelor's degree,233,121,112,156,80,76,13,5,8,8,6,2,50,28,22,2,0,2,0,0,0,4,2,2
1996-1997,198419,Duke University,Computer and Information Sciences,'11',Bachelor's degree,29,27,2,25,23,2,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1996-1997,198419,Duke University,Conservation and Renewable Natural Resources,'03',Bachelor's degree,38,20,18,33,16,17,1,1,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0
1996-1997,198419,Duke University,Engineering,'14',Bachelor's degree,200,135,65,146,99,47,13,6,7,6,3,3,31,24,7,0,0,0,0,0,0,4,3,1
1996-1997,198419,Duke University,English Language and Literature/Letters,'23',Bachelor's degree,105,34,71,90,32,58,5,0,5,1,0,1,9,2,7,0,0,0,0,0,0,0,0,0
1996-1997,198419,Duke University,Foreign Languages and Literatures,'16',Bachelor's degree,18,5,13,16,5,11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
1996-1997,198419,Duke University,Mathematics,'27',Bachelor's degree,37,20,17,30,14,16,1,0,1,1,1,0,3,3,0,0,0,0,0,0,0,2,2,0
1996-1997,198419,Duke University,Multi/Interdisciplinary Studies,'30',Bachelor's degree,17,5,12,14,3,11,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0
1996-1997,198419,Duke University,Philosophy and Religion,'38',Bachelor's degree,17,12,5,10,9,1,1,0,1,0,0,0,5,2,3,0,0,0,0,0,0,1,1,0
1996-1997,198419,Duke University,Physical Sciences,'40',Bachelor's degree,59,37,22,37,22,15,6,2,4,4,4,0,12,9,3,0,0,0,0,0,0,0,0,0
1996-1997,198419,Duke University,Psychology,'42',Bachelor's degree,146,37,109,110,31,79,15,2,13,11,2,9,9,2,7,1,0,1,0,0,0,0,0,0
1996-1997,198419,Duke University,Public Administration and Services,'44',Bachelor's degree,107,55,52,92,46,46,5,2,3,2,2,0,4,4,0,2,1,1,0,0,0,2,0,2
1996-1997,198419,Duke University,Social Sciences and History,'45',Bachelor's degree,423,260,163,322,208,114,49,23,26,16,9,7,17,12,5,3,1,2,1,0,1,15,7,8
1996-1997,198419,Duke University,Visual and Performing Arts,'50',Bachelor's degree,41,12,29,34,9,25,1,0,1,1,1,0,3,1,2,0,0,0,0,0,0,2,1,1
1996-1997,134097,Florida State University,Area- Ethnic and Cultural Studies,'05',Bachelor's degree,26,15,11,18,10,8,2,2,0,4,2,2,2,1,1,0,0,0,0,0,0,0,0,0
1996-1997,134097,Florida State University,Biological Science/Life Sciences,'26',Bachelor's degree,242,128,114,187,102,85,18,2,16,16,11,5,18,12,6,2,1,1,0,0,0,1,0,1
1996-1997,134097,Florida State University,Business Management and Administrative Services,'52',Bachelor's degree,1092,643,449,901,531,370,77,37,40,57,40,17,29,16,13,2,1,1,0,0,0,26,18,8
1996-1997,134097,Florida State University,Communications,'09',Bachelor's degree,270,96,174,232,89,143,13,2,11,13,3,10,8,0,8,2,2,0,0,0,0,2,0,2
1996-1997,134097,Florida State University,Computer and Information Sciences,'11',Bachelor's degree,55,41,14,43,34,9,3,2,1,2,1,1,3,1,2,0,0,0,0,0,0,4,3,1
1996-1997,134097,Florida State University,Education,'13',Bachelor's degree,478,123,355,420,109,311,22,3,19,31,8,23,5,3,2,0,0,0,0,0,0,0,0,0
1996-1997,134097,Florida State University,Engineering,'14',Bachelor's degree,180,146,34,128,106,22,28,18,10,10,9,1,6,6,0,1,1,0,0,0,0,7,6,1
1996-1997,134097,Florida State University,English Language and Literature/Letters,'23',Bachelor's degree,280,92,188,233,83,150,26,3,23,15,5,10,5,1,4,1,0,1,0,0,0,0,0,0
1996-1997,134097,Florida State University,Foreign Languages and Literatures,'16',Bachelor's degree,54,22,32,39,17,22,1,0,1,12,5,7,1,0,1,0,0,0,0,0,0,1,0,1
1996-1997,134097,Florida State University,Health Professions and Related Sciences,'51',Bachelor's degree,236,30,206,199,25,174,17,1,16,12,4,8,5,0,5,1,0,1,0,0,0,2,0,2
