Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1999-2000,198419,Duke University,Bachelor's degree,Multi/Interdisciplinary Studies,'30',2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,198419,Duke University,Bachelor's degree,Philosophy and Religion,'38',18,11,7,10,7,3,3,2,1,0,0,0,2,2,0,0,0,0,1,0,1,2,0,2
1999-2000,198419,Duke University,Bachelor's degree,Physical Sciences,'40',49,32,17,27,21,6,4,2,2,3,2,1,11,7,4,0,0,0,3,0,3,1,0,1
1999-2000,198419,Duke University,Bachelor's degree,Psychology,'42',148,33,115,100,21,79,20,3,17,3,1,2,16,6,10,0,0,0,5,2,3,4,0,4
1999-2000,198419,Duke University,Bachelor's degree,Public Administration and Services,'44',143,57,86,104,41,63,16,4,12,3,1,2,9,4,5,0,0,0,8,5,3,3,2,1
1999-2000,198419,Duke University,Bachelor's degree,Social Sciences and History,'45',518,297,221,351,205,146,45,18,27,24,13,11,48,27,21,2,2,0,34,26,8,14,6,8
1999-2000,198419,Duke University,Bachelor's degree,Visual and Performing Arts,'50',30,14,16,24,11,13,0,0,0,1,0,1,2,2,0,1,1,0,1,0,1,1,0,1
1999-2000,134097,Florida State University,Bachelor's degree,Area- Ethnic and Cultural Studies,'05',10,7,3,9,6,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,134097,Florida State University,Bachelor's degree,Biological Science/Life Sciences,'26',150,57,93,108,39,69,17,3,14,14,8,6,11,7,4,0,0,0,0,0,0,0,0,0
1999-2000,134097,Florida State University,Bachelor's degree,Business Management and Administrative Services,'52',1254,722,532,975,583,392,109,39,70,81,47,34,46,30,16,0,0,0,0,0,0,43,23,20
1999-2000,134097,Florida State University,Bachelor's degree,Communications,'09',386,124,262,325,106,219,26,8,18,22,7,15,5,2,3,4,0,4,0,0,0,4,1,3
1999-2000,134097,Florida State University,Bachelor's degree,Computer and Information Sciences,'11',63,54,9,41,38,3,5,4,1,4,3,1,2,1,1,1,1,0,0,0,0,10,7,3
1999-2000,134097,Florida State University,Bachelor's degree,Education,'13',476,133,343,383,106,277,49,10,39,28,11,17,6,3,3,4,1,3,0,0,0,6,2,4
1999-2000,134097,Florida State University,Bachelor's degree,Engineering,'14',144,114,30,101,84,17,25,13,12,7,6,1,2,2,0,1,1,0,0,0,0,8,8,0
1999-2000,134097,Florida State University,Bachelor's degree,English Language and Literature/Letters,'23',235,81,154,187,69,118,26,6,20,14,5,9,6,1,5,2,0,2,0,0,0,0,0,0
1999-2000,134097,Florida State University,Bachelor's degree,Foreign Languages and Literatures,'16',46,13,33,32,12,20,3,0,3,9,1,8,1,0,1,0,0,0,0,0,0,1,0,1
1999-2000,134097,Florida State University,Bachelor's degree,Health Professions and Related Sciences,'51',271,33,238,228,26,202,32,5,27,9,2,7,2,0,2,0,0,0,0,0,0,0,0,0
