CIP_Classificaiton,Award_Level,Year,unitid,Institution_Name,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS.PI,T.AS.PI.M,T.AS.PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F,cipcode
Biological Science/Life Sciences,Bachelor's degree,1995-1996,230728,Utah State University,46,30,16,44,28,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,NA
Biological Science/Life Sciences,Bachelor's degree,1995-1996,139959,University of Georgia,309,161,148,256,137,119,17,4,13,6,4,2,23,11,12,0,0,0,0,0,0,7,5,2,NA
Business Management and Administrative Services,Bachelor's degree,1995-1996,157289,University of Louisville,335,166,169,292,144,148,20,6,14,5,4,1,6,3,3,0,0,0,0,0,0,12,9,3,NA
Business Management and Administrative Services,Bachelor's degree,1995-1996,228778,The University of Texas at Austin,1007,561,446,676,389,287,29,13,16,134,76,58,119,56,63,2,0,2,0,0,0,47,27,20,NA
Business Management and Administrative Services,Bachelor's degree,1995-1996,131496,Georgetown University,303,192,111,176,122,54,17,8,9,21,14,7,36,16,20,0,0,0,0,0,0,53,32,21,NA
Business Management and Administrative Services,Bachelor's degree,1995-1996,228723,Texas A & M University-College Station,1183,611,572,995,516,479,23,6,17,97,56,41,29,15,14,5,3,2,0,0,0,34,15,19,NA
Business Management and Administrative Services,Bachelor's degree,1995-1996,170976,University of Michigan-Ann Arbor,286,151,135,209,116,93,18,5,13,12,8,4,24,9,15,1,1,0,1,0,1,21,12,9,NA
Business Management and Administrative Services,Bachelor's degree,1995-1996,155399,Kansas State University,465,259,206,416,232,184,13,5,8,15,11,4,9,3,6,1,1,0,0,0,0,11,7,4,NA
Business Management and Administrative Services,Bachelor's degree,1995-1996,204796,Ohio State University-Main Campus,762,464,298,570,366,204,38,15,23,7,5,2,35,18,17,2,1,1,22,13,9,88,46,42,NA
Business Management and Administrative Services,Bachelor's degree,1995-1996,228246,Southern Methodist University,349,193,156,286,168,118,11,3,8,24,10,14,16,6,10,1,0,1,0,0,0,11,6,5,NA
Business Management and Administrative Services,Bachelor's degree,1995-1996,123961,University of Southern California,1068,643,425,456,326,130,34,18,16,107,61,46,280,144,136,2,2,0,7,6,1,182,86,96,NA
Business Management and Administrative Services,Bachelor's degree,1995-1996,186380,Rutgers University-New Brunswick,373,198,175,246,134,112,21,11,10,20,12,8,60,27,33,0,0,0,6,2,4,20,12,8,NA
Business Management and Administrative Services,Bachelor's degree,1995-1996,209551,University of Oregon,472,281,191,238,152,86,3,3,0,6,4,2,41,20,21,3,2,1,11,9,2,170,91,79,NA
Business Management and Administrative Services,Bachelor's degree,1995-1996,218663,University of South Carolina-Columbia,558,307,251,415,252,163,86,25,61,6,3,3,17,8,9,0,0,0,2,1,1,32,18,14,NA
Business Management and Administrative Services,Bachelor's degree,1995-1996,134130,University of Florida,954,600,354,766,489,277,25,13,12,75,51,24,54,30,24,1,0,1,1,0,1,32,17,15,NA
Business Management and Administrative Services,Bachelor's degree,1995-1996,230728,Utah State University,326,200,126,276,176,100,1,1,0,3,2,1,6,3,3,0,0,0,0,0,0,40,18,22,NA
Business Management and Administrative Services,Bachelor's degree,1995-1996,199120,University of North Carolina at Chapel Hill,385,210,175,323,183,140,30,12,18,4,2,2,16,5,11,2,2,0,0,0,0,10,6,4,NA
Business Management and Administrative Services,Bachelor's degree,1995-1996,181464,University of Nebraska-Lincoln,571,323,248,447,263,184,6,4,2,6,4,2,18,5,13,0,0,0,6,5,1,88,42,46,NA
Business Management and Administrative Services,Bachelor's degree,1995-1996,207388,Oklahoma State University-Main Campus,529,280,249,343,172,171,10,6,4,3,1,2,8,4,4,26,15,11,0,0,0,139,82,57,NA
Business Management and Administrative Services,Bachelor's degree,1995-1996,207500,University of Oklahoma Norman Campus,413,259,154,278,189,89,22,8,14,7,5,2,28,10,18,18,11,7,0,0,0,60,36,24,NA
Business Management and Administrative Services,Bachelor's degree,1995-1996,100858,Auburn University,721,445,276,669,420,249,31,15,16,3,1,2,10,5,5,2,1,1,0,0,0,6,3,3,NA
Business Management and Administrative Services,Bachelor's degree,1995-1996,135726,University of Miami,360,217,143,160,107,53,22,12,10,68,39,29,11,5,6,0,0,0,15,6,9,84,48,36,NA
Business Management and Administrative Services,Bachelor's degree,1995-1996,209542,Oregon State University,328,207,121,264,169,95,0,0,0,6,5,1,19,6,13,2,2,0,8,8,0,29,17,12,NA
Business Management and Administrative Services,Bachelor's degree,1995-1996,100751,The University of Alabama,714,436,278,593,375,218,76,31,45,5,4,1,3,1,2,2,1,1,11,7,4,24,17,7,NA
Business Management and Administrative Services,Bachelor's degree,1995-1996,159391,Louisiana State University and Agricultural & Mechanical College,488,268,220,400,226,174,40,19,21,6,4,2,14,6,8,1,0,1,1,1,0,26,12,14,NA
Business Management and Administrative Services,Bachelor's degree,1995-1996,142115,Boise State University,236,130,106,195,109,86,2,2,0,12,7,5,5,2,3,0,0,0,14,6,8,8,4,4,NA
Business Management and Administrative Services,Bachelor's degree,1995-1996,217882,Clemson University,454,271,183,410,252,158,36,15,21,2,0,2,1,0,1,0,0,0,1,1,0,4,3,1,NA
