Year,unitid,Institution_Name,Award_Level,cipcode,CIP_Classificaiton,Total,T.M,T.F
1987-1988,218663,University of South Carolina-Columbia,Bachelor's degree,NA,Business (Administrative Support),37,1,36
1987-1988,207388,Oklahoma State University-Main Campus,Bachelor's degree,NA,Business (Administrative Support),12,0,12
1987-1988,155399,Kansas State University,Bachelor's degree,NA,Business (Administrative Support),2,0,2
1987-1988,157289,University of Louisville,Bachelor's degree,NA,Business (Administrative Support),1,0,1
1987-1988,204796,Ohio State University-Main Campus,Bachelor's degree,NA,Business (Administrative Support),118,77,41
1987-1988,181464,University of Nebraska-Lincoln,Bachelor's degree,NA,Business (Administrative Support),13,0,13
1987-1988,181464,University of Nebraska-Lincoln,Bachelor's degree,'06.0000',Business and Management,598,360,238
1987-1988,123961,University of Southern California,Bachelor's degree,'06.0000',Business and Management,919,590,329
1987-1988,230728,Utah State University,Bachelor's degree,'06.0000',Business and Management,264,197,67
1987-1988,134130,University of Florida,Bachelor's degree,'06.0000',Business and Management,921,538,383
1987-1988,228246,Southern Methodist University,Bachelor's degree,'06.0000',Business and Management,388,222,166
1987-1988,135726,University of Miami,Bachelor's degree,'06.0000',Business and Management,490,253,237
1987-1988,207388,Oklahoma State University-Main Campus,Bachelor's degree,'06.0000',Business and Management,850,503,347
1987-1988,207500,University of Oklahoma Norman Campus,Bachelor's degree,'06.0000',Business and Management,616,367,249
1987-1988,228778,The University of Texas at Austin,Bachelor's degree,'06.0000',Business and Management,1571,874,697
1987-1988,152080,University of Notre Dame,Bachelor's degree,'06.0000',Business and Management,513,394,119
1987-1988,147767,Northwestern University,Bachelor's degree,'06.0000',Business and Management,29,5,24
1987-1988,209542,Oregon State University,Bachelor's degree,'06.0000',Business and Management,571,325,246
1987-1988,204796,Ohio State University-Main Campus,Bachelor's degree,'06.0000',Business and Management,981,625,356
1987-1988,142115,Boise State University,Bachelor's degree,'06.0000',Business and Management,228,117,111
1987-1988,131496,Georgetown University,Bachelor's degree,'06.0000',Business and Management,247,147,100
1987-1988,170976,University of Michigan-Ann Arbor,Bachelor's degree,'06.0000',Business and Management,313,169,144
1987-1988,155399,Kansas State University,Bachelor's degree,'06.0000',Business and Management,494,281,213
1987-1988,139959,University of Georgia,Bachelor's degree,'06.0000',Business and Management,1027,545,482
1987-1988,199120,University of North Carolina at Chapel Hill,Bachelor's degree,'06.0000',Business and Management,550,269,281
1987-1988,217882,Clemson University,Bachelor's degree,'06.0000',Business and Management,502,267,235
1987-1988,157289,University of Louisville,Bachelor's degree,'06.0000',Business and Management,416,218,198
