Year,unitid,Institution_Name,Award_Level,Major,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2002-2003,134130,University of Florida,Bachelor's degree,First major,Psychology.,'42',413,103,310,318,74,244,20,6,14,51,16,35,17,6,11,0,0,0,2,0,2,5,1,4
2002-2003,134130,University of Florida,Bachelor's degree,First major,Security and protective services.,'43',2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,135726,University of Miami,Bachelor's degree,First major,Architecture and related services.,'04',53,26,27,20,13,7,3,0,3,23,10,13,1,1,0,0,0,0,1,0,1,5,2,3
2002-2003,135726,University of Miami,Bachelor's degree,First major,Engineering.,'14',151,110,41,56,45,11,15,6,9,40,29,11,10,4,6,0,0,0,4,2,2,26,24,2
2002-2003,135726,University of Miami,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',96,9,87,35,4,31,17,0,17,33,3,30,5,1,4,0,0,0,5,1,4,1,0,1
2002-2003,135726,University of Miami,Bachelor's degree,First major,Liberal arts and sciences- general studies and humanities.,'24',31,13,18,8,3,5,14,9,5,9,1,8,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,135726,University of Miami,Bachelor's degree,First major,Philosophy and religious studies.,'38',20,13,7,4,1,3,2,1,1,9,8,1,3,1,2,0,0,0,1,1,0,1,1,0
2002-2003,135726,University of Miami,Bachelor's degree,First major,Physical sciences.,'40',21,11,10,12,4,8,1,0,1,5,4,1,2,2,0,0,0,0,0,0,0,1,1,0
2002-2003,135726,University of Miami,Bachelor's degree,First major,Social sciences.,'45',139,51,88,69,28,41,16,3,13,35,13,22,3,2,1,0,0,0,5,1,4,11,4,7
2002-2003,139959,University of Georgia,Bachelor's degree,First major,Agriculture- agriculture operations- and related sciences.,'01',134,61,73,130,58,72,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,139959,University of Georgia,Bachelor's degree,First major,Architecture and related services.,'04',73,54,19,68,52,16,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2002-2003,139959,University of Georgia,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',333,65,268,299,61,238,14,1,13,6,1,5,11,1,10,0,0,0,0,0,0,3,1,2
2002-2003,139959,University of Georgia,Bachelor's degree,First major,Communications technologies/technicians and support services.,'10',91,38,53,79,36,43,6,2,4,2,0,2,4,0,4,0,0,0,0,0,0,0,0,0
2002-2003,139959,University of Georgia,Bachelor's degree,First major,Computer and information sciences and support services.,'11',65,54,11,57,49,8,3,2,1,0,0,0,1,1,0,0,0,0,0,0,0,4,2,2
2002-2003,139959,University of Georgia,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',100,27,73,89,24,65,5,2,3,2,1,1,2,0,2,0,0,0,0,0,0,2,0,2
2002-2003,100751,The University of Alabama,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',366,116,250,311,103,208,44,11,33,3,0,3,5,2,3,0,0,0,0,0,0,3,0,3
2002-2003,100751,The University of Alabama,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',27,7,20,22,7,15,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,100751,The University of Alabama,Bachelor's degree,First major,Psychology.,'42',92,22,70,66,17,49,19,3,16,0,0,0,3,2,1,2,0,2,0,0,0,2,0,2
2002-2003,100751,The University of Alabama,Bachelor's degree,First major,Public administration and social service professions.,'44',27,5,22,18,3,15,9,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,100858,Auburn University,Bachelor's degree,First major,Architecture and related services.,'04',98,62,36,81,57,24,6,4,2,2,0,2,7,1,6,1,0,1,0,0,0,1,0,1
2002-2003,100858,Auburn University,Bachelor's degree,First major,Philosophy and religious studies.,'38',12,9,3,10,7,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,100858,Auburn University,Bachelor's degree,First major,Visual and performing arts.,'50',154,52,102,144,50,94,5,1,4,2,0,2,0,0,0,2,0,2,1,1,0,0,0,0
2002-2003,122755,San Jose State University,Bachelor's degree,First major,Mathematics and statistics.,'27',24,15,9,7,5,2,0,0,0,3,3,0,10,4,6,0,0,0,2,2,0,2,1,1
2002-2003,122755,San Jose State University,Bachelor's degree,First major,Natural resources and conservation.,'03',46,12,34,20,6,14,2,0,2,8,2,6,7,1,6,0,0,0,8,2,6,1,1,0
2002-2003,122755,San Jose State University,Bachelor's degree,First major,Philosophy and religious studies.,'38',8,5,3,3,3,0,0,0,0,0,0,0,2,0,2,0,0,0,3,2,1,0,0,0
2002-2003,122755,San Jose State University,Bachelor's degree,First major,Security and protective services.,'43',103,48,55,23,10,13,6,3,3,33,15,18,19,10,9,0,0,0,21,10,11,1,0,1
2002-2003,122755,San Jose State University,Bachelor's degree,First major,Visual and performing arts.,'50',302,123,179,95,33,62,6,3,3,29,14,15,90,48,42,3,2,1,59,19,40,20,4,16
2002-2003,123961,University of Southern California,Bachelor's degree,First major,Architecture and related services.,'04',106,61,45,43,24,19,3,2,1,20,11,9,31,20,11,0,0,0,1,0,1,8,4,4
2002-2003,123961,University of Southern California,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',392,106,286,237,65,172,29,6,23,44,12,32,56,14,42,4,2,2,5,2,3,17,5,12
2002-2003,123961,University of Southern California,Bachelor's degree,First major,Computer and information sciences and support services.,'11',94,74,20,32,27,5,2,2,0,4,1,3,36,30,6,1,1,0,2,2,0,17,11,6
2002-2003,123961,University of Southern California,Bachelor's degree,First major,English language and literature/letters.,'23',123,49,74,79,34,45,14,3,11,16,6,10,11,3,8,1,1,0,1,1,0,1,1,0
2002-2003,123961,University of Southern California,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',76,25,51,47,17,30,3,1,2,14,4,10,11,2,9,0,0,0,0,0,0,1,1,0
2002-2003,123961,University of Southern California,Bachelor's degree,First major,Multi/interdisciplinary studies.,'30',25,8,17,11,2,9,1,0,1,3,1,2,8,4,4,0,0,0,2,1,1,0,0,0
2002-2003,123961,University of Southern California,Bachelor's degree,First major,Parks- recreation- leisure- and fitness studies.,'31',48,26,22,24,12,12,2,1,1,6,2,4,14,10,4,1,0,1,1,1,0,0,0,0
2002-2003,123961,University of Southern California,Bachelor's degree,First major,Public administration and social service professions.,'44',60,24,36,26,13,13,10,3,7,10,2,8,12,5,7,0,0,0,1,0,1,1,1,0
2002-2003,123961,University of Southern California,Bachelor's degree,First major,Visual and performing arts.,'50',563,293,270,368,190,178,28,13,15,63,38,25,62,27,35,9,6,3,6,3,3,27,16,11
2002-2003,123961,University of Southern California,Bachelor's degree,First major,Psychology.,'42',192,61,131,79,26,53,17,5,12,43,14,29,36,10,26,0,0,0,9,5,4,8,1,7
2002-2003,131496,Georgetown University,Bachelor's degree,First major,Computer and information sciences and support services.,'11',21,16,5,15,12,3,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,3,1,2
2002-2003,131496,Georgetown University,Bachelor's degree,First major,History,'54',44,23,21,35,17,18,5,4,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0
2002-2003,131496,Georgetown University,Bachelor's degree,First major,Multi/interdisciplinary studies.,'30',57,25,32,31,14,17,1,1,0,6,4,2,8,2,6,0,0,0,1,0,1,10,4,6
2002-2003,131496,Georgetown University,Bachelor's degree,First major,Physical sciences.,'40',11,6,5,8,4,4,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,131496,Georgetown University,Bachelor's degree,First major,Visual and performing arts.,'50',15,4,11,14,4,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2002-2003,134097,Florida State University,Bachelor's degree,First major,Mathematics and statistics.,'27',11,7,4,9,6,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,134097,Florida State University,Bachelor's degree,First major,Visual and performing arts.,'50',414,133,281,322,100,222,28,8,20,40,15,25,16,9,7,2,0,2,1,1,0,5,0,5
2002-2003,134130,University of Florida,Bachelor's degree,First major,Architecture and related services.,'04',97,57,40,68,43,25,3,1,2,16,8,8,9,4,5,0,0,0,0,0,0,1,1,0
2002-2003,134130,University of Florida,Bachelor's degree,First major,Biological and biomedical sciences.,'26',331,156,175,222,106,116,19,9,10,43,20,23,44,21,23,1,0,1,0,0,0,2,0,2
2002-2003,134130,University of Florida,Bachelor's degree,First major,Business- management- marketing- and related support services.,'52',1682,973,709,1236,731,505,72,35,37,175,100,75,144,79,65,13,9,4,14,6,8,28,13,15
2002-2003,134130,University of Florida,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',765,217,548,587,171,416,66,20,46,74,15,59,20,7,13,2,0,2,8,3,5,8,1,7
2002-2003,134130,University of Florida,Bachelor's degree,First major,Engineering.,'14',794,626,168,576,456,120,34,22,12,78,64,14,72,58,14,3,1,2,6,5,1,25,20,5
2002-2003,134130,University of Florida,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',502,55,447,370,40,330,63,8,55,38,4,34,24,2,22,1,0,1,2,1,1,4,0,4
2002-2003,134130,University of Florida,Bachelor's degree,First major,Multi/interdisciplinary studies.,'30',66,39,27,43,27,16,3,3,0,8,4,4,11,5,6,0,0,0,0,0,0,1,0,1
2002-2003,134130,University of Florida,Bachelor's degree,First major,Parks- recreation- leisure- and fitness studies.,'31',364,150,214,279,112,167,31,11,20,29,11,18,15,11,4,2,2,0,2,1,1,6,2,4
2002-2003,135726,University of Miami,Bachelor's degree,First major,Area- ethnic- cultural- and gender studies.,'05',5,1,4,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0
2002-2003,135726,University of Miami,Bachelor's degree,First major,Business- management- marketing- and related support services.,'52',481,277,204,214,141,73,34,18,16,136,61,75,21,11,10,2,1,1,9,5,4,65,40,25
2002-2003,135726,University of Miami,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',201,62,139,104,43,61,15,1,14,54,10,44,4,0,4,1,1,0,3,1,2,20,6,14
2002-2003,135726,University of Miami,Bachelor's degree,First major,Computer and information sciences and support services.,'11',79,60,19,28,24,4,11,6,5,19,14,5,7,5,2,1,0,1,1,1,0,12,10,2
2002-2003,135726,University of Miami,Bachelor's degree,First major,English language and literature/letters.,'23',53,17,36,30,9,21,4,0,4,14,5,9,3,1,2,0,0,0,2,2,0,0,0,0
2002-2003,139959,University of Georgia,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',129,18,111,118,16,102,5,0,5,3,1,2,2,1,1,1,0,1,0,0,0,0,0,0
2002-2003,139959,University of Georgia,Bachelor's degree,First major,History,'54',114,76,38,106,74,32,6,2,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
2002-2003,139959,University of Georgia,Bachelor's degree,First major,Parks- recreation- leisure- and fitness studies.,'31',58,35,23,52,31,21,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,139959,University of Georgia,Bachelor's degree,First major,Public administration and social service professions.,'44',42,4,38,39,3,36,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1
2002-2003,142115,Boise State University,Bachelor's degree,First major,Area- ethnic- cultural- and gender studies.,'05',2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,142115,Boise State University,Bachelor's degree,First major,Biological and biomedical sciences.,'26',43,21,22,34,17,17,3,2,1,1,1,0,0,0,0,1,1,0,4,0,4,0,0,0
2002-2003,142115,Boise State University,Bachelor's degree,First major,Education.,'13',240,72,168,208,63,145,1,0,1,12,2,10,4,2,2,1,1,0,14,4,10,0,0,0
2002-2003,142115,Boise State University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',32,13,19,18,9,9,0,0,0,8,3,5,0,0,0,0,0,0,6,1,5,0,0,0
2002-2003,142115,Boise State University,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',233,56,177,209,44,165,1,1,0,8,3,5,6,3,3,2,1,1,3,1,2,4,3,1
2002-2003,142115,Boise State University,Bachelor's degree,First major,History,'54',31,21,10,27,18,9,1,0,1,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0
2002-2003,142115,Boise State University,Bachelor's degree,First major,Philosophy and religious studies.,'38',7,4,3,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
2002-2003,142115,Boise State University,Bachelor's degree,First major,Security and protective services.,'43',43,15,28,32,10,22,1,1,0,4,1,3,3,1,2,0,0,0,3,2,1,0,0,0
2002-2003,147767,Northwestern University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',47,17,30,32,13,19,3,0,3,1,1,0,2,0,2,0,0,0,7,1,6,2,2,0
2002-2003,147767,Northwestern University,Bachelor's degree,First major,History,'54',70,35,35,52,27,25,2,0,2,0,0,0,7,3,4,0,0,0,9,5,4,0,0,0
2002-2003,147767,Northwestern University,Bachelor's degree,First major,Liberal arts and sciences- general studies and humanities.,'24',3,1,2,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2002-2003,147767,Northwestern University,Bachelor's degree,First major,Mathematics and statistics.,'27',36,20,16,25,15,10,5,1,4,1,0,1,4,3,1,0,0,0,1,1,0,0,0,0
2002-2003,147767,Northwestern University,Bachelor's degree,First major,Natural resources and conservation.,'03',17,4,13,13,3,10,1,0,1,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0
