Year,unitid,Institution_Name,Sport,Cohort_Data,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
1996-1997,198419,Duke University,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,24,24,0,14,14,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
1996-1997,134097,Florida State University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),21,4,17,17,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3
1996-1997,134097,Florida State University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),12,3,9,10,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
1996-1997,134097,Florida State University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,12,3,9,10,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
1996-1997,134097,Florida State University,All other sports,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,134097,Florida State University,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,7,0,6,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,134097,Florida State University,Baseball,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),3,3,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,134097,Florida State University,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,3,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,134097,Florida State University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,3,4,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1996-1997,134097,Florida State University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),3,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1996-1997,134097,Florida State University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1996-1997,134097,Florida State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),8,4,4,3,2,1,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,134097,Florida State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),6,2,4,1,0,1,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,134097,Florida State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,6,2,4,1,0,1,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,134097,Florida State University,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),16,16,0,7,7,0,6,6,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,134097,Florida State University,Football,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),10,10,0,4,4,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,134097,Florida State University,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,10,10,0,4,4,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,134097,Florida State University,Football,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,131496,Georgetown University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),17,14,3,16,13,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,131496,Georgetown University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),16,13,3,15,12,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,131496,Georgetown University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,16,13,3,15,12,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,131496,Georgetown University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),10,6,4,2,0,2,7,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1996-1997,131496,Georgetown University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),8,4,4,2,0,2,5,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1996-1997,131496,Georgetown University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,8,4,4,2,0,2,5,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1996-1997,131496,Georgetown University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),9,5,4,6,4,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,131496,Georgetown University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),9,5,4,6,4,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,131496,Georgetown University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,9,5,4,6,4,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,155399,Kansas State University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),12,1,11,12,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,155399,Kansas State University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),7,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,155399,Kansas State University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,155399,Kansas State University,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,7,0,6,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,155399,Kansas State University,Baseball,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,155399,Kansas State University,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,155399,Kansas State University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),8,2,6,4,1,3,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,155399,Kansas State University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),3,1,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,155399,Kansas State University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,1,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,155399,Kansas State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),8,5,3,6,4,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,155399,Kansas State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),4,2,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,155399,Kansas State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,2,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,155399,Kansas State University,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),23,23,0,14,14,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,155399,Kansas State University,Football,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),8,8,0,7,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,155399,Kansas State University,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,8,8,0,7,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),24,10,14,18,6,12,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,3,2,1
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,All other sports,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),13,8,5,9,4,5,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,13,8,5,9,4,5,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Baseball,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,4,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,2,4,4,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
