Game_ID_2012,Team_Game_ID,Date,Location,TeamCode,Opponent,Result,Overtime,Team,Opponent,Wins,Losses,Streak,Season_Type,Season,Notes
258,60,"Mon, Apr 16, 2012",,CHA,New Orleans Hornets,L,,67,75,7,53,L 17,Regular Season,2011-2012,
262,64,"Mon, Apr 23, 2012",@,CHA,Washington Wizards,L,,73,101,7,57,L 21,Regular Season,2011-2012,
253,55,"Mon, Apr 9, 2012",,CHA,Washington Wizards,L,,85,113,7,48,L 12,Regular Season,2011-2012,
199,1,"Mon, Dec 26, 2011",,CHA,Milwaukee Bucks,W,,96,95,1,0,W 1,Regular Season,2011-2012,
226,28,"Mon, Feb 13, 2012",,CHA,Philadelphia 76ers,L,,89,98,3,25,L 15,Regular Season,2011-2012,
212,14,"Mon, Jan 16, 2012",,CHA,Cleveland Cavaliers,L,,94,102,3,11,L 1,Regular Season,2011-2012,
207,9,"Mon, Jan 9, 2012",@,CHA,New York Knicks,L,,87,91,2,7,L 3,Regular Season,2011-2012,
238,40,"Mon, Mar 12, 2012",@,CHA,New Orleans Hornets,W,,73,71,6,34,W 1,Regular Season,2011-2012,
242,44,"Mon, Mar 19, 2012",,CHA,Philadelphia 76ers,L,,80,105,7,37,L 1,Regular Season,2011-2012,
245,47,"Mon, Mar 26, 2012",,CHA,Boston Celtics,L,,95,102,7,40,L 4,Regular Season,2011-2012,
252,54,"Sat, Apr 7, 2012",,CHA,Atlanta Hawks,L,,96,116,7,47,L 11,Regular Season,2011-2012,
225,27,"Sat, Feb 11, 2012",,CHA,Los Angeles Clippers,L,,86,111,3,24,L 14,Regular Season,2011-2012,
222,24,"Sat, Feb 4, 2012",@,CHA,Phoenix Suns,L,,89,95,3,21,L 11,Regular Season,2011-2012,
211,13,"Sat, Jan 14, 2012",,CHA,Golden State Warriors,W,,112,100,3,10,W 1,Regular Season,2011-2012,
214,16,"Sat, Jan 21, 2012",@,CHA,Chicago Bulls,L,,89,95,3,13,L 3,Regular Season,2011-2012,
219,21,"Sat, Jan 28, 2012",,CHA,Washington Wizards,L,,99,102,3,18,L 8,Regular Season,2011-2012,
206,8,"Sat, Jan 7, 2012",@,CHA,Indiana Pacers,L,,77,99,2,6,L 2,Regular Season,2011-2012,
237,39,"Sat, Mar 10, 2012",@,CHA,Oklahoma City Thunder,L,,95,122,5,34,L 3,Regular Season,2011-2012,
241,43,"Sat, Mar 17, 2012",,CHA,Toronto Raptors,W,,107,103,7,36,W 1,Regular Season,2011-2012,
244,46,"Sat, Mar 24, 2012",@,CHA,New Jersey Nets,L,,89,102,7,39,L 3,Regular Season,2011-2012,
248,50,"Sat, Mar 31, 2012",@,CHA,Detroit Pistons,L,OT,107,110,7,43,L 7,Regular Season,2011-2012,
257,59,"Sun, Apr 15, 2012",,CHA,Boston Celtics,L,,82,94,7,52,L 16,Regular Season,2011-2012,
261,63,"Sun, Apr 22, 2012",,CHA,Sacramento Kings,L,,88,114,7,56,L 20,Regular Season,2011-2012,
229,31,"Sun, Feb 19, 2012",@,CHA,Indiana Pacers,L,,73,108,4,27,L 1,Regular Season,2011-2012,
202,4,"Sun, Jan 1, 2012",@,CHA,Miami Heat,L,,90,129,1,3,L 3,Regular Season,2011-2012,
215,17,"Sun, Jan 22, 2012",@,CHA,New Jersey Nets,L,,87,97,3,14,L 4,Regular Season,2011-2012,
233,35,"Sun, Mar 4, 2012",,CHA,New Jersey Nets,L,,101,104,4,31,L 5,Regular Season,2011-2012,
255,57,"Thu, Apr 12, 2012",,CHA,Detroit Pistons,L,,85,109,7,50,L 14,Regular Season,2011-2012,
264,66,"Thu, Apr 26, 2012",,CHA,New York Knicks,L,,84,104,7,59,L 23,Regular Season,2011-2012,
209,11,"Thu, Jan 12, 2012",@,CHA,Atlanta Hawks,L,,81,111,2,9,L 5,Regular Season,2011-2012,
240,42,"Thu, Mar 15, 2012",@,CHA,Dallas Mavericks,L,,96,101,6,36,L 2,Regular Season,2011-2012,
254,56,"Tue, Apr 10, 2012",@,CHA,Cleveland Cavaliers,L,,90,103,7,49,L 13,Regular Season,2011-2012,
249,51,"Tue, Apr 3, 2012",@,CHA,Toronto Raptors,L,,87,92,7,44,L 8,Regular Season,2011-2012,
223,25,"Tue, Feb 7, 2012",@,CHA,Boston Celtics,L,,84,94,3,22,L 12,Regular Season,2011-2012,
208,10,"Tue, Jan 10, 2012",,CHA,Houston Rockets,L,,70,82,2,8,L 4,Regular Season,2011-2012,
213,15,"Tue, Jan 17, 2012",@,CHA,Orlando Magic,L,,89,96,3,12,L 2,Regular Season,2011-2012,
216,18,"Tue, Jan 24, 2012",,CHA,New York Knicks,L,,78,111,3,15,L 5,Regular Season,2011-2012,
203,5,"Tue, Jan 3, 2012",@,CHA,Cleveland Cavaliers,L,,101,115,1,4,L 4,Regular Season,2011-2012,
220,22,"Tue, Jan 31, 2012",@,CHA,Los Angeles Lakers,L,,73,106,3,19,L 9,Regular Season,2011-2012,
234,36,"Tue, Mar 6, 2012",,CHA,Orlando Magic,W,,100,84,5,31,W 1,Regular Season,2011-2012,
259,61,"Wed, Apr 18, 2012",,CHA,Chicago Bulls,L,,68,100,7,54,L 18,Regular Season,2011-2012,
263,65,"Wed, Apr 25, 2012",@,CHA,Orlando Magic,L,,95,102,7,58,L 22,Regular Season,2011-2012,
250,52,"Wed, Apr 4, 2012",@,CHA,Atlanta Hawks,L,,93,120,7,45,L 9,Regular Season,2011-2012,
200,2,"Wed, Dec 28, 2011",,CHA,Miami Heat,L,,95,96,1,1,L 1,Regular Season,2011-2012,
221,23,"Wed, Feb 1, 2012",@,CHA,Portland Trail Blazers,L,,68,112,3,20,L 10,Regular Season,2011-2012,
227,29,"Wed, Feb 15, 2012",@,CHA,Minnesota Timberwolves,L,,90,102,3,26,L 16,Regular Season,2011-2012,
230,32,"Wed, Feb 22, 2012",,CHA,Indiana Pacers,L,,88,102,4,28,L 2,Regular Season,2011-2012,
231,33,"Wed, Feb 29, 2012",@,CHA,Detroit Pistons,L,,94,109,4,29,L 3,Regular Season,2011-2012,
217,19,"Wed, Jan 25, 2012",@,CHA,Washington Wizards,L,,75,92,3,16,L 6,Regular Season,2011-2012,
204,6,"Wed, Jan 4, 2012",@,CHA,New York Knicks,W,,118,110,2,4,W 1,Regular Season,2011-2012,
