Year,unitid,Institution_Name,Major,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.AI,T.AI.M,T.AI.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.C,T.C.M,T.C.F,T.AS,T.AS.M,T.AS.W,T.PI,T.PI.M,T.PI.W,T.MIX,T.MIX.M,T.MIX.M,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2008-2009,217882,Clemson University,First major,English language and literature/letters.,'23',Bachelor's degree,147,27,120,0,0,0,1,0,1,11,2,9,4,0,4,123,24,99,,,,,,,,,,7,0,7,1,1,0
2008-2009,217882,Clemson University,First major,Foreign languages- literatures- and linguistics.,'16',Bachelor's degree,56,17,39,0,0,0,2,1,1,5,1,4,0,0,0,40,13,27,,,,,,,,,,7,2,5,2,0,2
2008-2009,217882,Clemson University,First major,Physical sciences.,'40',Bachelor's degree,48,28,20,0,0,0,2,1,1,2,2,0,1,0,1,38,21,17,,,,,,,,,,5,4,1,0,0,0
2008-2009,217882,Clemson University,First major,Psychology.,'42',Bachelor's degree,163,35,128,1,0,1,4,1,3,9,1,8,1,1,0,143,32,111,,,,,,,,,,5,0,5,0,0,0
2008-2009,217882,Clemson University,First major,Social sciences.,'45',Bachelor's degree,232,138,94,1,1,0,2,2,0,14,7,7,4,3,1,183,108,75,,,,,,,,,,24,16,8,4,1,3
2008-2009,217882,Clemson University,First major,Science technologies/technicians.,'41',Bachelor's degree,26,14,12,0,0,0,0,0,0,6,2,4,0,0,0,19,12,7,,,,,,,,,,0,0,0,1,0,1
2008-2009,198419,Duke University,First major,Foreign languages- literatures- and linguistics.,'16',Bachelor's degree,11,3,8,0,0,0,0,0,0,0,0,0,0,0,0,10,3,7,,,,,,,,,,1,0,1,0,0,0
2008-2009,198419,Duke University,First major,Multi/interdisciplinary studies.,'30',Bachelor's degree,17,7,10,0,0,0,0,0,0,1,0,1,1,0,1,13,6,7,,,,,,,,,,1,1,0,1,0,1
2008-2009,198419,Duke University,First major,Psychology.,'42',Bachelor's degree,178,55,123,0,0,0,19,7,12,28,11,17,14,3,11,104,28,76,,,,,,,,,,8,4,4,5,2,3
2008-2009,198419,Duke University,First major,Social sciences.,'45',Bachelor's degree,438,248,190,4,2,2,78,39,39,56,26,30,26,12,14,230,147,83,,,,,,,,,,26,12,14,18,10,8
2008-2009,198419,Duke University,First major,Visual and performing arts.,'50',Bachelor's degree,45,10,35,0,0,0,2,1,1,3,0,3,2,1,1,32,6,26,,,,,,,,,,6,2,4,0,0,0
2008-2009,198419,Duke University,First major,Area- ethnic- cultural- and gender studies.,'05',Bachelor's degree,34,14,20,1,0,1,2,1,1,10,7,3,5,3,2,15,3,12,,,,,,,,,,0,0,0,1,0,1
2008-2009,198419,Duke University,First major,Engineering.,'14',Bachelor's degree,277,213,64,0,0,0,79,65,14,9,7,2,4,4,0,151,113,38,,,,,,,,,,17,14,3,17,10,7
2008-2009,198419,Duke University,First major,English language and literature/letters.,'23',Bachelor's degree,84,22,62,1,0,1,13,3,10,5,4,1,9,1,8,45,13,32,,,,,,,,,,8,1,7,3,0,3
2008-2009,198419,Duke University,First major,Philosophy and religious studies.,'38',Bachelor's degree,31,20,11,0,0,0,2,2,0,2,1,1,1,0,1,23,14,9,,,,,,,,,,3,3,0,0,0,0
2008-2009,198419,Duke University,First major,Physical sciences.,'40',Bachelor's degree,72,42,30,0,0,0,17,9,8,2,1,1,4,1,3,36,25,11,,,,,,,,,,6,4,2,7,2,5
2008-2009,198419,Duke University,First major,Public administration and social service professions.,'44',Bachelor's degree,145,56,89,0,0,0,24,7,17,15,5,10,7,2,5,87,37,50,,,,,,,,,,5,2,3,7,3,4
2008-2009,198419,Duke University,First major,Biological and biomedical sciences.,'26',Bachelor's degree,161,56,105,1,0,1,54,21,33,10,3,7,8,1,7,63,23,40,,,,,,,,,,17,7,10,8,1,7
2008-2009,198419,Duke University,First major,Computer and information sciences and support services.,'11',Bachelor's degree,22,19,3,0,0,0,7,6,1,1,1,0,1,1,0,11,10,1,,,,,,,,,,1,1,0,1,0,1
2008-2009,198419,Duke University,First major,Health professions and related clinical sciences.,'51',Bachelor's degree,66,4,62,1,0,1,3,0,3,1,0,1,4,0,4,55,4,51,,,,,,,,,,1,0,1,1,0,1
2008-2009,198419,Duke University,First major,Mathematics and statistics.,'27',Bachelor's degree,28,22,6,0,0,0,7,6,1,3,2,1,1,1,0,14,11,3,,,,,,,,,,3,2,1,0,0,0
2008-2009,198419,Duke University,First major,Natural resources and conservation.,'03',Bachelor's degree,16,6,10,0,0,0,1,1,0,0,0,0,1,0,1,10,4,6,,,,,,,,,,4,1,3,0,0,0
2008-2009,134097,Florida State University,First major,Biological and biomedical sciences.,'26',Bachelor's degree,292,115,177,1,0,1,17,9,8,25,7,18,52,23,29,188,74,114,,,,,,,,,,4,1,3,5,1,4
2008-2009,134097,Florida State University,First major,Communication- journalism- and related programs.,'09',Bachelor's degree,298,62,236,0,0,0,9,1,8,28,3,25,34,9,25,222,48,174,,,,,,,,,,0,0,0,5,1,4
2008-2009,134097,Florida State University,First major,Computer and information sciences and support services.,'11',Bachelor's degree,151,128,23,2,2,0,13,9,4,27,23,4,22,20,2,84,71,13,,,,,,,,,,1,1,0,2,2,0
2008-2009,134097,Florida State University,First major,English language and literature/letters.,'23',Bachelor's degree,437,170,267,2,1,1,21,11,10,61,16,45,44,21,23,304,117,187,,,,,,,,,,4,3,1,1,1,0
2008-2009,134097,Florida State University,First major,Foreign languages- literatures- and linguistics.,'16',Bachelor's degree,71,31,40,0,0,0,2,0,2,4,4,0,8,2,6,57,25,32,,,,,,,,,,0,0,0,0,0,0
2008-2009,134097,Florida State University,First major,Health professions and related clinical sciences.,'51',Bachelor's degree,389,45,344,2,0,2,10,3,7,58,6,52,32,2,30,281,33,248,,,,,,,,,,2,1,1,4,0,4
2008-2009,134097,Florida State University,First major,Liberal arts and sciences- general studies and humanities.,'24',Bachelor's degree,53,15,38,2,0,2,0,0,0,4,1,3,7,4,3,39,10,29,,,,,,,,,,0,0,0,1,0,1
2008-2009,134097,Florida State University,First major,Security and protective services.,'43',Bachelor's degree,349,203,146,0,0,0,9,4,5,59,20,39,34,20,14,244,158,86,,,,,,,,,,2,0,2,1,1,0
2008-2009,134097,Florida State University,First major,History,'54',Bachelor's degree,100,63,37,1,1,0,3,1,2,5,2,3,13,9,4,78,50,28,,,,,,,,,,0,0,0,0,0,0
2008-2009,134097,Florida State University,First major,Visual and performing arts.,'50',Bachelor's degree,467,173,294,2,1,1,8,2,6,41,15,26,31,11,20,382,143,239,,,,,,,,,,2,1,1,1,0,1
2008-2009,134097,Florida State University,First major,Parks- recreation- leisure- and fitness studies.,'31',Bachelor's degree,328,109,219,1,0,1,15,4,11,51,13,38,33,12,21,223,78,145,,,,,,,,,,3,1,2,2,1,1
2008-2009,134097,Florida State University,First major,Psychology.,'42',Bachelor's degree,345,79,266,5,2,3,8,1,7,35,5,30,46,11,35,247,60,187,,,,,,,,,,2,0,2,2,0,2
