Year,unitid,Institution_Name,Major,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.AI,T.AI.M,T.AI.F,T.AS,T.AS.M,T.AS.W,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.PI,T.PI.M,T.PI.F,T.C,T.C.M,T.C.F,T.MIX,T.MIX.M,T.MIX.M,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F
2010-2011,134097,Florida State University,First major,Physical Sciences,'40',Bachelor's degree,102,74,28,1,0,1,6,3,3,10,8,2,5,3,2,0,0,0,76,58,18,0,0,0,1,0,1,3,2,1,6,3,3
2010-2011,134097,Florida State University,First major,Public Administration and Social Service Professions,'44',Bachelor's degree,88,15,73,1,1,0,2,0,2,22,4,18,9,2,7,0,0,0,54,8,46,0,0,0,0,0,0,0,0,0,2,0,2
2010-2011,134130,University of Florida,First major,Area- Ethnic- Cultural- Gender- and Group Studies,'05',Bachelor's degree,20,0,20,0,0,0,1,0,1,6,0,6,1,0,1,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,1,0,1
2010-2011,134130,University of Florida,First major,Communication- Journalism- and Related Programs,'09',Bachelor's degree,619,154,465,2,0,2,25,9,16,74,14,60,97,19,78,1,0,1,395,103,292,1,0,1,18,8,10,6,1,5,26,9,17
2010-2011,134130,University of Florida,First major,Multi/Interdisciplinary Studies,'30',Bachelor's degree,78,47,31,0,0,0,17,10,7,2,1,1,9,4,5,0,0,0,49,32,17,0,0,0,1,0,1,0,0,0,17,10,7
2010-2011,134130,University of Florida,First major,Natural Resources and Conservation,'03',Bachelor's degree,116,52,64,2,1,1,3,2,1,1,0,1,20,11,9,0,0,0,88,38,50,0,0,0,2,0,2,0,0,0,3,2,1
2010-2011,135726,University of Miami,First major,Business- Management- Marketing- and Related Support Services,'52',Bachelor's degree,446,266,180,1,0,1,7,2,5,19,11,8,89,41,48,0,0,0,227,145,82,3,1,2,34,20,14,66,46,20,7,2,5
2010-2011,135726,University of Miami,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,12,9,3,0,0,0,0,0,0,1,1,0,5,4,1,0,0,0,5,4,1,0,0,0,0,0,0,1,0,1,0,0,0
2010-2011,122755,San Jose State University,First major,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,150,73,77,2,0,2,49,26,23,8,5,3,23,10,13,2,2,0,49,23,26,0,0,0,11,4,7,6,3,3,51,28,23
2010-2011,122755,San Jose State University,First major,Social Sciences,'45',Bachelor's degree,315,140,175,0,0,0,56,23,33,19,11,8,65,24,41,4,2,2,129,64,65,13,3,10,24,11,13,5,2,3,60,25,35
2010-2011,123961,University of Southern California,First major,Engineering,'14',Bachelor's degree,409,298,111,0,0,0,95,71,24,9,7,2,48,34,14,0,0,0,170,128,42,31,18,13,14,10,4,42,30,12,95,71,24
2010-2011,123961,University of Southern California,First major,Mathematics and Statistics,'27',Bachelor's degree,39,27,12,0,0,0,3,3,0,1,0,1,2,0,2,1,1,0,22,17,5,3,2,1,1,1,0,6,3,3,4,4,0
2010-2011,123961,University of Southern California,First major,Natural Resources and Conservation,'03',Bachelor's degree,26,9,17,0,0,0,7,2,5,1,1,0,4,0,4,0,0,0,10,4,6,2,2,0,1,0,1,1,0,1,7,2,5
2010-2011,123961,University of Southern California,First major,Philosophy and Religious Studies,'38',Bachelor's degree,43,24,19,0,0,0,4,2,2,4,1,3,4,2,2,0,0,0,26,15,11,3,2,1,2,2,0,0,0,0,4,2,2
2010-2011,123961,University of Southern California,First major,Physical Sciences,'40',Bachelor's degree,32,18,14,0,0,0,3,2,1,0,0,0,4,4,0,0,0,0,22,10,12,1,1,0,2,1,1,0,0,0,3,2,1
2010-2011,123961,University of Southern California,First major,Public Administration and Social Service Professions,'44',Bachelor's degree,141,88,53,0,0,0,15,8,7,5,1,4,23,14,9,1,1,0,85,54,31,7,6,1,2,2,0,3,2,1,16,9,7
