Year,unitid,Institution_Name,CIP_Classificaiton,Award_Level,Total,T.M,T.F
1987-1988,122755,San Jose State University,Physical Sciences,Bachelor's degree,71,54,17
1987-1988,122755,San Jose State University,Allied Health,Bachelor's degree,72,4,68
1987-1988,122755,San Jose State University,Area- Ethnic and Cultural Studies,Bachelor's degree,1,0,1
1987-1988,122755,San Jose State University,Business and Management,Bachelor's degree,904,433,471
1987-1988,122755,San Jose State University,Foreign Languages and Literatures,Bachelor's degree,22,7,15
1987-1988,122755,San Jose State University,Health Sciences,Bachelor's degree,125,9,116
1987-1988,122755,San Jose State University,Multi/Interdisciplinary Studies,Bachelor's degree,24,11,13
1987-1988,122755,San Jose State University,Protective Services,Bachelor's degree,67,44,23
1987-1988,122755,San Jose State University,Psychology,Bachelor's degree,116,34,82
1987-1988,122755,San Jose State University,Social Sciences and History,Bachelor's degree,256,110,146
1987-1988,228246,Southern Methodist University,Allied Health,Bachelor's degree,2,1,1
1987-1988,228246,Southern Methodist University,Engineering-Related Technologies,Bachelor's degree,5,4,1
1987-1988,228246,Southern Methodist University,English Language and Literature/Letters,Bachelor's degree,62,16,46
1987-1988,228246,Southern Methodist University,Foreign Languages and Literatures,Bachelor's degree,30,3,27
1987-1988,228246,Southern Methodist University,Mathematics,Bachelor's degree,26,11,15
1987-1988,228246,Southern Methodist University,Psychology,Bachelor's degree,74,21,53
1987-1988,228246,Southern Methodist University,Social Sciences and History,Bachelor's degree,292,179,113
1987-1988,228246,Southern Methodist University,Communications,Bachelor's degree,234,70,164
1987-1988,228246,Southern Methodist University,Education,Bachelor's degree,20,10,10
1987-1988,228246,Southern Methodist University,Engineering,Bachelor's degree,107,91,16
1987-1988,228246,Southern Methodist University,Philosophy and Religion,Bachelor's degree,9,5,4
1987-1988,228246,Southern Methodist University,Physical Sciences,Bachelor's degree,21,14,7
1987-1988,228246,Southern Methodist University,Protective Services,Bachelor's degree,5,0,5
1987-1988,228246,Southern Methodist University,Visual and Performing Arts,Bachelor's degree,120,31,89
1987-1988,228246,Southern Methodist University,Area- Ethnic and Cultural Studies,Bachelor's degree,11,5,6
1987-1988,228246,Southern Methodist University,Biological Science/Life Sciences,Bachelor's degree,28,14,14
1987-1988,228246,Southern Methodist University,Computer and Information Sciences,Bachelor's degree,15,11,4
1987-1988,228246,Southern Methodist University,Business and Management,Bachelor's degree,388,222,166
