Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1994-1995,100858,Auburn University,Bachelor's degree,Marketing Opers./Market. and Distribution,'08.0000',23,0,23,22,0,22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,Mathematics,'27.0000',32,13,19,29,12,17,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
1994-1995,100858,Auburn University,Bachelor's degree,Parks- Recreation- Leisure and Fitness,'31.0000',12,8,4,11,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1994-1995,100858,Auburn University,Bachelor's degree,Physical Sciences,'40.0000',36,28,8,31,25,6,2,2,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,Psychology,'42.0000',168,54,114,154,52,102,10,2,8,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,Public Administration and Services,'44.0000',50,10,40,43,9,34,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,Science Technologies,'41.0000',17,6,11,11,5,6,5,1,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,Visual and Performing Arts,'50.0000',107,64,43,103,61,42,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0
1994-1995,122755,San Jose State University,Bachelor's degree,Business Management and Admin. Services,'52.0000',1011,472,539,468,242,226,25,14,11,73,32,41,303,112,191,4,2,2,82,45,37,56,25,31
1994-1995,122755,San Jose State University,Bachelor's degree,Education,'13.0000',178,29,149,128,21,107,2,0,2,17,1,16,19,5,14,0,0,0,11,2,9,1,0,1
1994-1995,122755,San Jose State University,Bachelor's degree,English Language and Literature/Letters,'23.0000',144,50,94,98,29,69,4,1,3,14,8,6,10,7,3,0,0,0,17,5,12,1,0,1
1994-1995,122755,San Jose State University,Bachelor's degree,Health Professions and Related Sciences,'51.0000',325,37,288,187,23,164,10,0,10,24,3,21,82,6,76,1,0,1,17,5,12,4,0,4
1994-1995,122755,San Jose State University,Bachelor's degree,Physical Sciences,'40.0000',49,33,16,22,13,9,1,1,0,2,2,0,11,8,3,0,0,0,5,4,1,8,5,3
1994-1995,122755,San Jose State University,Bachelor's degree,Visual and Performing Arts,'50.0000',331,133,198,199,78,121,3,2,1,16,4,12,65,25,40,2,1,1,36,18,18,10,5,5
1994-1995,123961,University of Southern California,Bachelor's degree,Communications,'09.0000',292,112,180,219,87,132,19,9,10,18,5,13,20,5,15,2,0,2,7,2,5,7,4,3
1994-1995,123961,University of Southern California,Bachelor's degree,Education,'13.0000',52,2,50,31,1,30,1,0,1,10,1,9,9,0,9,0,0,0,1,0,1,0,0,0
1994-1995,131496,Georgetown University,Bachelor's degree,Physical Sciences,'40.0000',25,19,6,16,12,4,1,0,1,0,0,0,3,2,1,0,0,0,0,0,0,5,5,0
1994-1995,131496,Georgetown University,Bachelor's degree,Psychology,'42.0000',94,23,71,66,15,51,11,2,9,7,2,5,5,2,3,0,0,0,0,0,0,5,2,3
1994-1995,134097,Florida State University,Bachelor's degree,Education,'13.0000',528,114,414,463,101,362,32,7,25,25,4,21,6,1,5,2,1,1,0,0,0,0,0,0
1994-1995,134097,Florida State University,Bachelor's degree,Foreign Languages and Literatures,'16.0000',60,20,40,47,14,33,3,1,2,7,2,5,2,2,0,0,0,0,0,0,0,1,1,0
1994-1995,134097,Florida State University,Bachelor's degree,Home Economics,'19.0000',282,36,246,248,28,220,20,2,18,7,1,6,5,4,1,1,0,1,0,0,0,1,1,0
1994-1995,134097,Florida State University,Bachelor's degree,Philosophy and Religion,'38.0000',22,19,3,19,16,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,134097,Florida State University,Bachelor's degree,Social Sciences and History,'45.0000',785,474,311,676,422,254,50,25,25,39,16,23,11,6,5,5,2,3,0,0,0,4,3,1
1994-1995,134130,University of Florida,Bachelor's degree,Business Management and Admin. Services,'52.0000',897,544,353,747,471,276,35,10,25,56,31,25,30,17,13,1,1,0,0,0,0,28,14,14
1994-1995,134130,University of Florida,Bachelor's degree,Communications,'09.0000',575,220,355,471,182,289,46,15,31,41,15,26,10,3,7,1,1,0,0,0,0,6,4,2
1994-1995,134130,University of Florida,Bachelor's degree,Foreign Languages and Literatures,'16.0000',74,32,42,53,25,28,5,1,4,9,5,4,3,0,3,0,0,0,2,1,1,2,0,2
1994-1995,134130,University of Florida,Bachelor's degree,Health Professions and Related Sciences,'51.0000',347,85,262,307,72,235,10,2,8,16,8,8,9,3,6,0,0,0,0,0,0,5,0,5
1994-1995,134130,University of Florida,Bachelor's degree,Multi/Interdisciplinary Studies,'30.0000',49,27,22,31,16,15,1,1,0,3,1,2,14,9,5,0,0,0,0,0,0,0,0,0
1994-1995,134130,University of Florida,Bachelor's degree,Parks- Recreation- Leisure and Fitness,'31.0000',116,33,83,100,28,72,8,3,5,5,1,4,2,1,1,0,0,0,0,0,0,1,0,1
1994-1995,134130,University of Florida,Bachelor's degree,Philosophy and Religion,'38.0000',24,16,8,18,14,4,2,1,1,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0
1994-1995,134130,University of Florida,Bachelor's degree,Protective Services,'43.0000',115,72,43,95,58,37,9,5,4,10,8,2,1,1,0,0,0,0,0,0,0,0,0,0
1994-1995,135726,University of Miami,Bachelor's degree,Area- Ethnic and Cultural Studies,'05.0000',2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,135726,University of Miami,Bachelor's degree,Business Management and Admin. Services,'52.0000',387,240,147,194,132,62,20,11,9,89,41,48,14,8,6,0,0,0,7,5,2,63,43,20
1994-1995,135726,University of Miami,Bachelor's degree,Foreign Languages and Literatures,'16.0000',13,3,10,4,1,3,1,0,1,8,2,6,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,135726,University of Miami,Bachelor's degree,Health Professions and Related Sciences,'51.0000',76,14,62,42,9,33,12,0,12,17,4,13,2,1,1,1,0,1,0,0,0,2,0,2
1994-1995,135726,University of Miami,Bachelor's degree,Law and Legal Studies,'22.0000',10,7,3,7,5,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1
1994-1995,135726,University of Miami,Bachelor's degree,Social Sciences and History,'45.0000',113,46,67,73,32,41,4,1,3,34,12,22,1,1,0,0,0,0,0,0,0,1,0,1
1994-1995,139959,University of Georgia,Bachelor's degree,Architecture and Related Programs,'04.0000',53,44,9,50,41,9,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1994-1995,139959,University of Georgia,Bachelor's degree,Business Management and Admin. Services,'52.0000',1148,686,462,1027,634,393,47,13,34,6,3,3,25,11,14,2,2,0,0,0,0,41,23,18
1994-1995,139959,University of Georgia,Bachelor's degree,Conservation and Renew. Natural Resources,'03.0000',66,58,8,65,57,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
