,player,season,salary,agency,agent,salary_amnesty,league,team,player_off_roster_13_14,id_contract_type
883,Patrick Christopher,2014-2015,1016482,Relativity Sports,Chris Patrick,FALSE,nba,Bulls,FALSE,QO
944,Richard Hamilton,2013-2014,333334,Creative Artists Agency,Leon Rose,FALSE,nba,Bulls,TRUE,G
945,Richard Hamilton,2014-2015,333334,Creative Artists Agency,Leon Rose,FALSE,nba,Bulls,TRUE,G
946,Richard Hamilton,2015-2016,333334,Creative Artists Agency,Leon Rose,FALSE,nba,Bulls,TRUE,G
1047,Taj Gibson,2013-2014,7550000,Priority Sports & Entertainment,Mark Bartelstein,FALSE,nba,Bulls,FALSE,G
1048,Taj Gibson,2014-2015,8000000,Priority Sports & Entertainment,Mark Bartelstein,FALSE,nba,Bulls,FALSE,G
1049,Taj Gibson,2015-2016,8500000,Priority Sports & Entertainment,Mark Bartelstein,FALSE,nba,Bulls,FALSE,G
1050,Taj Gibson,2016-2017,8950000,Priority Sports & Entertainment,Mark Bartelstein,FALSE,nba,Bulls,FALSE,G
1102,Tony Snell,2013-2014,1409040,Lagardere Unlimited,Mitchell Butler,FALSE,nba,Bulls,FALSE,G
1103,Tony Snell,2014-2015,1472400,Lagardere Unlimited,Mitchell Butler,FALSE,nba,Bulls,FALSE,G
1104,Tony Snell,2015-2016,1535880,Lagardere Unlimited,Mitchell Butler,FALSE,nba,Bulls,FALSE,TO
1105,Tony Snell,2016-2017,2368327,Lagardere Unlimited,Mitchell Butler,FALSE,nba,Bulls,FALSE,TO
1106,Tony Snell,2017-2018,3393813,Lagardere Unlimited,Mitchell Butler,FALSE,nba,Bulls,FALSE,QO
31,Alonzo Gee,2013-2014,3250000,Relativity Sports,Happy Walters,FALSE,nba,Cavaliers,FALSE,G
32,Alonzo Gee,2014-2015,3000000,Relativity Sports,Happy Walters,FALSE,nba,Cavaliers,FALSE,U
37,Anderson Varejao,2013-2014,9036364,Relativity Sports,Dan Fegan,FALSE,nba,Cavaliers,FALSE,G
38,Anderson Varejao,2014-2015,9704545,Relativity Sports,Dan Fegan,FALSE,nba,Cavaliers,FALSE,U
63,Andrew Bynum,2013-2014,12250000,David Lee Services,David Lee,FALSE,nba,Cavaliers,FALSE,U
