id_sport,id_division,id_conference,team_name,,variable,value,Column
,,,,,school_name,University Of Louisiana At Lafayette,
,,,,,stadium_name,Cajun Field,
,,,,,principal_owner,University Of Louisiana At Lafayette,
,,,,,team_stadium_update,"In May 2013, Ul Officially Announced The $115 Million Master Plan For The Program-wide Renovations And Expansion Of Their Athletics Facilities, Including Cajun Field . The Plans Call For Additional Seating And Luxury Boxes. In Addition, The Plan Is To Leave An Area South Of The Field Open For Green Space.",
,,,,,naming_rights,"The University Owns The Naming Rights To The Stadium, Which Is Named After The School Nickname.",
,,,,,team_name,Louisianaâ€“monroe Warhawks,
,,,,,school_name,University Of Louisiana At Monroe,
,,,,,year_team_established,1931,
,,,,,stadium_name,Malone Stadium,
,,,,,principal_owner,University Of Louisiana At Monroe,
,,,,,naming_rights,"Malone Stadium Is Named For James Malone, The Winningest Coach In School History.",
,,,,,team_name,South Alabama Jaguars,
,,,,,school_name,University Of South Alabama,
,,,,,year_team_established,2009,
,,,,,stadium_name,Ladd-peebles Stadium,
,,,,,principal_owner,"City Of Mobile, Alabama",
,,,,,stadium_date_built,1948,
,,,,,facility_cost,$10 Million In Renovations,
,,,,,facility_financing,"100% Privately Financed By A Local Banker Who Wanted To Honor His Mentor, Ernest F. Ladd.",
,,,,,naming_rights,The City Of Mobile Owns The Naming Rights To The Stadium.,
,,,,,team_name,Texas State Bobcats,
,,,,,school_name,Texas State University,
,,,,,stadium_name,Jim Wacker Field At Bobcat Stadium,
,,,,,principal_owner,Texas State University,
,,,,,stadium_date_built,1981,
,,,,,naming_rights,Texas State University Owns The Naming Rights To The Stadium.,
,,,,,team_name,Troy Trojans,
,,,,,school_name,Troy University,
,,,,,stadium_name,Veterans Memorial Stadium,
,,,,,principal_owner,Troy University,
,,,,,facility_financing,100% University Financed Through Donations And Gifts,
,,,,,team_stadium_update,"Plans To Renovate Veterans Memorial Stadium Were Announced In 2012. The Proposed Expansion Will Include Football Locker Rooms, A Weight Room, Meeting Rooms, Ten To Fourteen Suites, Administrative Offices, Video And Technological Areas, A Recruiting Lounge, And An Academic Center.",
,,,,,naming_rights,"Troy University Owns The Naming Rights To The Stadium, Which Reverted To Its Original Name When The Naming Rights Deal With Movie Gallery Ceased.",
,,,,,team_name,Western Kentucky Hilltoppers,
,,,,,school_name,Western Kentucky University,
,,,,,year_team_established,1908,
,,,,,stadium_name,Houchens Industries â€“ L.T. Smith Stadium,
,,,,,principal_owner,Western Kentucky University,
,,,,,naming_rights,"On July 19, 2007, Wku Reported That Houchens Industries, A Long-time Corporate Support Of Wku, Made A $5 Million Commitment To The Expansion And Renovation Project For The Football Stadium; The University Renamed The Stadium.",
,,,,,bowl_series,Bcs,
,,,,,bcs_update,"In June 2012, The Bcs Committee Unveiled A New Postseason Format. The Committee Announced A New, Four-team, Seeded Playoff. The Championship Game Will Be Managed By The Conferences And Will Not Be A Bowl Game. A Selection Committee Will Rank Teams To Play In The Playoffs. All Teams Will Be Given Equal Opportunity To Participate. There Will Not Be An Automatic Qualification Designation. When Deciding Which Teams Will Participate In The Playoff Games, The Committee Will Consider Factors Such As Strength Of Schedule, Win-loss Record, And Whether A Team Is A Conference Champion, Among Others. The New Format Will Being In The 2014â€“15 Season And Will Cover A Twelve-year Term Through The 2025â€“26 Season.",
,,,,,bowl_game,Bcs National Championship Game,
,,,,,official_bowl_name,Bcs National Championship Game,
,,,,,year_bowl_established,1998,
,,,,,bowl_website,,
,,,,,stadium_name,"Under The New Format, The National Championship Game Will Rotate Between Six Locations. The First Host Will Be The Cotton Bowl Played At Cowboys Stadium In Arlington, Texas. Future Hosts Include The Chick-fil-a Bowl, The Fiesta Bowl, The Orange Bowl, And The Sugar Bowl.",
,,,,,bowl_game,Chick-fil-a Bowl,
,,,,,official_bowl_name,Chick-fil-a Bowl,
,,,,,year_bowl_established,1968,
,,,,,stadium_name,Georgia Dome,
,,,,,principal_owner,State Of Georgia,
,,,,,stadium_date_built,1992,
,,,,,facility_cost,$214 Million; $300 Million In Renovations In 2006,
,,,,,public_financing,77%,
,,,,,facility_financing,77% Public; 23% Private,
,,,,,naming_rights,The State Of Georgia Owns The Naming Rights To The Georgia Dome.,
,,,,,bowl_game,Cotton Bowl,
,,,,,official_bowl_name,The At&t Cotton Bowl,
,,,,,year_bowl_established,1937,
,,,,,bowl_website,,
,,,,,stadium_name,Cowboys Stadium,
,,,,,principal_owner,City Of Arlington,
,,,,,facility_cost,$1.2 Billion,
,,,,,public_financing,27%,
,,,,,facility_financing,"$325 Million Finaced By The Public, $150 Million Financed By The Nfl, And $525 Million Financed By The Dallas Cowboys.",
,,,,,naming_rights,The Dallas Cowboys Own The Naming Rights To Cowboys Stadium.,
,,,,,bowl_game,Fiesta Bowl,
,,,,,official_bowl_name,Tostitos Fiesta Bowl,
,,,,,year_bowl_established,1971,
,,,,,stadium_name,University Of Phoenix Stadium,
,,,,,principal_owner,Arizona Sports & Tourism Authority (global Spectrum),
,,,,,stadium_date_built,2006,
,,,,,facility_cost,$455 Million,
,,,,,public_financing,2%,
,,,,,facility_financing,"The Nflâ€™s Arizona Cardinals Contributed $147 Million, The Arizona Sports And Tourism Authority Contributed More Than $298 Million, And The City Of Glendale, Arizona Contributed $9.5 Million.",
,,,,,team_stadium_update,"In July 2012, The University Of Phoenix Stadium Received The International Association Of Venue Managers (iavm) Venue Excellence Award For Stadiums â€“ International Award.",
,,,,,naming_rights,The University Of Phoenix Acquired The Naming Rights To The Stadium In 2006. The Deal Is Worth $154.5 Million Over Twenty Years And Is Set To Expire In 2027.,
,,,,,bowl_game,Orange Bowl,
,,,,,official_bowl_name,Discover Orange Bowl,
,,,,,year_bowl_established,1935,
,,,,,facility_cost,$115 Million,
,,,,,facility_financing,90% Privately Funded With Money Generated By Leasing Luxury Boxes And Clubhouse Seats. The Remaining 10% Came From The State Of Florida.,
,,,,,team_stadium_update,"The Orange Bowl Is Part Of The Bcs National Championship Game Rotation. It Hosted The Bcs National Championship Game In 2013. In March 2013, The Florida State Government Approved A Bill That Will Provide A $3 Million Per Year Tax Rebate And County Wide One-cent Tax Increase In Order To Help Fund Renovation Projects At Sun Life Stadium. The Upgrades Are Expected To Include The Addition Of A Canopy Over The Stadium, Increased Seating, And The Addition Of New Video Board Around The Stadium. In May 2013, The Expected Renovations Were Halted By The Florida State Government By Rejecting A Bill That Included A Bid For Public Financing.",
,,,,,naming_rights,"In 2010, Sun Life Stadiumâ€™s Principal Entered Into A Five-year Contract With Sun Life Financial For The Naming Rights To The Stadium. The Contract Will Pay $7.5 Million Per Year For The Naming Rights.",
,,,,,bowl_game,Rose Bowl,
,,,,,official_bowl_name,The Rose Bowl GameÂ® Presented By Vizio,
,,,,,year_bowl_established,1902,
,,,,,principal_owner,"City Of Pasadena, California",
,,,,,team_stadium_update,"The Rose Bowl Is Part Of The Bcs National Championship Rotation. The Rose Bowl Will Host The Bcs National Championship In 2014. Currently, The Rose Bowl Is Undergoing $180 Million In Renovations. As Of February 2013, The Project Was Still Focusing On Completing The Press Box And Pavilion Areas. In Addition, Foundations And Underground Utilities Have Been Added To The West Side Restrooms.",
,,,,,naming_rights,"The City Of Pasadena Owns The Naming Rights To The Stadium And It Was Named â€œrose Bowlâ€ù By Police Reporter Harlan W. Hall, Who Had The Yale Bowl In Mind When Thinking Of How An Expanded Structure Would Look.",
,,,,,bowl_game,Sugar Bowl,
,,,,,official_bowl_name,Allstate Sugar Bowl,
,,,,,bowl_website,,
,,,,,naming_rights,Mercedes-benz Obtained The Naming Rights For The Superdome In A Ten-year Deal That Is Expected To Expire In 2020. Terms Of The Deal Have Not Been Released.,
