id_sport,id_division,id_conference,team_name,,variable,value,Column
,,,,,facility_financing,The University Was Responsible For The Stadium Financing Through Donations And Contributions From Alumni.,
,,,,,team_stadium_update,"Virginia Tech Is In The Process Of Installing A 48.2 Feet Tall By 108.2 Feet Wide High Definition Led Replacement Of Their Current Video Board. Installation Is Set To Be Complete Before The 2013 Season And Cost Approximately $3 Million. Additionally, The Sound System In Lane Stadium Will Be Upgraded As Well.",
,,,,,naming_rights,"The Stadium Is Named For The Late Edward H. Lane, A Graduate Of The University. Lane Led An Educational Foundation Project That Raised More Than $3 Million For The Original Construction. The Field Was Named Worsham Field In 1992, To Honor Wes And Janet Worsham, Who Donated $1 Million To The University's Second Century Campaign.",
,,,,,team_name,Wake Forest Demon Deacons,
,,,,,school_name,Wake Forest University,
,,,,,stadium_name,Bb&t Field,
,,,,,principal_owner,Wake Forest University,
,,,,,stadium_date_built,1968,
,,,,,facility_cost,$4 Million; $48 Million In Renovations,
,,,,,facility_financing,Wake Forest University Completely Financed The Stadium.,
,,,,,team_stadium_update,"Wake Forest University Is Still Involved In A Seven-phase Upgrade To The Football Stadium And Surrounding Area. Three Phases Remain To Be Completed; All Are Subject To Funding. The First Phase Is To Upgrade Deacon Hill, A Fan Interaction Area. Next, The Renovation Will Include Remodeling The Locker Room Areas. Lastly, The Renovations Will Upgrade Tailgating Areas Around The Stadium.",
,,,,,naming_rights,Bb&t Bank Owns The Naming Rights To The Demon Deaconâ€™s Field.,
,,,,,cfb_conference,Big 12 Conference,
,,,,,team_name,Baylor Bears,
,,,,,school_name,Baylor University,
,,,,,year_team_established,1899,
,,,,,stadium_name,Floyd Casey Stadium,
,,,,,principal_owner,Baylor University,
,,,,,facility_cost,$1.5 Million,
,,,,,facility_financing,A Bond Sales Program Raised $1.5 Million For The Costs.,
,,,,,team_stadium_update,"As Baylor University Is Currently Constructing A New Football Stadium, Preliminarily Named Baylor Stadium, The City Of Waco Has Informed Baylor That Unless They Can Find A Use For Floyd Casey Stadium, The Likely Result Will Be The Tearing Down Of Said Stadium. As For The New Stadium, An Update In October 2012 Noted That Sewer And Utility Lines Were Installed. As For Seat Licenses, Baylor University Announced In December 2012 That The Seats Were Selling Fast, With A Limited Number Still Available.",
,,,,,naming_rights,"Originally Named Baylor Stadium, In 1989, The Stadium Was Renamed Floyd Casey Stadium After Longtime University Supporter And Trustee Carl B. Casey And His Wife Contributed $5 Million Of An $8 Million Renovation Project In Honor Of His Father Floyd.",
,,,,,team_name,Iowa State Cyclones,
,,,,,school_name,Iowa State University,
,,,,,stadium_name,Jack Trice Stadium,
,,,,,principal_owner,Iowa State University,
,,,,,stadium_date_built,1975,
,,,,,facility_cost,$7.6 Million,
,,,,,facility_financing,100% Privately Financed,
,,,,,team_stadium_update,"In 2007, Iowa State Announced A Renovation Plan To Jack Trice Stadium. Although Phase I Was Completed In 2007, Phase Ii Still Lacks The Necessary Funding To Commence. During This Phase Of The Renovation, Iowa State Is Expected To Close Off The End Zone And Make The Horseshoe Stadium A Bowl. Also, Officials Announced A Remodeling Of All Concessions And Restrooms.",
,,,,,naming_rights,"The Stadium Is Named In Honor Of Jack Trice, Iowa Stateâ€™s First African- American Athlete.",
,,,,,team_name,Kansas Jayhawks,
,,,,,school_name,The University Of Kansas,
,,,,,stadium_name,Memorial Stadium,
,,,,,principal_owner,The University Of Kansas,
,,,,,stadium_date_built,1921,
,,,,,facility_cost,"$275,000 ",
,,,,,facility_financing,"Funding Started With Colonel John Mccook, Who Donated $2,500 To Start A Funding Drive. In 1920, Students And Faculty Started A Drive To Build A New Facility And Collected More Than $200,000 To Build What Would Eventually Become The First Concrete Structure.",
,,,,,team_stadium_update,"In July 2012, Kansas Ad Sheahon Zenger Announced That Memorial Stadium Would Be Getting A Makeover. Among The Discussed Changes Are Removal Of The Track Around The Field, The Addition Of More Bleacher Seating, And The Addition Of More Suites. As Of Right Now, There Is No Date Set To Start Renovations, But The School Is Firmly In The Discussion Phase For The Changes.",
,,,,,naming_rights,"The Stadium Has Had Several Names, But Kansas Ultimately Changed The Name To Memorial And Dedicated The Stadium To The Students Who Fought And Died In World War I.",
,,,,,team_name,Kansas State Wildcats,
,,,,,school_name,Kansas State University,
,,,,,stadium_name,Bill Snyder Family Stadium,
,,,,,principal_owner,Kansas State University,
,,,,,facility_cost,$1.6 Million,
,,,,,facility_financing,"The Stadium Was 100% Privately Financed Through Student Fees, Athletics Gate Receipts, And Contributions.",
,,,,,team_stadium_update,"Continuing In 2012 And 2013 Are Phase Ii And Iii Of The Stadium Renovation. Phase Ii Includes Upgrading Concessions And Restrooms, And Renovating Seating. Also, A New Team Store, Hall Of Fame, And Ticket Office Will Be Added. Phase Iii Will Include The Addition Of A Strength And Conditioning Center. Also, A New Recruiting Lunge Will Be Added.",
,,,,,naming_rights,"In 2005, The Stadium Was Renamed In Honor Of Legendary Head Football Coach Bill Snyder By A Proclamation Of The Kansas Board Of Regents.",
,,,,,team_name,Oklahoma Sooners,
,,,,,school_name,The University Of Oklahoma,
,,,,,stadium_name,Gaylord Family - Oklahoma Memorial Stadium,
,,,,,principal_owner,The University Of Oklahoma,
,,,,,stadium_date_built,1925,
,,,,,facility_cost,"$293,000 ",
,,,,,facility_financing,"In 1921, University Students Started A Movement For Construction Of A Student Union. By 1925, The Idea Grew To Include A Combined Football Stadium And Union.",
,,,,,naming_rights,The Stadium Was Originally Named Oklahoma Memorial Stadium To Honor University-associated Persons Who Died In World War I. The Stadium Underwent A Name Change After The Gaylord Family Donated $50 Million Toward Renovations.,
,,,,,team_name,Oklahoma State Cowboys,
,,,,,school_name,Oklahoma State University,
,,,,,stadium_name,Boone Pickens Stadium,
,,,,,principal_owner,Oklahoma State University,
,,,,,stadium_date_built,1913; Renovations In 2003 And 2008,
,,,,,facility_cost,$260 Million In Renovations.,
,,,,,facility_financing,"The Facility Was 100% Privately Financed. The Stadium Was Rededicated In 2009 After An Aggressive Fundraising Effort Led By Boone Pickens. He Made A $70 Million Gift And Spurred The â€œnext Level Campaign,â€ù Which Generated More Than $100 Million In Gifts And Pledges. Pickens Capped The Effort In 2005 With A Monumental Gift Of $165 Million.",
,,,,,naming_rights,"Oklahoma State Owns The Naming Rights. The Stadium Is Named After Boone Pickens In Recognition Of His Generous Donations To The Universityâ€™s Athletic Department, One Of Which Was The Single Largest Gift To An Athletics Department Ever.",
,,,,,team_name,Tcu Horned Frogs,
,,,,,school_name,Texas Christian University,
,,,,,stadium_name,Amon G. Carter Stadium,
,,,,,principal_owner,Texas Christian University,
,,,,,stadium_date_built,1930,
,,,,,facility_cost,"$350,000; $164 Million In Renovations",
,,,,,facility_financing,"The Facility Was 100% Privately Financed When Amon G. Carter Began A Quiet Campaign To Raise The Money For A Stadium That Would Seat Roughly 30,000. Fort Worth Residents Were Set To Raise 60% Of The Money For The Stadium. Eventually The Sides Settled On Selling Mortgage Bonds To Construct A $350,000 Stadium That Would Seat 27,000, But Had The Capacity To Expand To 60,000.",
,,,,,naming_rights,Tcu Owns The Naming Rights To The Stadium Named After Amon G. Carter For His Significant Contributions To The Athletics Department.,
,,,,,team_name,Texas Longhorns,
,,,,,school_name,The University Of Texas At Austin,
,,,,,stadium_name,Darrell K Royal - Texas Memorial Stadium,
,,,,,principal_owner,The University Of Texas At Austin,
,,,,,facility_financing,Completely Financed Through Private Donations And Gifts.,
,,,,,team_stadium_update,"In May 2013, The University Of Texasâ€™ Board Of Regents Approved A $62 Million Proposal For Improvements To Royal-texas Memorial Stadium. The Imporovements Will Not Add Seating To The Stadium, Which Seats Just Over 100,000 At Capacity, But Includes Adding A Practice Gym For The Womenâ€™s Volleyball Team And Additional Athletics Offices.",
