,Sport,School_ID,Year,Number,Player,Last_Name,First_Name,Position,Height,Weight,Class,Hometown,City,State,High_School,Prior_College,URL,Height_Inches
83,FBALL,OKState,2012-2013,37,Billy Morgan,Morgan,Billy,WR,5'5'',150,FR,"Dallas, TX",Dallas,TX,Bryan Adams,,http://www.okstate.com/sports/m-footbl/mtt/billy_morgan_823865.html,65
84,FBALL,OKState,2012-2013,42,Taylor Moss,Moss,Taylor,IR,6'1'',170,JR,"Houston, TX",Houston,TX,Cinco Ranch,Baylor,http://www.okstate.com/sports/m-footbl/mtt/taylor_moss_829156.html,73
85,FBALL,OKState,2012-2013,2,Caleb Muncrief,Muncrief,Caleb,RB,5'8'',180,FR,"Madill, OK",Madill,OK,Madill,,http://www.okstate.com/sports/m-footbl/mtt/caleb_muncrief_804173.html,68
86,FBALL,OKState,2012-2013,88,Logan Nault,Nault,Logan,WR,6'1'',170,RS FR,"Kingfisher, OK",Kingfisher,OK,Kingfisher,,http://www.okstate.com/sports/m-footbl/mtt/logan_nault_819768.html,73
87,FBALL,OKState,2012-2013,89,Nigel Nicholas,Nicholas,Nigel,DT,6'3'',269,SR,"Rossville, GA",Rossville,GA,Ridgeland,,http://www.okstate.com/sports/m-footbl/mtt/nigel_nicholas_423257.html,75
88,FBALL,OKState,2012-2013,38,Emmanuel Ogbah,Ogbah,Emmanuel,DE,6'4'',240,FR,"Houston, TX",Houston,TX,George Bush,,http://www.okstate.com/sports/m-footbl/mtt/emmanuel_ogbah_804174.html,76
89,FBALL,OKState,2012-2013,41,Nico Ornelas,Ornelas,Nico,LB,6'1'',215,SO,"North Richland Hills, TX",North Richland Hills,TX,Richland,,http://www.okstate.com/sports/m-footbl/mtt/nico_ornelas_761798.html,73
90,FBALL,OKState,2012-2013,35,Jesse Patton,Patton,Jesse,LB,6'1'',225,RS FR,"McAlester, OK",McAlester,OK,McAlester,UCO,http://www.okstate.com/sports/m-footbl/mtt/jesse_patton_796932.html,73
91,FBALL,OKState,2012-2013,30,David Paulsen,Paulsen,David,FB,6'2'',267,SR,"Marietta, GA",Marietta,GA,George Walton,,http://www.okstate.com/sports/m-footbl/mtt/david_paulsen_440486.html,74
92,FBALL,OKState,2012-2013,3,Cody Peterson,Peterson,Cody,QB,6'3'',180,RS JR,"Encinitas, CA",Encinitas,CA,La Costa Canyon,Arizona Western JC,http://www.okstate.com/sports/m-footbl/mtt/cody_peterson_819702.html,75
93,FBALL,OKState,2012-2013,1,Kevin Peterson,Peterson,Kevin,CB,5'11'',170,FR,"Wagoner, OK",Wagoner,OK,Wagoner,,http://www.okstate.com/sports/m-footbl/mtt/kevin_peterson_804176.html,71
94,FBALL,OKState,2012-2013,95,Cody Phillips,Phillips,Cody,K,5'9'',205,SO,"Allen, TX",Allen,TX,Allen,,http://www.okstate.com/sports/m-footbl/mtt/cody_phillips_748360.html,69
95,FBALL,OKState,2012-2013,24,Jackson Radford,Radford,Jackson,WR,6'2'',190,RS FR,"Crescent, OK",Crescent,OK,Crescent,,http://www.okstate.com/sports/m-footbl/mtt/jackson_radford_819707.html,74
96,FBALL,OKState,2012-2013,25,Dominic Ramacher,Ramacher,Dominic,FB,6'3'',230,FR,"Denton, TX",Denton,TX,Guyer,,http://www.okstate.com/sports/m-footbl/mtt/dominic_ramacher_804179.html,75
97,FBALL,OKState,2012-2013,1,Joseph Randle,Randle,Joseph,RB,6'1'',200,JR,"Wichita, KS",Wichita,KS,Southeast,,http://www.okstate.com/sports/m-footbl/mtt/joseph_randle_652685.html,73
98,FBALL,OKState,2012-2013,30,Bryant Reber,Reber,Bryant,CB,6'1'',175,RS FR,"Leawood, KS",Leawood,KS,Blue Valley,,http://www.okstate.com/sports/m-footbl/mtt/bryant_reber_796933.html,73
99,FBALL,OKState,2012-2013,59,Michael Reichenstein,Reichenstein,Michael,P,6'4'',212,JR,"Dallas, TX",Dallas,TX,Jesuit College Prep,,http://www.okstate.com/sports/m-footbl/mtt/michael_reichenstein_538685.html,76
100,FBALL,OKState,2012-2013,96,Ryan Robinson,Robinson,Ryan,DE,6'4'',250,SR,"Buford, GA",Buford,GA,Mill Creek,Jones Co. CC,http://www.okstate.com/sports/m-footbl/mtt/ryan_robinson_748361.html,76
101,FBALL,OKState,2012-2013,89,Nick Rockwell,Rockwell,Nick,IR,5'7'',175,JR,"Fort Worth, TX",Fort Worth,TX,Dunbar,,http://www.okstate.com/sports/m-footbl/mtt/nick_rockwell_462728.html,67
102,FBALL,OKState,2012-2013,94,Anthony Rogers,Rogers,Anthony,DT,6'3'',293,JR,"North Little Rock, AR",North Little Rock,AR,North Little Rock,,http://www.okstate.com/sports/m-footbl/mtt/anthony_rogers_440492.html,75
103,FBALL,OKState,2012-2013,26,Desmond Roland,Roland,Desmond,RB,6'2'',203,SO,"Dallas, TX",Dallas,TX,Lake Highland,,http://www.okstate.com/sports/m-footbl/mtt/desmond_roland_761801.html,74
104,FBALL,OKState,2012-2013,70,Jonathan Rush,Rush,Jonathan,OL,6'4'',305,SR,"Killeen, TX",Killeen,TX,Killeen,,http://www.okstate.com/sports/m-footbl/mtt/jonathan_rush_422837.html,76
105,FBALL,OKState,2012-2013,33,Christian Schroeder,Schroeder,Christian,IR,5'11'',180,SO,"Grapevine, TX",Grapevine,TX,Grapevine,,http://www.okstate.com/sports/m-footbl/mtt/christian_schroeder_713806.html,71
