id,university,season,school_year,sport,revenue_thousands,expense_thousands,profit_thousands,athletes,revenue_athlete,expense_athlete,profit_athlete
5629,The University of Findlay,2006,2006-2007,Football,1416.6,1238.25,178.36,101,14025.74,12259.9,1765.94
5630,The University of Montana,2006,2006-2007,Football,7466.5,4979.04,2487.46,120,62220.83,41492,20728.83
5631,The University of Montana-Western,2006,2006-2007,Football,411.61,411.65,-0.04,88,4677.39,4677.84,-0.45
5632,The University of Tennessee,2006,2006-2007,Football,31193.71,13903.18,17290.52,137,227691.31,101483.07,126208.18
5633,The University of Tennessee-Martin,2006,2006-2007,Football,1834.67,1895.42,-60.75,95,19312.32,19951.79,-639.47
5634,The University of Texas at Austin,2006,2006-2007,Football,63798.07,17565.01,46233.06,114,559632.19,154079.04,405553.16
5635,The University of Texas at El Paso,2006,2006-2007,Football,8157.86,6479.4,1678.46,103,79202.52,62906.8,16295.73
5636,The University of Virginia's College at Wise,2006,2006-2007,Football,214.66,208.09,6.57,72,2981.39,2890.14,91.25
5637,Thiel College,2006,2006-2007,Football,403.16,408.77,-5.61,128,3149.69,3193.52,-43.83
5638,Thomas More College,2006,2006-2007,Football,289.15,252.82,36.32,91,3177.47,2778.24,399.12
5639,Tiffin University,2006,2006-2007,Football,863.78,859.46,4.32,131,6593.74,6560.76,32.98
5640,Towson University,2006,2006-2007,Football,607.23,2317.25,-1710.02,113,5373.72,20506.64,-15132.92
5641,Tri-State University,2006,2006-2007,Football,0,295.75,-295.75,83,0,3563.25,-3563.25
5642,Trinity Bible College,2006,2006-2007,Football,94.4,94.4,0,41,2302.44,2302.44,0
5643,Trinity College,2006,2006-2007,Football,384.33,370.73,13.6,75,5124.4,4943.07,181.33
5644,Trinity International University,2006,2006-2007,Football,1031.81,879.98,151.83,86,11997.79,10232.33,1765.47
5645,Trinity University,2006,2006-2007,Football,369.58,362.89,6.69,115,3213.74,3155.57,58.17
5646,Trinity Valley Community College,2006,2006-2007,Football,432.7,419.69,13,81,5341.98,5181.36,160.49
5647,Troy University,2006,2006-2007,Football,3879.6,3790.66,88.94,162,23948.15,23399.14,549.01
5648,Truman State University,2006,2006-2007,Football,109.38,1105.81,-996.43,108,1012.78,10238.98,-9226.2
5649,Tufts University,2006,2006-2007,Football,224.14,224.14,0,74,3028.92,3028.92,0
5650,Tulane University of Louisiana,2006,2006-2007,Football,6871.44,7535.44,-664,106,64824.91,71089.06,-6264.15
5651,Tusculum College,2006,2006-2007,Football,1146.09,1064.35,81.74,143,8014.62,7443.01,571.61
5652,Tuskegee University,2006,2006-2007,Football,1855.56,1499.07,356.49,105,17672,14276.86,3395.14
5653,Tyler Junior College,2006,2006-2007,Football,422.37,422.37,0,74,5707.7,5707.7,0
5654,Union College,2006,2006-2007,Football,618.24,653.22,-34.98,68,9091.76,9606.18,-514.41
5655,Union College,2006,2006-2007,Football,618.24,653.22,-34.98,68,9091.76,9606.18,-514.41
5656,Union College,2006,2006-2007,Football,618.24,653.22,-34.98,68,9091.76,9606.18,-514.41
5657,Union College,2006,2006-2007,Football,327.85,443.56,-115.71,100,3278.5,4435.6,-1157.1
5658,Union College,2006,2006-2007,Football,327.85,443.56,-115.71,100,3278.5,4435.6,-1157.1
5659,Union College,2006,2006-2007,Football,327.85,443.56,-115.71,100,3278.5,4435.6,-1157.1
5660,United States Merchant Marine Academy,2006,2006-2007,Football,119.59,309.47,-189.88,85,1406.94,3640.82,-2233.88
5661,University of Akron Main Campus,2006,2006-2007,Football,1331.45,4640,-3308.56,102,13053.43,45490.2,-32436.86
5662,University of Alabama at Birmingham,2006,2006-2007,Football,6348.33,6201.71,146.62,125,50786.64,49613.68,1172.96
5663,University of Arizona,2006,2006-2007,Football,17489.51,9161.56,8327.95,102,171465.78,89819.22,81646.57
5664,University of Arkansas at Monticello,2006,2006-2007,Football,717.85,717.85,0,82,8754.27,8754.27,0
5665,University of Arkansas at Pine Bluff,2006,2006-2007,Football,1324.78,1473.27,-148.49,74,17902.43,19909.05,-2006.62
5666,University of Arkansas Main Campus,2006,2006-2007,Football,42056.47,22805.11,19251.35,121,347574.13,188471.98,159102.07
5667,University of California-Berkeley,2006,2006-2007,Football,26001.08,17283.72,8717.36,114,228079.65,151611.58,76468.07
5668,University of California-Davis,2006,2006-2007,Football,0,2224.85,-2224.85,100,0,22248.5,-22248.5
5669,University of California-Los Angeles,2006,2006-2007,Football,23539.59,16872.62,6666.98,111,212068.38,152005.59,60062.88
5670,University of Central Arkansas,2006,2006-2007,Football,1949.33,1949.33,0,112,17404.73,17404.73,0
5671,University of Central Florida,2006,2006-2007,Football,4293.02,3733.46,559.57,111,38675.86,33634.77,5041.17
5672,University of Central Oklahoma,2006,2006-2007,Football,1198.77,1176.81,21.96,85,14103.18,13844.82,258.35
5673,University of Charleston,2006,2006-2007,Football,995.25,995.25,0,78,12759.62,12759.62,0
5674,University of Chicago,2006,2006-2007,Football,170.11,422.88,-252.77,63,2700.16,6712.38,-4012.22
5675,University of Cincinnati-Main Campus,2006,2006-2007,Football,8162.66,7774.01,388.66,105,77739.62,74038.19,3701.52
5676,University of Colorado at Boulder,2006,2006-2007,Football,23101.13,11449.74,11651.39,105,220010.76,109045.14,110965.62
5677,University of Connecticut,2006,2006-2007,Football,11976.96,11726.92,250.04,103,116281.17,113853.59,2427.57
5678,University of Dayton,2006,2006-2007,Football,428.35,825.44,-397.09,122,3511.07,6765.9,-3254.84
5679,University of Delaware,2006,2006-2007,Football,5531.89,4020.56,1511.34,108,51221.2,37227.41,13993.89
5680,University of Dubuque,2006,2006-2007,Football,326.77,338.14,-11.37,94,3476.28,3597.23,-120.96
5681,University of Florida,2006,2006-2007,Football,58904.98,20691.41,38213.57,126,467499.84,164217.54,303282.3
5682,University of Georgia,2006,2006-2007,Football,59516.94,16372.29,43144.65,134,444156.27,122181.27,321975
5683,University of Hawaii at Manoa,2006,2006-2007,Football,7533.65,7033.66,499.99,117,64390.17,60116.75,4273.42
5684,University of Houston,2006,2006-2007,Football,6925.28,6925.28,0,118,58688.81,58688.81,0
5685,University of Idaho,2006,2006-2007,Football,4885.02,3848.18,1036.84,125,39080.16,30785.44,8294.72
5686,University of Illinois at Urbana-Champaign,2006,2006-2007,Football,20764.47,9371.07,11393.4,106,195891.23,88406.32,107484.91
5687,University of Indianapolis,2006,2006-2007,Football,1442.23,1433.87,8.37,85,16967.41,16869.06,98.47
5688,University of Iowa,2006,2006-2007,Football,45335.03,28851.51,16483.51,129,351434.34,223655.12,127779.15
5689,University of Kansas Main Campus,2006,2006-2007,Football,11258.99,9869.82,1389.17,126,89357.06,78331.9,11025.16
5690,University of Kentucky,2006,2006-2007,Football,21898.08,10155.98,11742.1,129,169752.56,78728.53,91024.03
5691,University of La Verne,2006,2006-2007,Football,250.17,249.08,1.1,72,3474.58,3459.44,15.28
5692,University of Louisiana at Lafayette,2006,2006-2007,Football,3043.71,3100.92,-57.21,110,27670.09,28190.18,-520.09
5693,University of Louisiana at Monroe,2006,2006-2007,Football,3593.03,2652.27,940.75,115,31243.74,23063.22,8180.43
5694,University of Louisville,2006,2006-2007,Football,19023.61,13615.99,5407.61,117,162594.96,116375.98,46218.89
5695,University of Maine,2006,2006-2007,Football,2970.99,2734.35,236.64,77,38584.29,35511.04,3073.25
5696,University of Mary,2006,2006-2007,Football,613.71,613.71,0,140,4383.64,4383.64,0
5697,University of Mary Hardin-Baylor,2006,2006-2007,Football,791.51,763.7,27.81,150,5276.73,5091.33,185.4
5698,University of Maryland-College Park,2006,2006-2007,Football,12421.45,10222.55,2198.91,128,97042.58,79863.67,17178.98
5699,University of Massachusetts-Amherst,2006,2006-2007,Football,3802.75,3802.75,0,96,39611.98,39611.98,0
5700,University of Massachusetts-Dartmouth,2006,2006-2007,Football,90.77,86.52,4.24,91,997.47,950.77,46.59
5701,University of Memphis,2006,2006-2007,Football,6457.91,6457.91,0,109,59246.88,59246.88,0
5702,University of Miami,2006,2006-2007,Football,20769.44,18012.07,2757.37,104,199706.15,173192.98,26513.17
5703,University of Michigan-Ann Arbor,2006,2006-2007,Football,50982.63,14750.84,36231.79,112,455202.05,131703.93,323498.13
5704,University of Minnesota-Crookston,2006,2006-2007,Football,420.64,420.64,0,70,6009.14,6009.14,0
5705,University of Minnesota-Duluth,2006,2006-2007,Football,479.54,929.64,-450.11,98,4893.27,9486.12,-4592.96
5706,University of Minnesota-Morris,2006,2006-2007,Football,186.79,194.4,-7.61,57,3277.02,3410.53,-133.51
5707,University of Minnesota-Twin Cities,2006,2006-2007,Football,17390.38,8304.53,9085.84,108,161022.04,76893.8,84128.15
5708,University of Mississippi Main Campus,2006,2006-2007,Football,17581.21,7027.23,10553.98,111,158389.28,63308.38,95080.9
5709,University of Missouri-Columbia,2006,2006-2007,Football,15284.73,9329.4,5955.34,109,140226.88,85590.83,54636.15
5710,University of Missouri-Rolla,2006,2006-2007,Football,1094.65,1094.65,0,99,11057.07,11057.07,0
5711,University of Nebraska at Kearney,2006,2006-2007,Football,702.25,597.75,104.5,104,6752.4,5747.6,1004.81
5712,University of Nebraska at Lincoln,2006,2006-2007,Football,26264.85,13834.13,12430.72,135,194554.44,102475.04,92079.41
5713,University of Nebraska at Omaha,2006,2006-2007,Football,1208.43,1204.41,4.01,99,12206.36,12165.76,40.51
5714,University of Nevada-Las Vegas,2006,2006-2007,Football,2768.43,5973.69,-3205.26,115,24073.3,51945.13,-27871.83
5715,University of Nevada-Reno,2006,2006-2007,Football,4446.17,5127.32,-681.15,113,39346.64,45374.51,-6027.88
5716,University of New Hampshire-Main Campus,2006,2006-2007,Football,2152.4,3079.02,-926.62,92,23395.65,33467.61,-10071.96
5717,University of New Mexico-Main Campus,2006,2006-2007,Football,3265.06,5716.74,-2451.68,123,26545.2,46477.56,-19932.36
5718,University of North Alabama,2006,2006-2007,Football,1233.56,1233.56,0,129,9562.48,9562.48,0
5719,University of North Carolina at Chapel Hill,2006,2006-2007,Football,18147.85,15097.82,3050.04,128,141780.08,117951.72,23828.44
5720,University of North Dakota,2006,2006-2007,Football,838.67,1426.78,-588.11,106,7911.98,13460.19,-5548.21
5721,University of North Texas,2006,2006-2007,Football,1433.11,4219.72,-2786.61,119,12042.94,35459.83,-23416.89
5722,University of Northern Colorado,2006,2006-2007,Football,1459.94,1659,-199.06,100,14599.4,16590,-1990.6
5723,University of Northern Iowa,2006,2006-2007,Football,2084.85,2851.74,-766.89,103,20241.26,27686.8,-7445.53
5724,University of Notre Dame,2006,2006-2007,Football,63675.03,17842.29,45832.75,107,595093.74,166750.37,428343.46
5725,University of Oklahoma Norman Campus,2006,2006-2007,Football,37263.26,18790.7,18472.55,125,298106.08,150325.6,147780.4
5726,University of Oregon,2006,2006-2007,Football,21495.63,12641.51,8854.12,103,208695.44,122733.11,85962.33
5727,University of Pennsylvania,2006,2006-2007,Football,2017.23,1571.16,446.06,105,19211.71,14963.43,4248.19
5728,University of Pittsburgh-Main Campus,2006,2006-2007,Football,17545.35,12253.72,5291.63,112,156654.91,109408.21,47246.7
5729,University of Puget Sound,2006,2006-2007,Football,319.84,318.43,1.41,82,3900.49,3883.29,17.2
5730,University of Redlands,2006,2006-2007,Football,517.98,454.28,63.7,95,5452.42,4781.89,670.53
5731,University of Rhode Island,2006,2006-2007,Football,3181.15,3220.53,-39.38,89,35743.26,36185.73,-442.47
5732,University of Richmond,2006,2006-2007,Football,3997.42,3997.42,0,92,43450.22,43450.22,0
5733,University of Rochester,2006,2006-2007,Football,164.87,319.08,-154.21,85,1939.65,3753.88,-1814.24
5734,University of Saint Francis-Ft Wayne,2006,2006-2007,Football,2050.86,2050.86,0,141,14545.11,14545.11,0
5735,University of Saint Mary,2006,2006-2007,Football,303.94,293.81,10.12,66,4605.15,4451.67,153.33
5736,University of San Diego,2006,2006-2007,Football,1422.42,1155.76,266.67,98,14514.49,11793.47,2721.12
5737,University of Sioux Falls,2006,2006-2007,Football,673.22,785.5,-112.28,107,6291.78,7341.12,-1049.35
5738,University of South Carolina-Columbia,2006,2006-2007,Football,41275.36,12423.6,28851.76,107,385751.03,116108.41,269642.62
5739,University of South Dakota,2006,2006-2007,Football,1063.97,1375.86,-311.88,95,11199.68,14482.74,-3282.95
5740,University of South Florida,2006,2006-2007,Football,0,7611.44,-7611.44,111,0,68571.53,-68571.53
5741,University of Southern California,2006,2006-2007,Football,31705.21,18699.94,13005.26,109,290873.49,171559.08,119314.31
5742,University of Southern Mississippi,2006,2006-2007,Football,7221.09,4460.54,2760.54,122,59189.26,36561.8,22627.38
5743,University of St Francis,2006,2006-2007,Football,960.09,916.23,43.86,89,10787.53,10294.72,492.81
5744,University of St Thomas,2006,2006-2007,Football,407.16,407.16,0,125,3257.28,3257.28,0
5745,University of St Thomas,2006,2006-2007,Football,407.16,407.16,0,125,3257.28,3257.28,0
5746,University of The Cumberlands,2006,2006-2007,Football,633.19,633.19,0,62,10212.74,10212.74,0
5747,University of Tulsa,2006,2006-2007,Football,5015.38,8670.06,-3654.68,105,47765.52,82572,-34806.48
5748,University of Utah,2006,2006-2007,Football,11184.2,8163.68,3020.52,118,94781.36,69183.73,25597.63
5749,University of Virginia-Main Campus,2006,2006-2007,Football,14213.38,17145.14,-2931.76,108,131605.37,158751.3,-27145.93
5750,University of Washington-Seattle Campus,2006,2006-2007,Football,33694.96,13765.66,19929.3,90,374388.44,152951.78,221436.67
5751,University of West Alabama,2006,2006-2007,Football,804.31,922.4,-118.1,141,5704.33,6541.84,-837.59
5752,University of West Georgia,2006,2006-2007,Football,955.96,895.73,60.22,89,10741.12,10064.38,676.63
5753,University of Wisconsin-Eau Claire,2006,2006-2007,Football,297.6,278.15,19.45,100,2976,2781.5,194.5
5754,University of Wisconsin-La Crosse,2006,2006-2007,Football,328.06,286.87,41.19,94,3490,3051.81,438.19
5755,University of Wisconsin-Madison,2006,2006-2007,Football,34105.99,19771.06,14334.93,120,284216.58,164758.83,119457.75
5756,University of Wisconsin-Oshkosh,2006,2006-2007,Football,146.36,130.07,16.29,99,1478.38,1313.84,164.55
5757,University of Wisconsin-Platteville,2006,2006-2007,Football,542,550.57,-8.57,98,5530.61,5618.06,-87.45
5758,University of Wisconsin-River Falls,2006,2006-2007,Football,335.05,311.3,23.75,98,3418.88,3176.53,242.35
5759,University of Wisconsin-Stevens Point,2006,2006-2007,Football,134.95,216.3,-81.35,100,1349.5,2163,-813.5
5760,University of Wisconsin-Stout,2006,2006-2007,Football,329.68,321.39,8.29,96,3434.17,3347.81,86.35
5761,University of Wisconsin-Whitewater,2006,2006-2007,Football,226.78,225.46,1.32,96,2362.29,2348.54,13.75
5762,University of Wyoming,2006,2006-2007,Football,6598.31,4430.22,2168.09,107,61666.45,41403.93,20262.52
5763,Upper Iowa University,2006,2006-2007,Football,681.4,681.39,0.01,115,5925.22,5925.13,0.09
5764,Urbana University,2006,2006-2007,Football,1170.99,1139.13,31.85,131,8938.85,8695.65,243.13
5765,Ursinus College,2006,2006-2007,Football,193.74,228.84,-35.1,97,1997.32,2359.18,-361.86
5766,Utah State University,2006,2006-2007,Football,1442.83,2106.99,-664.16,116,12438.19,18163.71,-5725.52
5767,Utica College,2006,2006-2007,Football,446.89,434.93,11.97,114,3920.09,3815.18,105
5768,Valdosta State University,2006,2006-2007,Football,1231.15,1366.91,-135.77,132,9326.89,10355.38,-1028.56
5769,Valley City State University,2006,2006-2007,Football,346.11,351.38,-5.28,89,3888.88,3948.09,-59.33
5770,Valparaiso University,2006,2006-2007,Football,457.02,504.1,-47.08,113,4044.42,4461.06,-416.64
5771,Vanderbilt University,2006,2006-2007,Football,15219.54,13382.7,1836.84,105,144948,127454.29,17493.71
5772,Ventura College,2006,2006-2007,Football,191.39,156.41,34.98,90,2126.56,1737.89,388.67
5773,Vermilion Community College,2006,2006-2007,Football,45.84,45.84,0,49,935.51,935.51,0
5774,Villanova University,2006,2006-2007,Football,960.79,4164.21,-3203.42,92,10443.37,45263.15,-34819.78
5775,Virginia Military Institute,2006,2006-2007,Football,1396.47,2147.66,-751.19,91,15345.82,23600.66,-8254.84
5776,Virginia Polytechnic Institute And State University,2006,2006-2007,Football,40634.5,26179.09,14455.41,133,305522.56,196835.26,108687.29
5777,Virginia State University,2006,2006-2007,Football,357.01,627.56,-270.55,86,4151.28,7297.21,-3145.93
5778,Virginia Union University,2006,2006-2007,Football,810.59,795.99,14.6,64,12665.47,12437.34,228.13
5779,Wagner College,2006,2006-2007,Football,1639.92,1612.1,27.82,89,18426.07,18113.48,312.58
5780,Wake Forest University,2006,2006-2007,Football,12114.65,10142.49,1972.16,102,118771.08,99436.18,19334.9
5781,Waldorf College,2006,2006-2007,Football,460.7,460.7,0,54,8531.48,8531.48,0
5782,Walsh University,2006,2006-2007,Football,949.84,946.29,3.55,88,10793.64,10753.3,40.34
5783,Wartburg College,2006,2006-2007,Football,217.38,217.38,0,123,1767.32,1767.32,0
5784,Washburn University,2006,2006-2007,Football,855.07,855.07,0,108,7917.31,7917.31,0
5785,Washington & Jefferson College,2006,2006-2007,Football,277.89,373.6,-95.71,118,2355,3166.1,-811.1
5786,Washington And Lee University,2006,2006-2007,Football,36.71,303.76,-267.05,76,483.03,3996.84,-3513.82
5787,Washington State University,2006,2006-2007,Football,10466.37,7533.55,2932.83,118,88698.05,63843.64,24854.49
5788,Washington University In St Louis,2006,2006-2007,Football,368.52,370.46,-1.93,95,3879.16,3899.58,-20.32
5789,Wayne State College,2006,2006-2007,Football,576.58,574.88,1.7,99,5824.04,5806.87,17.17
5790,Wayne State University,2006,2006-2007,Football,1055.26,1055.26,0,96,10992.29,10992.29,0
5791,Waynesburg College,2006,2006-2007,Football,233.4,289.75,-56.35,110,2121.82,2634.09,-512.27
5792,Webber International University,2006,2006-2007,Football,459.89,493.6,-33.7,67,6864.03,7367.16,-502.99
5793,Weber State University,2006,2006-2007,Football,1567.95,1567.95,0,94,16680.32,16680.32,0
5794,Wesley College,2006,2006-2007,Football,220.21,220.21,0,145,1518.69,1518.69,0
5795,Wesleyan University,2006,2006-2007,Football,354.98,358.15,-3.17,73,4862.74,4906.16,-43.42
5796,West Chester University of Pennsylvania,2006,2006-2007,Football,477.39,720.4,-243.01,91,5246.04,7916.48,-2670.44
5797,West Liberty State College,2006,2006-2007,Football,512.19,502.78,9.41,110,4656.27,4570.73,85.55
5798,West Los Angeles College,2006,2006-2007,Football,149,140.07,8.93,59,2525.42,2374.07,151.36
5799,West Texas A & M University,2006,2006-2007,Football,241.15,606.57,-365.43,104,2318.75,5832.4,-3513.75
5800,West Valley College,2006,2006-2007,Football,66.79,162.91,-96.11,56,1192.68,2909.11,-1716.25
5801,West Virginia State University,2006,2006-2007,Football,485.74,485.74,0,90,5397.11,5397.11,0
5802,West Virginia University,2006,2006-2007,Football,25174.22,13810.79,11363.43,149,168954.5,92689.87,76264.63
5803,West Virginia University Institute of Technology,2006,2006-2007,Football,623.72,623.72,0,68,9172.35,9172.35,0
5804,West Virginia Wesleyan College,2006,2006-2007,Football,972.97,972.97,0,78,12473.97,12473.97,0
5805,Western Carolina University,2006,2006-2007,Football,1213.86,1710.97,-497.1,90,13487.33,19010.78,-5523.33
5806,Western Connecticut State University,2006,2006-2007,Football,345.47,336.85,8.62,90,3838.56,3742.78,95.78
5807,Western Illinois University,2006,2006-2007,Football,1866.78,1866.78,0,98,19048.78,19048.78,0
5808,Western Kentucky University,2006,2006-2007,Football,2796.72,2796.72,0,107,26137.57,26137.57,0
5809,Western Michigan University,2006,2006-2007,Football,1841.53,4054.78,-2213.26,105,17538.38,38616.95,-21078.67
5810,Western New England College,2006,2006-2007,Football,74.27,134,-59.74,97,765.67,1381.44,-615.88
5811,Western New Mexico University,2006,2006-2007,Football,385.16,470.39,-85.24,69,5582.03,6817.25,-1235.36
5812,Western Oregon University,2006,2006-2007,Football,745.61,745.61,0,106,7034.06,7034.06,0
5813,Western State College of Colorado,2006,2006-2007,Football,573.02,590.45,-17.43,104,5509.81,5677.4,-167.6
5814,Western Washington University,2006,2006-2007,Football,1165.45,1618.39,-452.95,93,12531.72,17402.04,-4870.43
5815,Westfield State College,2006,2006-2007,Football,82.6,82.63,-0.03,87,949.43,949.77,-0.34
5816,Westminster College,2006,2006-2007,Football,166.28,184.61,-18.33,68,2445.29,2714.85,-269.56
5817,Westminster College,2006,2006-2007,Football,166.28,184.61,-18.33,68,2445.29,2714.85,-269.56
5818,Westminster College,2006,2006-2007,Football,166.28,184.61,-18.33,68,2445.29,2714.85,-269.56
5819,Westminster College,2006,2006-2007,Football,347.35,294.32,53.03,74,4693.92,3977.3,716.62
5820,Westminster College,2006,2006-2007,Football,347.35,294.32,53.03,74,4693.92,3977.3,716.62
5821,Westminster College,2006,2006-2007,Football,347.35,294.32,53.03,74,4693.92,3977.3,716.62
5822,Wheaton College,2006,2006-2007,Football,389.29,355.12,34.17,91,4277.91,3902.42,375.49
5823,Wheaton College,2006,2006-2007,Football,389.29,355.12,34.17,91,4277.91,3902.42,375.49
5824,Whittier College,2006,2006-2007,Football,118.85,178.75,-59.9,77,1543.51,2321.43,-777.92
5825,Whitworth College,2006,2006-2007,Football,393.08,392.86,0.22,75,5241.07,5238.13,2.93
5826,Widener University-Main Campus,2006,2006-2007,Football,155.5,156.38,-0.87,121,1285.12,1292.4,-7.19
5827,Wilkes University,2006,2006-2007,Football,309.68,320.37,-10.69,116,2669.66,2761.81,-92.16
5828,Willamette University,2006,2006-2007,Football,280.09,325.39,-45.31,91,3077.91,3575.71,-497.91
5829,William Jewell College,2006,2006-2007,Football,392.85,369.37,23.49,87,4515.52,4245.63,270
5830,William Paterson University of New Jersey,2006,2006-2007,Football,308.54,298.73,9.81,95,3247.79,3144.53,103.26
5831,William Penn University,2006,2006-2007,Football,775.47,717.87,57.61,60,12924.5,11964.5,960.17
5832,William Rainey Harper College,2006,2006-2007,Football,100.6,100.6,0,80,1257.5,1257.5,0
5833,Williams College,2006,2006-2007,Football,98.77,295.38,-196.61,75,1316.93,3938.4,-2621.47
5834,Wilmington College,2006,2006-2007,Football,270.72,270.72,0,100,2707.2,2707.2,0
5835,Wingate University,2006,2006-2007,Football,1004.51,997.86,6.64,104,9658.75,9594.81,63.85
5836,Winona State University,2006,2006-2007,Football,781.09,692.81,88.29,106,7368.77,6535.94,832.92
5837,Winston-Salem State University,2006,2006-2007,Football,525.63,1159.83,-634.19,100,5256.3,11598.3,-6341.9
5838,Wisconsin Lutheran College,2006,2006-2007,Football,315.08,327.28,-12.2,59,5340.34,5547.12,-206.78
5839,Wittenberg University,2006,2006-2007,Football,115.78,261.02,-145.24,128,904.53,2039.22,-1134.69
5840,Wofford College,2006,2006-2007,Football,2146.28,2472.63,-326.35,88,24389.55,28098.07,-3708.52
5841,Worcester Polytechnic Institute,2006,2006-2007,Football,200.75,200.75,0,74,2712.84,2712.84,0
5842,Worcester State College,2006,2006-2007,Football,100.24,106.61,-6.37,81,1237.53,1316.17,-78.64
5843,Yale University,2006,2006-2007,Football,2565.05,2565.05,0,113,22699.56,22699.56,0
5844,Youngstown State University,2006,2006-2007,Football,1894.13,2475.98,-581.85,91,20814.62,27208.57,-6393.96
5845,Yuba College,2006,2006-2007,Football,229.4,54.5,174.9,51,4498.04,1068.63,3429.41
5846,Baker University,2006,2006-2007,Football,775.2,785.59,-10.39,96,8075,8183.23,-108.23
5847,Butler Community College,2006,2006-2007,Football,623.77,606.46,17.32,108,5775.65,5615.37,160.37
5848,Chowan University,2006,2006-2007,Football,591.94,556.3,35.64,111,5332.79,5011.71,321.08
5849,El Camino College-Compton Center,2006,2006-2007,Football,156.57,110.97,45.6,82,1909.39,1353.29,556.1
5850,El Camino Community College District,2006,2006-2007,Football,163.87,153.84,10.03,106,1545.94,1451.32,94.62
5851,Macalester College,2006,2006-2007,Football,355.29,355.29,0,49,7250.82,7250.82,0
5852,Methodist University,2006,2006-2007,Football,101.6,387,-285.4,133,763.91,2909.77,-2145.86
5853,Mt. San Jacinto Community College District,2006,2006-2007,Football,71.01,87.67,-16.66,54,1315,1623.52,-308.52
5854,Taylor University,2006,2006-2007,Football,827.51,816.74,10.77,63,13135.08,12964.13,170.95
5855,The University of Tennessee at Chattanooga,2006,2006-2007,Football,2580.01,2580.01,0,129,20000.08,20000.08,0
5856,University of Central Missouri,2006,2006-2007,Football,1325.73,1325.73,0,111,11943.51,11943.51,0
5857,University of Toledo-Main Campus,2006,2006-2007,Football,1601.48,4568.76,-2967.29,112,14298.93,40792.5,-26493.66
5858,Victor Valley College,2006,2006-2007,Football,123.44,105.33,18.1,66,1870.3,1595.91,274.24
5859,West Hills College-Coalinga,2006,2006-2007,Football,56.3,57.93,-1.63,71,792.96,815.92,-22.96
5860,Bluffton University,2007,2007-2008,Football,165.36,191.06,-25.7,71,2329.01,2690.99,-361.97
5861,Abilene Christian University,2007,2007-2008,Football,1637.12,1662.96,-25.84,178,9197.3,9342.47,-145.17
5862,Adams State College,2007,2007-2008,Football,636.77,636.77,0,142,4484.3,4484.3,0
5863,Adrian College,2007,2007-2008,Football,313.58,335.03,-21.45,158,1984.68,2120.44,-135.76
5864,Alabama A & M University,2007,2007-2008,Football,2395.78,2098.45,297.33,100,23957.8,20984.5,2973.3
5865,Alabama State University,2007,2007-2008,Football,1887.63,1887.63,0,84,22471.79,22471.79,0
5866,Albany State University,2007,2007-2008,Football,1025.4,1025.4,0,73,14046.58,14046.58,0
5867,Albion College,2007,2007-2008,Football,358.21,327.22,30.99,106,3379.34,3086.98,292.36
5868,Albright College,2007,2007-2008,Football,325.08,355.08,-30,113,2876.81,3142.3,-265.49
5869,Alcorn State University,2007,2007-2008,Football,903.82,1164.04,-260.22,83,10889.4,14024.58,-3135.18
5870,Alfred University,2007,2007-2008,Football,409.27,453.78,-44.52,138,2965.72,3288.26,-322.61
5871,Allan Hancock College,2007,2007-2008,Football,98.39,98.39,0,65,1513.69,1513.69,0
5872,Allegheny College,2007,2007-2008,Football,467.83,467.83,0,123,3803.5,3803.5,0
5873,Alma College,2007,2007-2008,Football,314.04,314.04,0,137,2292.26,2292.26,0
5874,American International College,2007,2007-2008,Football,1160.76,1160.76,0,109,10649.17,10649.17,0
5875,American River College,2007,2007-2008,Football,95.65,95.65,0,75,1275.33,1275.33,0
5876,Amherst College,2007,2007-2008,Football,500.54,500.54,0,76,6586.05,6586.05,0
5877,Anderson University,2007,2007-2008,Football,231.42,241.65,-10.23,85,2722.59,2842.94,-120.35
5878,Anderson University,2007,2007-2008,Football,231.42,241.65,-10.23,85,2722.59,2842.94,-120.35
5879,Angelo State University,2007,2007-2008,Football,510.23,838.25,-328.03,154,3313.18,5443.18,-2130.06
5880,Appalachian State University,2007,2007-2008,Football,3552.01,3552.01,0,105,33828.67,33828.67,0
5881,Arizona State University at The Tempe Campus,2007,2007-2008,Football,29474,18426.28,11047.72,129,228480.62,142839.38,85641.24
5882,Arizona Western College,2007,2007-2008,Football,509.49,509.49,0,107,4761.59,4761.59,0
5883,Arkansas Baptist College,2007,2007-2008,Football,1205.75,1092.5,113.26,150,8038.33,7283.33,755.07
5884,Arkansas State University-Main Campus,2007,2007-2008,Football,3710.06,3710.06,0,121,30661.65,30661.65,0
5885,Arkansas Tech University,2007,2007-2008,Football,992.8,992.8,0,117,8485.47,8485.47,0
5886,Ashland University,2007,2007-2008,Football,1816.64,1816.64,0,109,16666.42,16666.42,0
5887,Assumption College,2007,2007-2008,Football,221.55,251.81,-30.27,89,2489.33,2829.33,-340.11
5888,Auburn University Main Campus,2007,2007-2008,Football,59671.35,23171.4,36499.95,120,497261.25,193095,304166.25
5889,Augsburg College,2007,2007-2008,Football,291.43,274.08,17.35,77,3784.81,3559.48,225.32
5890,Augustana College,2007,2007-2008,Football,1047.12,1160.99,-113.87,94,11139.57,12350.96,-1211.38
