,unitid,DOE.Institution_Name,Year,ID_School,ID_Conference,Sport,ID_Variable,Variable,Total,M,W,C,C.M,C.W,AA,AA.M,AA.W,H,H.M,H.W,AS.PI,AS.PI.M,AS.PI.W,AI,AI.M,AI.W,UNK,UNK.M,UNK.W,NON,NON.M,NON.W,fname
529,131496,Georgetown University,1996-1997,GTOWN,BIGEAST,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,8,4,4,2,0,2,5,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1997Sports.csv
538,131496,Georgetown University,1996-1997,GTOWN,BIGEAST,Cross-country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,9,5,4,6,4,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
543,131496,Georgetown University,1996-1997,GTOWN,BIGEAST,Cross-country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),9,5,4,6,4,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
550,131496,Georgetown University,1996-1997,GTOWN,BIGEAST,Cross-country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),9,5,4,6,4,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
552,131496,Georgetown University,1996-1997,GTOWN,BIGEAST,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),10,6,4,2,0,2,7,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1997Sports.csv
553,131496,Georgetown University,1996-1997,GTOWN,BIGEAST,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),8,4,4,2,0,2,5,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1997Sports.csv
561,131496,Georgetown University,1996-1997,GTOWN,BIGEAST,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,16,13,3,15,12,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
564,134097,Florida State University,1996-1997,FSU,ACC,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,3,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
565,134097,Florida State University,1996-1997,FSU,ACC,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1997Sports.csv
570,134097,Florida State University,1996-1997,FSU,ACC,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,3,4,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1997Sports.csv
