,DOE.Institution_Name,Year,SportName,Total.Revenue,Total.Expense,Total.Profit,Men.Revenue,Men.Expense,Men.Profit,Women.Revenue,Women.Expense,Women.Profit,Male.Athletes,Female.Athletes,Men.Team.Expense,Women.Team.Expense,SportCode,Coed.Athletes,Total.Women.Including.Coed.Expense,Total.Men.Including.Coed.Expense,Coed.Expense,Women.Coed.Expense,Men.Coed.Expense,Women.Men.Expense,Women.Including.Coed.Revenue,Men.Including.Coed.Revenue,Coed.Revenue,Women.Coed.Revenue,Men.Coed.Revenue,Total.Men.Women.Revenue,Total.Team.Expense,Total.Women.Team.Expense.Including.Coed,Total.Men.Team.Expense.Including.Coed,Total.Coed.Team.Expense,Total.Women.Coed.Team.Expense,Total.Men.Coed.Team.Expense,Total.Men.Women.Team.Expense,Total.Female.Including.Coed,Total.Male.Including.Coed,Female.Coed.Athletes,Male.Coed.Athletes
1258,Austin College                                    ,2000-2001,Football,1000,64833,-63833,1000,64833,-63833,NA,NA,NA,73,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1270,Austin College                                    ,2001-2002,Football,2800,120414,-117614,2800,120414,-117614,NA,NA,NA,76,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1283,Austin Peay State University                      ,2000-2001,Football,84951,262185,-177234,84951,262185,-177234,NA,NA,NA,97,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1294,Austin Peay State University                      ,2001-2002,Football,31254,283860,-252606,31254,283860,-252606,NA,NA,NA,66,NA,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1309,Averett College                                   ,2000-2001,Football,183916,241804,-57888,183916,241804,-57888,NA,NA,NA,90,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1321,Averett College                                   ,2001-2002,Football,105514,1338,104176,105514,1338,104176,NA,NA,NA,65,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1340,Avila College                                     ,2001-2002,Football,26188,581566,-555378,26188,581566,-555378,NA,NA,NA,76,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1350,Azusa Pacific University                          ,2000-2001,Football,11368,371904,-360536,11368,371904,-360536,NA,NA,NA,71,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1360,Azusa Pacific University                          ,2001-2002,Football,8704,480211,-471507,8704,480211,-471507,NA,NA,NA,81,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1415,Bacone College                                    ,2001-2002,Football,20000,586000,-566000,20000,586000,-566000,NA,NA,NA,107,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1428,Baker University College Of Arts And Sciences     ,2000-2001,Football,280877,414270,-133393,280877,414270,-133393,NA,NA,NA,88,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1439,Baker University College Of Arts And Sciences     ,2001-2002,Football,371238,339928,31310,371238,339928,31310,NA,NA,NA,105,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1452,Bakersfield College                               ,2000-2001,Football,129000,50907,78093,129000,50907,78093,NA,NA,NA,87,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1465,Bakersfield College                               ,2001-2002,Football,58381,165598,-107217,58381,165598,-107217,NA,NA,NA,87,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1478,Baldwin-Wallace College                           ,2000-2001,Football,332323,68394,263929,332323,68394,263929,NA,NA,NA,153,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1491,Baldwin-Wallace College                           ,2001-2002,Football,359236,359236,0,359236,359236,0,NA,NA,NA,143,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1507,Ball State University                             ,2000-2001,Football,950849,2445411,-1494562,950849,2445411,-1494562,NA,NA,NA,107,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1523,Ball State University                             ,2001-2002,Football,1067878,2741667,-1673789,1067878,2741667,-1673789,NA,NA,NA,104,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1704,Bates College                                     ,2000-2001,Football,0,49060,-49060,0,49060,-49060,NA,NA,NA,61,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1723,Bates College                                     ,2001-2002,Football,0,0,0,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1758,Baylor University                                 ,2000-2001,Football,6049560,5115764,933796,6049560,5115764,933796,NA,NA,NA,151,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1770,Baylor University                                 ,2001-2002,Football,6541082,5837724,703358,6541082,5837724,703358,NA,NA,NA,162,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1837,Belhaven College                                  ,2000-2001,Football,NA,421890,NA,NA,421890,NA,NA,NA,NA,104,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1848,Belhaven College                                  ,2001-2002,Football,7875,115294,-107419,7875,115294,-107419,NA,NA,NA,95,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,Beloit College                                    ,2000-2001,Football,0,26243,-26243,0,26243,-26243,NA,NA,NA,55,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,Beloit College                                    ,2001-2002,Football,0,83819,-83819,NA,83819,NA,NA,NA,NA,51,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,Bemidji State University                          ,2000-2001,Football,305252,305252,0,305252,305252,0,NA,NA,NA,92,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,Bemidji State University                          ,2001-2002,Football,343024,343024,0,343024,343024,0,NA,NA,NA,95,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
