"","A","B","C","D","Season","F","G","H","I","J","Source","Season.Type"
"343",629,"Millsap","Millsap, Paul","NBA","UTA","2009-2010","4.2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"344",643,"Azubuike","Azubuike, Kelenna","NBA","GSW","2009-2010","2.8","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"345",653,"Amundson","Amundson, Louis","NBA","PHX","2009-2010","4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"346",654,"White","White, James","NBA","DEN","2009-2010","2.8","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"347",655,"Morris","Morris, Randolph","NBA","ATL","2009-2010","4.8","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"348",660,"Mahinmi","Mahinmi, Ian","NBA","SAS","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"349",661,"Oden","Oden, Greg","NBA","POR","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"350",662,"McRoberts","McRoberts, Josh","NBA","IND","2009-2010","4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"351",664,"Karl","Karl, Coby","NBA","GSW","2009-2010","2","20100131GSWOKC","2010-01-31","2010-07-01","Basketball Value","Regular Season"
"352",664,"Karl","Karl, Coby","NBA","CLE","2009-2010","2","SeasonStart","2009-10-26","2010-01-06","Basketball Value","Regular Season"
"353",665,"Crittenton","Crittenton, Javaris","NBA","WAS","2009-2010","1.2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"354",666,"Brooks","Brooks, Aaron","NBA","HOU","2009-2010","1","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"355",667,"Landry","Landry, Carl","NBA","HOU","2009-2010","4","SeasonStart","2009-10-26","2010-02-18","Basketball Value","Regular Season"
"356",667,"Landry","Landry, Carl","NBA","SAC","2009-2010","4","20100220SACLAC","2010-02-18","2010-07-01","Basketball Value","Regular Season"
"357",669,"Fesenko","Fesenko, Kyrylo","NBA","UTA","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"358",671,"Wright","Wright, Brandan","NBA","GSW","2009-2010","4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"359",673,"Belinelli","Belinelli, Marco","NBA","TOR","2009-2010","2.2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"360",674,"Scola","Scola, Luis","NBA","HOU","2009-2010","4.2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"361",675,"Davis","Davis, Glen","NBA","BOS","2009-2010","4.8","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"362",678,"S. Williams","Williams, Sean","NBA","NJN","2009-2010","4.4","SeasonStart","2009-10-26","2010-01-11","Basketball Value","Regular Season"
"363",679,"Chandler","Chandler, Wilson","NBA","NYK","2009-2010","3.4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"364",681,"Young","Young, Thaddeus","NBA","PHI","2009-2010","3.6","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"365",682,"Moon","Moon, Jamario","NBA","CLE","2009-2010","3","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"366",683,"Curry","Curry, JamesOn","NBA","LAC","2009-2010","NULL","20100125LACBOS","2010-01-22","2010-07-01","Basketball Value","Regular Season"
"367",685,"Gray","Gray, Aaron","NBA","NOH","2009-2010","5","Trade","2010-01-25","2010-07-01","Basketball Value","Regular Season"
"368",685,"Gray","Gray, Aaron","NBA","CHI","2009-2010","5","SeasonStart","2009-10-26","2010-01-25","Basketball Value","Regular Season"
"369",686,"Noah","Noah, Joakim","NBA","CHI","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"370",689,"Afflalo","Afflalo, Arron","NBA","DEN","2009-2010","2.4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
