Year,unitid,Institution_Name,Sport,Cohort,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
1997-1998,170976,University of Michigan-Ann Arbor,Baseball,Scholarship Awards,20,20,0,19,19,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,170976,University of Michigan-Ann Arbor,Basketball,Scholarship Awards,23,11,12,9,4,5,11,6,5,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1
1997-1998,170976,University of Michigan-Ann Arbor,Cross-country and/or track,Scholarship Awards,51,22,29,25,9,16,15,7,8,0,0,0,0,0,0,0,0,0,1,1,0,10,5,5
1997-1998,170976,University of Michigan-Ann Arbor,Football,Scholarship Awards,91,91,0,48,48,0,40,40,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
1997-1998,181464,University of Nebraska-Lincoln,All other sports combined,Scholarship Awards,194,75,119,134,46,88,4,2,2,4,4,0,4,1,3,2,0,2,1,0,1,45,22,23
1997-1998,181464,University of Nebraska-Lincoln,Baseball,Scholarship Awards,32,32,0,24,24,0,4,4,0,2,2,0,1,1,0,0,0,0,1,1,0,0,0,0
1997-1998,181464,University of Nebraska-Lincoln,Basketball,Scholarship Awards,30,13,17,19,6,13,10,6,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1997-1998,181464,University of Nebraska-Lincoln,Cross-country and/or track,Scholarship Awards,60,29,31,38,16,22,13,7,6,0,0,0,0,0,0,0,0,0,2,1,1,7,5,2
1997-1998,181464,University of Nebraska-Lincoln,Football,Scholarship Awards,99,99,0,59,59,0,34,34,0,1,1,0,2,2,0,0,0,0,3,3,0,0,0,0
1997-1998,199120,University of North Carolina at Chapel Hill,All other sports combined,Scholarship Awards,242,113,129,233,107,126,6,4,2,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0
1997-1998,199120,University of North Carolina at Chapel Hill,Baseball,Scholarship Awards,22,22,0,20,20,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,199120,University of North Carolina at Chapel Hill,Basketball,Scholarship Awards,26,12,14,7,3,4,15,5,10,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0
1997-1998,199120,University of North Carolina at Chapel Hill,Cross-country and/or track,Scholarship Awards,50,21,29,27,11,16,20,7,13,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0
1997-1998,199120,University of North Carolina at Chapel Hill,Football,Scholarship Awards,84,84,0,25,25,0,57,57,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
1997-1998,152080,University of Notre Dame,All other sports combined,Scholarship Awards,163,69,94,146,58,88,2,1,1,4,1,3,2,1,1,0,0,0,0,0,0,9,8,1
1997-1998,152080,University of Notre Dame,Baseball,Scholarship Awards,23,23,0,20,20,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1997-1998,152080,University of Notre Dame,Basketball,Scholarship Awards,25,13,12,17,9,8,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1997-1998,152080,University of Notre Dame,Cross-country and/or track,Scholarship Awards,36,22,14,26,16,10,6,5,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,3
1997-1998,152080,University of Notre Dame,Football,Scholarship Awards,79,79,0,27,27,0,48,48,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0
1997-1998,207500,University of Oklahoma Norman Campus,All other sports combined,Scholarship Awards,243,144,99,149,83,66,47,36,11,11,6,5,6,3,3,10,5,5,0,0,0,20,11,9
1997-1998,207500,University of Oklahoma Norman Campus,Baseball,Scholarship Awards,6,6,0,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,207500,University of Oklahoma Norman Campus,Basketball,Scholarship Awards,11,5,6,5,2,3,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1997-1998,207500,University of Oklahoma Norman Campus,Cross-country and/or track,Scholarship Awards,20,6,14,9,1,8,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2
1997-1998,207500,University of Oklahoma Norman Campus,Football,Scholarship Awards,53,53,0,22,22,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,209551,University of Oregon,All other sports combined,Scholarship Awards,99,40,59,74,31,43,2,0,2,1,0,1,3,1,2,0,0,0,4,1,3,15,7,8
1997-1998,209551,University of Oregon,Basketball,Scholarship Awards,27,11,16,12,2,10,7,7,0,1,0,1,0,0,0,0,0,0,3,2,1,4,0,4
1997-1998,209551,University of Oregon,Cross-country and/or track,Scholarship Awards,55,26,29,43,19,24,5,2,3,1,0,1,1,0,1,0,0,0,0,0,0,5,5,0
1997-1998,209551,University of Oregon,Football,Scholarship Awards,85,85,0,44,44,0,31,31,0,2,2,0,4,4,0,1,1,0,3,3,0,0,0,0
1997-1998,218663,University of South Carolina-Columbia,All other sports combined,Scholarship Awards,119,49,70,90,33,57,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,26,16,10
1997-1998,218663,University of South Carolina-Columbia,Baseball,Scholarship Awards,30,30,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1997-1998,218663,University of South Carolina-Columbia,Basketball,Scholarship Awards,23,13,10,7,3,4,15,9,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
