Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1991-1992,198419,Duke University,Bachelor's degree,Multi/Interdisciplinary Studies,'30.0000',5,0,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1991-1992,198419,Duke University,Bachelor's degree,Philosophy and Religion,'38.0000',32,19,13,28,16,12,1,1,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0
1991-1992,198419,Duke University,Bachelor's degree,Physical Sciences,'40.0000',40,23,17,40,23,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-1992,198419,Duke University,Bachelor's degree,Psychology,'42.0000',113,40,73,82,32,50,11,1,10,6,2,4,9,4,5,1,0,1,0,0,0,4,1,3
1991-1992,198419,Duke University,Bachelor's degree,Public Administration and Services,'44.0000',95,48,47,78,40,38,10,4,6,5,3,2,2,1,1,0,0,0,0,0,0,0,0,0
1991-1992,198419,Duke University,Bachelor's degree,Social Sciences and History,'45.0000',497,329,168,414,281,133,28,12,16,27,16,11,17,11,6,1,1,0,0,0,0,10,8,2
1991-1992,198419,Duke University,Bachelor's degree,Visual and Performing Arts,'50.0000',43,15,28,40,15,25,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1991-1992,134097,Florida State University,Bachelor's degree,Area- Ethnic and Cultural Studies,'05.0000',11,5,6,11,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-1992,134097,Florida State University,Bachelor's degree,Biological Sciences/Life Sciences,'26.0000',136,72,64,116,65,51,6,2,4,9,3,6,3,2,1,0,0,0,0,0,0,2,0,2
1991-1992,134097,Florida State University,Bachelor's degree,Business Management and Admin. Services,'52.0000',1337,792,545,1217,725,492,37,13,24,47,36,11,16,6,10,1,0,1,0,0,0,19,12,7
1991-1992,134097,Florida State University,Bachelor's degree,Communications,'09.0000',327,96,231,292,88,204,20,5,15,12,2,10,1,0,1,0,0,0,0,0,0,2,1,1
1991-1992,134097,Florida State University,Bachelor's degree,Computer and Information Sciences,'11.0000',43,34,9,38,31,7,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-1992,134097,Florida State University,Bachelor's degree,Education,'13.0000',618,126,492,559,107,452,27,6,21,26,11,15,4,2,2,1,0,1,0,0,0,1,0,1
1991-1992,134097,Florida State University,Bachelor's degree,Engineering,'14.0000',152,144,8,123,115,8,6,6,0,7,7,0,10,10,0,1,1,0,0,0,0,5,5,0
1991-1992,134097,Florida State University,Bachelor's degree,English Language and Literature/Letters,'23.0000',246,92,154,233,89,144,6,1,5,12,6,6,1,0,1,0,0,0,0,0,0,0,0,0
1991-1992,134097,Florida State University,Bachelor's degree,Foreign Languages and Literatures,'16.0000',57,18,39,43,13,30,0,0,0,6,1,5,1,0,1,0,0,0,0,0,0,1,0,1
1991-1992,134097,Florida State University,Bachelor's degree,Health Professions and Related Sciences,'51.0000',188,17,171,162,13,149,16,2,14,6,1,5,0,0,0,1,0,1,0,0,0,3,1,2
1991-1992,134097,Florida State University,Bachelor's degree,Home Economics,'19.0000',252,24,228,220,20,200,14,2,12,8,2,6,7,0,7,1,0,1,0,0,0,2,0,2
1991-1992,134097,Florida State University,Bachelor's degree,Liberal/General Studies and Humanities,'24.0000',19,9,10,18,8,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-1992,134097,Florida State University,Bachelor's degree,Mathematics,'27.0000',24,10,14,21,9,12,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1
1991-1992,134097,Florida State University,Bachelor's degree,Parks- Recreation- Leisure and Fitness,'31.0000',50,10,40,50,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-1992,134097,Florida State University,Bachelor's degree,Philosophy and Religion,'38.0000',20,14,6,20,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-1992,134097,Florida State University,Bachelor's degree,Physical Sciences,'40.0000',46,37,9,40,31,9,1,1,0,2,2,0,2,2,0,0,0,0,0,0,0,1,1,0
1991-1992,134097,Florida State University,Bachelor's degree,Protective Services,'43.0000',461,282,179,402,259,143,24,5,19,28,13,15,5,3,2,1,1,0,0,0,0,1,1,0
1991-1992,134097,Florida State University,Bachelor's degree,Psychology,'42.0000',324,101,223,285,81,204,12,3,9,20,14,6,6,3,3,1,0,1,0,0,0,0,0,0
1991-1992,134097,Florida State University,Bachelor's degree,Public Administration and Services,'44.0000',84,14,70,71,12,59,9,1,8,2,0,2,0,0,0,0,0,0,0,0,0,2,1,1
1991-1992,134097,Florida State University,Bachelor's degree,Social Sciences and History,'45.0000',918,579,339,818,519,299,37,18,19,49,35,14,8,4,4,0,0,0,0,0,0,6,3,3
1991-1992,134097,Florida State University,Bachelor's degree,Visual and Performing Arts,'50.0000',274,93,181,251,83,168,4,2,2,14,5,9,0,0,0,2,1,1,0,0,0,3,2,1
1991-1992,131496,Georgetown University,Bachelor's degree,Area- Ethnic and Cultural Studies,'05.0000',19,9,10,19,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-1992,131496,Georgetown University,Bachelor's degree,Biological Sciences/Life Sciences,'26.0000',41,22,19,26,11,15,1,1,0,1,0,1,6,4,2,0,0,0,0,0,0,7,6,1
1991-1992,131496,Georgetown University,Bachelor's degree,Business Management and Admin. Services,'52.0000',286,171,115,182,117,65,40,23,17,13,4,9,18,7,11,1,1,0,0,0,0,32,19,13
1991-1992,131496,Georgetown University,Bachelor's degree,Computer and Information Sciences,'11.0000',2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1991-1992,131496,Georgetown University,Bachelor's degree,English Language and Literature/Letters,'23.0000',134,56,78,104,45,59,15,6,9,2,1,1,8,3,5,0,0,0,0,0,0,5,1,4
1991-1992,131496,Georgetown University,Bachelor's degree,Foreign Languages and Literatures,'16.0000',136,39,97,113,33,80,4,1,3,8,1,7,0,0,0,0,0,0,0,0,0,11,4,7
1991-1992,131496,Georgetown University,Bachelor's degree,Health Professions and Related Sciences,'51.0000',52,2,50,45,2,43,1,0,1,2,0,2,1,0,1,0,0,0,0,0,0,3,0,3
1991-1992,131496,Georgetown University,Bachelor's degree,Liberal/General Studies and Humanities,'24.0000',12,3,9,9,2,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
1991-1992,131496,Georgetown University,Bachelor's degree,Mathematics,'27.0000',3,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-1992,131496,Georgetown University,Bachelor's degree,Philosophy and Religion,'38.0000',38,26,12,32,21,11,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0
1991-1992,131496,Georgetown University,Bachelor's degree,Physical Sciences,'40.0000',26,18,8,21,14,7,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,2,1,1
1991-1992,131496,Georgetown University,Bachelor's degree,Psychology,'42.0000',71,24,47,55,20,35,7,1,6,3,1,2,2,1,1,0,0,0,0,0,0,4,1,3
1991-1992,131496,Georgetown University,Bachelor's degree,Social Sciences and History,'45.0000',628,343,285,496,275,221,36,15,21,26,13,13,30,12,18,1,0,1,0,0,0,39,28,11
1991-1992,131496,Georgetown University,Bachelor's degree,Visual and Performing Arts,'50.0000',20,4,16,16,3,13,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,2,0,2
1991-1992,155399,Kansas State University,Bachelor's degree,Agricultural Business and Production,'01.0000',99,84,15,96,82,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
1991-1992,155399,Kansas State University,Bachelor's degree,Agricultural Sciences,'02.0000',165,123,42,152,113,39,0,0,0,3,2,1,1,1,0,0,0,0,0,0,0,9,7,2
1991-1992,155399,Kansas State University,Bachelor's degree,Architecture and Related Programs,'04.0000',115,89,26,112,87,25,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1991-1992,155399,Kansas State University,Bachelor's degree,Biological Sciences/Life Sciences,'26.0000',147,78,69,131,70,61,6,2,4,5,4,1,4,1,3,1,1,0,0,0,0,0,0,0
1991-1992,155399,Kansas State University,Bachelor's degree,Business Management and Admin. Services,'52.0000',612,331,281,585,319,266,11,2,9,8,6,2,4,0,4,1,1,0,0,0,0,3,3,0
1991-1992,155399,Kansas State University,Bachelor's degree,Communications,'09.0000',184,81,103,176,77,99,3,1,2,2,1,1,0,0,0,1,0,1,0,0,0,2,2,0
1991-1992,155399,Kansas State University,Bachelor's degree,Computer and Information Sciences,'11.0000',26,23,3,22,19,3,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,2,2,0
1991-1992,155399,Kansas State University,Bachelor's degree,Education,'13.0000',438,118,320,423,112,311,7,1,6,4,3,1,0,0,0,4,2,2,0,0,0,0,0,0
