Year,unitid,Institution_Name,Major,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2003-2004,134130,University of Florida,First major,Bachelor's degree,Education.,'13',247,27,220,196,22,174,18,3,15,31,2,29,2,0,2,0,0,0,0,0,0,0,0,0
2003-2004,134130,University of Florida,First major,Bachelor's degree,Engineering technologies/technicians.,'15',135,121,14,120,109,11,5,4,1,6,4,2,1,1,0,1,1,0,2,2,0,0,0,0
2003-2004,134130,University of Florida,First major,Bachelor's degree,English language and literature/letters.,'23',254,81,173,200,63,137,10,2,8,29,13,16,11,1,10,2,2,0,2,0,2,0,0,0
2003-2004,134130,University of Florida,First major,Bachelor's degree,Architecture and related services.,'04',107,68,39,72,45,27,2,2,0,20,12,8,9,5,4,1,1,0,0,0,0,3,3,0
2003-2004,134130,University of Florida,First major,Bachelor's degree,Area- ethnic- cultural- and gender studies.,'05',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,134130,University of Florida,First major,Bachelor's degree,Computer and information sciences and support services.,'11',128,104,24,78,67,11,7,5,2,10,8,2,23,16,7,0,0,0,3,3,0,7,5,2
2003-2004,134130,University of Florida,First major,Bachelor's degree,Parks- recreation- leisure- and fitness studies.,'31',362,157,205,272,112,160,48,26,22,22,13,9,16,4,12,2,0,2,1,1,0,1,1,0
2003-2004,134130,University of Florida,First major,Bachelor's degree,Philosophy and religious studies.,'38',50,32,18,44,28,16,1,1,0,3,3,0,1,0,1,0,0,0,1,0,1,0,0,0
2003-2004,134130,University of Florida,First major,Bachelor's degree,Security and protective services.,'43',3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,134130,University of Florida,First major,Bachelor's degree,Social sciences.,'45',1106,504,602,759,363,396,108,36,72,141,67,74,70,25,45,7,1,6,8,6,2,13,6,7
2003-2004,134130,University of Florida,First major,Bachelor's degree,Foreign languages- literatures- and linguistics.,'16',135,59,76,89,44,45,11,0,11,21,12,9,11,2,9,0,0,0,2,1,1,1,0,1
2003-2004,134130,University of Florida,First major,Bachelor's degree,History,'54',185,105,80,153,84,69,10,6,4,14,9,5,4,3,1,3,2,1,1,1,0,0,0,0
2003-2004,134130,University of Florida,First major,Bachelor's degree,Multi/interdisciplinary studies.,'30',84,40,44,57,31,26,6,1,5,7,3,4,13,5,8,1,0,1,0,0,0,0,0,0
2003-2004,134130,University of Florida,First major,Bachelor's degree,Physical sciences.,'40',93,60,33,72,53,19,5,1,4,4,1,3,10,5,5,1,0,1,0,0,0,1,0,1
2003-2004,139959,University of Georgia,First major,Bachelor's degree,Area- ethnic- cultural- and gender studies.,'05',5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,139959,University of Georgia,First major,Bachelor's degree,Biological and biomedical sciences.,'26',370,163,207,295,136,159,29,12,17,6,1,5,35,10,25,0,0,0,0,0,0,5,4,1
2003-2004,139959,University of Georgia,First major,Bachelor's degree,Business- management- marketing- and related support services.,'52',1578,881,697,1380,799,581,79,21,58,24,16,8,66,31,35,1,0,1,0,0,0,28,14,14
2003-2004,139959,University of Georgia,First major,Bachelor's degree,Communication- journalism- and related programs.,'09',376,77,299,353,73,280,9,1,8,5,2,3,5,1,4,1,0,1,0,0,0,3,0,3
2003-2004,139959,University of Georgia,First major,Bachelor's degree,Architecture and related services.,'04',66,49,17,63,47,16,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2003-2004,139959,University of Georgia,First major,Bachelor's degree,Foreign languages- literatures- and linguistics.,'16',139,36,103,123,34,89,5,0,5,6,1,5,2,1,1,1,0,1,0,0,0,2,0,2
2003-2004,139959,University of Georgia,First major,Bachelor's degree,Education.,'13',613,140,473,572,131,441,26,4,22,4,2,2,10,2,8,0,0,0,0,0,0,1,1,0
2003-2004,139959,University of Georgia,First major,Bachelor's degree,Engineering.,'14',29,24,5,27,22,5,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,139959,University of Georgia,First major,Bachelor's degree,Liberal arts and sciences- general studies and humanities.,'24',36,15,21,34,14,20,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
2003-2004,139959,University of Georgia,First major,Bachelor's degree,Multi/interdisciplinary studies.,'30',49,10,39,44,10,34,2,0,2,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
2003-2004,139959,University of Georgia,First major,Bachelor's degree,Natural resources and conservation.,'03',57,36,21,52,35,17,2,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1
2003-2004,139959,University of Georgia,First major,Bachelor's degree,Philosophy and religious studies.,'38',53,34,19,51,33,18,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,139959,University of Georgia,First major,Bachelor's degree,Physical sciences.,'40',33,18,15,28,17,11,3,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
2003-2004,139959,University of Georgia,First major,Bachelor's degree,Psychology.,'42',300,76,224,264,66,198,13,1,12,6,4,2,15,5,10,1,0,1,0,0,0,1,0,1
2003-2004,139959,University of Georgia,First major,Bachelor's degree,Computer and information sciences and support services.,'11',51,45,6,44,40,4,3,2,1,1,1,0,1,1,0,0,0,0,0,0,0,2,1,1
2003-2004,139959,University of Georgia,First major,Bachelor's degree,English language and literature/letters.,'23',263,101,162,239,94,145,17,4,13,1,0,1,4,1,3,1,1,0,0,0,0,1,1,0
2003-2004,139959,University of Georgia,First major,Bachelor's degree,Family and consumer sciences/human sciences.,'19',264,64,200,248,60,188,10,4,6,1,0,1,4,0,4,1,0,1,0,0,0,0,0,0
2003-2004,139959,University of Georgia,First major,Bachelor's degree,History,'54',129,75,54,123,72,51,4,2,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
2003-2004,139959,University of Georgia,First major,Bachelor's degree,Mathematics and statistics.,'27',33,18,15,32,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2003-2004,139959,University of Georgia,First major,Bachelor's degree,Parks- recreation- leisure- and fitness studies.,'31',36,19,17,33,17,16,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,139959,University of Georgia,First major,Bachelor's degree,Public administration and social service professions.,'44',37,4,33,32,3,29,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,139959,University of Georgia,First major,Bachelor's degree,Social sciences.,'45',538,281,257,462,243,219,25,12,13,10,4,6,30,16,14,2,0,2,0,0,0,9,6,3
2003-2004,139959,University of Georgia,First major,Bachelor's degree,Agriculture- agriculture operations- and related sciences.,'01',182,102,80,173,99,74,1,0,1,3,1,2,1,1,0,0,0,0,0,0,0,4,1,3
2003-2004,139959,University of Georgia,First major,Bachelor's degree,Communications technologies/technicians and support services.,'10',107,52,55,91,48,43,11,0,11,2,1,1,2,2,0,0,0,0,0,0,0,1,1,0
2003-2004,139959,University of Georgia,First major,Bachelor's degree,Health professions and related clinical sciences.,'51',105,12,93,94,10,84,5,1,4,1,0,1,4,1,3,0,0,0,0,0,0,1,0,1
2003-2004,139959,University of Georgia,First major,Bachelor's degree,Security and protective services.,'43',75,33,42,69,30,39,4,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,139959,University of Georgia,First major,Bachelor's degree,Visual and performing arts.,'50',245,74,171,227,71,156,5,1,4,3,0,3,9,1,8,0,0,0,0,0,0,1,1,0
2003-2004,157289,University of Louisville,First major,Bachelor's degree,Area- ethnic- cultural- and gender studies.,'05',10,2,8,4,0,4,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,157289,University of Louisville,First major,Bachelor's degree,Communication- journalism- and related programs.,'09',140,49,91,114,40,74,25,8,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2003-2004,157289,University of Louisville,First major,Bachelor's degree,Education.,'13',64,42,22,43,32,11,17,7,10,3,2,1,0,0,0,0,0,0,0,0,0,1,1,0
2003-2004,157289,University of Louisville,First major,Bachelor's degree,Engineering.,'14',169,140,29,142,122,20,12,7,5,2,2,0,11,7,4,0,0,0,1,1,0,1,1,0
2003-2004,157289,University of Louisville,First major,Bachelor's degree,English language and literature/letters.,'23',63,24,39,51,21,30,10,2,8,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
2003-2004,157289,University of Louisville,First major,Bachelor's degree,Biological and biomedical sciences.,'26',70,27,43,53,21,32,7,1,6,3,1,2,5,2,3,0,0,0,1,1,0,1,1,0
2003-2004,157289,University of Louisville,First major,Bachelor's degree,History,'54',45,27,18,43,26,17,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,157289,University of Louisville,First major,Bachelor's degree,Liberal arts and sciences- general studies and humanities.,'24',37,6,31,32,5,27,4,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2003-2004,157289,University of Louisville,First major,Bachelor's degree,Visual and performing arts.,'50',121,40,81,102,32,70,6,2,4,3,1,2,9,4,5,0,0,0,1,1,0,0,0,0
2003-2004,157289,University of Louisville,First major,Bachelor's degree,Business- management- marketing- and related support services.,'52',454,255,199,388,229,159,34,13,21,5,3,2,18,6,12,0,0,0,0,0,0,9,4,5
2003-2004,157289,University of Louisville,First major,Bachelor's degree,Foreign languages- literatures- and linguistics.,'16',21,5,16,21,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,157289,University of Louisville,First major,Bachelor's degree,Health professions and related clinical sciences.,'51',99,7,92,87,5,82,8,1,7,1,0,1,3,1,2,0,0,0,0,0,0,0,0,0
2003-2004,157289,University of Louisville,First major,Bachelor's degree,Physical sciences.,'40',22,12,10,17,10,7,2,1,1,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0
2003-2004,157289,University of Louisville,First major,Bachelor's degree,Security and protective services.,'43',101,47,54,70,34,36,26,12,14,3,0,3,2,1,1,0,0,0,0,0,0,0,0,0
2003-2004,157289,University of Louisville,First major,Bachelor's degree,Mathematics and statistics.,'27',22,10,12,18,8,10,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
2003-2004,157289,University of Louisville,First major,Bachelor's degree,Parks- recreation- leisure- and fitness studies.,'31',111,55,56,77,40,37,24,9,15,4,2,2,3,2,1,0,0,0,0,0,0,3,2,1
2003-2004,157289,University of Louisville,First major,Bachelor's degree,Philosophy and religious studies.,'38',7,5,2,6,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,157289,University of Louisville,First major,Bachelor's degree,Psychology.,'42',158,32,126,131,29,102,23,2,21,1,0,1,1,1,0,0,0,0,2,0,2,0,0,0
2003-2004,157289,University of Louisville,First major,Bachelor's degree,Social sciences.,'45',176,69,107,135,52,83,34,15,19,2,0,2,2,0,2,1,1,0,0,0,0,2,1,1
2003-2004,135726,University of Miami,First major,Bachelor's degree,Architecture and related services.,'04',38,24,14,20,14,6,0,0,0,11,6,5,0,0,0,0,0,0,0,0,0,7,4,3
2003-2004,135726,University of Miami,First major,Bachelor's degree,Biological and biomedical sciences.,'26',201,72,129,78,31,47,15,4,11,57,18,39,40,15,25,0,0,0,2,1,1,9,3,6
2003-2004,135726,University of Miami,First major,Bachelor's degree,Legal professions and studies.,'22',30,11,19,13,4,9,4,2,2,9,2,7,0,0,0,1,1,0,3,2,1,0,0,0
2003-2004,135726,University of Miami,First major,Bachelor's degree,Philosophy and religious studies.,'38',9,3,6,3,0,3,0,0,0,4,2,2,2,1,1,0,0,0,0,0,0,0,0,0
2003-2004,135726,University of Miami,First major,Bachelor's degree,Physical sciences.,'40',31,17,14,17,12,5,2,1,1,6,2,4,3,1,2,0,0,0,1,0,1,2,1,1
2003-2004,135726,University of Miami,First major,Bachelor's degree,Social sciences.,'45',161,73,88,76,33,43,14,4,10,48,28,20,4,2,2,0,0,0,10,4,6,9,2,7
2003-2004,135726,University of Miami,First major,Bachelor's degree,Visual and performing arts.,'50',250,128,122,166,89,77,15,7,8,42,17,25,6,6,0,1,1,0,2,1,1,18,7,11
2003-2004,135726,University of Miami,First major,Bachelor's degree,Communication- journalism- and related programs.,'09',205,51,154,111,31,80,9,0,9,62,12,50,4,0,4,0,0,0,6,3,3,13,5,8
2003-2004,135726,University of Miami,First major,Bachelor's degree,Computer and information sciences and support services.,'11',55,38,17,17,14,3,9,4,5,13,10,3,4,2,2,0,0,0,0,0,0,12,8,4
2003-2004,135726,University of Miami,First major,Bachelor's degree,Education.,'13',52,3,49,30,3,27,2,0,2,12,0,12,3,0,3,0,0,0,1,0,1,4,0,4
2003-2004,135726,University of Miami,First major,Bachelor's degree,History,'54',29,16,13,17,10,7,0,0,0,8,3,5,3,2,1,0,0,0,0,0,0,1,1,0
2003-2004,135726,University of Miami,First major,Bachelor's degree,Liberal arts and sciences- general studies and humanities.,'24',39,19,20,12,7,5,14,7,7,12,5,7,0,0,0,1,0,1,0,0,0,0,0,0
2003-2004,135726,University of Miami,First major,Bachelor's degree,Multi/interdisciplinary studies.,'30',13,6,7,7,5,2,0,0,0,4,1,3,2,0,2,0,0,0,0,0,0,0,0,0
2003-2004,135726,University of Miami,First major,Bachelor's degree,Natural resources and conservation.,'03',11,2,9,10,2,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,135726,University of Miami,First major,Bachelor's degree,Business- management- marketing- and related support services.,'52',503,267,236,238,146,92,41,15,26,120,52,68,24,11,13,0,0,0,17,11,6,63,32,31
2003-2004,135726,University of Miami,First major,Bachelor's degree,Engineering.,'14',175,123,52,66,53,13,19,11,8,52,36,16,12,5,7,1,1,0,2,2,0,23,15,8
2003-2004,135726,University of Miami,First major,Bachelor's degree,English language and literature/letters.,'23',59,21,38,28,10,18,8,3,5,17,8,9,4,0,4,0,0,0,2,0,2,0,0,0
2003-2004,135726,University of Miami,First major,Bachelor's degree,Area- ethnic- cultural- and gender studies.,'05',6,1,5,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,135726,University of Miami,First major,Bachelor's degree,Mathematics and statistics.,'27',11,7,4,6,5,1,1,0,1,2,1,1,1,1,0,0,0,0,0,0,0,1,0,1
2003-2004,135726,University of Miami,First major,Bachelor's degree,Foreign languages- literatures- and linguistics.,'16',8,2,6,2,1,1,1,0,1,4,1,3,1,0,1,0,0,0,0,0,0,0,0,0
2003-2004,135726,University of Miami,First major,Bachelor's degree,Health professions and related clinical sciences.,'51',119,11,108,54,6,48,16,0,16,31,4,27,11,1,10,2,0,2,2,0,2,3,0,3
2003-2004,135726,University of Miami,First major,Bachelor's degree,Parks- recreation- leisure- and fitness studies.,'31',2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,135726,University of Miami,First major,Bachelor's degree,Psychology.,'42',144,28,116,49,10,39,18,1,17,63,14,49,11,2,9,1,0,1,0,0,0,2,1,1
2003-2004,135726,University of Miami,First major,Bachelor's degree,Public administration and social service professions.,'44',4,2,2,3,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,170976,University of Michigan-Ann Arbor,First major,Bachelor's degree,Education.,'13',122,29,93,106,27,79,5,1,4,2,0,2,6,1,5,0,0,0,3,0,3,0,0,0
2003-2004,170976,University of Michigan-Ann Arbor,First major,Bachelor's degree,Liberal arts and sciences- general studies and humanities.,'24',190,109,81,126,78,48,26,6,20,10,6,4,11,8,3,2,1,1,14,9,5,1,1,0
2003-2004,170976,University of Michigan-Ann Arbor,First major,Bachelor's degree,Multi/interdisciplinary studies.,'30',76,25,51,56,17,39,4,1,3,1,0,1,12,6,6,0,0,0,2,0,2,1,1,0
2003-2004,170976,University of Michigan-Ann Arbor,First major,Bachelor's degree,Natural resources and conservation.,'03',76,27,49,65,22,43,0,0,0,2,1,1,4,2,2,0,0,0,2,1,1,3,1,2
2003-2004,170976,University of Michigan-Ann Arbor,First major,Bachelor's degree,Philosophy and religious studies.,'38',59,43,16,38,27,11,2,1,1,3,2,1,9,7,2,1,1,0,5,4,1,1,1,0
2003-2004,170976,University of Michigan-Ann Arbor,First major,Bachelor's degree,Visual and performing arts.,'50',381,151,230,291,121,170,20,7,13,15,4,11,30,11,19,5,3,2,14,3,11,6,2,4
2003-2004,170976,University of Michigan-Ann Arbor,First major,Bachelor's degree,Business- management- marketing- and related support services.,'52',385,213,172,248,135,113,11,2,9,12,7,5,70,43,27,0,0,0,13,9,4,31,17,14
2003-2004,170976,University of Michigan-Ann Arbor,First major,Bachelor's degree,Foreign languages- literatures- and linguistics.,'16',145,43,102,93,29,64,5,1,4,16,5,11,13,1,12,1,0,1,13,6,7,4,1,3
2003-2004,170976,University of Michigan-Ann Arbor,First major,Bachelor's degree,Health professions and related clinical sciences.,'51',130,12,118,107,9,98,3,1,2,6,0,6,8,1,7,2,0,2,4,1,3,0,0,0
2003-2004,170976,University of Michigan-Ann Arbor,First major,Bachelor's degree,History,'54',234,129,105,168,95,73,14,6,8,15,8,7,23,11,12,2,2,0,12,7,5,0,0,0
2003-2004,170976,University of Michigan-Ann Arbor,First major,Bachelor's degree,Psychology.,'42',632,175,457,422,118,304,55,12,43,37,17,20,82,19,63,2,1,1,25,6,19,9,2,7
2003-2004,170976,University of Michigan-Ann Arbor,First major,Bachelor's degree,Area- ethnic- cultural- and gender studies.,'05',71,17,54,38,8,30,13,2,11,4,1,3,10,3,7,1,0,1,4,2,2,1,1,0
2003-2004,170976,University of Michigan-Ann Arbor,First major,Bachelor's degree,Biological and biomedical sciences.,'26',325,157,168,217,102,115,13,6,7,4,2,2,75,38,37,1,0,1,7,4,3,8,5,3
2003-2004,170976,University of Michigan-Ann Arbor,First major,Bachelor's degree,Communication- journalism- and related programs.,'09',192,43,149,138,30,108,12,3,9,5,2,3,19,4,15,1,0,1,12,2,10,5,2,3
2003-2004,170976,University of Michigan-Ann Arbor,First major,Bachelor's degree,Engineering.,'14',1046,743,303,607,436,171,56,31,25,26,21,5,170,114,56,4,3,1,45,37,8,138,101,37
2003-2004,170976,University of Michigan-Ann Arbor,First major,Bachelor's degree,English language and literature/letters.,'23',347,117,230,254,95,159,30,7,23,13,6,7,29,6,23,1,0,1,18,3,15,2,0,2
2003-2004,170976,University of Michigan-Ann Arbor,First major,Bachelor's degree,Mathematics and statistics.,'27',86,48,38,49,29,20,2,1,1,3,1,2,19,8,11,0,0,0,0,0,0,13,9,4
2003-2004,170976,University of Michigan-Ann Arbor,First major,Bachelor's degree,Physical sciences.,'40',72,50,22,52,36,16,5,3,2,5,3,2,3,2,1,0,0,0,2,2,0,5,4,1
2003-2004,170976,University of Michigan-Ann Arbor,First major,Bachelor's degree,Architecture and related services.,'04',89,36,53,68,29,39,2,1,1,3,1,2,9,1,8,3,1,2,2,2,0,2,1,1
2003-2004,170976,University of Michigan-Ann Arbor,First major,Bachelor's degree,Computer and information sciences and support services.,'11',200,173,27,112,99,13,4,4,0,2,2,0,44,33,11,1,1,0,14,13,1,23,21,2
2003-2004,170976,University of Michigan-Ann Arbor,First major,Bachelor's degree,Parks- recreation- leisure- and fitness studies.,'31',136,63,73,101,48,53,19,8,11,5,1,4,4,3,1,0,0,0,4,3,1,3,0,3
2003-2004,170976,University of Michigan-Ann Arbor,First major,Bachelor's degree,Social sciences.,'45',929,501,428,551,294,257,68,29,39,47,24,23,173,99,74,10,7,3,27,13,14,53,35,18
2003-2004,181464,University of Nebraska-Lincoln,First major,Bachelor's degree,Architecture and related services.,'04',59,27,32,52,25,27,1,1,0,0,0,0,1,0,1,0,0,0,5,1,4,0,0,0
2003-2004,181464,University of Nebraska-Lincoln,First major,Bachelor's degree,Area- ethnic- cultural- and gender studies.,'05',5,0,5,4,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,181464,University of Nebraska-Lincoln,First major,Bachelor's degree,Computer and information sciences and support services.,'11',50,42,8,29,25,4,0,0,0,1,1,0,0,0,0,1,1,0,2,2,0,17,13,4
2003-2004,181464,University of Nebraska-Lincoln,First major,Bachelor's degree,Biological and biomedical sciences.,'26',143,65,78,130,60,70,0,0,0,3,2,1,4,3,1,1,0,1,0,0,0,5,0,5
2003-2004,181464,University of Nebraska-Lincoln,First major,Bachelor's degree,Business- management- marketing- and related support services.,'52',703,400,303,598,344,254,7,4,3,12,6,6,10,7,3,1,0,1,22,15,7,53,24,29
2003-2004,181464,University of Nebraska-Lincoln,First major,Bachelor's degree,Communication- journalism- and related programs.,'09',280,92,188,253,79,174,13,8,5,3,1,2,3,1,2,0,0,0,6,3,3,2,0,2
2003-2004,181464,University of Nebraska-Lincoln,First major,Bachelor's degree,Family and consumer sciences/human sciences.,'19',164,8,156,147,7,140,2,0,2,2,0,2,2,0,2,0,0,0,5,0,5,6,1,5
2003-2004,181464,University of Nebraska-Lincoln,First major,Bachelor's degree,History,'54',57,42,15,41,31,10,3,2,1,4,2,2,1,1,0,4,3,1,3,2,1,1,1,0
2003-2004,181464,University of Nebraska-Lincoln,First major,Bachelor's degree,Liberal arts and sciences- general studies and humanities.,'24',3,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,181464,University of Nebraska-Lincoln,First major,Bachelor's degree,Mathematics and statistics.,'27',23,14,9,18,11,7,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,2,0,2
2003-2004,181464,University of Nebraska-Lincoln,First major,Bachelor's degree,Multi/interdisciplinary studies.,'30',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,181464,University of Nebraska-Lincoln,First major,Bachelor's degree,Parks- recreation- leisure- and fitness studies.,'31',34,15,19,30,12,18,3,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2003-2004,181464,University of Nebraska-Lincoln,First major,Bachelor's degree,Engineering technologies/technicians.,'15',90,86,4,85,81,4,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0
2003-2004,181464,University of Nebraska-Lincoln,First major,Bachelor's degree,Foreign languages- literatures- and linguistics.,'16',32,8,24,26,5,21,0,0,0,3,1,2,0,0,0,0,0,0,2,1,1,1,1,0
2003-2004,181464,University of Nebraska-Lincoln,First major,Bachelor's degree,Physical sciences.,'40',28,16,12,26,14,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
2003-2004,181464,University of Nebraska-Lincoln,First major,Bachelor's degree,Public administration and social service professions.,'44',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,181464,University of Nebraska-Lincoln,First major,Bachelor's degree,Philosophy and religious studies.,'38',8,6,2,7,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,181464,University of Nebraska-Lincoln,First major,Bachelor's degree,Social sciences.,'45',147,79,68,119,63,56,5,2,3,3,1,2,3,1,2,0,0,0,6,4,2,11,8,3
2003-2004,181464,University of Nebraska-Lincoln,First major,Bachelor's degree,Engineering.,'14',308,267,41,262,226,36,3,3,0,2,1,1,6,6,0,0,0,0,11,10,1,24,21,3
2003-2004,181464,University of Nebraska-Lincoln,First major,Bachelor's degree,Health professions and related clinical sciences.,'51',73,24,49,70,23,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1
2003-2004,181464,University of Nebraska-Lincoln,First major,Bachelor's degree,Natural resources and conservation.,'03',32,20,12,31,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2003-2004,181464,University of Nebraska-Lincoln,First major,Bachelor's degree,Psychology.,'42',167,40,127,143,29,114,7,2,5,3,2,1,1,1,0,2,1,1,7,4,3,4,1,3
2003-2004,181464,University of Nebraska-Lincoln,First major,Bachelor's degree,Agriculture- agriculture operations- and related sciences.,'01',201,149,52,188,141,47,1,0,1,0,0,0,0,0,0,0,0,0,5,4,1,7,4,3
2003-2004,181464,University of Nebraska-Lincoln,First major,Bachelor's degree,Education.,'13',324,89,235,301,84,217,4,1,3,6,0,6,4,1,3,2,1,1,7,2,5,0,0,0
2003-2004,181464,University of Nebraska-Lincoln,First major,Bachelor's degree,English language and literature/letters.,'23',80,34,46,71,29,42,0,0,0,0,0,0,1,1,0,0,0,0,5,3,2,3,1,2
2003-2004,181464,University of Nebraska-Lincoln,First major,Bachelor's degree,Visual and performing arts.,'50',108,53,55,93,46,47,1,0,1,2,0,2,1,0,1,0,0,0,10,6,4,1,1,0
2003-2004,199120,University of North Carolina at Chapel Hill,First major,Bachelor's degree,Biological and biomedical sciences.,'26',299,103,196,217,79,138,27,9,18,4,1,3,37,11,26,3,0,3,8,2,6,3,1,2
2003-2004,199120,University of North Carolina at Chapel Hill,First major,Bachelor's degree,History,'54',175,107,68,159,97,62,8,5,3,1,1,0,3,0,3,2,2,0,1,1,0,1,1,0
2003-2004,199120,University of North Carolina at Chapel Hill,First major,Bachelor's degree,Natural resources and conservation.,'03',37,8,29,28,6,22,1,0,1,3,0,3,4,1,3,0,0,0,0,0,0,1,1,0
2003-2004,199120,University of North Carolina at Chapel Hill,First major,Bachelor's degree,Parks- recreation- leisure- and fitness studies.,'31',120,35,85,93,26,67,21,7,14,1,1,0,2,0,2,3,1,2,0,0,0,0,0,0
2003-2004,199120,University of North Carolina at Chapel Hill,First major,Bachelor's degree,Security and protective services.,'43',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,199120,University of North Carolina at Chapel Hill,First major,Bachelor's degree,Social sciences.,'45',556,327,229,439,274,165,69,24,45,7,4,3,24,15,9,3,2,1,7,4,3,7,4,3
2003-2004,199120,University of North Carolina at Chapel Hill,First major,Bachelor's degree,Computer and information sciences and support services.,'11',55,41,14,37,29,8,9,4,5,0,0,0,7,6,1,0,0,0,0,0,0,2,2,0
2003-2004,199120,University of North Carolina at Chapel Hill,First major,Bachelor's degree,Family and consumer sciences/human sciences.,'19',15,3,12,10,1,9,0,0,0,1,0,1,4,2,2,0,0,0,0,0,0,0,0,0
2003-2004,199120,University of North Carolina at Chapel Hill,First major,Bachelor's degree,Education.,'13',83,3,80,72,3,69,7,0,7,1,0,1,2,0,2,0,0,0,1,0,1,0,0,0
2003-2004,199120,University of North Carolina at Chapel Hill,First major,Bachelor's degree,Mathematics and statistics.,'27',45,29,16,34,20,14,3,2,1,0,0,0,6,5,1,0,0,0,2,2,0,0,0,0
2003-2004,199120,University of North Carolina at Chapel Hill,First major,Bachelor's degree,Psychology.,'42',353,75,278,281,65,216,44,5,39,4,1,3,13,3,10,4,0,4,7,1,6,0,0,0
2003-2004,199120,University of North Carolina at Chapel Hill,First major,Bachelor's degree,Area- ethnic- cultural- and gender studies.,'05',161,50,111,109,35,74,31,11,20,7,2,5,6,1,5,1,0,1,4,1,3,3,0,3
2003-2004,199120,University of North Carolina at Chapel Hill,First major,Bachelor's degree,Business- management- marketing- and related support services.,'52',391,228,163,311,182,129,22,11,11,5,2,3,38,20,18,0,0,0,2,2,0,13,11,2
2003-2004,199120,University of North Carolina at Chapel Hill,First major,Bachelor's degree,Communication- journalism- and related programs.,'09',614,177,437,497,148,349,82,22,60,11,3,8,14,2,12,1,0,1,4,0,4,5,2,3
2003-2004,199120,University of North Carolina at Chapel Hill,First major,Bachelor's degree,English language and literature/letters.,'23',180,43,137,150,40,110,19,2,17,3,0,3,4,1,3,1,0,1,2,0,2,1,0,1
