Year,unitid,Institution_Name,Major,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2003-2004,134097,Florida State University,First major,Bachelor's degree,Family and consumer sciences/human sciences.,'19',496,96,400,365,71,294,75,15,60,37,7,30,12,1,11,2,1,1,3,0,3,2,1,1
2003-2004,134097,Florida State University,First major,Bachelor's degree,Foreign languages- literatures- and linguistics.,'16',56,16,40,45,13,32,4,1,3,6,1,5,0,0,0,0,0,0,1,1,0,0,0,0
2003-2004,134097,Florida State University,First major,Bachelor's degree,Health professions and related clinical sciences.,'51',269,21,248,208,14,194,35,5,30,14,2,12,9,0,9,1,0,1,1,0,1,1,0,1
2003-2004,134097,Florida State University,First major,Bachelor's degree,Parks- recreation- leisure- and fitness studies.,'31',41,15,26,32,13,19,4,2,2,4,0,4,0,0,0,0,0,0,0,0,0,1,0,1
2003-2004,134097,Florida State University,First major,Bachelor's degree,Physical sciences.,'40',72,44,28,62,41,21,4,1,3,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,134097,Florida State University,First major,Bachelor's degree,Security and protective services.,'43',365,179,186,252,135,117,68,23,45,35,15,20,4,2,2,1,1,0,4,3,1,1,0,1
2003-2004,134097,Florida State University,First major,Bachelor's degree,Business- management- marketing- and related support services.,'52',1477,835,642,1100,657,443,141,52,89,119,61,58,56,30,26,5,2,3,16,11,5,40,22,18
2003-2004,134097,Florida State University,First major,Bachelor's degree,History,'54',66,39,27,56,36,20,5,0,5,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0
2003-2004,131496,Georgetown University,First major,Bachelor's degree,Area- ethnic- cultural- and gender studies.,'05',22,7,15,21,7,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2003-2004,131496,Georgetown University,First major,Bachelor's degree,Multi/interdisciplinary studies.,'30',36,15,21,26,10,16,0,0,0,2,2,0,6,1,5,0,0,0,0,0,0,2,2,0
2003-2004,131496,Georgetown University,First major,Bachelor's degree,Biological and biomedical sciences.,'26',59,35,24,42,25,17,3,3,0,3,2,1,8,3,5,0,0,0,1,1,0,2,1,1
2003-2004,131496,Georgetown University,First major,Bachelor's degree,Liberal arts and sciences- general studies and humanities.,'24',22,7,15,14,6,8,3,0,3,2,0,2,3,1,2,0,0,0,0,0,0,0,0,0
2003-2004,131496,Georgetown University,First major,Bachelor's degree,Philosophy and religious studies.,'38',22,10,12,20,9,11,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2003-2004,131496,Georgetown University,First major,Bachelor's degree,Business- management- marketing- and related support services.,'52',344,210,134,229,140,89,23,9,14,15,11,4,38,25,13,1,1,0,12,8,4,26,16,10
2003-2004,131496,Georgetown University,First major,Bachelor's degree,English language and literature/letters.,'23',147,57,90,115,48,67,13,4,9,3,2,1,10,1,9,1,1,0,3,0,3,2,1,1
2003-2004,131496,Georgetown University,First major,Bachelor's degree,Foreign languages- literatures- and linguistics.,'16',120,40,80,98,36,62,4,1,3,6,0,6,8,2,6,0,0,0,2,0,2,2,1,1
2003-2004,131496,Georgetown University,First major,Bachelor's degree,Health professions and related clinical sciences.,'51',110,11,99,81,8,73,6,1,5,9,2,7,10,0,10,1,0,1,3,0,3,0,0,0
2003-2004,131496,Georgetown University,First major,Bachelor's degree,History,'54',45,27,18,39,23,16,1,1,0,1,1,0,2,1,1,0,0,0,2,1,1,0,0,0
2003-2004,131496,Georgetown University,First major,Bachelor's degree,Social sciences.,'45',561,287,274,376,204,172,33,14,19,32,15,17,58,24,34,1,0,1,31,15,16,30,15,15
2003-2004,131496,Georgetown University,First major,Bachelor's degree,Computer and information sciences and support services.,'11',11,10,1,6,6,0,1,1,0,1,0,1,2,2,0,0,0,0,0,0,0,1,1,0
2003-2004,131496,Georgetown University,First major,Bachelor's degree,Mathematics and statistics.,'27',18,8,10,14,7,7,0,0,0,1,0,1,2,1,1,0,0,0,1,0,1,0,0,0
2003-2004,131496,Georgetown University,First major,Bachelor's degree,Physical sciences.,'40',13,9,4,11,8,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
2003-2004,131496,Georgetown University,First major,Bachelor's degree,Psychology.,'42',119,28,91,88,23,65,11,1,10,5,0,5,8,2,6,0,0,0,5,1,4,2,1,1
2003-2004,131496,Georgetown University,First major,Bachelor's degree,Visual and performing arts.,'50',21,4,17,16,3,13,0,0,0,2,0,2,2,0,2,0,0,0,1,1,0,0,0,0
2003-2004,155399,Kansas State University,First major,Bachelor's degree,Architecture and related services.,'04',99,59,40,88,53,35,1,0,1,4,2,2,0,0,0,0,0,0,3,2,1,3,2,1
2003-2004,155399,Kansas State University,First major,Bachelor's degree,Health professions and related clinical sciences.,'51',92,12,80,87,12,75,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,2,0,2
2003-2004,155399,Kansas State University,First major,Bachelor's degree,History,'54',24,20,4,21,18,3,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1,0,0,0
2003-2004,155399,Kansas State University,First major,Bachelor's degree,Mechanic and repair technologies/technicians.,'47',11,11,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,155399,Kansas State University,First major,Bachelor's degree,Biological and biomedical sciences.,'26',160,67,93,139,61,78,2,0,2,6,1,5,1,0,1,4,1,3,6,4,2,2,0,2
2003-2004,155399,Kansas State University,First major,Bachelor's degree,Computer and information sciences and support services.,'11',110,93,17,94,82,12,2,2,0,1,1,0,1,0,1,0,0,0,2,1,1,10,7,3
2003-2004,155399,Kansas State University,First major,Bachelor's degree,Engineering technologies/technicians.,'15',101,92,9,98,89,9,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0
2003-2004,155399,Kansas State University,First major,Bachelor's degree,English language and literature/letters.,'23',41,13,28,36,11,25,0,0,0,1,0,1,0,0,0,1,1,0,3,1,2,0,0,0
2003-2004,155399,Kansas State University,First major,Bachelor's degree,Family and consumer sciences/human sciences.,'19',222,21,201,203,20,183,8,0,8,2,0,2,3,0,3,3,1,2,2,0,2,1,0,1
2003-2004,155399,Kansas State University,First major,Bachelor's degree,Physical sciences.,'40',27,20,7,26,19,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2003-2004,155399,Kansas State University,First major,Bachelor's degree,Agriculture- agriculture operations- and related sciences.,'01',395,242,153,377,232,145,2,0,2,3,1,2,0,0,0,1,1,0,7,5,2,5,3,2
2003-2004,155399,Kansas State University,First major,Bachelor's degree,Engineering.,'14',297,249,48,273,227,46,4,2,2,4,4,0,6,6,0,3,3,0,4,4,0,3,3,0
2003-2004,155399,Kansas State University,First major,Bachelor's degree,Mathematics and statistics.,'27',17,12,5,16,12,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2003-2004,155399,Kansas State University,First major,Bachelor's degree,Psychology.,'42',75,22,53,65,21,44,3,0,3,2,0,2,1,0,1,2,0,2,2,1,1,0,0,0
2003-2004,155399,Kansas State University,First major,Bachelor's degree,Business- management- marketing- and related support services.,'52',600,320,280,547,302,245,10,4,6,16,6,10,10,2,8,3,3,0,9,3,6,5,0,5
2003-2004,155399,Kansas State University,First major,Bachelor's degree,Communication- journalism- and related programs.,'09',149,55,94,132,51,81,6,1,5,2,1,1,2,0,2,1,0,1,6,2,4,0,0,0
2003-2004,155399,Kansas State University,First major,Bachelor's degree,Education.,'13',355,84,271,332,76,256,3,1,2,8,2,6,4,1,3,1,1,0,7,3,4,0,0,0
2003-2004,155399,Kansas State University,First major,Bachelor's degree,Foreign languages- literatures- and linguistics.,'16',19,5,14,16,5,11,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1
2003-2004,155399,Kansas State University,First major,Bachelor's degree,Liberal arts and sciences- general studies and humanities.,'24',3,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
