"","Year","Sport","ID_School","Males","Females","White.Males","White.Females","Black.Males","Black.Females","Hispanic.Males","Hispanic.Females"
"286","1997-1998","Baseball","UNC",22,0,20,0,2,0,0,0
"287","1997-1998","Basketball","UNC",12,14,3,4,5,10,2,0
"288","1997-1998","Cross-country and/or track","UNC",21,29,11,16,7,13,2,0
"289","1997-1998","Football","UNC",84,0,25,0,57,0,0,0
"290","1997-1998","All other sports combined","UOFM",11,31,6,17,0,2,1,1
"291","1997-1998","Baseball","UOFM",7,0,6,0,0,0,1,0
"292","1997-1998","Basketball","UOFM",12,11,0,3,11,6,0,0
"293","1997-1998","Cross-country and/or track","UOFM",10,19,5,2,2,11,2,2
"294","1997-1998","Football","UOFM",69,0,16,0,48,0,4,0
"295","1997-1998","All other sports combined","USC",39,83,23,62,1,2,0,4
"296","1997-1998","Baseball","USC",17,0,11,0,1,0,3,0
"297","1997-1998","Basketball","USC",15,11,2,3,11,5,1,0
"298","1997-1998","Cross-country and/or track","USC",11,4,1,0,5,0,0,0
"299","1997-1998","Football","USC",84,0,29,0,47,0,3,0
"300","1997-1998","All other sports combined","UT",54,103,50,77,0,8,0,7
"301","1997-1998","Baseball","UT",39,0,36,0,0,0,3,0
"302","1997-1998","Basketball","UT",14,17,3,8,9,9,0,0
"303","1997-1998","Cross-country and/or track","UT",36,28,20,8,9,14,2,3
"304","1997-1998","Football","UT",86,0,40,0,46,0,0,0
"305","1997-1998","All other sports combined","UTA.ST",17,58,17,54,0,0,0,3
"306","1997-1998","Basketball","UTA.ST",13,0,5,0,8,0,0,0
"307","1997-1998","Cross-country and/or track","UTA.ST",23,32,20,30,1,0,1,0
"308","1997-1998","Football","UTA.ST",77,0,39,0,28,0,3,0
"309","1997-1998","All other sports combined","VANDY",33,53,31,39,0,1,0,1
"310","1997-1998","Baseball","VANDY",21,0,19,0,1,0,0,0
"311","1997-1998","Basketball","VANDY",13,14,7,7,5,7,0,0
"312","1997-1998","Cross-country and/or track","VANDY",0,24,0,16,0,4,0,0
"313","1997-1998","Football","VANDY",91,0,38,0,50,0,2,0
"314","1998-1999","All other sports combined","AUB",41,96,31,85,0,3,1,2
"315","1998-1999","Baseball","AUB",21,0,21,0,0,0,0,0
"316","1998-1999","Basketball","AUB",11,15,2,3,8,11,0,0
"317","1998-1999","Cross-country and/or track","AUB",22,21,14,10,5,8,0,0
"318","1998-1999","Football","AUB",88,0,34,0,54,0,0,0
"319","1998-1999","All other sports combined","BAMA",33,85,18,64,0,5,1,4
