ID_Sport,ID_School,Season,Number,Player,Player,First_Name,Last_Name,Position,Height,Weight,Class,Experience,Hometown/Prior_School,Player_URL
MBBALL,UF,2008-2009,21,Dan Werner,Dan Werner,Dan,Werner,F,6/8/13,230,Jr.,2L,"Middletown, N.J./Christian Brothers Academy",http://gatorzone.com/basketball/men/bios.php?player_id=14
MBBALL,UF,2009-2010,14,Adam Allen,Adam Allen,Adam,Allen,F,6/8/13,222,RSSo.,1L,"Milton, Fla./Milton",http://gatorzone.com/basketball/men/bios.php?player_id=15
MBBALL,UF,2009-2010,1,Kenny Boynton,Kenny Boynton,Kenny,Boynton,G,6/2/13,183,Fr.,HS,"Pompano Beach, Fla./American Heritage",http://gatorzone.com/basketball/men/bios.php?player_id=30
MBBALL,UF,2009-2010,40,Hudson Fricke,Hudson Fricke,Hudson,Fricke,G,6/1/13,193,Jr.,2L,"Greenville, S.C./ Southside Christian",http://gatorzone.com/basketball/men/bios.php?player_id=17
MBBALL,UF,2009-2010,30,Kenny Kadji,Kenny Kadji,Kenny,Kadji,F/C,6/10/13,248,So.,1L,"Pendleton/IMG Academy/Douala, Cameroon",http://gatorzone.com/basketball/men/bios.php?player_id=24
MBBALL,UF,2009-2010,32,Vernon Macklin,Vernon Macklin,Vernon,Macklin,F/C,6/10/13,240,RSJr.,TR,"Portsmouth, Va./Georgetown",http://gatorzone.com/basketball/men/bios.php?player_id=25
MBBALL,UF,2009-2010,20,Kyle McClanahan,Kyle McClanahan,Kyle,McClanahan,G,6/1/13,185,So.,1L,"Maitland, Fla./Winter Park",http://gatorzone.com/basketball/men/bios.php?player_id=26
MBBALL,UF,2009-2010,33,Erik Murphy,Erik Murphy,Erik,Murphy,F,6/9/13,217,Fr.,HS,"South Kingstown, R.I./St. Mark’s (Mass.)",http://gatorzone.com/basketball/men/bios.php?player_id=31
MBBALL,UF,2009-2010,25,Chandler Parsons,Chandler Parsons,Chandler,Parsons,F,6/9/13,215,Jr.,2L,"Casselberry, Fla./Lake Howell",http://gatorzone.com/basketball/men/bios.php?player_id=19
MBBALL,UF,2009-2010,3,Ray Shipman,Ray Shipman,Ray,Shipman,G/F,6/5/13,210,So.,1L,"Miramar, Fla./Monsignor Pace",http://gatorzone.com/basketball/men/bios.php?player_id=27
MBBALL,UF,2009-2010,42,Rod Tishman,Rod Tishman,Rod,Tishman,G,6/5/13,182,Fr.,HS,"Tel Aviv, Israel/Maccabi Teddy Tel Aviv",http://gatorzone.com/basketball/men/bios.php?player_id=32
MBBALL,UF,2009-2010,23,Alex Tyus,Alex Tyus,Alex,Tyus,F,6/8/13,220,Jr.,2L,"St. Louis, Mo./Harmony Community",http://gatorzone.com/basketball/men/bios.php?player_id=21
MBBALL,UF,2009-2010,11,Erving Walker,Erving Walker,Erving,Walker,G,5/8/13,171,So.,1L,"Brooklyn, N.Y./Christ the King",http://gatorzone.com/basketball/men/bios.php?player_id=29
MBBALL,UF,2009-2010,21,Dan Werner,Dan Werner,Dan,Werner,F,6/8/13,230,Sr.,3L,"Middletown, N.J./Christian Brothers Academy",http://gatorzone.com/basketball/men/bios.php?player_id=14
