ID_Sport,ID_School,Season,Number,Player,Last_Name,First_Name,Height,Weight,Position,Year,Hometown/Prior_School,Player_URL
ND,MBBALL,2011-2012,33,Mike Broghammer,Broghammer,Mike,6/9/13,243,Forward,SR,"Orono, MN/Hopkins",http://www.und.com/sports/m-baskbl/mtt/broghammer_mike00.html
ND,MBBALL,2011-2012,45,Jack Cooley,Cooley,Jack,6/9/13,244,Forward,SR,"Glenview, IL/Glenbrook South",http://www.und.com/sports/m-baskbl/mtt/cooley_jack00.html
ND,MBBALL,2012-2013,0,Eric Atkins,Atkins,Eric,6/2/13,182,Guard,JR,"Columbia, MD/Mount Saint Joseph",http://www.und.com/sports/m-baskbl/mtt/atkins_eric00.html
ND,MBBALL,2012-2013,1,Cameron Biedscheid,Biedscheid,Cameron,6/7/13,186,Forward,FR,"St. Louis, MO/Cardinal Ritter College Prep",http://www.und.com/sports/m-baskbl/mtt/biedscheid_cameron00.html
ND,MBBALL,2012-2013,2,Zach Auguste,Auguste,Zach,6/10/13,230,Forward,FR,"Marlborough, MA/New Hampton School",http://www.und.com/sports/m-baskbl/mtt/auguste_zach00.html
ND,MBBALL,2012-2013,4,Patrick Crowley,Crowley,Patrick,6/3/13,195,Guard,JR,"Los Gatos, CA/St. Francis",http://www.und.com/sports/m-baskbl/mtt/crowley_patrick00.html
ND,MBBALL,2012-2013,11,Garrick Sherman,Sherman,Garrick,6/10/13,246,Center,SR,"Kenton, OH/Kenton/Michigan State",http://www.und.com/sports/m-baskbl/mtt/sherman_garrick00.html
ND,MBBALL,2012-2013,14,Scott Martin,Martin,Scott,6/8/13,218,Guard,GS,"Valparaiso, IN/Valparaiso/Purdue",http://www.und.com/sports/m-baskbl/mtt/martin_scott00.html
ND,MBBALL,2012-2013,15,Eric Katenda,Katenda,Eric,6/9/13,222,Forward,FR,"Paris, France/Sunrise Christian Academy (KS)",http://www.und.com/sports/m-baskbl/mtt/katenda_eric00.html
ND,MBBALL,2012-2013,20,Austin Burgett,Burgett,Austin,6/9/13,214,Forward,FR,"Avon, IN/Avon",http://www.und.com/sports/m-baskbl/mtt/burgett_austin00.html
ND,MBBALL,2012-2013,22,Jerian Grant,Grant,Jerian,6/5/13,202,Guard,JR,"Bowie, MD/DeMatha",http://www.und.com/sports/m-baskbl/mtt/grant_jerian00.html
ND,MBBALL,2012-2013,24,Pat Connaughton,Connaughton,Pat,6/5/13,212,Guard/Forward,SO,"Arlington, MA/St. John's Prep",http://www.und.com/sports/m-baskbl/mtt/connaughton_pat00.html
ND,MBBALL,2012-2013,25,Tom Knight,Knight,Tom,6/10/13,258,Forward,SR,"Dixfield, ME/Dirigo",http://www.und.com/sports/m-baskbl/mtt/knight_tom00.html
ND,MBBALL,2012-2013,32,Joey Brooks,Brooks,Joey,6/6/13,223,Guard,SR,"Houston, TX/Strake Jesuit College Prep",http://www.und.com/sports/m-baskbl/mtt/brooks_joey00.html
ND,MBBALL,2012-2013,33,Mike Broghammer,Broghammer,Mike,6/9/13,243,Forward,SR,"Orono, MN/Hopkins",http://www.und.com/sports/m-baskbl/mtt/broghammer_mike00.html
ND,MBBALL,2012-2013,45,Jack Cooley,Cooley,Jack,6/9/13,246,Forward,SR,"Glenview, IL/Glenbrook South",http://www.und.com/sports/m-baskbl/mtt/cooley_jack00.html
