Player,Draft Year,Height Without Shoes,Height Without Shoes (inches),Height,Height (inches),Weight (lbs),Wingspan,Wingspan (inches),Reach,Reach (inches),Body Fat (%),Hand Length (inches),Hand Width (inches),No Step Verticle (inches),No Step Verticle Reach,No Step Verticle Reach (inches),Max Verticle (Inches),Max Verticle Reach,Max Verticle Reach (inches),Bench Press (reps of 185lbs.),Lane Agility Drill ,Sprint (3 Quarter Court in seconds),Predraft Rank,Draft Number,Draftexpress_Player_URL,Source,ID.Date
Daniel Ochefu,2011,NA,NA,"6' 10.5""",82.5,232,"7' 3""",87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Daniel-Ochefu-6272/,Draftexpress,5/1/11
Daniel Ochefu,2011,NA,NA,"6' 10.5""",82.5,232,"7' 3""",87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Daniel-Ochefu-6272/,Draftexpress,5/1/11
Daniel Ochefu,2010,NA,NA,"6' 10.5""",82.5,225,"7' 3""",87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Daniel-Ochefu-6272/,Draftexpress,5/1/10
Daniel Kickert,2006,"6' 10""",82,"6' 10.5""",82.5,253,"6' 10.25""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Daniel-Kickert-469/,Draftexpress,5/1/06
Daniel Horton,2006,"6' 0.5""",72.5,"6' 2.25""",74.25,198,"6' 7""",NA,"8' 0.5""",96.5,8.00%,NA,NA,30,"10' 6.5""",126.5,36.5,"11' 1""",133,17,10.35,3.16,4,NA,http://draftexpress.com/profile/Daniel-Horton-127/,Draftexpress,5/1/06
Daniel Horton,2006,"6' 2""",74,"6' 3.25""",75.25,201,"6' 7""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Daniel-Horton-127/,Draftexpress,5/1/06
Daniel Hackett,2009,"6' 4.25""",76.25,"6' 5.5""",77.5,210,"6' 4.25""",76.25,"8' 3""",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,http://draftexpress.com/profile/Daniel-Hackett-1384/,Draftexpress,5/1/09
Daniel Diez,2012,"6' 6.75""",78.75,"6' 8""",80,204,"6' 5.75""",77.75,"8' 5""",101,NA,NA,NA,26.5,"10' 7.5""",127.5,31,"11' 0""",132,NA,10.67,3.46,NA,NA,http://draftexpress.com/profile/Daniel-Diez-6180/,Draftexpress,5/1/12
Daniel Clark,2010,"6' 10.68""",82.68,"6' 11.86""",83.86,241,"7' 1.43""",85.43,"9' 3.02""",111.02,NA,NA,NA,23.2,"11' 2.22""",134.22,28.7,"11' 7.72""",139.72,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Daniel-Clark-337/,Draftexpress,5/1/10
Daniel Bejarano,2009,NA,NA,"6' 3.5""",75.5,204,"6' 5""",77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Daniel-Bejarano-5761/,Draftexpress,5/1/09
Daniel Bejarano,2009,NA,NA,"6' 3.5""",75.5,204,"6' 5""",77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Daniel-Bejarano-5761/,Draftexpress,5/1/09
Dan Grunfeld,2006,"6' 4.75""",76.75,"6' 6""",78,216,"6' 6.25""",NA,"8' 3""",99,10.40%,NA,NA,28,"10' 7""",127,33.5,"11' 0.5""",132.5,16,11.3,3.46,42,NA,http://draftexpress.com/profile/Dan-Grunfeld-396/,Draftexpress,5/1/06
D'Angelo Harrison,2010,"6' 2""",74,NA,NA,189,"6' 5""",77,"8' 1""",97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/D-Angelo-Harrison-42001/,Draftexpress,5/1/10
Daniel Alexander,2009,NA,NA,"6' 8""",80,192,"6' 6""",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Dan-Alexander-16951/,Draftexpress,5/1/09
Daniel Alexander,2009,NA,NA,"6' 8""",80,192,"6' 6""",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Dan-Alexander-16951/,Draftexpress,5/1/09
Dana Barros,1989,"5' 10""",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,http://draftexpress.com/profile/Dana-BarrosNA5/,Draftexpress,5/1/89
Damone Thornton,2001,"6' 6.75""",78.75,"6' 7.75""",79.75,235,"7' 1.75""",NA,"8' 7.75""",103.75,NA,NA,NA,33.5,"11' 5.25""",137.25,37.5,"11' 9.25""",141.25,19,11.17,3.2,4,NA,http://draftexpress.com/profile/Damon-Thornton-37797/,Draftexpress,5/1/01
Damon Hancock,2002,"6' 2.75""",74.75,"6' 3.75""",75.75,203,"6' 6""",NA,"8' 3.5""",99.5,NA,NA,NA,32,"10' 11.5""",131.5,35,"11' 2.5""",134.5,15,11.62,3.03,6,NA,http://draftexpress.com/profile/Damon-Hancock-34116/,Draftexpress,5/1/02
Damone Brown,2001,"6' 8.25""",80.25,"6' 9.5""",81.5,202,"6' 11.75""",NA,"8' 8.5""",104.5,NA,NA,NA,32,"11' 4.5""",136.5,37,"11' 9.5""",141.5,6,11.81,3.27,45,36,http://draftexpress.com/profile/Damone-Brown-1818/,Draftexpress,5/1/01
Damion James,2010,"6' 6.25""",78.25,"6' 7.75""",79.75,227,"7' 0.75""",84.75,"8' 11""",107,9.60%,9.25,8.5,29,"11' 4""",136,33,"11' 8""",140,13,10.89,3.2,NA,16,http://draftexpress.com/profile/Damion-James-1074/,Draftexpress,5/1/10
Damion James,2009,"6' 6.25""",78.25,"6' 7.5""",79.5,224,"7' 0.75""",84.75,"8' 10""",106,8.20%,9.25,8.5,30,"11' 4""",136,37,"11' 11""",143,14,11.23,3.09,NA,16,http://draftexpress.com/profile/Damion-James-1074/,Draftexpress,5/1/09
Damien Wilson,2011,NA,NA,"6' 6""",78,188,"6' 7""",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Damien-Wilson-7090/,Draftexpress,5/1/11
Damien Wilkins,2004,"6' 4.5""",76.5,"6' 6""",78,222,"7' 0""",NA,"8' 10""",106,NA,NA,NA,26.5,"11' 0.5""",132.5,31,"11' 5""",137,15,11.92,3.15,31,NA,http://draftexpress.com/profile/Damien-Wilkins-4870/,Draftexpress,5/1/04
Damien Wilkins,2001,"6' 4.5""",76.5,"6' 6""",78,223,"7' 0.25""",NA,"8' 6""",102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,http://draftexpress.com/profile/Damien-Wilkins-4870/,Draftexpress,5/1/01
Damian Saunders,2011,"6' 6.5""",78.5,"6' 8""",80,217,"7' 0""",84,"8' 8.5""",104.5,7.50%,9.5,NA,26.5,"10' 11""",131,36,"11' 8.5""",140.5,NA,9.69,4.14,NA,NA,http://draftexpress.com/profile/Damian-Saunders-5084/,Draftexpress,5/1/11
Damian Saunders,2011,"6' 6.5""",78.5,NA,NA,214,"6' 11.5""",83.5,"8' 8.75""",104.75,NA,NA,NA,26.5,"10' 11.25""",131.25,NA,NA,NA,NA,13.81,3.52,NA,NA,http://draftexpress.com/profile/Damian-Saunders-5084/,Draftexpress,5/1/11
Damian Lillard,2012,"6' 1.75""",73.75,"6' 2.75""",74.75,189,"6' 7.75""",79.75,"7' 11.5""",95.5,5.90%,8.75,9.75,34.5,"10' 10""",130,39.5,"11' 3""",135,13,11.15,3.34,NA,6,http://draftexpress.com/profile/Damian-Lillard-6152/,Draftexpress,5/1/12
Dallas Lauderdale,2011,"6' 7.5""",79.5,NA,NA,265,"7' 6.5""",90.5,"8' 11.75""",107.75,NA,NA,NA,32,"11' 7.75""",139.75,NA,NA,NA,NA,13.09,3.46,NA,NA,http://draftexpress.com/profile/Dallas-Lauderdale-5516/,Draftexpress,5/1/11
Dakari Johnson,2011,NA,NA,"6' 11""",83,263,"7' 0""",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Dakari-Johnson-6470/,Draftexpress,5/1/11
Dajuan Wagner,2002,"6' 0.75""",72.75,"6' 2""",74,193,"6' 2""",NA,"8' 3""",99,NA,NA,NA,28,"10' 7""",127,35,"11' 2""",134,16,12.03,3.22,21,6,http://draftexpress.com/profile/Dajuan-Wagner-4731/,Draftexpress,5/1/02
DaJuan Summers,2009,"6' 7.25""",79.25,"6' 8.5""",80.5,243,"7' 0.75""",84.75,"8' 10.5""",106.5,6.60%,NA,NA,29.5,"11' 4""",136,34.5,"11' 9""",141,15,10.94,3.17,NA,31,http://draftexpress.com/profile/DaJuan-Summers-1198/,Draftexpress,5/1/09
DaJuan Coleman,2011,NA,NA,"6' 9""",81,290,"7' 2""",86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/DaJuan-Coleman-5771/,Draftexpress,5/1/11
DaJuan Coleman,2011,NA,NA,"6' 9""",81,290,"7' 2""",86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/DaJuan-Coleman-5771/,Draftexpress,5/1/11
DaJuan Coleman,2010,NA,NA,"6' 9.5""",81.5,280,"7' 1.5""",85.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/DaJuan-Coleman-5771/,Draftexpress,5/1/10
DaJuan Coleman,2010,NA,NA,"6' 9.5""",81.5,280,"7' 1.5""",85.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/DaJuan-Coleman-5771/,Draftexpress,5/1/10
DaJuan Coleman,2009,NA,NA,"6' 8""",80,281,"7' 1.5""",85.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/DaJuan-Coleman-5771/,Draftexpress,5/1/09
DaJuan Coleman,2009,NA,NA,"6' 8""",80,281,"7' 1.5""",85.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/DaJuan-Coleman-5771/,Draftexpress,5/1/09
Dairis Bertans,2011,"6' 3.20""",75.2,"6' 4.38""",76.38,187,"6' 3.98""",75.98,"8' 0.46""",96.46,6.50%,NA,NA,15.6,"9' 4.06""",112.06,26.3,"10' 2.76""",122.76,NA,NA,3.47,NA,NA,http://draftexpress.com/profile/Dairis-Bertans-1383/,Draftexpress,5/1/11
Dairis Bertans,2010,"6' 3.98""",75.98,"6' 5.17""",77.17,194,"6' 3.98""",75.98,"8' 3.61""",99.61,NA,NA,NA,25.6,"10' 5.21""",125.21,34.3,"11' 1.91""",133.91,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Dairis-Bertans-1383/,Draftexpress,5/1/10
Dai-Jon Parke,2010,NA,NA,"6' 2.5""",74.5,180,"6' 8.5""",80.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Dai-Jon-Parker-6247/,Draftexpress,5/1/10
Dai-Jon Parker,2010,NA,NA,"6' 2.5""",74.5,180,"6' 8.5""",80.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Dai-Jon-Parker-6247/,Draftexpress,5/1/10
Dai-Jon Parker,2010,"6' 2.5""",74.5,NA,NA,182,"6' 9""",81,"8' 1""",97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Dai-Jon-Parker-6247/,Draftexpress,5/1/10
Dahntay Jones,2003,"6' 4.75""",76.75,"6' 6.25""",78.25,214,"6' 9""",NA,"8' 6.5""",102.5,2.60%,NA,NA,30,"11' 0.5""",132.5,39.5,"11' 10""",142,NA,10.91,3.11,35,20,http://draftexpress.com/profile/Dahntay-Jones-3078/,Draftexpress,5/1/03
Daequan Cook,2007,"6' 3.75""",75.75,"6' 5.75""",77.75,203,"6' 8.25""",NA,"8' 5.5""",101.5,7.00%,NA,NA,30,"10' 11.5""",131.5,34.5,"11' 4""",136,4,11.12,3.22,41,21,http://draftexpress.com/profile/Daequan-Cook-458/,Draftexpress,5/1/07
D.J. Strawberry,2007,"6' 3.75""",75.75,"6' 5""",77,199,"6' 6.5""",NA,"8' 5""",101,4.50%,NA,NA,28.5,"10' 9.5""",129.5,35,"11' 4""",136,21,10.87,3.14,1,59,http://draftexpress.com/profile/D.J.-Strawberry-1076/,Draftexpress,5/1/07
D.J. Gay,2011,"5' 10.75""",70.75,NA,NA,159,"6' 1.5""",73.5,"7' 8""",92,NA,NA,NA,30,"10' 2""",122,NA,NA,NA,NA,12.32,3.28,NA,NA,http://draftexpress.com/profile/D.J.-Gay-17509/,Draftexpress,5/1/11
D.J. Augustin,2008,"5' 10""",70,"5' 11.5""",71.5,172,"6' 3.5""",75.5,"7' 10.5""",94.5,8.10%,NA,NA,28.5,"10' 3""",123,35,"10' 9.5""",129.5,2,11.27,3.07,NA,9,http://draftexpress.com/profile/D.J.-Augustin-1181/,Draftexpress,5/1/08
D'Vauntes Smith-Rivera,2011,NA,NA,"6' 3.5""",75.5,227,"6' 3""",75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/D,Draftexpress,5/1/11
D'Vauntes Smith-Rivera,2011,NA,NA,"6' 3.5""",75.5,227,"6' 3""",75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/D,Draftexpress,5/1/11
Curtis Withers,2006,"6' 6""",78,"6' 6.5""",78.5,227,"6' 10""",NA,"8' 5""",101,5.00%,NA,NA,35,"11' 4""",136,36.5,"11' 5.5""",137.5,14,11.54,3.1,10,NA,http://draftexpress.com/profile/Curtis-Withers-409/,Draftexpress,5/1/06
Curtis Withers,2006,"6' 6.75""",78.75,"6' 7.5""",79.5,242,"6' 10.25""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Curtis-Withers-409/,Draftexpress,5/1/06
Curtis Sumpter,2007,"6' 6""",78,"6' 7.75""",79.75,227,"6' 9.5""",NA,"8' 8""",104,5.30%,NA,NA,27.5,"10' 11.5""",131.5,32.5,"11' 4.5""",136.5,12,11.3,3.22,31,NA,http://draftexpress.com/profile/Curtis-Sumpter-156/,Draftexpress,5/1/07
Curtis Stinson,2006,"6' 1.75""",73.75,"6' 2.75""",74.75,208,"6' 5""",NA,"8' 1.5""",97.5,6.00%,NA,NA,28,"10' 5.5""",125.5,31.5,"10' 9""",129,17,10.95,3.27,17,NA,http://draftexpress.com/profile/Curtis-Stinson-297/,Draftexpress,5/1/06
Curtis Kelly,2011,"6' 6.75""",78.75,NA,NA,239,"7' 4""",88,"9' 1.25""",109.25,NA,NA,NA,25.5,"11' 2.75""",134.75,NA,NA,NA,NA,12.52,3.45,NA,NA,http://draftexpress.com/profile/Curtis-Kelly-486/,Draftexpress,5/1/11
Curtis Kelly,2010,NA,NA,"6' 9""",81,239,"7' 3.5""",87.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Curtis-Kelly-486/,Draftexpress,5/1/10
Curtis Kelly,2010,NA,NA,"6' 9""",81,239,"7' 3.5""",87.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Curtis-Kelly-486/,Draftexpress,5/1/10
Curtis Borchardt,2002,"6' 10.75""",82.75,"7' 0.25""",84.25,238,"7' 2.5""",NA,"9' 4""",112,NA,NA,NA,24,"11' 4""",136,27,"11' 7""",139,7,12.56,3.63,74,18,http://draftexpress.com/profile/Curtis-Borchardt-1735/,Draftexpress,5/1/02
Crandall Head,2009,NA,NA,"6' 3""",75,186,"6' 8""",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Crandall-Head-5762/,Draftexpress,5/1/09
Crandall Head,2009,NA,NA,"6' 3""",75,186,"6' 8""",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Crandall-Head-5762/,Draftexpress,5/1/09
Craig Smith,2006,"6' 5.5""",77.5,"6' 6.5""",78.5,259,"6' 9.5""",NA,"8' 7.5""",103.5,12.20%,NA,NA,30,"11' 1.5""",133.5,29.5,"11' 1""",133,NA,11.59,3.4,74,36,http://draftexpress.com/profile/Craig-Smith-133/,Draftexpress,5/1/06
Craig Dawson,2002,"6' 3.5""",75.5,"6' 4.75""",76.75,200,"6' 6.25""",NA,"8' 6""",102,NA,NA,NA,26,"10' 8""",128,30,"11' 0""",132,,12.06,3.25,65,NA,http://draftexpress.com/profile/Craig-Dawson-33852/,Draftexpress,5/1/02
Craig Bradshaw,2007,"6' 8""",80,"6' 9.75""",81.75,240,"7' 1.5""",NA,"8' 10.5""",106.5,12.10%,NA,NA,26,"11' 0.5""",132.5,28,"11' 2.5""",134.5,12,11.88,3.54,67,NA,http://draftexpress.com/profile/Craig-Bradshaw-520/,Draftexpress,5/1/07
Craig Bradshaw,2007,"6' 9""",81,"6' 10.25""",82.25,241,"7' 2""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Craig-Bradshaw-520/,Draftexpress,5/1/07
Craig Brackins,2010,"6' 8.5""",80.5,"6' 9.75""",81.75,229,"7' 0""",84,"9' 1""",109,7.90%,9.5,11.25,26,"11' 3""",135,35,"12' 0""",144,6,11.65,3.39,NA,39,http://draftexpress.com/profile/Craig-Brackins-1147/,Draftexpress,5/1/10
Courtney Sims,2007,"6' 9.5""",81.5,"6' 10.5""",82.5,241,"7' 3.25""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Courtney-Sims-183/,Draftexpress,5/1/07
Courtney Fells,2009,"6' 4.75""",76.75,"6' 5.5""",77.5,205,"7' 0.5""",84.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Courtney-Fells-566/,Draftexpress,5/1/09
Cory Joseph,2011,"6' 2""",74,"6' 3.25""",75.25,186,"6' 5.5""",77.5,"8' 3""",99,9.70%,8.5,10.5,27.5,"10' 6.5""",126.5,35,"11' 2""",134,5,10.75,3.27,NA,29,http://draftexpress.com/profile/Cory-Joseph-5664/,Draftexpress,5/1/11
Cory Joseph,2011,"6' 2.5""",74.5,"6' 3.5""",75.5,184,"6' 5.5""",77.5,NA,NA,8.90%,10.25,NA,27,NA,NA,34.5,NA,NA,NA,8.57,3.97,NA,29,http://draftexpress.com/profile/Cory-Joseph-5664/,Draftexpress,5/1/11
Cory Joseph,2009,NA,NA,"6' 3""",75,175,"6' 4.5""",76.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,http://draftexpress.com/profile/Cory-Joseph-5664/,Draftexpress,5/1/09
Cory Hightower,2000,"6' 5.5""",77.5,"6' 6.5""",78.5,183,"6' 11""",NA,"8' 5.5""",101.5,NA,NA,NA,29.5,"10' 11""",131,34.5,"11' 4""",136,,11.92,3.37,47,54,http://draftexpress.com/profile/Cory-Hightower-5302/,Draftexpress,5/1/00
Cory Higgins,2011,"6' 3.5""",75.5,"6' 4.5""",76.5,183,"6' 8""",80,"8' 4.5""",100.5,3.80%,9.25,NA,29.5,"10' 10""",130,33,"11' 1.5""",133.5,NA,8.72,3.88,NA,NA,http://draftexpress.com/profile/Cory-Higgins-5684/,Draftexpress,5/1/11
Cory Higgins,2010,NA,NA,"6' 4.5""",76.5,188,"6' 7""",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Cory-Higgins-5684/,Draftexpress,5/1/10
Cory Higgins,2009,NA,NA,"6' 4.5""",76.5,183,"6' 7""",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Cory-Higgins-5684/,Draftexpress,5/1/09
Cory Carr,1998,"6' 3""",75,NA,NA,211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,http://draftexpress.com/profile/Cory-Carr-1935/,Draftexpress,5/1/98
Cory Alexander,1995,"6' 1""",73,NA,NA,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,http://draftexpress.com/profile/Cory-Alexander-1474/,Draftexpress,5/1/95
Corsley Edwards,2002,"6' 7.25""",79.25,"6' 8.75""",80.75,285,"6' 10.75""",NA,"8' 10.5""",106.5,NA,NA,NA,28.5,"11' 3""",135,33,"11' 7.5""",139.5,12,12.18,3.31,50,57,http://draftexpress.com/profile/Corsley-Edwards-2332/,Draftexpress,5/1/02
Corliss Williamson,1995,"6' 5.5""",77.5,NA,NA,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,http://draftexpress.com/profile/Corliss-Williamson-4927/,Draftexpress,5/1/95
Corey Williams,1996,"6' 5.75""",77.75,NA,NA,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,http://draftexpress.com/profile/Corey-Williams-4885/,Draftexpress,5/1/96
Corey Stokes,2011,"6' 3.5""",75.5,NA,NA,225,"6' 9""",81,"8' 4.75""",100.75,NA,NA,NA,29,"10' 9.75""",129.75,NA,NA,NA,NA,11.79,3.36,NA,NA,http://draftexpress.com/profile/Corey-Stokes-1242/,Draftexpress,5/1/11
Corey Fisher,2011,"5' 11""",71,NA,NA,201,"6' 3.5""",75.5,"7' 11.5""",95.5,NA,NA,NA,28,"10' 3.5""",123.5,NA,NA,NA,NA,11.9,3.43,NA,NA,http://draftexpress.com/profile/Corey-Fisher-305/,Draftexpress,5/1/11
Corey Brewer,2007,"6' 6.75""",78.75,"6' 7.75""",79.75,185,"6' 8.25""",NA,"8' 7""",103,4.20%,NA,NA,30.5,"11' 1.5""",133.5,36.5,"11' 7.5""",139.5,11,11.69,3.22,29,7,http://draftexpress.com/profile/Corey-Brewer-414/,Draftexpress,5/1/07
Corey Brewer,1998,"6' 1.5""",73.5,NA,NA,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,http://draftexpress.com/profile/Corey-Brewer-414/,Draftexpress,5/1/98
Corey Benjamin,1998,"6' 5.5""",77.5,NA,NA,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,http://draftexpress.com/profile/Corey-Benjamin-1658/,Draftexpress,5/1/98
Corey Beck,1995,"6' 1.25""",73.25,NA,NA,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Corey-Beck-1639/,Draftexpress,5/1/95
Cordell Henry,2002,"5' 8""",68,"5' 9.25""",69.25,155,"6' 1""",NA,"7' 8""",92,NA,NA,NA,33,"10' 5""",125,37.5,"10' 9.5""",129.5,1,11.3,3.04,15,NA,http://draftexpress.com/profile/Cordell-Henry-34599/,Draftexpress,5/1/02
Cookie Belcher,2001,"6' 3""",75,"6' 4.25""",76.25,206,"6' 8.5""",NA,"8' 3""",99,NA,NA,NA,35,"11' 2""",134,41.5,"11' 8.5""",140.5,7,11.26,2.91,10,NA,http://draftexpress.com/profile/Cookie-Belcher-35814/,Draftexpress,5/1/01
Constantin Popa,1995,"7' 2.5""",86.5,NA,NA,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,http://draftexpress.com/profile/Constantin-Popa-42796/,Draftexpress,5/1/95
Conrad McRae,1993,"6' 9""",81,NA,NA,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,http://draftexpress.com/profile/Conrad-McRae-42473/,Draftexpress,5/1/93
Connor Atchley,2009,"6' 10.25""",82.25,"6' 11.75""",83.75,226,"7' 1""",85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Connor-Atchley-5144/,Draftexpress,5/1/09
Coleman Collins,2007,"6' 8""",80,"6' 9.75""",81.75,236,"7' 2""",NA,"8' 11""",107,6.20%,NA,NA,30,"11' 5""",137,35,"11' 10""",142,21,11.47,NA,51,NA,http://draftexpress.com/profile/Coleman-CollinsNA6/,Draftexpress,5/1/07
Cole Aldrich,2010,"6' 9""",81,"6' 11.25""",83.25,236,"7' 4.75""",88.75,"9' 3.5""",111.5,8.50%,9,9.25,23,"11' 2.5""",134.5,28,"11' 7.5""",139.5,10,11.48,3.35,NA,7,http://draftexpress.com/profile/Cole-Aldrich-1250/,Draftexpress,5/1/10
Cole Aldrich,2009,NA,NA,"6' 11""",83,242,"7' 6""",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,http://draftexpress.com/profile/Cole-Aldrich-1250/,Draftexpress,5/1/09
Cole Aldrich,2009,NA,NA,"6' 11""",83,242,"7' 6""",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,http://draftexpress.com/profile/Cole-Aldrich-1250/,Draftexpress,5/1/09
Cody Zeller,2010,NA,NA,"6' 11.5""",83.5,205,"6' 8""",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Cody-Zeller-6241/,Draftexpress,5/1/10
Cody Zeller,2010,"6' 10""",82,NA,NA,209,"6' 9""",81,"8' 9.5""",105.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Cody-Zeller-6241/,Draftexpress,5/1/10
Coby Karl,2007,"6' 3.5""",75.5,"6' 4.75""",76.75,204,"6' 11""",NA,"8' 3.5""",99.5,7.80%,NA,NA,32,"10' 11.5""",131.5,34.5,"11' 2""",134,9,11.57,3.41,49,NA,http://draftexpress.com/profile/Coby-Karl-1254/,Draftexpress,5/1/07
Coby Karl,2006,"6' 3.5""",75.5,"6' 4.5""",76.5,209,"7' 0""",NA,"8' 3.5""",99.5,7.80%,NA,NA,32,"10' 11.5""",131.5,35.5,"11' 3""",135,8,11.46,3.32,46,NA,http://draftexpress.com/profile/Coby-Karl-1254/,Draftexpress,5/1/06
Cliff Robinson,1989,"6' 9""",81,NA,NA,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,http://draftexpress.com/profile/Cliff-Robinson-4124/,Draftexpress,5/1/89
