CombineYear,Player,ReconciledCollege,Position,gradeNFL,Height.numeric,Weight,fortyYardDash,benchPress,verticalJump,broadJump,twentyYardShuttle,threeConeDrill,Wonderlic,Division,Conference,College
2005,Alex Barron,Florida State University,OT,NA,6.666664,318,5.27,NA,35.5,NA,4.57,7.83,NA,Division I,Atlantic Coast,Florida State
2009,Alex Boone,Ohio State University,OT,NA,6.5833307,328,5.16,33,27.5,103,4.69,7.83,NA,Division I,Big Ten,Ohio State
2008,Alex Brink,Washington State University,QB,NA,6.1666642,211,4.96,NA,28,112,4.19,7.22,27,Division I,Pacific-12,Washington State
2010,Alex Carrington,Arkansas State University,DE,NA,6.4166641,285,4.92,26,NA,NA,NA,NA,NA,Division I,Sun Belt,Arkansas State
2013,Alex Dunnachie,University of Hawaii,P,NA,6.25,217,NA,NA,NA,NA,NA,NA,NA,Division I,Mountain West,Hawaii
2009,Alex Fletcher,Stanford University,C,NA,6.1666642,297,5.39,30,28,96,4.65,7.78,NA,Division I,Pacific-12,Stanford University
2011,Alex Green,University of Hawaii,RB,NA,6.0833309,225,4.45,20,34,114,4.15,6.91,NA,Division I,Mountain West,Hawaii
2005,Alex Haynes,University of Central Florida,RB,NA,5.833331,223,4.51,21,32.5,NA,NA,NA,NA,Division I,Big East,Central Florida
2005,Alex Holmes,University of Southern California,TE,NA,6.2499975,265,4.92,18,NA,NA,NA,NA,NA,Division I,Pacific-12,University of Southern California
2004,Alex Lewis,University of Wisconsin,OLB,NA,6.0833309,228,4.78,25,34.5,121,4.31,7.06,NA,Division I,Big Ten,Wisconsin
2001,Alex Lincoln,Auburn University,ILB,NA,6.0833309,251,4.77,22,35,111,NA,NA,NA,Division I,Southeastern,Auburn
2011,Alex Linnenkohl,Oregon State University,C,NA,6.1666642,304,5.36,24,26.5,89,4.62,7.67,NA,Division I,Pacific-12,Oregon State
2009,Alex Magee,Purdue University,DT,NA,6.2499975,298,5.03,30,29.5,103,4.55,7.52,NA,Division I,Big Ten,Purdue
2013,Alex Okafor,University of Texas,DE,85.2,6.4166641,264,4.78,21,NA,NA,NA,NA,NA,Division I,Big 12,University of Texas
2010,Alex Parsons,University of Southern California,OG,NA,6.3333308,309,5.12,23,27,99,NA,NA,NA,Division I,Pacific-12,University of Southern California
2005,Alex Smith,Stanford University,TE,NA,6.3333308,258,4.75,28,NA,NA,NA,NA,NA,Division I,Pacific-12,Stanford University
2005,Alex Smith,University of Utah,QB,NA,6.3333308,217,4.71,NA,32,113,3.97,6.82,40,Division I,Pacific-12,Utah
2004,Alex Stepanovich,Ohio State University,C,NA,6.3333308,304,5.29,NA,25.5,96,4.54,7.64,NA,Division I,Big Ten,Ohio State
2001,Alex Sulfsted,Miami University,OG,NA,6.3333308,312,5.3,NA,30.5,96,NA,NA,NA,Division I,Mid-American,Miami of Ohio
2004,Alex Wade,Duke University,FB,NA,6.0833309,248,4.97,22,32.5,114,4.44,7.55,NA,Division I,Atlantic Coast,Duke
2012,Alfonzo Dennard,University of Nebraska,CB,NA,5.833331,204,4.55,NA,37,NA,NA,NA,NA,Division I,Big Ten,Nebraska
2005,Alfred Fincher,University of Connecticut,ILB,NA,6.1666642,238,4.68,25,31.5,112,4.48,7.7,NA,Division I,Big East,Connecticut
2012,Alfred Morris,Florida Atlantic University,RB,NA,5.833331,219,4.67,16,35,117,4.19,7.01,NA,Division I,Sun Belt,Florida Atlantic
2001,Alge Crumpler,University of North Carolina System,TE,NA,6.2499975,266,4.76,22,34,112,4.43,7.38,NA,Division I,Atlantic Coast,North Carolina
2008,Ali Highsmith,Louisiana State University,OLB,NA,6.0833309,230,4.95,NA,26.5,112,4.29,7.4,NA,Division I,Southeastern,Louisiana State University
2011,Allen Bailey,University of Miami,DE,NA,6.2499975,285,4.71,27,36.5,117,4.56,7.43,NA,Division I,Atlantic Coast,University of Miami
2007,Allen Barbre,Missouri Southern State University,OT,NA,6.3333308,300,4.84,28,32,105,4.63,7.4,NA,Division II,Mid-America,Missouri Southern
2011,Allen Bradford,University of Southern California,RB,NA,5.9166643,242,4.53,28,29,113,4.39,6.97,NA,Division I,Pacific-12,University of Southern California
