CombineYear,Player,ReconciledCollege,Position,gradeNFL,Height.numeric,Weight,fortyYardDash,benchPress,verticalJump,broadJump,twentyYardShuttle,threeConeDrill,Wonderlic,Division,Conference,College
2003,Andrew Pinnock,University of South Carolina,FB,NA,5.833331,265,4.62,22,NA,NA,NA,NA,NA,Division I,Southeastern,South Carolina
2010,Andrew Quarless,Pennsylvania State University,TE,NA,6.4166641,254,4.68,23,32,112,NA,NA,NA,Division I,Big Ten,Penn State
2004,Andrew Shull,Kansas State University,DE,NA,6.4166641,265,4.9,16,30.5,107,4.28,7.46,NA,Division I,Big 12,Kansas State
2012,Andrew Tiller,Syracuse University,OG,NA,6.3333308,324,5.5,16,23,85,4.8,7.92,NA,Division I,Atlantic Coast,Syracuse
2005,Andrew Walton,Arizona State University,QB,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,Division I,Pacific-12,Arizona State
2006,Andrew Whitworth,Louisiana State University,OT,NA,6.5833307,334,5.16,28,30.5,112,4.84,8.26,NA,Division I,Southeastern,Louisiana State University
2003,Andrew Williams,University of Miami,DE,NA,6.1666642,263,4.7,29,32,113,4.47,7.53,NA,Division I,Atlantic Coast,University of Miami
2007,Andy Alleman,University of Akron,OG,NA,6.3333308,305,5.07,27,30,106,4.65,7.8,NA,Division I,Mid-American,Akron
2011,Andy Dalton,Texas Christian University,QB,NA,6.1666642,215,4.83,NA,29.5,106,4.27,6.93,29,Division I,Big 12,Texas Christian University
2002,Andy Eby,Kansas State University,C,NA,6.3333308,300,5.1,28,29,103,4.55,7.46,NA,Division I,Big 12,Kansas State
1999,Andy Katzenmoyer,Ohio State University,ILB,NA,6.2499975,258,4.68,23,NA,NA,NA,NA,NA,Division I,Big Ten,Ohio State
2009,Andy Kemp,University of Wisconsin,OG,NA,6.4166641,313,5.48,23,25.5,91,4.86,7.86,NA,Division I,Big Ten,Wisconsin
2009,Andy Levitre,Oregon State University,OG,NA,6.2499975,305,5.33,23,30.5,103,4.52,NA,NA,Division I,Pacific-12,Oregon State
2000,Andy Vincent,Texas A&M University,OG,NA,6.3333308,306,5.2,14,28.5,108,4.42,7.54,NA,Division I,Southeastern,Texas A&M
2008,Angelo Craig,University of Cincinnati,OLB,NA,6.3333308,252,5.07,21,30.5,118,NA,NA,NA,Division I,Big East,Cincinnati
2003,Angelo Crowell,University of Virginia,ILB,NA,6.0833309,236,4.73,25,32.5,NA,4.29,7.08,NA,Division I,Atlantic Coast,Virginia
2003,Anquan Boldin,Florida State University,WR,NA,6.0833309,216,4.72,NA,33.5,114,4.33,7.35,NA,Division I,Atlantic Coast,Florida State
2003,Anthony Adams,Pennsylvania State University,DT,NA,6.0833309,299,5.13,NA,30.5,109,4.59,7.68,NA,Division I,Big Ten,Penn State
2005,Anthony Alabi,Texas Christian University,OT,NA,6.4166641,310,5.12,18,32.5,105,4.6,7.64,NA,Division I,Big 12,Texas Christian University
2011,Anthony Allen,Georgia Institute of Technology,RB,NA,6.0833309,228,4.56,24,41.5,120,4.06,6.79,NA,Division I,Atlantic Coast,Georgia Tech
2008,Anthony Alridge,University of Houston,RB,NA,5.7499977,170,4.36,NA,30.5,134,NA,6.88,NA,Division I,Big East,Houston
2007,Anthony Arline,Baylor University,CB,NA,6.1666642,199,4.43,12,34.5,124,4.46,7.02,NA,Division I,Big 12,Baylor
2000,Anthony Becht,University of West Virginia,TE,NA,6.4999974,270,4.78,NA,33.5,123,4.08,6.94,NA,Division I,Big 12,West Virginia
2005,Anthony Bryant,University of Alabama,DT,NA,6.2499975,335,5.06,23,31.5,106,4.72,7.8,NA,Division I,Southeastern,Alabama
2013,Anthony Cantele,Kansas State University,K,NA,5.83,180,NA,NA,NA,NA,NA,NA,NA,Division I,Big 12,Kansas State
2011,Anthony Castonzo,Boston College,OT,NA,6.5833307,311,5.21,28,29.5,105,4.4,7.25,NA,Division I,Atlantic Coast,Boston College
1999,Anthony Cesario,Colorado State University,OG,NA,6.4999974,312,5.29,NA,26.5,103,NA,NA,NA,Division I,Mountain West,Colorado State
2008,Anthony Collins,University of Kansas,OT,NA,6.4166641,317,5.54,26,22.5,97,4.87,7.71,NA,Division I,Big 12,Kansas
2010,Anthony Davis,Rutgers University,OT,NA,6.4166641,323,5.36,21,33,NA,4.97,8.17,NA,Division I,Big East,Rutgers
2003,Anthony Davis,Virginia Polytechnic Institute and State University,OG,NA,6.4166641,329,5.34,NA,27.5,95,4.98,8.26,NA,Division I,Atlantic Coast,Virginia Tech
2005,Anthony Davis,University of Wisconsin,RB,NA,5.5833311,200,4.5,18,38,121,NA,7.39,NA,Division I,Big Ten,Wisconsin
1989,Anthony Dilweg,Duke University,QB,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,Division I,Atlantic Coast,Duke
2010,Anthony Dixon,Mississippi State University,RB,NA,6.0833309,233,4.67,15,33,121,4.49,7.09,25,Division I,Southeastern,Mississippi State
2006,Anthony Fasano,Notre Dame University,TE,NA,6.3333308,259,4.86,19,33.5,NA,4.34,6.94,NA,Division I,I-A Independent,Notre Dame
2009,Anthony Felder,University of California,ILB,NA,6.1666642,233,4.69,28,NA,116,NA,NA,NA,Division I,Pacific-12,California
2003,Anthony Floyd,University of Louisville,FS,NA,5.833331,202,4.6,19,33.5,117,4.2,7.09,NA,Division I,Big East,Louisville
2007,Anthony Gonzalez,Ohio State University,WR,NA,6.0833309,193,4.44,NA,38,123,4.08,6.54,NA,Division I,Big Ten,Ohio State
1999,Anthony Gray,Western New Mexico,RB,NA,6.0833309,228,4.69,16,32.5,115,4.23,7.1,NA,Division II,Rocky Mountain,Western New Mexico
2001,Anthony Henry,University of South Florida,CB,NA,6.0833309,198,4.6,15,41,126,4.21,6.92,NA,Division I,Big East,South Florida
2001,Anthony Herron,University of Iowa,DE,NA,6.2499975,280,5.16,26,36,114,4.43,7.58,NA,Division I,Big Ten,Iowa
2009,Anthony Hill,North Carolina State University,TE,NA,6.4166641,262,4.84,21,30.5,107,4.56,7.31,NA,Division I,Atlantic Coast,North Carolina State
2009,Anthony Kimble,Stanford University,RB,NA,6.0833309,216,4.6,17,36,122,4.4,7.08,NA,Division I,Pacific-12,Stanford University
2000,Anthony Lucas,University of Arkansas,WR,NA,6.2499975,194,4.53,NA,35,121,NA,NA,NA,Division I,Southeastern,Arkansas
2000,Anthony Malbrough,Texas Tech University,CB,NA,5.7499977,184,4.44,20,35.5,117,4,6.73,NA,Division I,Big 12,Texas Tech
2010,Anthony McCoy,University of Southern California,TE,NA,6.4166641,259,4.71,19,35.5,113,4.57,6.99,NA,Division I,Pacific-12,University of Southern California
1999,Anthony McFarland,Louisiana State University,DT,NA,6.0833309,299,4.85,25,28.5,120,4.28,7.98,NA,Division I,Southeastern,Louisiana State University
2006,Anthony Mix,Auburn University,WR,NA,6.3333308,235,4.48,NA,31.5,111,NA,NA,NA,Division I,Southeastern,Auburn
2008,Anthony Morelli,Pennsylvania State University,QB,NA,6.3333308,231,5.07,16,26.5,108,4.6,7.43,NA,Division I,Big Ten,Penn State
2009,Anthony Parker,University of Tennessee,OG,NA,6.1666642,297,5.08,24,NA,NA,NA,NA,NA,Division I,Southeastern,Tennessee
1999,Anthony Parker,Weber State University,CB,NA,6.0833309,197,4.39,8,31,113,4.27,7.56,NA,Division I-AA,Big Sky,Weber State
2007,Anthony Pudewell,University of Nevada,TE,NA,6.3333308,250,5.07,15,25.5,101,4.41,7.31,NA,Division I,Mountain West,Nevada
2006,Anthony Schlegel,Ohio State University,ILB,NA,6.0833309,250,4.88,21,32,111,4.39,7.41,NA,Division I,Big Ten,Ohio State
2001,Anthony Sessions,University of Tennessee,OLB,NA,6.0833309,228,4.8,19,NA,NA,NA,NA,NA,Division I,Southeastern,Tennessee
2011,Anthony Sherman,University of Connecticut,FB,NA,5.833331,242,4.74,32,32.5,111,4.41,7.23,NA,Division I,Big East,Connecticut
2006,Anthony Smith,Syracuse University,FS,NA,6.0833309,194,4.71,18,41,125,4.35,6.76,NA,Division I,Atlantic Coast,Syracuse
2007,Anthony Spencer,Purdue University,DE,NA,6.2499975,261,4.7,30,32.5,112,4.43,7.14,NA,Division I,Big Ten,Purdue
2001,Anthony Thomas,University of Michigan,RB,NA,6.1666642,229,4.58,20,32.5,NA,4.44,7.48,NA,Division I,Big Ten,Michigan
2006,Anthony Trucks,University of Oregon,OLB,NA,6.0833309,233,4.76,22,37,125,4.21,7.01,NA,Division I,Pacific-12,Oregon
2007,Anthony Waters,Clemson University,ILB,NA,6.2499975,245,4.59,25,NA,NA,NA,NA,NA,Division I,Atlantic Coast,Clemson
2002,Anthony Weaver,Notre Dame University,DT,NA,6.3333308,296,4.95,24,32.5,109,4.31,7.37,NA,Division I,I-A Independent,Notre Dame
2000,Anthony White,University of Kentucky,RB,NA,6.0833309,195,4.68,NA,32.5,118,4.24,7.05,NA,Division I,Southeastern,Kentucky
1999,Anthony Wright,University of South Carolina,QB,NA,6.1666642,195,4.67,NA,31,116,4.35,7.45,16,Division I,Southeastern,South Carolina
1999,Antico Dalton,Hampton University,OLB,NA,6.0833309,242,4.71,30,35,117,4.32,7.49,NA,Division I-AA,Mid-Eastern,Hampton
2006,Antoine Bethea,Howard University,FS,NA,5.9166643,203,4.39,19,36.5,NA,4.13,6.99,NA,Division I-AA,Mid-Eastern,Howard
2009,Antoine Caldwell,University of Alabama,C,NA,6.2499975,309,5.24,23,28,111,5.04,7.96,NA,Division I,Southeastern,Alabama
2008,Antoine Cason,University of Arizona,CB,NA,6.0833309,191,4.45,20,35.5,128,4.08,NA,NA,Division I,Pacific-12,Arizona
2001,Antoine Harris,University of Southern California,TE,NA,6.3333308,260,4.93,11,26,NA,NA,NA,NA,Division I,Pacific-12,University of Southern California
2012,Antoine McClain,Clemson University,OG,NA,6.4999974,329,5.57,19,27,91,4.82,8.13,NA,Division I,Atlantic Coast,Clemson
1999,Antoine Winfield,Ohio State University,CB,NA,5.7499977,176,4.41,NA,37,122,3.95,6.84,NA,Division I,Big Ten,Ohio State
2002,Anton Palepoi,"University of Nevada, Las Vegas",DE,NA,6.2499975,279,4.81,24,33.5,114,4.27,7.46,NA,Division I,Mountain West,UNLV
2012,Antonio Allen,University of South Carolina,SS,NA,6.0833309,210,4.67,17,34,118,4.25,7.02,NA,Division I,Southeastern,South Carolina
2010,Antonio Brown,Central Michigan University,WR,NA,5.833331,186,4.56,13,33.5,105,4.18,6.98,NA,Division I,Mid-American,Central Michigan
2002,Antonio Bryant,University of Pittsburgh,WR,NA,6.0833309,188,4.57,NA,37,121,NA,NA,NA,Division I,Big East,Pittsburgh
1999,Antonio Cochran,University of Georgia,DE,NA,6.3333308,297,5.12,19,33,112,4.55,7.87,NA,Division I,Southeastern,Georgia
2010,Antonio Coleman,Auburn University,OLB,NA,6.1666642,255,4.87,18,NA,113,NA,NA,NA,Division I,Southeastern,Auburn
2006,Antonio Cromartie,Florida State University,CB,NA,6.1666642,208,4.47,18,38,132,NA,NA,NA,Division I,Atlantic Coast,Florida State
1999,Antonio Dingle,University of Virginia,DT,NA,6.1666642,320,5.26,22,31,102,4.85,8.12,NA,Division I,Atlantic Coast,Virginia
2012,Antonio Fenelus,University of Wisconsin,CB,NA,5.6666644,190,4.68,20,32,109,4.2,6.8,NA,Division I,Big Ten,Wisconsin
2004,Antonio Hall,University of Kentucky,OG,NA,6.3333308,317,5.54,27,26.5,101,4.56,8.15,NA,Division I,Southeastern,Kentucky
2007,Antonio Johnson,Mississippi State University,DT,NA,6.2499975,310,5.15,28,29,108,4.49,7.51,NA,Division I,Southeastern,Mississippi State
2006,Antonio Malone,University of Toledo,CB,NA,6.0833309,200,4.59,10,34,111,4.13,7.06,NA,Division I,Mid-American,Toledo
2005,Antonio Perkins,University of Oklahoma,CB,NA,5.9166643,190,4.49,10,40,126,4.07,7.17,NA,Division I,Big 12,Oklahoma
2007,Antonio Pittman,Ohio State University,RB,NA,5.9166643,207,4.4,16,35.5,123,4.16,6.84,NA,Division I,Big Ten,Ohio State
2004,Antonio Smith,Oklahoma State Universityâ€“Stillwater,DE,NA,6.3333308,274,5.03,24,33,108,4.75,NA,NA,Division I,Big 12,Oklahoma State
2000,Antonio Wilson,Texas A&M-Commerce,OLB,NA,6.1666642,245,4.56,11,NA,NA,NA,NA,NA,Division II,Lone Star,Texas A&M-Commerce
2005,Antrel Rolle,University of Miami,CB,NA,5.9999976,198,4.5,15,NA,NA,NA,NA,NA,Division I,Atlantic Coast,University of Miami
2005,Anttaj Hawthorne,University of Wisconsin,DT,NA,6.3333308,325,5.23,21,27,100,4.72,8,NA,Division I,Big Ten,Wisconsin
1999,Antuan Edwards,Clemson University,SS,NA,6.0833309,210,4.46,NA,38,123,3.96,6.89,NA,Division I,Atlantic Coast,Clemson
2002,Antwaan Randle El,University of Indiana,WR,NA,5.833331,191,4.49,NA,NA,NA,NA,NA,17,Division I,Big Ten,Indiana
2007,Antwan Applewhite,San Diego State University,DE,NA,6.2499975,250,4.73,25,35,115,4.36,7.5,NA,Division I,Mountain West,San Diego State
2007,Antwan Barnes,Florida International University,OLB,NA,6.0833309,240,4.43,31,35,122,4.32,7.29,NA,Division I,Sun Belt,Florida International
2000,Antwan Harris,University of Virginia,CB,NA,5.7499977,186,4.34,16,39,121,4.01,6.75,NA,Division I,Atlantic Coast,Virginia
2002,Antwan Kirk-Hughes,University of Texas,OG,NA,6.2499975,315,5.43,NA,27,95,4.91,8.28,NA,Division I,Big 12,University of Texas
2002,Antwan Lake,University of West Virginia,DE,NA,6.3333308,286,5.08,27,NA,NA,NA,NA,NA,Division I,Big 12,West Virginia
2004,Antwan Odom,University of Alabama,DE,NA,6.4999974,274,4.71,21,37,114,4.44,7.3,NA,Division I,Southeastern,Alabama
2003,Antwan Peek,University of Cincinnati,OLB,NA,6.2499975,246,4.65,21,37,125,4.35,7.07,NA,Division I,Big East,Cincinnati
2008,Antwaun Molden,Eastern Mountain Coal Fields,CB,NA,6.0833309,198,4.39,23,37.5,129,4.14,6.85,NA,Division I-AA,Ohio Valley,Eastern Kentucky
2003,Antwoine Sanders,University of Utah,FS,NA,6.1666642,202,4.54,14,37.5,128,4.45,7.44,NA,Division I,Pacific-12,Utah
2012,Antwuan Reed,University of Pittsburgh,CB,NA,0,188,4.63,14,36,NA,4.2,NA,NA,Division I,Big East,Pittsburgh
2008,Aqib Talib,University of Kansas,CB,NA,6.0833309,202,4.44,10,38,131,4.25,6.82,NA,Division I,Big 12,Kansas
2009,Arian Foster,University of Tennessee,RB,NA,6.0833309,226,4.68,23,NA,NA,NA,NA,NA,Division I,Southeastern,Tennessee
2000,Aric Morris,Michigan State University,SS,NA,5.833331,211,4.56,24,NA,NA,NA,NA,NA,Division I,Big Ten,Michigan State
2005,Aric Williams,Oregon State University,CB,NA,6.0833309,187,4.58,8,36,117,NA,NA,NA,Division I,Pacific-12,Oregon State
2008,Arman Shields,University of Richmond,WR,NA,6.0833309,194,4.37,19,37.5,128,3.96,6.67,NA,NA,Colonial,Richmond
2011,Armando Allen,Notre Dame University,RB,NA,5.6666644,199,4.52,23,NA,NA,NA,NA,NA,Division I,I-A Independent,Notre Dame
2011,Armon Binns,University of Cincinnati,WR,NA,6.2499975,209,4.5,13,31.5,118,4.31,6.86,NA,Division I,Big East,Cincinnati
1999,Armon Hatcher,Oregon State University,SS,NA,6.0833309,215,4.58,NA,36,122,4.2,7.23,NA,Division I,Pacific-12,Oregon State
2013,Armonty Bryant,East Central University,DE,61,6.3333308,263,4.86,NA,31.5,118,5,7.32,NA,Division II,Great American,East Central University
2003,Arnaz Battle,Notre Dame University,WR,NA,6.0833309,217,4.58,NA,35,117,4.06,6.74,NA,Division I,I-A Independent,Notre Dame
1999,Arnold Miller,Louisiana State University,DE,NA,6.3333308,240,4.77,12,33.5,120,4.12,7.01,NA,Division I,Southeastern,Louisiana State University
2004,Arnold Parker,University of Utah,SS,NA,6.1666642,214,4.54,18,35.5,120,4.12,6.98,NA,Division I,Pacific-12,Utah
2010,Arrelious Benn,University of Illinois,WR,NA,6.0833309,219,4.57,20,37,118,NA,NA,NA,Division I,Big Ten,Illinois
2001,Arther Love,South Carolina State University,TE,NA,6.3333308,236,4.75,24,36,NA,NA,NA,NA,Division I-AA,Mid-Eastern,South Carolina State
2013,Arthur Brown,Kansas State University,OLB,90.3,6,241,4.62,NA,NA,116,NA,NA,NA,Division I,Big 12,Kansas State
2010,Arthur Moats,James Madison University,OLB,NA,6.0833309,246,4.64,24,36.5,122,4.37,7.22,NA,Division I-AA,Colonial,James Madison
2002,Artis Hicks,University of Memphis,OG,NA,6.4166641,303,5.08,22,29.5,104,4.64,7.85,NA,Division I,Conference USA,Memphis
2000,Arturo Freeman,University of South Carolina,FS,NA,6.0833309,188,4.5,14,35.5,124,4.38,6.91,NA,Division I,Southeastern,South Carolina
2012,Asa Jackson,California Polytechnic State University,CB,NA,5.833331,191,4.49,19,34,118,4.03,6.97,NA,Division I-AA,Big Sky,Cal Poly
2003,Asante Samuel,University of Central Florida,CB,NA,5.9166643,185,4.49,9,35.5,120,4.14,6.95,NA,Division I,Big East,Central Florida
2009,Asher Allen,University of Georgia,CB,NA,5.833331,194,4.48,22,35,115,4.3,6.93,NA,Division I,Southeastern,Georgia
2000,Ashley Cooper,Mississippi State University,SS,NA,5.833331,208,4.67,16,NA,117,NA,NA,NA,Division I,Southeastern,Mississippi State
2005,Atari Bigby,University of Central Florida,SS,NA,5.9166643,214,4.65,19,35,NA,4.11,7,NA,Division I,Big East,Central Florida
2005,Atcheson Conway,Bowie State University,SS,NA,5.9166643,218,4.9,14,32,108,4.12,7.39,NA,Division II,Central Intercollegiate Athletic Association,Bowie State
2005,Atiyyah Ellison,University of Missouri,DT,NA,6.3333308,305,5.07,25,27.5,103,4.83,8.01,NA,Division I,Southeastern,Missouri
2003,Aubrayo Franklin,University of Tennessee,DT,NA,6.1666642,307,5.2,NA,27,100,4.79,NA,NA,Division I,Southeastern,Tennessee
2012,Audie Cole,North Carolina State University,ILB,NA,6.3333308,246,4.81,15,35,78,4.29,6.96,NA,Division I,Atlantic Coast,North Carolina State
2009,Augustus Parrish,Kent State University,OT,NA,6.3333308,303,5.35,21,NA,78,NA,NA,NA,Division I,Mid-American,Kent State
2007,Aundrae Allison,East Carolina University,WR,NA,6.0833309,198,4.39,NA,37,127,NA,NA,NA,Division I,Big East,East Carolina
2010,Austen Lane,Murray State University,DE,NA,6.4999974,276,4.84,NA,34.5,125,4.6,7.38,NA,Division I-AA,Ohio Valley,Murray State
2009,Austin Collie,Brigham Young University,WR,NA,6.0833309,200,4.56,17,34,120,4.24,6.78,NA,Division I,I-A Independent,Brigham Young
2012,Austin Davis,The University of Southern Mississippi,QB,NA,6.0833309,219,NA,NA,31,109,4.11,6.73,NA,Division I,Conference USA,Southern Mississippi
2003,Austin King,Northwestern University,C,NA,6.3333308,299,5.42,20,28,106,4.73,7.99,NA,Division I,Big 12,Northwestern University
2011,Austin Pettis,Boise State University,WR,NA,6.2499975,209,4.56,14,33.5,120,3.88,6.68,NA,Division I,Mountain West,Boise State
2000,Austin Wheatley,University of Iowa,TE,NA,6.3333308,254,4.66,NA,32.5,121,4.18,6.97,NA,Division I,Big Ten,Iowa
1999,Autry Denson,Notre Dame University,RB,NA,5.833331,197,4.67,20,31,116,4.15,6.97,NA,Division I,I-A Independent,Notre Dame
2003,Avon Cobourne,University of West Virginia,RB,NA,5.6666644,205,4.7,21,31.5,112,4.18,7.21,NA,Division I,Big 12,West Virginia
2012,B.J. Coleman,University of Tennessee at Chattanooga,QB,NA,6.2499975,233,NA,NA,NA,109,4.38,7.07,NA,Division I-AA,Southern,Tennessee-Chattanooga
2012,B.J. Cunningham,Michigan State University,WR,NA,6.0833309,211,4.59,12,31,116,NA,7.1,NA,Division I,Big Ten,Michigan State
2009,B.J. Raji,Boston College,DT,NA,6.1666642,337,5.12,33,32,103,4.69,7.9,NA,Division I,Atlantic Coast,Boston College
2003,B.J. Tucker,University of Wisconsin,CB,NA,5.9166643,188,4.34,16,35,123,4.2,7.25,NA,Division I,Big Ten,Wisconsin
2013,B.W. Webb,William & Mary College,CB,74,5.83,184,4.51,14,40.5,132,3.84,6.82,NA,Division I-AA,Colonial,William & Mary
2006,Babatunde Oshinowo,Stanford University,DT,NA,6.1666642,304,5.27,33,32,105,4.57,7.89,NA,Division I,Pacific-12,Stanford University
2013,Bacarri Rambo,University of Georgia,FS,61.4,6,211,4.56,17,NA,NA,NA,NA,NA,Division I,Southeastern,Georgia
2007,Baraka Atkins,University of Miami,DE,NA,6.4166641,271,4.69,22,33,111,NA,NA,NA,Division I,Atlantic Coast,University of Miami
2013,Barkevious Mingo,Louisiana State University,DE,92.8,6.33,241,4.58,NA,37,128,4.39,6.84,NA,Division I,Southeastern,Louisiana State University
2000,Barrett Green,University of West Virginia,OLB,NA,6.0833309,233,4.56,22,36,120,NA,NA,NA,Division I,Big 12,West Virginia
2013,Barrett Jones,University of Alabama,OG,85.1,6.33,306,NA,NA,NA,NA,NA,NA,NA,Division I,Southeastern,Alabama
2005,Barrett Ruud,University of Nebraska,ILB,NA,6.2499975,241,4.75,25,34.5,112,4,7.22,NA,Division I,Big Ten,Nebraska
2006,Barrick Nealy,Texas State Universityâ€“San Marcos,QB,NA,6.3333308,226,4.57,NA,32.5,114,4.29,6.94,NA,Division I,Western Athletic Conference,Texas State
2010,Barry Church,University of Toledo,SS,NA,6.1666642,222,4.69,19,36,121,4.17,6.65,NA,Division I,Mid-American,Toledo
2006,Barry Cofield,Northwestern University,DT,NA,6.3333308,304,4.95,35,34,105,4.35,7.43,NA,Division I,Big 12,Northwestern University
1999,Barry Gardner,Northwestern University,ILB,NA,6.0833309,242,4.71,25,33,113,4.32,7.42,NA,Division I,Big 12,Northwestern University
2008,Barry Richardson,Clemson University,OT,NA,6.5833307,320,5.45,24,25.5,100,5.16,8,NA,Division I,Atlantic Coast,Clemson
2001,Bart Hendricks,Boise State University,QB,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Division I,Mountain West,Boise State
2000,Bashir Yamini,University of Iowa,WR,NA,6.2499975,191,4.53,NA,33,130,4.18,7.09,NA,Division I,Big Ten,Iowa
2009,Bear Pascoe,"California State University, Fresno",TE,NA,6.4166641,251,4.96,NA,26.5,107,4.55,7.65,NA,Division I,Mountain West,Fresno State
2012,Beau Reliford,Florida State University,TE,NA,6.4166641,256,NA,NA,NA,NA,NA,NA,NA,Division I,Atlantic Coast,Florida State
1999,Ben Adams,University of Texas,OG,NA,6.4166641,324,5.36,26,25.5,98,4.83,7.86,NA,Division I,Big 12,University of Texas
2003,Ben Claxton,University of Mississippi,C,NA,6.2499975,301,5.16,NA,27,102,4.69,7.81,NA,Division I,Southeastern,Ole Miss
2005,Ben Dougherty,Florida A&M University,QB,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,Division I-AA,Mid-Eastern,Florida A&M
2005,Ben Emanuel,"University of California, Los Angeles",FS,NA,6.2499975,212,4.57,21,NA,NA,NA,NA,NA,Division I,Pacific-12,UCLA
2007,Ben Grubbs,Auburn University,OG,NA,6.2499975,311,5.18,29,26.5,103,4.72,7.99,NA,Division I,Southeastern,Auburn
2001,Ben Hamilton,University of Minnesota,C,NA,6.4166641,303,5.26,17,33.5,106,4.62,7.62,NA,Division I,Big Ten,Minnesota
2004,Ben Hartsock,Ohio State University,TE,NA,6.3333308,263,4.8,23,35,117,4.03,7.11,NA,Division I,Big Ten,Ohio State
2003,Ben Johnson,University of Wisconsin,OT,NA,6.5833307,329,5.37,30,NA,NA,NA,NA,NA,Division I,Big Ten,Wisconsin
2012,Ben Jones,University of Georgia,C,NA,6.1666642,303,5.44,29,30,105,4.74,7.95,NA,Division I,Southeastern,Georgia
2000,Ben Kelly,University of Colorado System,CB,NA,5.7499977,183,4.53,17,36,116,3.95,6.63,NA,Division I,Pacific-12,Colorado
2001,Ben Leard,Auburn University,QB,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Division I,Southeastern,Auburn
2002,Ben Leber,Kansas State University,OLB,NA,6.2499975,244,4.62,20,32.5,114,4.25,6.75,NA,Division I,Big 12,Kansas State
2002,Ben Miller,Air Force Academy,C,NA,6.2499975,263,4.92,18,37.5,114,4.46,7.28,NA,Division I,Mountain West,Air Force
