Pick,Round,Player,Position,DraftFranchise,CurrentDayFranchise,DBPediaCollege_Name,Conference,Division,FormalStatedMajor,CollegeMajor,DraftYear,gradeNFL,Height.numeric,Weight,fortyYardDash,benchPress,verticalJump,broadJump,twentyYardShuttle,threeConeDrill,Wonderlic,DBPediaURI_College,DBPediaData_College,Conference.1,DBPediaURI_Conference,DBPediaData_Conference,DBPediaURI_Player,DBPediaData_Player,DBpediaURI_Position,DBpediaData_Position,DBPediaURI_DraftYear,DBPediaData_DraftYear
193,6,Nate Palmer,OLB,Green Bay Packers,Green Bay Packers,Illinois State University,Missouri Valley Conference,Division I-AA,Undisclosed,Undeclared/Undisclosed,2013,NA,6.25,240,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/Illinois_State_University,http://live.dbpedia.org/data/Illinois_State_University.json,Missouri Valley Conference,http://live.dbpedia.org/resource/Missouri_Valley_Conference,http://live.dbpedia.org/data/Missouri_Valley_Conference.json,live.dbpedia.org/resource/Nate_Palmer,live.dbpedia.org/data/Nate_Palmer.json,live.dbpedia.org/resource/Linebacker,live.dbpedia.org/data/Linebacker.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
194,6,Spencer Ware,RB,Seattle Seahawks,Seattle Seahawks,Louisiana State University,Southeastern Conference,Division I,Sport Administration,"Leisure, Sport, Recreation Studies and Management",2013,59,5.83,228,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/Louisiana_State_University,http://live.dbpedia.org/data/Louisiana_State_University.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Spencer_Ware,live.dbpedia.org/data/Spencer_Ware.json,live.dbpedia.org/resource/Running_back,live.dbpedia.org/data/Running_back.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
195,6,Alan Bonner,WR,Houston Texans,Houston Texans,Jacksonville State University,Ohio Valley Conference,Division I-AA,Exercise Science and Wellness,"Physical Therapy, Sports Science, Kinesiology",2013,50,5.83,193,4.59,14,33,117,4.15,NA,NA,http://live.dbpedia.org/resource/Jacksonville_State_University,http://live.dbpedia.org/data/Jacksonville_State_University.json,Ohio Valley Conference,http://live.dbpedia.org/resource/Ohio_Valley_Conference,http://live.dbpedia.org/data/Ohio_Valley_Conference.json,live.dbpedia.org/resource/Alan_Bonner,live.dbpedia.org/data/Alan_Bonner.json,live.dbpedia.org/resource/Wide_receiver,live.dbpedia.org/data/Wide_receiver.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
196,6,Jeff Baca,OG,Minnesota Vikings,Minnesota Vikings,"University of California, Los Angeles",Pacific-12 Conference,Division I,Political Science,Political Science,2013,59.8,6.25,302,5.03,NA,26.5,NA,4.44,7.26,NA,"http://live.dbpedia.org/resource/University_of_California,_Los_Angeles","http://live.dbpedia.org/data/University_of_California,_Los_Angeles.json",Pacific-12 Conference,http://live.dbpedia.org/resource/Pacific-12_Conference,http://live.dbpedia.org/data/Pacific-12_Conference.json,live.dbpedia.org/resource/Jeff_Baca,live.dbpedia.org/data/Jeff_Baca.json,live.dbpedia.org/resource/Guard_(American_football),live.dbpedia.org/data/Guard_(American_football).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
197,6,Cobi Hamilton,WR,Cincinnati Bengals,Cincinnati Bengals,"University of Arkansas, Little Rock",Southeastern Conference,Division I,Sociology,Sociology,2013,72.9,6.17,212,4.56,11,29.5,107,4.31,NA,NA,http://live.dbpedia.org/resource/University_of_Arkansas,http://live.dbpedia.org/data/University_of_Arkansas.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Cobi_Hamilton,live.dbpedia.org/data/Cobi_Hamilton.json,live.dbpedia.org/resource/Wide_receiver,live.dbpedia.org/data/Wide_receiver.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
198,6,Chris Jones,DT,Houston Texans,Houston Texans,Bowling Green State University,Mid-American Conference,Division I,Exercise Science,"Physical Therapy, Sports Science, Kinesiology",2013,55.3,6.17,302,5.33,30,NA,NA,4.44,NA,NA,http://live.dbpedia.org/resource/Bowling_Green_State_University,http://live.dbpedia.org/data/Bowling_Green_State_University.json,Mid-American Conference,http://live.dbpedia.org/resource/Mid-American_Conference,http://live.dbpedia.org/data/Mid-American_Conference.json,live.dbpedia.org/resource/Chris_Jones_(defensive_tackle),live.dbpedia.org/data/Chris_Jones_(defensive_tackle).json,live.dbpedia.org/resource/Tackle_(American_football)#Defensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Defensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
199,6,Theo Riddick,RB,Detroit Lions,Detroit Lions,Notre Dame University,NCAA Division I FBS independent schools,Division I,"Film, Television and Theatre","Broadcasting, Journalism & Media",2013,51,5.83,201,4.68,NA,32,118,NA,NA,NA,http://live.dbpedia.org/resource/University_of_Notre_Dame,http://live.dbpedia.org/data/University_of_Notre_Dame.json,NCAA Division I FBS independent schools,http://live.dbpedia.org/resource/NCAA_Division_I_FBS_independent_schools,http://live.dbpedia.org/data/NCAA_Division_I_FBS_independent_schools.json,live.dbpedia.org/resource/Theo_Riddick,live.dbpedia.org/data/Theo_Riddick.json,live.dbpedia.org/resource/Running_back,live.dbpedia.org/data/Running_back.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
200,6,Kapron Lewis-Moore,DE,Baltimore Ravens,Baltimore Ravens,Notre Dame University,NCAA Division I FBS independent schools,Division I,Marketing,Marketing,2013,55.6,6.33,298,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/University_of_Notre_Dame,http://live.dbpedia.org/data/University_of_Notre_Dame.json,NCAA Division I FBS independent schools,http://live.dbpedia.org/resource/NCAA_Division_I_FBS_independent_schools,http://live.dbpedia.org/data/NCAA_Division_I_FBS_independent_schools.json,live.dbpedia.org/resource/Kapron_Lewis-Moore,live.dbpedia.org/data/Kapron_Lewis-Moore.json,live.dbpedia.org/resource/Defensive_end,live.dbpedia.org/data/Defensive_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
201,6,Ryan Griffin,TE,Houston Texans,Houston Texans,University of Connecticut,Big East Conference,Division I,Communication,Communications,2013,NA,6.5,247,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/University_of_Connecticut,http://live.dbpedia.org/data/University_of_Connecticut.json,Big East Conference,http://live.dbpedia.org/resource/Big_East_Conference,http://live.dbpedia.org/data/Big_East_Conference.json,live.dbpedia.org/resource/Ryan_Griffin,live.dbpedia.org/data/Ryan_Griffin.json,live.dbpedia.org/resource/Tight_end,live.dbpedia.org/data/Tight_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
202,6,Khalid Wooten,CB,Tennessee Titans,Tennessee Titans,"University of Nevada, Reno",Mountain West Conference,Division I,Undisclosed,Undeclared/Undisclosed,2013,61.8,5.92,210,4.53,17,33.5,117,4.18,6.95,NA,"http://live.dbpedia.org/resource/University_of_Nevada,_Reno","http://live.dbpedia.org/data/University_of_Nevada,_Reno.json",Mountain West Conference,http://live.dbpedia.org/resource/Mountain_West_Conference,http://live.dbpedia.org/data/Mountain_West_Conference.json,live.dbpedia.org/resource/Khalid_Wooten,live.dbpedia.org/data/Khalid_Wooten.json,live.dbpedia.org/resource/Cornerback,live.dbpedia.org/data/Cornerback.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
203,6,Ryan Jensen,OT,Baltimore Ravens,Baltimore Ravens,Colorado State University Pueblo,Rocky Mountain Athletic Conference,Division II,Business,"Business Administration, Management",2013,NA,6.42,311,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/Colorado_State_University%E2%80%93Pueblo,http://live.dbpedia.org/data/Colorado_State_University%E2%80%93Pueblo.json,Rocky Mountain Athletic Conference,http://live.dbpedia.org/resource/Rocky_Mountain_Athletic_Conference,http://live.dbpedia.org/data/Rocky_Mountain_Athletic_Conference.json,live.dbpedia.org/resource/Ryan_Jensen_(American_football),live.dbpedia.org/data/Ryan_Jensen_(American_football).json,live.dbpedia.org/resource/Tackle_(American_football)#Offensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Offensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
204,6,Braden Wilson,FB,Kansas City Chiefs,Kansas City Chiefs,Kansas State University,Big 12 Conference,Division I,Social Sciences,Sociology,2013,59,6.25,251,4.81,22,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/Kansas_State_University,http://live.dbpedia.org/data/Kansas_State_University.json,Big 12 Conference,http://live.dbpedia.org/resource/Big_12_Conference,http://live.dbpedia.org/data/Big_12_Conference.json,live.dbpedia.org/resource/Braden_Wilson,live.dbpedia.org/data/Braden_Wilson.json,live.dbpedia.org/resource/Fullback_(gridiron_football),live.dbpedia.org/data/Fullback_(gridiron_football).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
205,6,Stacy McGee,DT,Oakland Raiders,Oakland Raiders,University of Oklahoma,Big 12 Conference,Division I,Human Relations,Sociology,2013,52.8,6.25,308,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/University_of_Oklahoma,http://live.dbpedia.org/data/University_of_Oklahoma.json,Big 12 Conference,http://live.dbpedia.org/resource/Big_12_Conference,http://live.dbpedia.org/data/Big_12_Conference.json,live.dbpedia.org/resource/Stacy_McGee,live.dbpedia.org/data/Stacy_McGee.json,live.dbpedia.org/resource/Tackle_(American_football)#Defensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Defensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
206,6,Vince Williams,ILB,Pittsburgh Steelers,Pittsburgh Steelers,Florida State University,Atlantic Coast Conference,Division I,Undisclosed,Undeclared/Undisclosed,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/Florida_State_University,http://live.dbpedia.org/data/Florida_State_University.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,live.dbpedia.org/resource/Vince_Williams_(American_football),live.dbpedia.org/data/Vince_Williams_(American_football).json,live.dbpedia.org/resource/Linebacker,live.dbpedia.org/data/Linebacker.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
207,7,Mike Catapano,DE,Kansas City Chiefs,Kansas City Chiefs,Princeton University,Ivy League,Division I-AA,Undisclosed,Undeclared/Undisclosed,2013,NA,6.33,270,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/Princeton_University,http://live.dbpedia.org/data/Princeton_University.json,Ivy League,http://live.dbpedia.org/resource/Ivy_League,http://live.dbpedia.org/data/Ivy_League.json,live.dbpedia.org/resource/Mike_Catapano,live.dbpedia.org/data/Mike_Catapano.json,live.dbpedia.org/resource/Defensive_end,live.dbpedia.org/data/Defensive_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
208,7,Jeremy Harris,CB,Jacksonville Jaguars,Jacksonville Jaguars,New Mexico State University,NCAA Division I FBS independent schools,Division I,Undeclared,Undeclared/Undisclosed,2013,NA,6.17,185,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/New_Mexico_State_University,http://live.dbpedia.org/data/New_Mexico_State_University.json,NCAA Division I FBS independent schools,http://live.dbpedia.org/resource/NCAA_Division_I_FBS_independent_schools,http://live.dbpedia.org/data/NCAA_Division_I_FBS_independent_schools.json,live.dbpedia.org/resource/Jeremy_Harris_(American_football),live.dbpedia.org/data/Jeremy_Harris_(American_football).json,live.dbpedia.org/resource/Cornerback,live.dbpedia.org/data/Cornerback.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
209,7,Brice Butler,WR,Oakland Raiders,Oakland Raiders,San Diego State University,Mountain West Conference,Division I,Public Policy,Public Policy,2013,NA,6.25,205,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/San_Diego_State_University,http://live.dbpedia.org/data/San_Diego_State_University.json,Mountain West Conference,http://live.dbpedia.org/resource/Mountain_West_Conference,http://live.dbpedia.org/data/Mountain_West_Conference.json,live.dbpedia.org/resource/Brice_Butler,live.dbpedia.org/data/Brice_Butler.json,live.dbpedia.org/resource/Wide_receiver,live.dbpedia.org/data/Wide_receiver.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
210,7,Demetrius McCray,CB,Jacksonville Jaguars,Jacksonville Jaguars,Appalachian State University,Southern Conference,Division I-AA,Criminal Justice,Criminal Justice,2013,55,6.08,187,4.54,4,36,126,4.32,7.17,NA,http://live.dbpedia.org/resource/Appalachian_State_University,http://live.dbpedia.org/data/Appalachian_State_University.json,Southern Conference,http://live.dbpedia.org/resource/Southern_Conference,http://live.dbpedia.org/data/Southern_Conference.json,live.dbpedia.org/resource/Demetrius_McCray,live.dbpedia.org/data/Demetrius_McCray.json,live.dbpedia.org/resource/Cornerback,live.dbpedia.org/data/Cornerback.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
211,7,Michael Williams,TE,Detroit Lions,Detroit Lions,University of Alabama,Southeastern Conference,Division I,Undisclosed,Undeclared/Undisclosed,2013,68.9,5.92,203,4.52,13,37.5,126,4,NA,NA,http://live.dbpedia.org/resource/University_of_Alabama,http://live.dbpedia.org/data/University_of_Alabama.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Michael_Williams_(American_football),live.dbpedia.org/data/Michael_Williams_(American_football).json,live.dbpedia.org/resource/Tight_end,live.dbpedia.org/data/Tight_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
212,7,Joe Kruger,DE,Philadelphia Eagles,Philadelphia Eagles,University of Utah,Pacific-12 Conference,Division I,Economics,Economics,2013,73,6.5,269,4.83,24,34,117,4.46,7.17,NA,http://live.dbpedia.org/resource/University_of_Utah,http://live.dbpedia.org/data/University_of_Utah.json,Pacific-12 Conference,http://live.dbpedia.org/resource/Pacific-12_Conference,http://live.dbpedia.org/data/Pacific-12_Conference.json,live.dbpedia.org/resource/Joe_Kruger,live.dbpedia.org/data/Joe_Kruger.json,live.dbpedia.org/resource/Defensive_end,live.dbpedia.org/data/Defensive_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
213,7,Michael Mauti,ILB,Minnesota Vikings,Minnesota Vikings,Pennsylvania State University,Big Ten Conference,Division I,"Crime, Law and Justice",Criminal Justice,2013,71.8,6.17,243,4.83,28,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/Pennsylvania_State_University,http://live.dbpedia.org/data/Pennsylvania_State_University.json,Big Ten Conference,http://live.dbpedia.org/resource/Big_Ten_Conference,http://live.dbpedia.org/data/Big_Ten_Conference.json,live.dbpedia.org/resource/Michael_Mauti,live.dbpedia.org/data/Michael_Mauti.json,live.dbpedia.org/resource/Linebacker,live.dbpedia.org/data/Linebacker.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
214,7,Travis Bond,OG,Minnesota Vikings,Minnesota Vikings,University of North Carolina at Chapel Hill,Atlantic Coast Conference,Division I,Exercise and Sport Science,"Physical Therapy, Sports Science, Kinesiology",2013,54.6,6.5,329,5.27,22,22.5,98,4.96,7.85,NA,http://live.dbpedia.org/resource/University_of_North_Carolina_at_Chapel_Hill,http://live.dbpedia.org/data/University_of_North_Carolina_at_Chapel_Hill.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,live.dbpedia.org/resource/Travis_Bond,live.dbpedia.org/data/Travis_Bond.json,live.dbpedia.org/resource/Guard_(American_football),live.dbpedia.org/data/Guard_(American_football).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
215,7,Tommy Bohanon,FB,New York Jets,New York Jets,Wake Forest University,Atlantic Coast Conference,Division I,Communication,Communications,2013,54,6.08,246,4.88,36,35,119,4.42,7.27,NA,http://live.dbpedia.org/resource/Wake_Forest_University,http://live.dbpedia.org/data/Wake_Forest_University.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,live.dbpedia.org/resource/Tommy_Bohanon,live.dbpedia.org/data/Tommy_Bohanon.json,live.dbpedia.org/resource/Fullback_(gridiron_football),live.dbpedia.org/data/Fullback_(gridiron_football).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
216,7,Charles Johnson,WR,Green Bay Packers,Green Bay Packers,Grand Valley State University,Great Lakes Intercollegiate Athletic Conference,Division II,Biology,Science and Technology,2013,NA,6.25,225,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/Grand_Valley_State_University,http://live.dbpedia.org/data/Grand_Valley_State_University.json,Great Lakes Intercollegiate Athletic Conference,http://live.dbpedia.org/resource/Great_Lakes_Intercollegiate_Athletic_Conference,http://live.dbpedia.org/data/Great_Lakes_Intercollegiate_Athletic_Conference.json,"live.dbpedia.org/resource/Charles_Johnson_(wide_receiver,_Green_Bay_Packers)","live.dbpedia.org/data/Charles_Johnson_(wide_receiver,_Green_Bay_Packers).json",live.dbpedia.org/resource/Wide_receiver,live.dbpedia.org/data/Wide_receiver.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
217,7,Armonty Bryant,DE,Cleveland Browns,Cleveland Browns,East Central University,Great American Conference,Division II,Kinesiology,"Physical Therapy, Sports Science, Kinesiology",2013,61,6.33,263,4.86,NA,31.5,118,5,7.32,NA,http://live.dbpedia.org/resource/East_Central_University,http://live.dbpedia.org/data/East_Central_University.json,Great American Conference,http://live.dbpedia.org/resource/Great_American_Conference,http://live.dbpedia.org/data/Great_American_Conference.json,live.dbpedia.org/resource/Armonty_Bryant,live.dbpedia.org/data/Armonty_Bryant.json,live.dbpedia.org/resource/Defensive_end,live.dbpedia.org/data/Defensive_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
218,7,Jordan Poyer,CB,Philadelphia Eagles,Philadelphia Eagles,Oregon State University,Pacific-12 Conference,Division I,Elementary Education,Education,2013,74,6,191,4.54,8,30.5,118,4.18,6.87,NA,http://live.dbpedia.org/resource/Oregon_State_University,http://live.dbpedia.org/data/Oregon_State_University.json,Pacific-12 Conference,http://live.dbpedia.org/resource/Pacific-12_Conference,http://live.dbpedia.org/data/Pacific-12_Conference.json,live.dbpedia.org/resource/Jordan_Poyer,live.dbpedia.org/data/Jordan_Poyer.json,live.dbpedia.org/resource/Cornerback,live.dbpedia.org/data/Cornerback.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
219,7,D.C. Jefferson,TE,Arizona Cardinals,Arizona Cardinals,Rutgers University,Big East Conference,Division I,Undisclosed,Undeclared/Undisclosed,2013,60.2,6.5,255,NA,3,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/Rutgers_University,http://live.dbpedia.org/data/Rutgers_University.json,Big East Conference,http://live.dbpedia.org/resource/Big_East_Conference,http://live.dbpedia.org/data/Big_East_Conference.json,live.dbpedia.org/resource/D._C._Jefferson,live.dbpedia.org/data/D._C._Jefferson.json,live.dbpedia.org/resource/Tight_end,live.dbpedia.org/data/Tight_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
220,7,Ryan Seymour,G,Seattle Seahawks,Seattle Seahawks,Vanderbilt University,Southeastern Conference,Division I,Human and Organizational Development,Sociology,2013,NA,6.42,300,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/Vanderbilt_University,http://live.dbpedia.org/data/Vanderbilt_University.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Ryan_Seymour,live.dbpedia.org/data/Ryan_Seymour.json,live.dbpedia.org/resource/Guard_(American_and_Canadian_football),live.dbpedia.org/data/Guard_(American_and_Canadian_football).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
221,7,Brad Sorensen,QB,San Diego Chargers,San Diego Chargers,Southern Utah University,Big Sky Conference,Division I-AA,Undisclosed,Undeclared/Undisclosed,2013,54.9,6.33,229,4.97,NA,29,112,4.55,7.17,NA,http://live.dbpedia.org/resource/Southern_Utah_University,http://live.dbpedia.org/data/Southern_Utah_University.json,Big Sky Conference,http://live.dbpedia.org/resource/Big_Sky_Conference,http://live.dbpedia.org/data/Big_Sky_Conference.json,live.dbpedia.org/resource/Brad_Sorensen,live.dbpedia.org/data/Brad_Sorensen.json,live.dbpedia.org/resource/Quarterback,live.dbpedia.org/data/Quarterback.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
222,7,Chris Gragg,TE,Buffalo Bills,Buffalo Bills,"University of Arkansas, Little Rock",Southeastern Conference,Division I,Sport Management,"Leisure, Sport, Recreation Studies and Management",2013,58.9,6.25,244,4.5,18,37.5,125,4.51,7.08,NA,http://live.dbpedia.org/resource/University_of_Arkansas,http://live.dbpedia.org/data/University_of_Arkansas.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Chris_Gragg,live.dbpedia.org/data/Chris_Gragg.json,live.dbpedia.org/resource/Tight_end,live.dbpedia.org/data/Tight_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
223,7,Nicholas Williams,DT,Pittsburgh Steelers,Pittsburgh Steelers,Samford University,Southern Conference,Division I-AA,Public Administration,Public Policy,2013,52,6.33,309,4.94,28,33,111,4.65,7.55,NA,http://live.dbpedia.org/resource/Samford_University,http://live.dbpedia.org/data/Samford_University.json,Southern Conference,http://live.dbpedia.org/resource/Southern_Conference,http://live.dbpedia.org/data/Southern_Conference.json,live.dbpedia.org/resource/Nicholas_Williams_(American_football),live.dbpedia.org/data/Nicholas_Williams_(American_football).json,live.dbpedia.org/resource/Tackle_(American_football)#Defensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Defensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
224,7,Kevin Dorsey,WR,Green Bay Packers,Green Bay Packers,"University of Maryland, College Park",Atlantic Coast Conference,Division I,Economics,Economics,2013,NA,6.17,210,NA,NA,NA,NA,NA,NA,NA,"http://live.dbpedia.org/resource/University_of_Maryland,_College_Park","http://live.dbpedia.org/data/University_of_Maryland,_College_Park.json",Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,live.dbpedia.org/resource/Kevin_Dorsey,live.dbpedia.org/data/Kevin_Dorsey.json,live.dbpedia.org/resource/Wide_receiver,live.dbpedia.org/data/Wide_receiver.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
225,7,Eric Herman,OG,New York Giants,New York Giants,University of Ohio,Mid-American Conference,Division I,Industrial Technology,Science and Technology,2013,51,6.33,320,5.25,36,28,95,5.09,7.99,NA,http://live.dbpedia.org/resource/University_of_Ohio,http://live.dbpedia.org/data/University_of_Ohio.json,Mid-American Conference,http://live.dbpedia.org/resource/Mid-American_Conference,http://live.dbpedia.org/data/Mid-American_Conference.json,live.dbpedia.org/resource/Eric_Herman_(American_football),live.dbpedia.org/data/Eric_Herman_(American_football).json,live.dbpedia.org/resource/Guard_(American_football),live.dbpedia.org/data/Guard_(American_football).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
226,7,Michael Buchanan,DE,New England Patriots,New England Patriots,University of Illinois at Urbana-Champaign,Big Ten Conference,Division I,Communication,Communications,2013,69.5,6.42,255,4.78,22,33,113,NA,6.91,NA,http://live.dbpedia.org/resource/University_of_Illinois_at_Urbana-Champaign,http://live.dbpedia.org/data/University_of_Illinois_at_Urbana-Champaign.json,Big Ten Conference,http://live.dbpedia.org/resource/Big_Ten_Conference,http://live.dbpedia.org/data/Big_Ten_Conference.json,live.dbpedia.org/resource/Michael_Buchanan_(American_football),live.dbpedia.org/data/Michael_Buchanan_(American_football).json,live.dbpedia.org/resource/Defensive_end,live.dbpedia.org/data/Defensive_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
227,7,Garrett Gilkey,OG,Cleveland Browns,Cleveland Browns,Chadron State College,Rocky Mountain Athletic Conference,Division II,Special Education,Education,2013,58,6.5,318,5.33,28,30,108,4.75,7.65,NA,http://live.dbpedia.org/resource/Chadron_State_College,http://live.dbpedia.org/data/Chadron_State_College.json,Rocky Mountain Athletic Conference,http://live.dbpedia.org/resource/Rocky_Mountain_Athletic_Conference,http://live.dbpedia.org/data/Rocky_Mountain_Athletic_Conference.json,live.dbpedia.org/resource/Garrett_Gilkey,live.dbpedia.org/data/Garrett_Gilkey.json,live.dbpedia.org/resource/Guard_(American_football),live.dbpedia.org/data/Guard_(American_football).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
228,7,Jawan Jamison,RB,Washington Redskins,Washington Redskins,Rutgers University,Big East Conference,Division I,Labor Studies,Labor Studies,2013,71,5.58,203,4.68,20,29,110,NA,NA,NA,http://live.dbpedia.org/resource/Rutgers_University,http://live.dbpedia.org/data/Rutgers_University.json,Big East Conference,http://live.dbpedia.org/resource/Big_East_Conference,http://live.dbpedia.org/data/Big_East_Conference.json,live.dbpedia.org/resource/Jawan_Jamison,live.dbpedia.org/data/Jawan_Jamison.json,live.dbpedia.org/resource/Running_back,live.dbpedia.org/data/Running_back.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
