Player,DBPediaCollege_Name,Position,FormalStatedMajor,CollegeMajor,DBPediaURI_Player,DBPediaData_Player,DBPediaURI_College,DBPediaData_College,Conference,DBPediaURI_Conference,DBPediaData_Conference,Division,DraftYear,idPlayer,DraftYear.y,gradeNFL,Height.numeric,Weight,fortyYardDash,benchPress,verticalJump,broadJump,twentyYardShuttle,threeConeDrill,Wonderlic,DBPediaURI_DraftYear,DBPediaData_DraftYear
Bradley McDougald,University of Kansas,FS,Communication Studies,Communications,http://live.dbpedia.org/resource/Bradley_McDougald,http://live.dbpedia.org/data/Bradley_McDougald.json,http://live.dbpedia.org/resource/University_of_Kansas,http://live.dbpedia.org/data/University_of_Kansas.json,Big 12 Conference,http://live.dbpedia.org/resource/Big_12_Conference,http://live.dbpedia.org/data/Big_12_Conference.json,Division I,2013,24995,2013,54.8,6,215,4.74,19,34.5,122,4.44,7.07,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Brandon Hepburn,Florida A&M University,ILB,Biochemistry,Biochemistry,http://live.dbpedia.org/resource/Brandon_Hepburn,http://live.dbpedia.org/data/Brandon_Hepburn.json,http://live.dbpedia.org/resource/Florida_A&M_University,http://live.dbpedia.org/data/Florida_A&M_University.json,Mid-Eastern Athletic Conference,http://live.dbpedia.org/resource/Mid-Eastern_Athletic_Conference,http://live.dbpedia.org/data/Mid-Eastern_Athletic_Conference.json,Division I-AA,2013,24996,2013,51,6.17,240,4.68,21,32,124,4.55,7.4,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Brandon Jenkins,Florida State University,OLB,Criminal Justice,Criminal Justice,http://live.dbpedia.org/resource/Brandon_Jenkins,http://live.dbpedia.org/data/Brandon_Jenkins.json,http://live.dbpedia.org/resource/Florida_State_University,http://live.dbpedia.org/data/Florida_State_University.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,Division I,2013,24997,2013,82.9,6.17,251,4.69,18,NA,NA,NA,NA,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Brandon Kaufman,Eastern Washington University,WR,Sociology,Sociology,http://live.dbpedia.org/resource/Brandon_Kaufman,http://live.dbpedia.org/data/Brandon_Kaufman.json,http://live.dbpedia.org/resource/Eastern_Washington_University,http://live.dbpedia.org/data/Eastern_Washington_University.json,Big Sky Conference,http://live.dbpedia.org/resource/Big_Sky_Conference,http://live.dbpedia.org/data/Big_Sky_Conference.json,Division I-AA,2013,24998,2013,68,6.42,216,4.67,9,33.5,115,4.44,7.11,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Brandon Magee,Arizona State University,OLB,Exploratory Studies,General Studies,http://live.dbpedia.org/resource/Brandon_Magee,http://live.dbpedia.org/data/Brandon_Magee.json,http://live.dbpedia.org/resource/Arizona_State_University,http://live.dbpedia.org/data/Arizona_State_University.json,Pacific-12 Conference,http://live.dbpedia.org/resource/Pacific-12_Conference,http://live.dbpedia.org/data/Pacific-12_Conference.json,Division I,2013,24999,2013,64.2,5.92,223,4.74,NA,NA,114,NA,NA,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Brandon McGee,University of Miami,CB,Undisclosed,Undeclared/Undisclosed,http://live.dbpedia.org/resource/Brandon_McGee,http://live.dbpedia.org/data/Brandon_McGee.json,http://live.dbpedia.org/resource/University_of_Miami,http://live.dbpedia.org/data/University_of_Miami.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,Division I,2013,25000,2013,60.1,5.92,193,4.4,14,33.5,119,4.18,6.71,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Brandon Williams,Missouri Southern State University,DT,Industrial Engineering Technology,Science and Technology,http://live.dbpedia.org/resource/Brandon_Williams_(defensive_tackle),http://live.dbpedia.org/data/Brandon_Williams_(defensive_tackle).json,http://live.dbpedia.org/resource/Missouri_Southern_State_University,http://live.dbpedia.org/data/Missouri_Southern_State_University.json,Mid-America Intercollegiate Athletics Association,http://live.dbpedia.org/resource/Mid-America_Intercollegiate_Athletics_Association,http://live.dbpedia.org/data/Mid-America_Intercollegiate_Athletics_Association.json,Division II,2013,24949,2013,73.2,6.08,335,5.37,38,29.5,102,4.91,8.09,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Braxston Cave,Notre Dame University,C,Psychology,Psychology,http://live.dbpedia.org/resource/Braxston_Cave,http://live.dbpedia.org/data/Braxston_Cave.json,http://live.dbpedia.org/resource/University_of_Notre_Dame,http://live.dbpedia.org/data/University_of_Notre_Dame.json,NCAA Division I FBS independent schools,http://live.dbpedia.org/resource/NCAA_Division_I_FBS_independent_schools,http://live.dbpedia.org/data/NCAA_Division_I_FBS_independent_schools.json,Division I,2013,25001,2013,57.3,6.25,303,5.33,NA,25.5,98,4.71,7.81,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Brennan Williams,University of North Carolina at Chapel Hill,OT,Communications,Communications,http://live.dbpedia.org/resource/Brennan_Williams,http://live.dbpedia.org/data/Brennan_Williams.json,http://live.dbpedia.org/resource/University_of_North_Carolina_at_Chapel_Hill,http://live.dbpedia.org/data/University_of_North_Carolina_at_Chapel_Hill.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,Division I,2013,25002,2013,71,6.5,318,NA,NA,NA,NA,NA,NA,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Brett Maher,University of Nebraska at Lincoln,K,Secondary Education,Education,,,http://live.dbpedia.org/resource/University_of_Nebraska%E2%80%93Lincoln,http://live.dbpedia.org/data/University_of_Nebraska%E2%80%93Lincoln.json,Big Ten Conference,http://live.dbpedia.org/resource/Big_Ten_Conference,http://live.dbpedia.org/data/Big_Ten_Conference.json,Division I,2013,25003,2013,0,6,186,NA,NA,NA,NA,NA,NA,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
