School_Label,ID_Race,CBB,CAB,A,BD,MA,DR,DPP,DO,Year
Rutgers,O,0,0,0,99,315,133,13,0,2010-2011
Rutgers,UN,0,0,0,149,66,31,10,0,2010-2011
Rutgers,MI,0,0,0,111,22,2,1,0,2010-2011
Rutgers,C,0,0,0,3379,966,185,58,0,2010-2011
San Jose State,AS,0,0,0,1573,581,0,0,0,2010-2011
San Jose State,AA,0,0,0,188,63,0,0,0,2010-2011
San Jose State,H,0,0,0,911,302,0,0,0,2010-2011
San Jose State,PI,0,0,0,36,5,0,0,0,2010-2011
San Jose State,IND,0,0,0,21,9,0,0,0,2010-2011
San Jose State,O,0,0,0,151,525,0,0,0,2010-2011
San Jose State,UN,0,0,0,407,271,0,0,0,2010-2011
San Jose State,MI,0,0,0,132,41,0,0,0,2010-2011
San Jose State,C,0,0,0,1497,772,0,0,0,2010-2011
Stanford,O,0,2,0,112,677,299,6,0,2010-2011
Stanford,UN,0,0,0,23,67,68,1,0,2010-2011
Stanford,MI,0,0,0,156,106,24,26,0,2010-2011
Stanford,C,0,1,0,718,793,275,157,0,2010-2011
Stanford,IND,0,0,0,11,4,1,1,0,2010-2011
Stanford,AS,0,0,0,329,317,56,53,0,2010-2011
Stanford,AA,0,0,0,97,61,9,16,0,2010-2011
Stanford,H,0,0,0,222,116,30,31,0,2010-2011
Stanford,PI,0,0,0,2,2,0,0,0,2010-2011
NA,MI,0,0,0,148,29,1,0,0,2010-2011
Texas A&M,C,0,0,0,6704,1125,232,101,0,2010-2011
Texas A&M,IND,0,0,0,36,4,1,1,0,2010-2011
Texas A&M,AS,0,0,0,377,69,22,5,0,2010-2011
Texas A&M,AA,0,0,0,195,57,42,0,0,2010-2011
Texas A&M,H,0,0,0,1142,190,41,13,0,2010-2011
Texas A&M,PI,0,0,0,8,2,0,0,0,2010-2011
Texas A&M,O,0,0,0,134,750,274,0,0,2010-2011
Texas A&M,UN,0,0,0,4,10,6,0,0,2010-2011
Alabama,O,0,0,0,37,107,46,0,0,2010-2011
Alabama,AA,0,7,0,408,160,16,27,0,2010-2011
Alabama,H,0,1,0,96,42,6,3,0,2010-2011
Alabama,PI,0,0,0,0,0,0,0,0,2010-2011
Alabama,IND,0,0,0,29,8,1,3,0,2010-2011
Alabama,AS,0,0,0,42,20,7,4,0,2010-2011
Alabama,UN,0,0,0,1,12,0,0,0,2010-2011
Alabama,MI,0,0,0,13,6,0,0,0,2010-2011
Alabama,C,0,36,0,3837,1158,114,174,0,2010-2011
Florida,IND,0,0,4,33,6,0,7,0,2010-2011
Florida,AS,0,4,24,652,174,33,170,0,2010-2011
Florida,AA,0,3,38,859,151,19,78,0,2010-2011
Florida,H,0,19,25,1368,338,21,120,0,2010-2011
Florida,PI,0,0,0,5,2,0,0,0,2010-2011
Florida,O,0,2,2,85,825,346,59,0,2010-2011
Florida,UN,0,1,6,298,145,26,38,0,2010-2011
Florida,MI,0,0,3,64,39,0,5,0,2010-2011
Florida,C,0,41,96,5321,2198,329,876,0,2010-2011
Georgia,IND,0,1,0,12,3,1,1,0,2010-2011
Georgia,AS,0,1,0,446,61,11,29,0,2010-2011
Georgia,AA,0,18,0,443,167,32,35,0,2010-2011
Georgia,H,0,2,0,198,36,10,12,0,2010-2011
Georgia,PI,0,0,0,2,0,0,0,0,2010-2011
Georgia,O,0,2,0,51,165,114,1,0,2010-2011
Georgia,UN,0,1,0,179,73,12,30,0,2010-2011
Georgia,MI,0,0,0,37,9,1,1,0,2010-2011
Georgia,C,0,79,0,5477,1250,262,337,0,2010-2011
Louisville,IND,0,0,0,4,2,0,0,0,2010-2011
Louisville,AS,0,3,0,70,28,4,26,0,2010-2011
Louisville,AA,1,8,2,258,100,7,19,0,2010-2011
Louisville,H,1,1,0,68,26,1,9,0,2010-2011
Louisville,PI,0,0,0,4,2,0,0,0,2010-2011
Louisville,O,0,5,0,47,70,44,1,0,2010-2011
Louisville,UN,0,1,0,10,9,0,3,0,2010-2011
Louisville,MI,0,4,0,41,10,0,4,0,2010-2011
Louisville,C,22,136,17,2116,1004,100,309,0,2010-2011
Michigan,IND,0,0,0,16,4,0,2,0,2010-2011
Michigan,AS,0,5,0,743,361,62,112,0,2010-2011
Michigan,AA,0,0,0,282,143,44,35,0,2010-2011
Michigan,H,0,1,0,326,129,37,36,0,2010-2011
Michigan,PI,0,0,0,1,0,0,0,0,2010-2011
Michigan,O,0,10,0,487,1032,252,22,0,2010-2011
Michigan,UN,0,1,0,368,83,6,44,0,2010-2011
Michigan,MI,0,2,0,194,84,24,27,0,2010-2011
Michigan,C,0,66,0,4136,1975,372,475,0,2010-2011
Nebraska,IND,0,0,0,9,1,0,1,0,2010-2011
Nebraska,AS,0,0,0,96,41,16,5,0,2010-2011
Nebraska,AA,0,0,0,66,17,8,5,0,2010-2011
Nebraska,H,0,0,1,124,23,8,5,0,2010-2011
Nebraska,PI,0,0,0,4,0,0,1,0,2010-2011
Nebraska,O,0,0,0,127,95,58,1,0,2010-2011
Nebraska,UN,0,0,0,140,47,28,14,0,2010-2011
Nebraska,MI,0,0,0,37,6,0,1,0,2010-2011
Nebraska,C,0,8,5,3018,644,169,106,0,2010-2011
Oklahoma,IND,0,0,0,245,74,7,7,0,2010-2011
Oklahoma,AS,0,0,0,202,55,6,7,0,2010-2011
Oklahoma,AA,0,0,0,200,121,2,5,0,2010-2011
Oklahoma,H,0,0,0,48,16,0,0,0,2010-2011
Oklahoma,PI,0,0,0,1,2,0,0,0,2010-2011
Oklahoma,O,0,0,0,70,193,59,2,0,2010-2011
Oklahoma,UN,0,0,0,371,372,16,32,0,2010-2011
Oklahoma,MI,0,0,0,39,13,1,1,0,2010-2011
Oklahoma,C,0,9,0,2553,906,95,109,0,2010-2011
Oregon,IND,0,14,0,36,28,2,4,0,2010-2011
Oregon,AS,0,18,0,212,20,8,16,0,2010-2011
Oregon,AA,0,3,0,67,7,2,6,0,2010-2011
Oregon,H,0,12,0,141,32,7,9,0,2010-2011
Oregon,PI,0,0,0,37,1,0,0,0,2010-2011
Oregon,O,0,14,0,206,121,26,0,0,2010-2011
Oregon,UN,0,49,0,228,123,23,8,0,2010-2011
Oregon,MI,0,4,0,39,2,0,2,0,2010-2011
Oregon,C,0,287,0,2865,642,81,129,0,2010-2011
South Carolina,IND,0,0,0,12,1,0,0,0,2010-2011
South Carolina,AS,0,2,0,108,25,10,22,0,2010-2011
South Carolina,AA,1,33,1,469,219,23,27,0,2010-2011
