"","Year","ID_School","Sport","White.Males","White.Females","Black.Males","Black.Females","Hispanic.Males","Hispanic.Females","Other.Males","Other.Females"
"137","2000-2001","KAN.ST","Basketball",3,7,6,5,0,0,2,0
"139","2000-2001","LSU","Basketball",2,2,7,8,0,0,0,1
"141","2000-2001","NEB","Basketball",3,8,9,7,0,1,2,1
"143","2000-2001","OKSTATE","Basketball",2,7,9,6,1,0,2,2
"144","2000-2001","ORE","Basketball",5,8,5,4,0,0,3,0
"146","2000-2001","RUT","Basketball",3,1,7,11,1,0,1,3
"148","2000-2001","SJ.ST","Basketball",3,4,8,10,0,1,1,0
"149","2000-2001","SMU","Basketball",3,6,9,7,0,0,0,1
"151","2000-2001","TAM","Basketball",4,8,9,10,0,0,2,0
"153","2000-2001","UM","Basketball",3,5,7,3,0,1,0,2
"155","2000-2001","UOFM","Basketball",0,3,9,6,0,0,2,5
"157","2000-2001","UT","Basketball",4,7,11,8,0,0,0,0
"158","2000-2001","UTA.ST","Basketball",7,0,5,0,0,0,2,0
"160","2001-2002","AUB","Basketball",2,2,10,14,0,0,2,3
"163","2001-2002","CLEM","Basketball",0,0,1,0,0,0,1,0
"165","2001-2002","FSU","Basketball",3,6,10,7,0,0,0,0
"167","2001-2002","KAN.ST","Basketball",1,11,7,3,0,0,3,1
"169","2001-2002","LSU","Basketball",0,1,10,11,0,0,0,0
"171","2001-2002","NEB","Basketball",8,8,6,6,0,0,0,1
"173","2001-2002","OK","Basketball",2,4,8,5,1,0,2,4
"176","2001-2002","ORE.ST","Basketball",5,6,5,4,1,0,1,3
"178","2001-2002","OSU","Basketball",3,7,8,7,0,0,1,0
"180","2001-2002","SCAR","Basketball",4,1,7,6,0,0,2,5
"183","2001-2002","STAN","Basketball",5,11,6,3,1,0,0,2
"185","2001-2002","UGA","Basketball",1,3,10,10,0,0,0,0
"187","2001-2002","UNC","Basketball",6,4,5,9,1,0,0,0
"189","2001-2002","USC","Basketball",0,0,3,2,0,0,0,1
"192","2001-2002","VANDY","Basketball",4,8,5,4,0,0,4,2
"194","2002-2003","BAMA","Basketball",0,6,12,9,0,0,1,1
"195","2002-2003","BOS.ST","Basketball",1,9,7,2,0,2,4,3
"197","2002-2003","DUKE","Basketball",3,6,8,6,0,0,0,1
"199","2002-2003","FLA","Basketball",4,3,8,10,0,0,1,1
"201","2002-2003","GTOWN","Basketball",1,3,11,7,0,0,1,4
"203","2002-2003","LOUIS","Basketball",1,6,11,9,0,0,3,1
"205","2002-2003","ND","Basketball",3,8,7,3,0,0,2,0
"207","2002-2003","NWST","Basketball",0,11,2,3,5,0,7,0
"209","2002-2003","OKSTATE","Basketball",1,10,10,8,0,0,2,1
"210","2002-2003","ORE","Basketball",7,8,5,4,0,0,1,3
"212","2002-2003","RUT","Basketball",1,2,10,9,0,0,3,2
"214","2002-2003","SJ.ST","Basketball",2,4,8,8,1,0,1,5
"215","2002-2003","SMU","Basketball",5,9,10,7,0,0,1,1
"217","2002-2003","TAM","Basketball",2,5,8,11,0,0,4,0
"219","2002-2003","UM","Basketball",2,7,11,5,0,1,1,2
"221","2002-2003","UOFM","Basketball",0,4,8,5,1,0,3,4
"223","2002-2003","UT","Basketball",5,7,9,7,0,0,2,1
"224","2002-2003","UTA.ST","Basketball",5,5,8,0,0,0,0,0
"226","2003-2004","AUB","Basketball",0,2,9,9,0,1,0,5
"229","2003-2004","CLEM","Basketball",0,7,7,7,0,0,3,2
"231","2003-2004","FSU","Basketball",1,4,10,8,0,0,3,3
"233","2003-2004","KAN.ST","Basketball",3,10,6,4,0,0,1,1
"235","2003-2004","LSU","Basketball",2,0,8,11,0,0,2,2
"237","2003-2004","NEB","Basketball",5,5,9,6,0,0,0,1
"239","2003-2004","OK","Basketball",2,9,9,4,0,0,1,1
"242","2003-2004","ORE.ST","Basketball",3,6,5,4,0,1,3,1
"244","2003-2004","OSU","Basketball",3,6,9,9,0,1,1,0
"246","2003-2004","SCAR","Basketball",1,2,10,7,0,0,1,7
"249","2003-2004","STAN","Basketball",4,11,6,3,1,0,1,0
"251","2003-2004","UGA","Basketball",1,3,3,5,0,0,0,0
"253","2003-2004","UNC","Basketball",1,3,10,10,0,0,0,0
"255","2003-2004","USC","Basketball",2,4,9,9,0,0,2,1
"258","2003-2004","VANDY","Basketball",5,7,5,6,0,0,2,2
"260","2004-2005","BAMA","Basketball",1,4,11,10,0,0,3,0
"261","2004-2005","BOS.ST","Basketball",3,7,8,3,0,2,1,2
"263","2004-2005","DUKE","Basketball",2,4,5,6,0,0,0,1
"265","2004-2005","FLA","Basketball",4,3,6,9,0,0,4,0
"267","2004-2005","GTOWN","Basketball",1,0,4,3,0,1,1,1
"268","2004-2005","KAN.ST","Basketball",2,11,8,0,0,0,3,4
"270","2004-2005","LSU","Basketball",2,0,9,12,0,0,1,2
"272","2004-2005","NEB","Basketball",3,5,10,4,1,0,1,4
"274","2004-2005","OK","Basketball",2,9,12,4,0,0,2,2
"277","2004-2005","ORE.ST","Basketball",1,5,4,4,0,1,3,0
"279","2004-2005","OSU","Basketball",3,5,10,8,0,1,0,1
"281","2004-2005","SCAR","Basketball",1,1,9,7,0,0,2,5
"284","2004-2005","STAN","Basketball",4,10,5,6,1,0,1,0
"286","2004-2005","UGA","Basketball",3,3,5,10,0,0,1,0
"288","2004-2005","UNC","Basketball",1,2,12,12,0,0,0,0
"290","2004-2005","USC","Basketball",1,4,11,11,0,0,2,1
"293","2004-2005","VANDY","Basketball",3,5,8,5,0,0,2,2
"295","2005-2006","BAMA","Basketball",1,4,9,10,0,0,1,1
"296","2005-2006","BOS.ST","Basketball",8,6,6,3,0,0,0,5
"298","2005-2006","DUKE","Basketball",4,6,5,6,0,0,2,1
"300","2005-2006","FLA","Basketball",1,4,5,9,2,0,2,0
"302","2005-2006","GTOWN","Basketball",0,6,12,4,0,0,1,0
"304","2005-2006","LOUIS","Basketball",3,3,9,8,0,0,1,3
"306","2005-2006","ND","Basketball",6,6,5,5,0,0,0,0
"308","2005-2006","NWST","Basketball",4,6,3,3,0,0,5,5
"310","2005-2006","OKSTATE","Basketball",0,1,3,0,1,0,1,0
"311","2005-2006","ORE","Basketball",5,4,7,2,0,0,1,6
"313","2005-2006","RUT","Basketball",2,3,11,9,0,0,0,0
"315","2005-2006","SJ.ST","Basketball",3,5,10,9,0,0,0,1
"316","2005-2006","SMU","Basketball",1,3,2,2,0,0,0,0
"318","2005-2006","TAM","Basketball",2,2,10,13,0,0,3,1
"320","2005-2006","UM","Basketball",1,7,10,6,0,0,2,1
"322","2005-2006","UOFM","Basketball",0,3,9,5,2,0,1,4
"324","2005-2006","UT","Basketball",4,2,8,10,0,1,0,1
"325","2005-2006","UTA.ST","Basketball",5,7,5,4,0,1,3,0
