Season,League,Team,Arena,Capacity,"City, State/Province",Wikipedia_URL,Nickname,Address,Latitude-Longitude,Date Opened,Date Closed,Date Demolished,Year Renovated
2011-12,NBA,Boston Celtics,TD Garden,18624,"Boston, Massachusetts",http://en.wikipedia.org/wiki/TD_Garden,The Garden,"100 Legends Way
Boston, Massachusetts, 02114",42°21?58.69?N 71°3?44.02?W,9/30/95,,,
2010-11,NBA,Boston Celtics,TD Garden,18624,"Boston, Massachusetts",http://en.wikipedia.org/wiki/TD_Garden,The Garden,"100 Legends Way
Boston, Massachusetts, 02114",42°21?58.69?N 71°3?44.02?W,9/30/95,,,
2009-10,NBA,Boston Celtics,TD Garden,18624,"Boston, Massachusetts",http://en.wikipedia.org/wiki/TD_Garden,The Garden,"100 Legends Way
Boston, Massachusetts, 02114",42°21?58.69?N 71°3?44.02?W,9/30/95,,,
2008-09,NBA,Boston Celtics,TD Banknorth Garden,18624,"Boston, Massachusetts",http://en.wikipedia.org/wiki/TD_Garden,The Garden,"100 Legends Way
Boston, Massachusetts, 02114",42°21?58.69?N 71°3?44.02?W,9/30/95,,,
2007-08,NBA,Boston Celtics,TD Banknorth Garden,18624,"Boston, Massachusetts",http://en.wikipedia.org/wiki/TD_Garden,The Garden,"100 Legends Way
Boston, Massachusetts, 02114",42°21?58.69?N 71°3?44.02?W,9/30/95,,,
2006-07,NBA,Boston Celtics,TD Banknorth Garden,18624,"Boston, Massachusetts",http://en.wikipedia.org/wiki/TD_Garden,The Garden,"100 Legends Way
Boston, Massachusetts, 02114",42°21?58.69?N 71°3?44.02?W,9/30/95,,,
2005-06,NBA,Boston Celtics,TD Banknorth Garden,18624,"Boston, Massachusetts",http://en.wikipedia.org/wiki/TD_Garden,The Garden,"100 Legends Way
Boston, Massachusetts, 02114",42°21?58.69?N 71°3?44.02?W,9/30/95,,,
2004-05,NBA,Boston Celtics,FleetCenter,18624,"Boston, Massachusetts",http://en.wikipedia.org/wiki/TD_Garden,The Garden,"100 Legends Way
Boston, Massachusetts, 02114",42°21?58.69?N 71°3?44.02?W,9/30/95,,,
2003-04,NBA,Boston Celtics,FleetCenter,18624,"Boston, Massachusetts",http://en.wikipedia.org/wiki/TD_Garden,The Garden,"100 Legends Way
Boston, Massachusetts, 02114",42°21?58.69?N 71°3?44.02?W,9/30/95,,,
2002-03,NBA,Boston Celtics,FleetCenter,18624,"Boston, Massachusetts",http://en.wikipedia.org/wiki/TD_Garden,The Garden,"100 Legends Way
Boston, Massachusetts, 02114",42°21?58.69?N 71°3?44.02?W,9/30/95,,,
2001-02,NBA,Boston Celtics,FleetCenter,18624,"Boston, Massachusetts",http://en.wikipedia.org/wiki/TD_Garden,The Garden,"100 Legends Way
Boston, Massachusetts, 02114",42°21?58.69?N 71°3?44.02?W,9/30/95,,,
2000-01,NBA,Boston Celtics,FleetCenter,18624,"Boston, Massachusetts",http://en.wikipedia.org/wiki/TD_Garden,The Garden,"100 Legends Way
Boston, Massachusetts, 02114",42°21?58.69?N 71°3?44.02?W,9/30/95,,,
1999-00,NBA,Boston Celtics,FleetCenter,18624,"Boston, Massachusetts",http://en.wikipedia.org/wiki/TD_Garden,The Garden,"100 Legends Way
Boston, Massachusetts, 02114",42°21?58.69?N 71°3?44.02?W,9/30/95,,,
1998-99,NBA,Boston Celtics,FleetCenter,18624,"Boston, Massachusetts",http://en.wikipedia.org/wiki/TD_Garden,The Garden,"100 Legends Way
Boston, Massachusetts, 02114",42°21?58.69?N 71°3?44.02?W,9/30/95,,,
1997-98,NBA,Boston Celtics,FleetCenter,18624,"Boston, Massachusetts",http://en.wikipedia.org/wiki/TD_Garden,The Garden,"100 Legends Way
Boston, Massachusetts, 02114",42°21?58.69?N 71°3?44.02?W,9/30/95,,,
1996-97,NBA,Boston Celtics,FleetCenter,18624,"Boston, Massachusetts",http://en.wikipedia.org/wiki/TD_Garden,The Garden,"100 Legends Way
Boston, Massachusetts, 02114",42°21?58.69?N 71°3?44.02?W,9/30/95,,,
1995-96,NBA,Boston Celtics,Shawmut Center ,18624,"Boston, Massachusetts",http://en.wikipedia.org/wiki/TD_Garden,The Garden,"100 Legends Way
Boston, Massachusetts, 02114",42°21?58.69?N 71°3?44.02?W,9/30/95,,,
1994-95,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
