ID_Sport,ID_School,Season,Name,Last_Name,First_Name,Year,Hometown/Prior_School,Height,Player_URL
UNC,MGOLF,2007-2008,Wallace Palmer,Palmer,Wallace,Sr.,"Augusta, Ga. (Academy of Richmond Co.)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675550&Q
UNC,MGOLF,2007-2008,Matt Raudenbush,Raudenbush,Matt,Fr.,"Pine Valley, N.J. (Bishop Eustace Prep, NJ)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675579&Q
UNC,MGOLF,2007-2008,Robert Riesen,Riesen,Robert,Jr.,"Pinehurst, NC (Pinecrest)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675563&Q
UNC,MGOLF,2007-2008,Michael Sedacca,Sedacca,Michael,So.,"Orlando, FL (Lake Highland Prep)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675535&Q
UNC,MGOLF,2007-2008,Henry Zaytoun III,Zaytoun III,Henry,Fr.,"Raleigh, N.C. (Ravenscroft School)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675564&Q
UNC,MGOLF,2006-2007,Barden Berry,Berry,Barden,Sr.,"Kinston, N.C. (Arendell Parrott Academy)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675524&Q
UNC,MGOLF,2006-2007,Philip Chauncey,Chauncey,Philip,So.,"Durham, N.C. (North Raleigh Christian Academy)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675583&Q
UNC,MGOLF,2006-2007,Reed Darsie,Darsie,Reed,Sr.,"Chapel Hill, N.C. (Jordan)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675548&Q
UNC,MGOLF,2006-2007,Ryan Holler,Holler,Ryan,Sr.,"Morehead City, N.C. (West Carteret)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675559&Q
UNC,MGOLF,2006-2007,David Holzworth,Holzworth,David,RSo.,"Chapel Hill, NC (East Chapel Hill)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675530&Q
UNC,MGOLF,2006-2007,Chase MacFarland,MacFarland,Chase,Jr.,"Savannah, GA (Savannah Christian School)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675542&Q
UNC,MGOLF,2006-2007,Josh Moore,Moore,Josh,Sr.,"Cary, N.C. (Langley)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675573&Q
UNC,MGOLF,2006-2007,Kevin O'Connell,O'Connell,Kevin,Fr.,"Cary, N.C. (Green Hope)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675544&Q
UNC,MGOLF,2006-2007,Wallace Palmer,Palmer,Wallace,Sr.,"Augusta, Ga. (Academy of Richmond Co.)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675550&Q
UNC,MGOLF,2006-2007,Matt Raudenbush,Raudenbush,Matt,Fr.,"Pine Valley, N.J. (Bishop Eustace Prep, NJ)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675579&Q
UNC,MGOLF,2006-2007,Robert Riesen,Riesen,Robert,Jr.,"Pinehurst, NC (Pinecrest)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675563&Q
UNC,MGOLF,2006-2007,Michael Sedacca,Sedacca,Michael,So.,"Orlando, FL (Lake Highland Prep)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675535&Q
UNC,MGOLF,2006-2007,Henry Zaytoun III,Zaytoun III,Henry,Fr.,"Raleigh, N.C. (Ravenscroft School)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675564&Q
UNC,MGOLF,2005-2006,Barden Berry,Berry,Barden,Jr.,"Kinston, N.C. (Arendell Parrott Academy)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675524&Q
UNC,MGOLF,2005-2006,Philip Chauncey,Chauncey,Philip,Fr.,"Durham, N.C. (North Raleigh Christian Academy)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675583&Q
UNC,MGOLF,2005-2006,Reed Darsie,Darsie,Reed,Jr.,"Chapel Hill, N.C. (Jordan)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675548&Q
UNC,MGOLF,2005-2006,Ryan Holler,Holler,Ryan,Jr.,"Morehead City, N.C. (West Carteret)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675559&Q
UNC,MGOLF,2005-2006,David Holzworth,Holzworth,David,RFr.,"Chapel Hill, NC (East Chapel Hill)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675530&Q
UNC,MGOLF,2005-2006,Chase MacFarland,MacFarland,Chase,So.,"Savannah, GA (Savannah Christian School)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675542&Q
UNC,MGOLF,2005-2006,Josh Moore,Moore,Josh,Jr.,"Cary, N.C. (Langley)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675573&Q
UNC,MGOLF,2005-2006,Wallace Palmer,Palmer,Wallace,Jr.,"Augusta, Ga. (Academy of Richmond Co.)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675550&Q
UNC,MGOLF,2005-2006,Robert Riesen,Riesen,Robert,So.,"Pinehurst, NC (Pinecrest)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675563&Q
UNC,MGOLF,2005-2006,Michael Sedacca,Sedacca,Michael,Fr.,"Orlando, FL (Lake Highland Prep)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675535&Q
UNC,MGOLF,2005-2006,Martin Ureta,Ureta,Martin,Sr.,"Santiago, Chile (Saddlebrook Prep Academy)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675519&Q
