Year,unitid,Institution_Name,Sport,Cohort_Data,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
1999-2000,134130,University of Florida,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),14,7,7,9,5,4,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,134130,University of Florida,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,8,5,3,4,3,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,134130,University of Florida,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),16,16,0,1,1,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,134130,University of Florida,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,134130,University of Florida,Football,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,135726,University of Miami,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),15,5,10,7,3,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,6,2,4
1999-2000,135726,University of Miami,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,8,4,4,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2
1999-2000,135726,University of Miami,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,4,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,135726,University of Miami,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,135726,University of Miami,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),9,1,8,2,0,2,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1999-2000,135726,University of Miami,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,6,1,5,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1999-2000,135726,University of Miami,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),8,4,4,3,2,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1999-2000,135726,University of Miami,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,4,1,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1999-2000,135726,University of Miami,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),14,14,0,6,6,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,135726,University of Miami,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,8,8,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,139959,University of Georgia,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),25,10,15,17,6,11,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,6,4,2
1999-2000,139959,University of Georgia,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,21,8,13,13,4,9,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,6,4,2
1999-2000,139959,University of Georgia,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,139959,University of Georgia,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,139959,University of Georgia,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,139959,University of Georgia,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,139959,University of Georgia,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
1999-2000,139959,University of Georgia,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1999-2000,139959,University of Georgia,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),18,18,0,4,4,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
