Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
59,Cody Thurlow,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205685795&Q_SEASON=2012,C,6/4/13,260,RSO,"Central, SC ",Central,SC,D.W. Daniel,,,,Clemson University,2012-2013
61,Scott Wilson,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529366&Q_SEASON=2012,OL,6/1/13,250,RSO,"Woodstock, GA ",Woodstock,GA,The Walker School,,,,Clemson University,2012-2013
62,Tyler Shatley,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529461&Q_SEASON=2012,OG,6/3/13,295,RJR,"Icard, NC ",Icard,NC,East Burke,,,,Clemson University,2012-2013
63,Brandon Thomas,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529405&Q_SEASON=2012,OL,6/3/13,305,RJR,"Spartanburg, SC ",Spartanburg,SC,Dorman,,,,Clemson University,2012-2013
64,Darrell Brevard,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529398&Q_SEASON=2012,OG,6/1/13,270,RJR,"Rock Hill, SC ",Rock Hill,SC,Northwestern,,,,Clemson University,2012-2013
65,Oliver Jones,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205530546&Q_SEASON=2012,OL,6/5/13,325,FR,"Ninety Six, SC ",Ninety Six,SC,Ninety Six,,,,Clemson University,2012-2013
67,Kalon Davis,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529465&Q_SEASON=2012,OG,6/5/13,330,RSO,"Chester, SC ",Chester,SC,Chester Senior,,,,Clemson University,2012-2013
68,David Beasley,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529372&Q_SEASON=2012,OG,6/4/13,315,RSO,"Columbus, GA ",Columbus,GA,G.W. Carver,,,,Clemson University,2012-2013
70,Gifford Timothy,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529430&Q_SEASON=2012,OT,6/6/13,310,RSO,"Middletown, DE ",Middletown,DE,Middletown,,,,Clemson University,2012-2013
71,Patrick DeStefano,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205530549&Q_SEASON=2012,OL,6/5/13,275,FR,"Spartanburg, SC ",Spartanburg,SC,Dorman,,,,Clemson University,2012-2013
71,Steven Young,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529360&Q_SEASON=2012,DT,5/11/13,275,RFR,"Awendaw, SC ",Awendaw,SC,Lincoln,,,,Clemson University,2012-2013
73,Joe Gore,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529391&Q_SEASON=2012,OT,6/4/13,275,RFR,"Lake Waccamaw, NC ",Lake Waccamaw,NC,East Columbus,,,,Clemson University,2012-2013
74,Spencer Region,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529406&Q_SEASON=2012,OG,6/4/13,350,RFR,"Cullman, AL ",Cullman,AL,Cullman,,,,Clemson University,2012-2013
75,Michael Sobeski,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529355&Q_SEASON=2012,LS,6/2/13,205,RSO,"Roebuck, SC ",Roebuck,SC,Dorman,,,,Clemson University,2012-2013
75,Daniel Stone,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205685527&Q_SEASON=2012,DE,6/4/13,235,FR,"Simpsonville, SC ",Simpsonville,SC,Southside Christian,,,,Clemson University,2012-2013
76,Shaq Anthony,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529349&Q_SEASON=2012,OT,6/3/13,265,RFR,"Williamston, SC ",Williamston,SC,Wren,,,,Clemson University,2012-2013
77,Reid Webster,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529363&Q_SEASON=2012,OT,6/4/13,285,RSO,"Woodstock, GA ",Woodstock,GA,Etowah,,,,Clemson University,2012-2013
79,Isaiah Battle,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205530488&Q_SEASON=2012,OT,6/6/13,280,FR,"Brooklyn, NY ",Brooklyn,NY,Blue Ridge ,,,,Clemson University,2012-2013
80,Brandon Ford,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529370&Q_SEASON=2012,TE,6/3/13,240,GR,"Wando, SC ",Wando,SC,Hanahan,,,,Clemson University,2012-2013
81,Stanton Seckinger,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529367&Q_SEASON=2012,WR,6/4/13,210,RFR,"Isle of Palms, SC ",Isle of Palms,SC,Porter-Gaud,,,,Clemson University,2012-2013
83,Daniel Rodriguez,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205576614&Q_SEASON=2012,WR,5/8/13,175,RFR,"Stafford, VA ",Stafford,VA,Brooke Pointe,,,,Clemson University,2012-2013
85,Alex Burdette,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205685520&Q_SEASON=2012,WR,5/10/13,180,RFR,"Pawleys Island, SC ",Pawleys Island,SC,Waccamaw,,,,Clemson University,2012-2013
85,Mario Marshall,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529376&Q_SEASON=2012,TE,6/4/13,225,RSO,"Cheraw, SC ",Cheraw,SC,Chesterfield,,,,Clemson University,2012-2013
86,Sam Cooper,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529364&Q_SEASON=2012,TE,6/5/13,250,RSO,"Brentwood, TN ",Brentwood,TN,The Ensworth School,,,,Clemson University,2012-2013
