,Sport,Governing_Body,Period,Value,Source,Variable,Value_Type
152,College Football,NCAA Men's Football,2002,0.09,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
153,Professional Hockey,NHL,2002,0.03,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
154,Horse Racing,NA,2002,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
155,Men's College Basketball,NCAA Men's Basketball,2002,0.04,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
156,Men's Professional Golf,PGA,2002,0.04,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
157,Men's Professional Basketball,NBA,2002,0.11,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
158,Men's Professional Soccer,NA,2002,0.03,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
159,Men's Professional Tennis,USTA,2002,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
160,Not sure,NA,2002,0.03,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
161,Professional Football,NFL,2002,0.27,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
162,Swimming,NA,2002,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
163,Track & Field,NA,2002,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
164,Women's College Basketball,NCAA Women's Basketball,2002,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
165,Women's Professional Golf,LPGA,2002,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
166,Women's Professional Basketball,WNBA,2002,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
167,Women's Professional Soccer,NA,2002,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
168,Women's Professional Tennis,WTA,2002,0.03,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
169,Auto Racing,NA,2003,0.09,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
170,Professional Baseball,MLB,2003,0.13,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
171,Bowling,NA,2003,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
172,Boxing,NA,2003,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
173,College Football,NCAA Men's Football,2003,0.09,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
174,Professional Hockey,NHL,2003,0.03,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
175,Horse Racing,NA,2003,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
176,Men's College Basketball,NCAA Men's Basketball,2003,0.06,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
177,Men's Professional Golf,PGA,2003,0.05,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
178,Men's Professional Basketball,NBA,2003,0.1,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
179,Men's Professional Soccer,NA,2003,0.03,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
180,Men's Professional Tennis,USTA,2003,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
181,Not sure,NA,2003,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
182,Professional Football,NFL,2003,0.29,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
183,Swimming,NA,2003,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
184,Track & Field,NA,2003,0.03,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
185,Women's College Basketball,NCAA Women's Basketball,2003,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
186,Women's Professional Golf,LPGA,2003,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
187,Women's Professional Basketball,WNBA,2003,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
188,Women's Professional Soccer,NA,2003,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
189,Women's Professional Tennis,WTA,2003,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
190,Auto Racing,NA,2004,0.07,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
191,Professional Baseball,MLB,2004,0.15,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
192,Bowling,NA,2004,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
193,Boxing,NA,2004,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
194,College Football,NCAA Men's Football,2004,0.11,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
195,Professional Hockey,NHL,2004,0.04,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
196,Horse Racing,NA,2004,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
