School_Label,CIPFamily,CIPFamilyTitle,Value_Type,Value,Percentage_School
Northern Illinois,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS.,College Major,1,0.010416667
Northern Illinois,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,1,0.010416667
Northern Illinois,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,14,0.145833333
Northern Illinois,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,2,0.020833333
Northern Illinois,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,13,0.135416667
Northern Illinois,42,PSYCHOLOGY.,College Major,5,0.052083333
Northern Illinois,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,1,0.010416667
Northern Illinois,45,SOCIAL SCIENCES.,College Major,12,0.125
Northern Illinois,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,1,0.010416667
Northern Illinois,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,28,0.291666667
Northern Illinois,54,HISTORY.,College Major,2,0.020833333
Northwestern,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,1,0.010204082
Northwestern,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,20,0.204081633
Northwestern,13,EDUCATION.,College Major,1,0.010204082
Northwestern,14,ENGINEERING.,College Major,11,0.112244898
Northwestern,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,3,0.030612245
Northwestern,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,College Major,1,0.010204082
Northwestern,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,5,0.051020408
Northwestern,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.010204082
Northwestern,38,PHILOSOPHY AND RELIGIOUS STUDIES.,College Major,2,0.020408163
Northwestern,42,PSYCHOLOGY.,College Major,5,0.051020408
Northwestern,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,1,0.010204082
Northwestern,44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,College Major,8,0.081632653
Northwestern,45,SOCIAL SCIENCES.,College Major,33,0.336734694
Northwestern,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,1,0.010204082
Northwestern,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.010204082
Northwestern,54,HISTORY.,College Major,4,0.040816327
Notre Dame,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,0.025641026
Notre Dame,42,PSYCHOLOGY.,College Major,2,0.051282051
