Year,unitid,Institution_Name,Cohort_Data,Sport,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W,idxtable_hd2003.idx_gr:vl-unitid of parent institution reporting graduation rates
2002-2003,209542,Oregon State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,40,16,24,32,14,18,0,0,0,1,1,0,2,0,2,0,0,0,3,1,2,2,0,2,-2
2002-2003,209542,Oregon State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,7,7,0,6,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,209542,Oregon State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,4,3,1,1,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,209542,Oregon State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,17,17,0,11,11,0,4,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,209542,Oregon State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,27,8,19,20,6,14,0,0,0,1,1,0,2,0,2,0,0,0,3,1,2,1,0,1,-2
2002-2003,209542,Oregon State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,209542,Oregon State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,209542,Oregon State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,12,12,0,8,8,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,209542,Oregon State University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,All other sports,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,209551,University of Oregon,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,22,8,14,17,8,9,1,0,1,0,0,0,1,0,1,0,0,0,2,0,2,1,0,1,-2
2002-2003,209551,University of Oregon,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,5,1,4,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-2
2002-2003,209551,University of Oregon,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,9,6,3,6,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2002-2003,209551,University of Oregon,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,15,15,0,9,9,0,3,3,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,-2
2002-2003,209551,University of Oregon,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,15,4,11,12,4,8,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,-2
2002-2003,209551,University of Oregon,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,209551,University of Oregon,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,6,4,2,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2002-2003,209551,University of Oregon,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,8,8,0,7,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,217882,Clemson University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,31,16,15,26,12,14,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,2,2,0,-2
2002-2003,217882,Clemson University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,217882,Clemson University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,5,3,2,1,1,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,217882,Clemson University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,16,5,11,9,2,7,6,3,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-2
2002-2003,217882,Clemson University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,20,20,0,8,8,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,217882,Clemson University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,25,13,12,21,9,12,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,-2
2002-2003,217882,Clemson University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,217882,Clemson University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,3,1,2,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,217882,Clemson University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,10,5,5,5,2,3,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,217882,Clemson University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,9,9,0,6,6,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,217882,Clemson University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,All other sports,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,217882,Clemson University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Baseball,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,217882,Clemson University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Basketball,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,217882,Clemson University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Cross-country and/or track,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,217882,Clemson University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Football,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,218663,University of South Carolina-Columbia,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,31,10,21,26,7,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,3,1,-2
2002-2003,218663,University of South Carolina-Columbia,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,218663,University of South Carolina-Columbia,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,218663,University of South Carolina-Columbia,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,7,2,5,1,0,1,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,218663,University of South Carolina-Columbia,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,20,20,0,9,9,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,218663,University of South Carolina-Columbia,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,17,6,11,14,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,-2
2002-2003,218663,University of South Carolina-Columbia,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,218663,University of South Carolina-Columbia,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,218663,University of South Carolina-Columbia,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,6,1,5,1,0,1,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,218663,University of South Carolina-Columbia,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,13,13,0,6,6,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,221999,Vanderbilt University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,23,7,16,20,7,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,-2
2002-2003,221999,Vanderbilt University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,221999,Vanderbilt University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,6,4,2,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2002-2003,221999,Vanderbilt University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,221999,Vanderbilt University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,21,21,0,14,14,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,221999,Vanderbilt University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,14,4,10,11,4,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,-2
2002-2003,221999,Vanderbilt University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,221999,Vanderbilt University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,5,4,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2002-2003,221999,Vanderbilt University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,221999,Vanderbilt University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,19,19,0,13,13,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,228246,Southern Methodist University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,27,8,19,24,7,17,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,-2
2002-2003,228246,Southern Methodist University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,6,3,3,2,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2002-2003,228246,Southern Methodist University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,-2
2002-2003,228246,Southern Methodist University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,18,18,0,8,8,0,8,8,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,228246,Southern Methodist University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,21,6,15,19,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,-2
2002-2003,228246,Southern Methodist University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,4,2,2,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,228246,Southern Methodist University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2002-2003,228246,Southern Methodist University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,11,11,0,6,6,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,228723,Texas A & M University-College Station,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,40,11,29,32,8,24,0,0,0,4,2,2,1,0,1,0,0,0,0,0,0,3,1,2,-2
2002-2003,228723,Texas A & M University-College Station,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,228723,Texas A & M University-College Station,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,5,2,3,1,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2002-2003,228723,Texas A & M University-College Station,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,20,8,12,11,4,7,6,3,3,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1,-2
2002-2003,228723,Texas A & M University-College Station,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,20,20,0,5,5,0,13,13,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,228723,Texas A & M University-College Station,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,26,5,21,21,4,17,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,2,0,2,-2
2002-2003,228723,Texas A & M University-College Station,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,228723,Texas A & M University-College Station,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,228723,Texas A & M University-College Station,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,15,6,9,10,4,6,3,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,-2
2002-2003,228723,Texas A & M University-College Station,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,10,10,0,3,3,0,6,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,228723,Texas A & M University-College Station,Degree/certificate-seeking students (4-yr institution) Transfer-out students,All other sports,4,1,3,3,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,228723,Texas A & M University-College Station,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Baseball,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,228723,Texas A & M University-College Station,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Basketball,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,228723,Texas A & M University-College Station,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Football,4,4,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,228778,The University of Texas at Austin,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,35,11,24,30,10,20,0,0,0,3,0,3,0,0,0,1,1,0,0,0,0,1,0,1,-2
2002-2003,228778,The University of Texas at Austin,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,14,14,0,13,13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,228778,The University of Texas at Austin,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,7,4,3,4,2,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,228778,The University of Texas at Austin,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,11,7,4,2,2,0,8,5,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,228778,The University of Texas at Austin,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,22,22,0,8,8,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,228778,The University of Texas at Austin,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,27,9,18,23,8,15,0,0,0,3,0,3,0,0,0,1,1,0,0,0,0,0,0,0,-2
2002-2003,228778,The University of Texas at Austin,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,228778,The University of Texas at Austin,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,3,0,3,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,228778,The University of Texas at Austin,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,7,5,2,0,0,0,6,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,228778,The University of Texas at Austin,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,6,6,0,2,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,230728,Utah State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,17,2,15,17,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,230728,Utah State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,230728,Utah State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,7,4,3,5,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,-2
2002-2003,230728,Utah State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,11,11,0,8,8,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,230728,Utah State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,9,1,8,9,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,230728,Utah State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,230728,Utah State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,6,3,3,4,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,-2
2002-2003,230728,Utah State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,3,3,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,243744,Stanford University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,45,15,30,35,12,23,4,1,3,1,0,1,2,1,1,0,0,0,0,0,0,3,1,2,-2
2002-2003,243744,Stanford University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,8,8,0,6,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,-2
2002-2003,243744,Stanford University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,7,3,4,1,0,1,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,243744,Stanford University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,5,3,2,3,2,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,243744,Stanford University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,21,21,0,11,11,0,7,7,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,243744,Stanford University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,43,15,28,33,12,21,4,1,3,1,0,1,2,1,1,0,0,0,0,0,0,3,1,2,-2
2002-2003,243744,Stanford University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,6,6,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2002-2003,243744,Stanford University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,5,2,3,1,0,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,243744,Stanford University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,3,1,2,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,243744,Stanford University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,18,18,0,11,11,0,6,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-2
