Year,unitid,Institution_Name,Sport,Cohort_Data,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W,idxtable_flags2006.idx_gr:vl-unitid of parent institution reporting graduation rates
2005-2006,134097,Florida State University,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,134097,Florida State University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,4,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,134097,Florida State University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,3,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,134097,Florida State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),11,5,6,5,2,3,4,3,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,-2
2005-2006,134097,Florida State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,3,1,1,1,0,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-2
2005-2006,134097,Florida State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,134097,Florida State University,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),14,14,0,0,0,0,10,10,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,-2
2005-2006,134097,Florida State University,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,11,11,0,0,0,0,7,7,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,-2
2005-2006,134130,University of Florida,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),33,6,27,24,4,20,5,0,5,1,0,1,0,0,0,0,0,0,0,0,0,3,2,1,-2
2005-2006,134130,University of Florida,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,25,4,21,18,3,15,5,0,5,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,-2
2005-2006,134130,University of Florida,All other sports,Degree/certificate-seeking students (4-yr institution) Transfer-out students,6,0,6,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2005-2006,134130,University of Florida,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),11,11,0,9,9,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,-2
