"","X","season","pst_team","player","date","notes","new_contract_source","pst_contract_value_millions","contract_term","contract_start_season","contract_end_season","contract_option","year","player_bref_url","position","tm","team","data_season"
"144",47,1984,"Pirates","Johnny Ray","1/27/84","signed to a 5-year contract","free agency",0,5,1984,1989,"",1984,"http://www.baseball-reference.com/players/r/rayjo01.shtml","Second Baseman","PIT","Pittsburgh Pirates",1983
"26",413,2009,"Red Sox","Jon Lester","3/8/09","re-signed to a 5-year contract through 2013 with an option for 2014 (CBS)","re-signinging",0,5,2009,2013,"an option for 2014 (CBS)",2009,"http://www.baseball-reference.com/players/l/lestejo01.shtml","Pitcher","BOS","Boston Red Sox",2008
"28",429,2009,"Red Sox","Jon Lester","3/15/09","re-signed to a 5-year contract through 2013 with an option for 2014 (CBS ESPN SN)","re-signinging",0,5,2009,2013,"an option for 2014 (CBS ESPN SN)",2009,"http://www.baseball-reference.com/players/l/lestejo01.shtml","Pitcher","BOS","Boston Red Sox",2008
"105",602,2012,"Brewers","Jonathan Lucroy","3/27/12","re-signed to a 5-year contract extension through 2016 with an option for 2017","re-signinging",0,5,2012,2016,"an option for 2017",2012,"http://www.baseball-reference.com/players/l/lucrojo01.shtml","Catcher","MIL","Milwaukee Brewers",2011
"119",649,2012,"Mets","Jonathon Niese","4/7/12","re-signed to a 5-year contract extension through 2016 with team options for 2017 and 2018","re-signinging",0,5,2012,2016,"team options for 2017 and 2018",2012,"http://www.baseball-reference.com/players/n/niesejo01.shtml","Pitcher","NYM","New York Mets",2011
"125",134,2002,"Yankees","Jorge Posada","2/3/02","re-signed to a 5-year contract with a 1-year team option","re-signinging",0,5,2002,2007,"",2002,"http://www.baseball-reference.com/players/p/posadjo01.shtml","Catcher","NYY","New York Yankees",2001
"194",510,2011,"Blue Jays","Jose Bautista","2/17/11","re-signed to a 5-year contract extension","re-signinging",0,5,2011,2016,"",2011,"http://www.baseball-reference.com/players/b/bautijo02.shtml","Rightfielder, Third Baseman","TOR","Toronto Blue Jays",2010
"101",645,2012,"Marlins","Jose Reyes","12/4/11","signed free agent to a 6-year contract through 2017 with a 1-year option for 2018","free agency",0,6,2012,2017,"1-year option for 2018",2011,"http://www.baseball-reference.com/players/r/reyesjo01.shtml","Shortstop","MIA","Miami Marlins",2011
"147",530,2011,"Pirates","Jose Tabata","8/19/11","re-signed to a 6-year contract extension through 2016 with options for 2017-19","re-signinging",0,6,2011,2016,"options for 2017-19",2011,"http://www.baseball-reference.com/players/t/tabatjo01.shtml","Outfielder","PIT","Pittsburgh Pirates",2010
"88",730,2013,"Angels","Josh Hamilton","12/13/12","signed free agent (from Rangers) to a 5-year contract through 2017","free agency",0,5,2013,2017,"",2012,"http://www.baseball-reference.com/players/h/hamiljo03.shtml","Outfielder","LAA","Los Angeles Angels of Anaheim",2012
"95",291,2007,"Dodgers","Juan Pierre","11/22/06","signed free agent to a 5-year contract","free agency",0,5,2007,2012,"",2006,"http://www.baseball-reference.com/players/p/pierrju01.shtml","Outfielder","LAD","Los Angeles Dodgers",2006
"109",401,2008,"Twins","Justin Morneau","1/25/08","re-signed to a 6-year contract extension","re-signinging",0,6,2008,2014,"",2008,"http://www.baseball-reference.com/players/m/morneju01.shtml","First Baseman","MIN","Minnesota Twins",2007
"4",468,2010,"Diamondbacks","Justin Upton","3/3/10","re-signed to a 6-year contract through 2015","re-signinging",0,6,2010,2015,"",2010,"http://www.baseball-reference.com/players/u/uptonju01.shtml","Rightfielder","ARI","Arizona Diamondbacks",2009
"67",496,2010,"Tigers","Justin Verlander","2/4/10","re-signed to a 5-year contract extension through 2019 with a 1-year option for 2020","re-signinging",0,5,2010,2019,"1-year option for 2020",2010,"http://www.baseball-reference.com/players/v/verlaju01.shtml","Pitcher","DET","Detroit Tigers",2009
"127",342,2007,"Yankees","Kei Igawa","12/19/06","signed free agent to a 5-year contract (date 12/27 per MLB.com) (N)","free agency",0,5,2007,2012,"",2006,"http://www.baseball-reference.com/players/i/igawake01.shtml","Pitcher","NYY","New York Yankees",2006
"114",43,1984,"Mets","Keith Hernandez","2/10/84","signed to a 5-year, $8.4M contract extension","free agency",8.4,5,1984,1989,"",1984,"http://www.baseball-reference.com/players/h/hernake01.shtml","First Baseman","NYM","New York Mets",1983
"82",173,2005,"Angels","Kendrys Morales","12/1/04","signed free agent to a 6-year contract (N)","free agency",0,6,2005,2011,"",2004,"http://www.baseball-reference.com/players/m/moralke01.shtml","First Baseman, Designated Hitter","LAA","Los Angeles Angels of Anaheim",2004
"107",60,1985,"Twins","Kent Hrbek","2/11/85","re-signed to a 5-year contract","re-signinging",0,5,1985,1990,"",1985,"http://www.baseball-reference.com/players/h/hrbekke01.shtml","First Baseman","MIN","Minnesota Twins",1984
"108",63,1990,"Twins","Kent Hrbek","12/7/89","re-signed to a 5-year contract","re-signinging",0,5,1990,1995,"",1989,"http://www.baseball-reference.com/players/h/hrbekke01.shtml","First Baseman","MIN","Minnesota Twins",1989
"175",238,2006,"Rangers","Kevin Millwood","12/29/05","signed free agent to a 5-year contract","free agency",0,5,2006,2011,"",2005,"http://www.baseball-reference.com/players/m/millwke01.shtml","Pitcher","TEX","Texas Rangers",2005
"145",55,1985,"Pirates","Larry McWilliams","4/2/85","re-signed to a 5-year contract","re-signinging",0,5,1985,1990,"",1985,"http://www.baseball-reference.com/players/m/mcwilla01.shtml","Pitcher","PIT","Pittsburgh Pirates",1984
"37",42,1984,"Cubs","Lee Smith","2/6/84","re-signed to a 5-year contract","re-signinging",0,5,1984,1989,"",1984,"http://www.baseball-reference.com/players/s/smithle02.shtml","Pitcher","CHC","Chicago Cubs",1983
"135",72,1994,"Phillies","Lenny Dykstra","12/30/93","re-signed to a 5-year contract","re-signinging",0,5,1994,1999,"",1993,"http://www.baseball-reference.com/players/d/dykstle01.shtml","Centerfielder","PHI","Philadelphia Phillies",1993
"178",532,2011,"Rangers","Leonys Martin","5/4/11","signed free agent to a 5-year contract","free agency",0,5,2011,2016,"",2011,"http://www.baseball-reference.com/players/m/martile01.shtml","Centerfielder","TEX","Texas Rangers",2010
"184",38,1984,"Blue Jays","Lloyd Moseby","12/20/83","re-signed to a 5-year contract","re-signinging",0,5,1984,1989,"",1983,"http://www.baseball-reference.com/players/m/mosebll01.shtml","Centerfielder","TOR","Toronto Blue Jays",1983
"158",640,2012,"Giants","Madison Bumgarner","4/16/12","re-signed to a 5-year contract extension through 2017 with an option for 2018-19","re-signinging",0,5,2012,2017,"an option for 2018-19",2012,"http://www.baseball-reference.com/players/b/bumgama01.shtml","Pitcher","SFG","San Francisco Giants",2011
"65",203,2005,"Tigers","Magglio Ordonez","2/7/05","signed free agent to a 5-year contract","free agency",0,5,2005,2010,"",2005,"http://www.baseball-reference.com/players/o/ordonma01.shtml","Rightfielder","DET","Detroit Tigers",2004
"157",637,2012,"Giants","Matt Cain","4/2/12","re-signed to a 5-year contract extension through 2017 with an option for 2018","re-signinging",0,5,2012,2017,"an option for 2018",2012,"http://www.baseball-reference.com/players/c/cainma01.shtml","Pitcher","SFG","San Francisco Giants",2011
"173",740,2013,"Rangers","Matt Harrison","1/16/13","re-signed to a 5-year contract extension through 2017 with a 1-year option for 2018","re-signinging",0,5,2013,2017,"1-year option for 2018",2013,"http://www.baseball-reference.com/players/h/harrima01.shtml","Pitcher","TEX","Texas Rangers",2012
"166",461,2010,"Cardinals","Matt Holliday","1/5/10","re-signed free agent to a 7-year contract through 2016 with an option for 2017","re-signinging",0,7,2010,2016,"an option for 2017",2010,"http://www.baseball-reference.com/players/h/hollima01.shtml","Leftfielder","STL","St. Louis Cardinals",2009
"172",708,2012,"Rays","Matt Moore","12/9/11","re-signed to a 5-year contract through 2016 with team options for 3 additional years in 2017-19","re-signinging",0,5,2012,2016,"team options for 3 additional years in 2017-19",2011,"http://www.baseball-reference.com/players/m/moorema02.shtml","Pitcher","TBR","Tampa Bay Rays",2011
"176",310,2007,"Rangers","Michael Young","3/1/07","re-signed to a 5-year (7-year per ESPN, TG), $90M contract extension","re-signinging",90,5,2007,2012,"",2007,"http://www.baseball-reference.com/players/y/youngmi02.shtml","Shortstop, Third Baseman, Second Baseman","TEX","Texas Rangers",2006
"5",618,2012,"Diamondbacks","Miguel Montero","5/25/12","re-signed to a 5-year contract extension through 2017","re-signinging",0,5,2012,2017,"",2012,"http://www.baseball-reference.com/players/m/montemi01.shtml","Catcher","ARI","Arizona Diamondbacks",2011
"16",170,2004,"Orioles","Miguel Tejada","12/14/03","signed free agent (from Athletics) to a 6-year contract","free agency",0,6,2004,2010,"",2003,"http://www.baseball-reference.com/players/t/tejadmi01.shtml","Shortstop, Third Baseman","BAL","Baltimore Orioles",2003
"123",119,2001,"Yankees","Mike Mussina","11/30/00","signed free agent (from Orioles) to a 6-year contract","free agency",0,6,2001,2007,"",2000,"http://www.baseball-reference.com/players/m/mussimi01.shtml","Pitcher","NYY","New York Yankees",2000
"134",31,1982,"Phillies","Mike Schmidt","12/21/81","re-signed to a 6-year, estimated $1.2M/year contract","re-signinging",1.2,6,1982,1988,"",1981,"http://www.baseball-reference.com/players/s/schmimi01.shtml","Third Baseman, First Baseman","PHI","Philadelphia Phillies",1981
"70",76,1997,"Marlins","Moises Alou","12/12/96","signed free agent (from Expos) to a 5-year contract","free agency",0,5,1997,2002,"",1996,"http://www.baseball-reference.com/players/a/aloumo01.shtml","Outfielder","FLA","Florida Marlins",1996
"17",411,2009,"Orioles","Nick Markakis","1/20/09","re-signed to a 6-year contract extension through 2014 with a 1-year option for 2015","re-signinging",0,6,2009,2014,"1-year option for 2015",2009,"http://www.baseball-reference.com/players/m/markani01.shtml","Rightfielder","BAL","Baltimore Orioles",2008
"132",254,2007,"Athletics","Nick Swisher","5/11/07","re-signed to a 5-year contract extension through 2011 with a team option for 2012","re-signinging",0,5,2007,2011,"team option for 2012",2007,"http://www.baseball-reference.com/players/s/swishni01.shtml","Rightfielder, First Baseman","OAK","Oakland Athletics",2006
"76",164,2004,"Astros","Nolan Ryan","2/24/04","signed to a 5-year personal services agreement","free agency",0,5,2004,2009,"",2004,"http://www.baseball-reference.com/players/r/ryanno01.shtml","Pitcher","HOU","Houston Astros",2003
"22",88,1998,"Red Sox","Nomar Garciaparra","3/10/98","re-signed to a 5-year contract","re-signinging",0,5,1998,2003,"",1998,"http://www.baseball-reference.com/players/g/garcino01.shtml","Shortstop, First Baseman, Third Baseman","BOS","Boston Red Sox",1997
"75",34,1983,"Astros","Omar Moreno","12/10/82","signed free agent (from Pirates) to a 5-year, $3.25M contract","free agency",3.25,5,1983,1988,"",1982,"http://www.baseball-reference.com/players/m/morenom01.shtml","Centerfielder","HOU","Houston Astros",1982
"54",73,1996,"Indians","Omar Vizquel","12/12/95","re-signed to a 5-year contract extension","re-signinging",0,5,1996,2001,"",1995,"http://www.baseball-reference.com/players/v/vizquom01.shtml","Shortstop, Third Baseman","CLE","Cleveland Indians",1995
"137",150,2003,"Phillies","Pat Burrell","2/3/03","signed to a 6-year, $50M contract","free agency",50,6,2003,2009,"",2003,"http://www.baseball-reference.com/players/b/burrepa01.shtml","Leftfielder, First Baseman","PHI","Philadelphia Phillies",2002
"6",735,2013,"Diamondbacks","Paul Goldschmidt","3/29/13","re-signed to a 5-year contract extension through 2018 with a 1-year option for 2019","re-signinging",0,5,2013,2018,"1-year option for 2019",2013,"http://www.baseball-reference.com/players/g/goldspa01.shtml","First Baseman","ARI","Arizona Diamondbacks",2012
"47",246,2006,"White Sox","Paul Konerko","11/30/05","re-signed free agent to a 5-year, $60M contract through 2010","re-signinging",60,5,2006,2010,"",2005,"http://www.baseball-reference.com/players/k/konerpa01.shtml","First Baseman","CHW","Chicago White Sox",2005
"72",110,2001,"Marlins","Preston Wilson","3/11/01","re-signed to a 5-year contract through 2005","re-signinging",0,5,2001,2005,"",2001,"http://www.baseball-reference.com/players/w/wilsopr01.shtml","Centerfielder","FLA","Florida Marlins",2000
"68",721,2012,"Tigers","Prince Fielder","1/24/12","signed free agent to a 9-year contract through 2020","free agency",0,9,2012,2020,"",2012,"http://www.baseball-reference.com/players/f/fieldpr01.shtml","First Baseman","DET","Detroit Tigers",2011
"120",1,1977,"Yankees","Reggie Jackson","11/29/76","signed free agent to a 5-year contract","free agency",0,5,1977,1982,"",1976,"http://www.baseball-reference.com/players/j/jacksre01.shtml","Rightfielder","NYY","New York Yankees",1976
"33",48,1984,"Red Sox","Reid Nichols","1/24/84","re-signed to a 5-year contract","re-signinging",0,5,1984,1989,"",1984,"http://www.baseball-reference.com/players/n/nichore01.shtml","Outfielder","BOS","Boston Red Sox",1983
"20",26,1981,"Orioles","Rich Dauer","12/21/80","re-signed to a 5-year contract","re-signinging",0,5,1981,1986,"",1980,"http://www.baseball-reference.com/players/d/dauerri01.shtml","Second Baseman, Third Baseman","BAL","Baltimore Orioles",1980
"19",4,1978,"Orioles","Rick Dempsey","9/5/78","re-signed to a 5-year contract","re-signinging",0,5,1978,1983,"",1978,"http://www.baseball-reference.com/players/d/dempsri01.shtml","Catcher","BAL","Baltimore Orioles",1977
"149",15,1980,"Padres","Rick Wise","11/19/79","signed free agent (from Indians) to a 5-year contract","free agency",0,5,1980,1985,"",1979,"http://www.baseball-reference.com/players/w/wiseri01.shtml","Pitcher","SDP","San Diego Padres",1979
"193",453,2010,"Blue Jays","Ricky Romero","8/14/10","re-signed to a 5-year contract extension through 2015 with an option for 2016","re-signinging",0,5,2010,2015,"an option for 2016",2010,"http://www.baseball-reference.com/players/r/romerri01.shtml","Pitcher","TOR","Toronto Blue Jays",2009
"169",224,2006,"Rays","Rocco Baldelli","11/9/05","re-signed to a 6-year contract extension","re-signinging",0,6,2006,2012,"",2005,"http://www.baseball-reference.com/players/b/baldero01.shtml","Centerfielder","TBD","Tampa Bay Devil Rays",2005
"34",5,1979,"Angels","Rod Carew","2/8/79","re-signed to a 5-year contract","re-signinging",0,5,1979,1984,"",1979,"http://www.baseball-reference.com/players/c/carewro01.shtml","First Baseman, Second Baseman","CAL","California Angels",1978
"35",35,1983,"Cubs","Ron Cey","1/29/83","signed to a 5-year, $950K/year contract (date approximate)","free agency",0,5,1983,1988,"",1983,"http://www.baseball-reference.com/players/c/ceyro01.shtml","Third Baseman","CHC","Chicago Cubs",1982
"77",204,2006,"Astros","Roy Oswalt","8/29/06","re-signed to a 5-year contract extension through 2011","re-signinging",0,5,2006,2011,"",2006,"http://www.baseball-reference.com/players/o/oswalro01.shtml","Pitcher","HOU","Houston Astros",2005
"102",360,2008,"Brewers","Ryan Braun","5/15/08","re-signed to a 7-year contract extension through 2015","re-signinging",0,7,2008,2015,"",2008,"http://www.baseball-reference.com/players/b/braunry02.shtml","Leftfielder, Third Baseman","MIL","Milwaukee Brewers",2007
"104",515,2011,"Brewers","Ryan Braun","4/21/11","re-signed to a 5-year contract extension through 2020 with an option for 2021","re-signinging",0,5,2011,2020,"an option for 2021",2011,"http://www.baseball-reference.com/players/b/braunry02.shtml","Leftfielder, Third Baseman","MIL","Milwaukee Brewers",2010
"141",476,2010,"Phillies","Ryan Howard","4/26/10","re-signed to a 5-year contract extension through 2016","re-signinging",0,5,2010,2016,"",2010,"http://www.baseball-reference.com/players/h/howarry01.shtml","First Baseman","PHI","Philadelphia Phillies",2009
"195",409,2009,"Nationals","Ryan Zimmerman","4/20/09","re-signed to a 5-year contract extension through 2013","re-signinging",0,5,2009,2013,"",2009,"http://www.baseball-reference.com/players/z/zimmery01.shtml","Third Baseman","WSN","Washington Nationals",2008
"197",652,2012,"Nationals","Ryan Zimmerman","2/26/12","re-signed to a 6-year contract extension through 2019 with a 1-year option for 2020","re-signinging",0,6,2012,2019,"1-year option for 2020",2012,"http://www.baseball-reference.com/players/z/zimmery01.shtml","Third Baseman","WSN","Washington Nationals",2011
"36",41,1984,"Cubs","Ryne Sandberg","2/1/84","signed to a 6-year contract through 1989","free agency",0,6,1984,1989,"",1984,"http://www.baseball-reference.com/players/s/sandbry01.shtml","Second Baseman, Third Baseman","CHC","Chicago Cubs",1983
"81",720,2012,"Royals","Salvador Perez","2/27/12","re-signed to a 5-year restructured contract extension through 2016 with options for 2017-19","re-signinging",0,5,2012,2016,"options for 2017-19",2012,"http://www.baseball-reference.com/players/p/perezsa02.shtml","Catcher","KCR","Kansas City Royals",2011
"14",85,1998,"Orioles","Scott Erickson","5/13/98","re-signed to a 5-year, $32M contract","re-signinging",32,5,1998,2003,"",1998,"http://www.baseball-reference.com/players/e/ericksc01.shtml","Pitcher","BAL","Baltimore Orioles",1997
"92",95,2000,"Dodgers","Shawn Green","11/8/99","re-signed to a 6-year contract extension through 2006","re-signinging",0,6,2000,2006,"",1999,"http://www.baseball-reference.com/players/g/greensh01.shtml","Rightfielder, First Baseman","LAD","Los Angeles Dodgers",1999
"44",614,2012,"Cubs","Starlin Castro","8/28/12","re-signed to a 7-year contract extension through 2019 with an option for 2020","re-signinging",0,7,2012,2019,"an option for 2020",2012,"http://www.baseball-reference.com/players/c/castrst01.shtml","Shortstop","CHC","Chicago Cubs",2011
"2",177,2005,"Diamondbacks","Stephen Drew","5/31/05","signed to a 5-year contract","free agency",0,5,2005,2010,"",2005,"http://www.baseball-reference.com/players/d/drewst01.shtml","Shortstop","ARI","Arizona Diamondbacks",2004
"38",51,1985,"Cubs","Steve Trout","12/7/84","signed to a 5-year, reported $4.5M contract","free agency",4.5,5,1985,1990,"",1984,"http://www.baseball-reference.com/players/t/troutst01.shtml","Pitcher","CHC","Chicago Cubs",1984
"89",2,1978,"Dodgers","Terry Forster","11/18/77","signed free agent (from Pirates) to a 5-year contract","free agency",0,5,1978,1983,"",1977,"http://www.baseball-reference.com/players/f/forstte01.shtml","Pitcher","LAD","Los Angeles Dodgers",1977
"21",27,1981,"Orioles","Tippy Martinez","1/15/81","re-signed to a 5-year contract","re-signinging",0,5,1981,1986,"",1981,"http://www.baseball-reference.com/players/m/martiti01.shtml","Pitcher","BAL","Baltimore Orioles",1980
"106",57,1985,"Twins","Tom Brunansky","4/8/85","re-signed to a 6-year contract","re-signinging",0,6,1985,1991,"",1985,"http://www.baseball-reference.com/players/b/brunato01.shtml","Rightfielder","MIN","Minnesota Twins",1984
"84",349,2008,"Angels","Torii Hunter","11/21/07","signed free agent to a 5-year contract through 2012","free agency",0,5,2008,2012,"",2007,"http://www.baseball-reference.com/players/h/hunteto01.shtml","Centerfielder","LAA","Los Angeles Angels of Anaheim",2007
"55",79,1998,"Indians","Travis Fryman","12/15/97","re-signed to a 5-year contract","re-signinging",0,5,1998,2003,"",1997,"http://www.baseball-reference.com/players/f/frymatr01.shtml","Third Baseman, Shortstop","CLE","Cleveland Indians",1997
"133",507,2011,"Athletics","Trevor Cahill","4/11/11","re-signed to a 5-year contract extension through 2015 with options for 2016-17","re-signinging",0,5,2011,2015,"options for 2016-17",2011,"http://www.baseball-reference.com/players/c/cahiltr01.shtml","Pitcher","OAK","Oakland Athletics",2010
"62",395,2008,"Rockies","Troy Tulowitzki","1/20/08","re-signed to a 6-year, $30M contract through 2013 with a team option for 2014","re-signinging",30,6,2008,2013,"team option for 2014",2008,"http://www.baseball-reference.com/players/t/tulowtr01.shtml","Shortstop","COL","Colorado Rockies",2007
"64",582,2011,"Rockies","Troy Tulowitzki","11/30/10","re-signed to a 7-year contract extension through 2020","re-signinging",0,7,2011,2020,"",2010,"http://www.baseball-reference.com/players/t/tulowtr01.shtml","Shortstop","COL","Colorado Rockies",2010
"188",146,2003,"Blue Jays","Vernon Wells","3/17/03","re-signed to a 5-year contract through 2007","re-signinging",0,5,2003,2007,"",2003,"http://www.baseball-reference.com/players/w/wellsve01.shtml","Centerfielder","TOR","Toronto Blue Jays",2002
"191",257,2007,"Blue Jays","Vernon Wells","12/15/06","re-signed to a 7-year contract extension through 2014","re-signinging",0,7,2007,2014,"",2006,"http://www.baseball-reference.com/players/w/wellsve01.shtml","Centerfielder","TOR","Toronto Blue Jays",2006
"56",185,2005,"Indians","Victor Martinez","4/5/05","re-signed to a 5-year contract with a team option for 2010","re-signinging",0,5,2005,2010,"",2005,"http://www.baseball-reference.com/players/m/martivi01.shtml","Catcher, First Baseman","CLE","Cleveland Indians",2004
"1",162,2004,"Angels","Vladimir Guerrero","1/12/04","signed free agent to a 5-year contract with a 1-year team option for 2009","free agency",0,5,2004,2009,"",2004,"http://www.baseball-reference.com/players/g/guerrvl01.shtml","Rightfielder","ANA","Anaheim Angels",2003
"185",39,1984,"Blue Jays","Willie Upshaw","2/14/84","re-signed to a 5-year contract","re-signinging",0,5,1984,1989,"",1984,"http://www.baseball-reference.com/players/u/upshawi01.shtml","First Baseman, Leftfielder","TOR","Toronto Blue Jays",1983
"167",608,2012,"Cardinals","Yadier Molina","3/1/12","re-signed to a 5-year contract extension through 2017 with an option for 2018","re-signinging",0,5,2012,2017,"an option for 2018",2012,"http://www.baseball-reference.com/players/m/molinya01.shtml","Catcher","STL","St. Louis Cardinals",2011
"97",630,2012,"Dodgers","Yasiel Puig","6/29/12","signed free agent to a 7-year contract","free agency",0,7,2012,2019,"",2012,"http://www.baseball-reference.com/players/p/puigya01.shtml","Rightfielder","LAD","Los Angeles Dodgers",2011
"103",457,2010,"Brewers","Yovani Gallardo","4/8/10","re-signed to a 5-year contract through 2014 with an option for 2015","re-signinging",0,5,2010,2014,"an option for 2015",2010,"http://www.baseball-reference.com/players/g/gallayo01.shtml","Pitcher","MIL","Milwaukee Brewers",2009
"182",697,2012,"Rangers","Yu Darvish","1/18/12","signed free agent to a 6-year contract through 2017","free agency",0,6,2012,2017,"",2012,"http://www.baseball-reference.com/players/d/darviyu01.shtml","Pitcher","TEX","Texas Rangers",2011
"98",736,2013,"Dodgers","Zack Greinke","12/8/12","signed free agent to a 6-year contract through 2018","free agency",0,6,2013,2018,"",2012,"http://www.baseball-reference.com/players/g/greinza01.shtml","Pitcher","LAD","Los Angeles Dodgers",2012
