"","player","date","season","pst_team","notes","new_contract_source","pst_contract_value_millions","contract_term","contract_start_season","contract_end_season","contract_option","year","player_bref_url"
"137","Leonys Martin","5/4/11",2011,"Rangers","signed free agent to a 5-year contract","free agency",0,5,2011,2016,"",2011,"http://www.baseball-reference.com/players/m/martile01.shtml"
"138","Lloyd Moseby","12/20/83",1984,"Blue Jays","re-signed to a 5-year contract","re-signinging",0,5,1984,1989,"",1983,"http://www.baseball-reference.com/players/m/mosebll01.shtml"
"139","Madison Bumgarner","4/16/12",2012,"Giants","re-signed to a 5-year contract extension through 2017 with an option for 2018-19","re-signinging",0,5,2012,2017,"an option for 2018-19",2012,"http://www.baseball-reference.com/players/b/bumgama01.shtml"
"140","Magglio Ordonez","2/7/05",2005,"Tigers","signed free agent to a 5-year contract","free agency",0,5,2005,2010,"",2005,"http://www.baseball-reference.com/players/o/ordonma01.shtml"
"141","Matt Cain","4/2/12",2012,"Giants","re-signed to a 5-year contract extension through 2017 with an option for 2018","re-signinging",0,5,2012,2017,"an option for 2018",2012,"http://www.baseball-reference.com/players/c/cainma01.shtml"
"142","Matt Harrison","1/16/13",2013,"Rangers","re-signed to a 5-year contract extension through 2017 with a 1-year option for 2018","re-signinging",0,5,2013,2017,"1-year option for 2018",2013,"http://www.baseball-reference.com/players/h/harrima01.shtml"
"143","Matt Holliday","1/5/10",2010,"Cardinals","re-signed free agent to a 7-year contract through 2016 with an option for 2017","re-signinging",0,7,2010,2016,"an option for 2017",2010,"http://www.baseball-reference.com/players/h/hollima01.shtml"
"144","Matt Moore","12/9/11",2012,"Rays","re-signed to a 5-year contract through 2016 with team options for 3 additional years in 2017-19","re-signinging",0,5,2012,2016,"team options for 3 additional years in 2017-19",2011,"http://www.baseball-reference.com/players/m/moorema02.shtml"
"145","Michael Young","3/1/07",2007,"Rangers","re-signed to a 5-year (7-year per ESPN, TG), $90M contract extension","re-signinging",90,5,2007,2012,"",2007,"http://www.baseball-reference.com/players/y/youngmi02.shtml"
"146","Miguel Montero","5/25/12",2012,"Diamondbacks","re-signed to a 5-year contract extension through 2017","re-signinging",0,5,2012,2017,"",2012,"http://www.baseball-reference.com/players/m/montemi01.shtml"
"147","Miguel Tejada","12/14/03",2004,"Orioles","signed free agent (from Athletics) to a 6-year contract","free agency",0,6,2004,2010,"",2003,"http://www.baseball-reference.com/players/t/tejadmi01.shtml"
"148","Mike Mussina","11/30/00",2001,"Yankees","signed free agent (from Orioles) to a 6-year contract","free agency",0,6,2001,2007,"",2000,"http://www.baseball-reference.com/players/m/mussimi01.shtml"
"149","Mike Schmidt","12/21/81",1982,"Phillies","re-signed to a 6-year, estimated $1.2M/year contract","re-signinging",1.2,6,1982,1988,"",1981,"http://www.baseball-reference.com/players/s/schmimi01.shtml"
