"","rank","team","value","year","value_change","debt_percent","revenue","operating_income","player_expense","gate_receipt","comments"
"473",23,"Phoenix Coyotes","89.6",2000,NA,NA,NA,NA,NA,NA,NA
"493",24,"Phoenix Coyotes","117",2003,48,51,42,-9.6,NA,NA,NA
"494",24,"Phoenix Coyotes","86",2001,-4,70,41.9,-6.3,32.8,18.3,"Team has horrible lease at AmericaWest arena; Burke trying to unload team."
"526",26,"Phoenix Coyotes","34",1996,NA,NA,NA,NA,NA,NA,NA
"527",26,"Phoenix Coyotes","43",1997,NA,NA,NA,NA,NA,NA,NA
"542",27,"Phoenix Coyotes","147",2007,3,61,67,-11.4,NA,NA,NA
"564",29,"Phoenix Coyotes","134",2012,0,26,83,-20.6,NA,NA,NA
"571",30,"Phoenix Coyotes","134",2010,-3,26,67,-20.1,NA,NA,NA
"572",30,"Phoenix Coyotes","134",2011,0,26,70,-24.4,NA,NA,NA
"573",30,"Phoenix Coyotes","138",2009,-3,101,66,-18.5,NA,NA,NA
"574",30,"Phoenix Coyotes","142",2008,-3,63,68,-9.7,NA,NA,NA
"575",30,"Phoenix Coyotes","79",2002,-8,76,39,-13.9,38,NA,NA
"62",3,"Philadelphia Flyers ","264",2005,5,25,106,-4.1,NA,NA,NA
"38",2,"Philadelphia Flyers","187",1999,NA,37,74.6,2,NA,NA,NA
"39",2,"Philadelphia Flyers","210.5",2000,NA,NA,NA,NA,NA,NA,NA
