Year,unitid,Institution_Name,Cohort,Sport,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2005-2006,207388,Oklahoma State University-Main Campus,Scholarship Awards,Baseball,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,207388,Oklahoma State University-Main Campus,Scholarship Awards,Basketball,6,5,1,1,0,1,3,3,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2005-2006,207388,Oklahoma State University-Main Campus,Scholarship Awards,Cross-country and/or track,12,1,11,5,0,5,4,0,4,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1
2005-2006,207388,Oklahoma State University-Main Campus,Scholarship Awards,Football,22,22,0,8,8,0,13,13,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2005-2006,207500,University of Oklahoma Norman Campus,Scholarship Awards,All other sports combined,151,57,94,99,37,62,11,5,6,8,1,7,4,3,1,9,2,7,0,0,0,20,9,11
2005-2006,207500,University of Oklahoma Norman Campus,Scholarship Awards,Baseball,30,30,0,22,22,0,2,2,0,4,4,0,0,0,0,2,2,0,0,0,0,0,0,0
2005-2006,207500,University of Oklahoma Norman Campus,Scholarship Awards,Basketball,25,12,13,9,2,7,14,8,6,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
2005-2006,207500,University of Oklahoma Norman Campus,Scholarship Awards,Cross-country and/or track,65,31,34,31,18,13,26,10,16,0,0,0,0,0,0,1,0,1,0,0,0,7,3,4
2005-2006,207500,University of Oklahoma Norman Campus,Scholarship Awards,Football,88,88,0,27,27,0,58,58,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0
2005-2006,209542,Oregon State University,Scholarship Awards,All other sports combined,60,18,42,38,14,24,3,2,1,3,1,2,4,0,4,0,0,0,3,0,3,9,1,8
2005-2006,209542,Oregon State University,Scholarship Awards,Baseball,8,8,0,7,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2005-2006,209542,Oregon State University,Scholarship Awards,Basketball,11,6,5,4,1,3,4,3,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0
2005-2006,209542,Oregon State University,Scholarship Awards,Football,44,44,0,20,20,0,16,16,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0
