Year,unitid,Institution_Name,Sport,Cohort,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
1999-2000,198419,Duke University,Basketball,Scholarship Awards,23,10,13,10,3,7,11,5,6,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
1999-2000,198419,Duke University,Football,Scholarship Awards,78,78,0,44,44,0,33,33,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1999-2000,199120,University of North Carolina at Chapel Hill,All other sports combined,Scholarship Awards,244,106,138,222,95,127,5,2,3,5,3,2,5,1,4,0,0,0,0,0,0,7,5,2
1999-2000,199120,University of North Carolina at Chapel Hill,Baseball,Scholarship Awards,21,21,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,199120,University of North Carolina at Chapel Hill,Basketball,Scholarship Awards,25,12,13,8,4,4,15,6,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,199120,University of North Carolina at Chapel Hill,Cross-country and/or track,Scholarship Awards,34,17,17,19,12,7,15,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,199120,University of North Carolina at Chapel Hill,Football,Scholarship Awards,76,76,0,22,22,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,204796,Ohio State University-Main Campus,All other sports combined,Scholarship Awards,324,131,193,250,98,152,11,6,5,12,6,6,6,2,4,0,0,0,3,1,2,42,18,24
1999-2000,204796,Ohio State University-Main Campus,Baseball,Scholarship Awards,30,30,0,29,29,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,204796,Ohio State University-Main Campus,Basketball,Scholarship Awards,30,15,15,9,2,7,18,11,7,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
1999-2000,204796,Ohio State University-Main Campus,Cross-country and/or track,Scholarship Awards,38,17,21,15,8,7,14,4,10,1,1,0,0,0,0,0,0,0,0,0,0,8,4,4
1999-2000,204796,Ohio State University-Main Campus,Football,Scholarship Awards,82,82,0,36,36,0,43,43,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0
1999-2000,207388,Oklahoma State University-Main Campus,All other sports combined,Scholarship Awards,156,50,106,109,29,80,6,5,1,6,1,5,1,1,0,5,3,2,0,0,0,29,11,18
1999-2000,207388,Oklahoma State University-Main Campus,Baseball,Scholarship Awards,32,32,0,30,30,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,207388,Oklahoma State University-Main Campus,Basketball,Scholarship Awards,35,14,21,15,3,12,16,9,7,0,0,0,0,0,0,2,1,1,0,0,0,2,1,1
1999-2000,207388,Oklahoma State University-Main Campus,Cross-country and/or track,Scholarship Awards,55,23,32,25,11,14,13,1,12,1,1,0,0,0,0,3,1,2,0,0,0,13,9,4
1999-2000,207388,Oklahoma State University-Main Campus,Football,Scholarship Awards,99,99,0,35,35,0,59,59,0,2,2,0,1,1,0,1,1,0,0,0,0,1,1,0
1999-2000,207500,University of Oklahoma Norman Campus,All other sports combined,Scholarship Awards,144,58,86,101,42,59,12,5,7,7,2,5,5,2,3,4,1,3,2,2,0,13,4,9
1999-2000,207500,University of Oklahoma Norman Campus,Baseball,Scholarship Awards,37,37,0,29,29,0,1,1,0,3,3,0,2,2,0,2,2,0,0,0,0,0,0,0
1999-2000,207500,University of Oklahoma Norman Campus,Basketball,Scholarship Awards,27,12,15,7,2,5,12,7,5,0,0,0,0,0,0,2,0,2,0,0,0,6,3,3
