Sports_Venue,City,State_Provence,Country,Sponsor,Sponsor_Type,Variable,Value,Value_Type,Source,Date
Everbank Field,Jacksonville,FL,United States of America,Everbank,Venue Naming Rights,Naming Rights Deal,16.6,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Thomas M. Cooley Law School Stadium,Lansing,MI,United States of America,Thomas M. Cooley Law School,Venue Naming Rights,Naming Rights Deal,16.335,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Chukchansi Park,Fresno,CA,United States of America,Chukchansi Gold Resort & Casino,Venue Naming Rights,Naming Rights Deal,16,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Coors Field,Denver,CO,United States of America,Coors Brewing Co.,Venue Naming Rights,Naming Rights Deal,15,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Key Arena,Seattle,WA,United States of America,Key Corp,Venue Naming Rights,Naming Rights Deal,15,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Raley's Field,Old Sacramento,CA,United States of America,Raley's Supermarkets,Venue Naming Rights,Naming Rights Deal,15,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Rio Tinto Stadium,Salt Lake City,UT,United States of America,Rio Tinto Group,Venue Naming Rights,Naming Rights Deal,15,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Office Depot Center,Sunrise,FL,United States of America,Office Depot,Venue Naming Rights,Naming Rights Deal,14,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Qwest Center,Omaha Omaha,NE,United States of America,Qwest Communications,Venue Naming Rights,Naming Rights Deal,14,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Network Associates Coliseum,Oakland,CA,United States of America,Network Associates,Venue Naming Rights,Naming Rights Deal,13.7,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
KFC Yum! Center,Louisville,KY,United States of America,Yum Brands,Venue Naming Rights,Naming Rights Deal,13.5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Huntington Park,Columbus,OH,United States of America,Huntington Bancshares Inc.,Venue Naming Rights,Naming Rights Deal,12,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Wells Fargo Arena,Des Moines,IW,United States of America,Wells Fargo & Co.,Venue Naming Rights,Naming Rights Deal,11.5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Pinnacle Bank Arena,Lincoln,NE,United States of America,Pinnacle Bank,Venue Naming Rights,Naming Rights Deal,11.25,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Allstate Arena,Rosemont,IL,United States of America,Allstate Corp.,Venue Naming Rights,Naming Rights Deal,11,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
BOK Center,Tulsa,OK,United States of America,Bank of Oklahoma,Venue Naming Rights,Naming Rights Deal,11,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Verizon Wireless Arena,Manchester,NH,United States of America,Verizon Wireless,Venue Naming Rights,Naming Rights Deal,11,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
DCU Center,Worcester,MA,United States of America,Digital Federal Credit Union,Venue Naming Rights,Naming Rights Deal,10.8,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Houlihan's Stadium,Tampa,FL,United States of America,Houlihan's,Venue Naming Rights,Naming Rights Deal,10,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
MTS Centre,Winnipeg,MB,Canada,MTS Telecom,Venue Naming Rights,Naming Rights Deal,10,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
RCA Dome,Indianapolis,IN,United States of America,RCA,Venue Naming Rights,Naming Rights Deal,10,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Ricoh Coliseum,Toronto,ON,Canada,Ricoh Canada,Venue Naming Rights,Naming Rights Deal,10,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Ford Center,Oklahoma City,OK,United States of America,Area Ford Dealers,Venue Naming Rights,Naming Rights Deal,8.1,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
TD Waterhouse Centre,Orlando,FL,United States of America,TD Waterhouse,Venue Naming Rights,Naming Rights Deal,7.8,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Comcast Arena,Everett,WA,United States of America,Comcast Corp.,Venue Naming Rights,Naming Rights Deal,7.4,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
PGE Park,Portland,OR,United States of America,Portland General Electric,Venue Naming Rights,Naming Rights Deal,7.1,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Alltel Arena,Little Rock,AR,United States of America,Alltel,Venue Naming Rights,Naming Rights Deal,7,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Arco Arena,Sacramento,CA,United States of America,Atlantic Richfield Co.,Venue Naming Rights,Naming Rights Deal,7,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Dunkin‰Ûª Donuts Arena,Providence,RI,United States of America,Dunkin‰Ûª Donuts,Venue Naming Rights,Naming Rights Deal,7,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
TECO Arena,Estero,FL,United States of America,TECO Energy,Venue Naming Rights,Naming Rights Deal,7,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Alltel Stadium,Jacksonville,FL,United States of America,Alltel Corp.,Venue Naming Rights,Naming Rights Deal,6.2,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Amsoil Arena,Duluth,MN,United States of America,Amsoil Inc.,Venue Naming Rights,Naming Rights Deal,6,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Cinergy Field,Cincinnati,OH,United States of America,Cinergy Corp.,Venue Naming Rights,Naming Rights Deal,6,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Monster Park,San Francisco,CA,United States of America,Monster Cable Products,Venue Naming Rights,Naming Rights Deal,6,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Colonial Center,Columbia,SC,United States of America,Colonial Life & Accident Insurance,Venue Naming Rights,Naming Rights Deal,5.5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Compaq Center,Houston,TX,United States of America,Compaq Computer Corp.,Venue Naming Rights,Naming Rights Deal,5.4,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
DCU Center,Worcester,MA,United States of America,Digital Federal Credit Union,Venue Naming Rights,Naming Rights Deal,5.2,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
CenturyTel Center,Bossier City,LA,United States of America,CenturyTel,Venue Naming Rights,Naming Rights Deal,5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Fifth Third Field,Toledo,OH,United States of America,Fifth Third Bank,Venue Naming Rights,Naming Rights Deal,5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Oneok Field,Tulsa,OK,United States of America,Oneok,Venue Naming Rights,Naming Rights Deal,5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Papa John's Cardinal Stadium,Louisville,KY,United States of America,Papa John's Pizza,Venue Naming Rights,Naming Rights Deal,5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Resch Center,Green Bay,WI,United States of America,Dick Resch,Venue Naming Rights,Naming Rights Deal,4.875,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Fifth Third Field,Dayton,OH,United States of America,Fifth Third Bank,Venue Naming Rights,Naming Rights Deal,4.5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
First Energy Park,Lakewood,NJ,United States of America,FirstEnergy Corp.,Venue Naming Rights,Naming Rights Deal,4.5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
GPU Energy Park,Lakewood,NJ,United States of America,GPU Energy,Venue Naming Rights,Naming Rights Deal,4.5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Autozone Park,Memphis,TN,United States of America,AutoZone,Venue Naming Rights,Naming Rights Deal,4.3,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
iWireless Center,Moline,IL,United States of America,iWireless,Venue Naming Rights,Naming Rights Deal,4.25,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
