year,team,rank,value,value_change,debt_value,debt_percent,revenue,expense,ebitda,revenue_multiple,ebitda_multiple,league
1993,San Diego Padres,13,103,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1993,San Francisco Giants,14,103,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1993,Chicago Cubs,15,101,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1993,St. Louis Cardinals,16,98,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1993,Detroit Tigers,17,97,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1993,Philadelphia Phillies,18,96,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1993,Minnesota Twins,19,95,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1993,Pittsburgh Pirates,20,95,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1993,Atlanta Braves,21,88,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1993,Houston Astros,22,87,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1993,Milwaukee Brewers,23,86,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1993,Montreal Expos,24,86,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1993,Seattle Mariners,25,86,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1993,Cleveland Indians,26,81,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1992,New York Yankees,1,200,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1992,Los Angeles Dodgers,2,180,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1992,New York Mets,3,170,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1992,Boston Red Sox,4,160,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1992,Toronto Blue Jays,5,160,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1992,Baltimore Orioles,6,140,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1992,Chicago White Sox,7,140,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1992,Chicago Cubs,8,132,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1992,St. Louis Cardinals,9,132,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1992,Texas Rangers,10,123,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1992,Kansas City Royals,11,117,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1992,Oakland Athletics,12,115,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1992,Philadelphia Phillies,13,115,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1992,Los Angeles Angels of Anaheim,14,103,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1992,San Francisco Giants,15,99,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1992,Cincinnati Reds,16,98,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1992,San Diego Padres,17,96,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1992,Houston Astros,18,95,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1992,Pittsburgh Pirates,19,87,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1992,Detroit Tigers,20,85,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1992,Atlanta Braves,21,83,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1992,Minnesota Twins,22,83,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1992,Seattle Mariners,23,79,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1992,Cleveland Indians,24,77,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1992,Milwaukee Brewers,25,77,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1992,Montreal Expos,26,75,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1991,New York Yankees,1,225,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1991,Baltimore Orioles,2,200,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1991,Los Angeles Dodgers,3,200,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1991,New York Mets,4,200,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1991,Boston Red Sox,5,180,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1991,Toronto Blue Jays,6,178.3,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1991,Philadelphia Phillies,7,130,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1991,St. Louis Cardinals,8,128.3,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1991,Chicago Cubs,9,125,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1991,Chicago White Sox,10,125,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1991,Kansas City Royals,11,122.4,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1991,Oakland Athletics,12,115.8,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1991,San Francisco Giants,13,105,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1991,Cincinnati Reds,14,102.3,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1991,Los Angeles Angels of Anaheim,15,102.1,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1991,Texas Rangers,16,100.6,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1991,San Diego Padres,17,99.1,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1991,Houston Astros,18,92,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1991,Minnesota Twins,19,85.7,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1991,Detroit Tigers,20,83.6,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1991,Pittsburgh Pirates,21,82.2,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1991,Milwaukee Brewers,22,80.6,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1991,Cleveland Indians,23,75,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1991,Atlanta Braves,24,74.3,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1991,Montreal Expos,25,74.1,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1991,Seattle Mariners,26,71.4,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1990,New York Yankees,1,200,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1990,Los Angeles Dodgers,2,175,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1990,New York Mets,3,175,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1990,Los Angeles Angels of Anaheim,4,145,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1990,Toronto Blue Jays,5,145,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1990,Philadelphia Phillies,6,140,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1990,St. Louis Cardinals,7,140,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1990,Chicago Cubs,8,135,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1990,Boston Red Sox,9,130,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1990,Kansas City Royals,10,120,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1990,Chicago White Sox,11,115,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1990,Detroit Tigers,12,110,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1990,Houston Astros,13,105,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1990,Baltimore Orioles,14,100,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1990,Montreal Expos,15,100,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1990,Texas Rangers,16,100,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1990,Minnesota Twins,17,95,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1990,Cincinnati Reds,18,90,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1990,Seattle Mariners,19,90,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1990,Atlanta Braves,20,85,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1990,Cleveland Indians,21,85,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1990,Milwaukee Brewers,22,85,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1990,Oakland Athletics,23,85,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1990,Pittsburgh Pirates,24,85,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1990,San Diego Padres,25,85,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1990,San Francisco Giants,26,85,NA,NA,NA,NA,NA,NA,NA,NA,MLB
