Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F
1985-1986,159391,Louisiana State University and Agricultural & Mechanical College,Home Economics,19',Bachelor's degrees,122,4,118
1985-1986,159391,Louisiana State University and Agricultural & Mechanical College,Agricultural Sciences,2',Bachelor's degrees,38,23,15
1985-1986,159391,Louisiana State University and Agricultural & Mechanical College,Law (non-first professional),22',Bachelor's degrees,26,20,6
1985-1986,159391,Louisiana State University and Agricultural & Mechanical College,Letters,23',Bachelor's degrees,63,14,49
1985-1986,159391,Louisiana State University and Agricultural & Mechanical College,Liberal/General Studies,24',Bachelor's degrees,284,148,136
1985-1986,159391,Louisiana State University and Agricultural & Mechanical College,Life Sciences,26',Bachelor's degrees,83,55,28
1985-1986,159391,Louisiana State University and Agricultural & Mechanical College,Mathematics,27',Bachelor's degrees,19,11,8
1985-1986,159391,Louisiana State University and Agricultural & Mechanical College,Renewable Natural Resources,3',Bachelor's degrees,15,13,2
1985-1986,159391,Louisiana State University and Agricultural & Mechanical College,Multi/Interdisciplinary Studies,30',Bachelor's degrees,5,2,3
1985-1986,159391,Louisiana State University and Agricultural & Mechanical College,Philosophy and Religion,38',Bachelor's degrees,8,4,4
1985-1986,159391,Louisiana State University and Agricultural & Mechanical College,Architecture and Environmental Design,4',Bachelor's degrees,125,72,53
1985-1986,159391,Louisiana State University and Agricultural & Mechanical College,Physical Sciences,40',Bachelor's degrees,80,58,22
1985-1986,159391,Louisiana State University and Agricultural & Mechanical College,Psychology,42',Bachelor's degrees,98,29,69
1985-1986,159391,Louisiana State University and Agricultural & Mechanical College,Protective Services,43',Bachelor's degrees,48,27,21
1985-1986,159391,Louisiana State University and Agricultural & Mechanical College,Public Affairs,44',Bachelor's degrees,5,1,4
1985-1986,159391,Louisiana State University and Agricultural & Mechanical College,Social Sciences,45',Bachelor's degrees,188,115,73
1985-1986,159391,Louisiana State University and Agricultural & Mechanical College,Area and Ethnic Studies,5',Bachelor's degrees,2,2,0
1985-1986,159391,Louisiana State University and Agricultural & Mechanical College,Visual and Performing Arts,50',Bachelor's degrees,96,28,68
1985-1986,159391,Louisiana State University and Agricultural & Mechanical College,Business and Management,6',Bachelor's degrees,708,401,307
1985-1986,159391,Louisiana State University and Agricultural & Mechanical College,Business (Administrative Support),7',Bachelor's degrees,2,0,2
1985-1986,159391,Louisiana State University and Agricultural & Mechanical College,Communications,9',Bachelor's degrees,177,51,126
1985-1986,147767,Northwestern University,Computer and Information Sciences,11',Bachelor's degrees,81,51,30
1985-1986,147767,Northwestern University,Education,13',Bachelor's degrees,22,11,11
1985-1986,147767,Northwestern University,Engineering,14',Bachelor's degrees,259,180,79
1985-1986,147767,Northwestern University,Foreign Languages,16',Bachelor's degrees,31,13,18
1985-1986,147767,Northwestern University,Allied Health,17',Bachelor's degrees,81,10,71
1985-1986,147767,Northwestern University,Health Sciences,18',Bachelor's degrees,88,6,82
1985-1986,147767,Northwestern University,Letters,23',Bachelor's degrees,165,66,99
1985-1986,147767,Northwestern University,Life Sciences,26',Bachelor's degrees,77,45,32
1985-1986,147767,Northwestern University,Mathematics,27',Bachelor's degrees,24,22,2
1985-1986,147767,Northwestern University,Multi/Interdisciplinary Studies,30',Bachelor's degrees,32,16,16
1985-1986,147767,Northwestern University,Philosophy and Religion,38',Bachelor's degrees,20,11,9
1985-1986,147767,Northwestern University,Physical Sciences,40',Bachelor's degrees,30,23,7
1985-1986,147767,Northwestern University,Psychology,42',Bachelor's degrees,73,27,46
1985-1986,147767,Northwestern University,Public Affairs,44',Bachelor's degrees,50,13,37
1985-1986,147767,Northwestern University,Social Sciences,45',Bachelor's degrees,451,263,188
1985-1986,147767,Northwestern University,Area and Ethnic Studies,5',Bachelor's degrees,5,3,2
1985-1986,147767,Northwestern University,Visual and Performing Arts,50',Bachelor's degrees,151,61,90
1985-1986,147767,Northwestern University,Business and Management,6',Bachelor's degrees,39,9,30
1985-1986,147767,Northwestern University,Communications,9',Bachelor's degrees,180,87,93
1985-1986,204796,Ohio State University-Main Campus,Agricultural Business and Production,1',Bachelor's degrees,80,65,15
1985-1986,204796,Ohio State University-Main Campus,Computer and Information Sciences,11',Bachelor's degrees,249,182,67
1985-1986,204796,Ohio State University-Main Campus,Education,13',Bachelor's degrees,768,233,535
1985-1986,204796,Ohio State University-Main Campus,Engineering,14',Bachelor's degrees,843,735,108
1985-1986,204796,Ohio State University-Main Campus,Foreign Languages,16',Bachelor's degrees,45,12,33
1985-1986,204796,Ohio State University-Main Campus,Allied Health,17',Bachelor's degrees,239,42,197
1985-1986,204796,Ohio State University-Main Campus,Health Sciences,18',Bachelor's degrees,274,18,256
1985-1986,204796,Ohio State University-Main Campus,Home Economics,19',Bachelor's degrees,200,10,190
1985-1986,204796,Ohio State University-Main Campus,Agricultural Sciences,2',Bachelor's degrees,257,165,92
1985-1986,204796,Ohio State University-Main Campus,Vocational Home Economics,20',Bachelor's degrees,25,14,11
1985-1986,204796,Ohio State University-Main Campus,Letters,23',Bachelor's degrees,97,36,61
1985-1986,204796,Ohio State University-Main Campus,Life Sciences,26',Bachelor's degrees,231,130,101
1985-1986,204796,Ohio State University-Main Campus,Mathematics,27',Bachelor's degrees,49,35,14
1985-1986,204796,Ohio State University-Main Campus,Renewable Natural Resources,3',Bachelor's degrees,71,42,29
1985-1986,204796,Ohio State University-Main Campus,Multi/Interdisciplinary Studies,30',Bachelor's degrees,25,6,19
1985-1986,204796,Ohio State University-Main Campus,Parks and Recreation,31',Bachelor's degrees,24,15,9
1985-1986,204796,Ohio State University-Main Campus,Philosophy and Religion,38',Bachelor's degrees,12,9,3
1985-1986,204796,Ohio State University-Main Campus,Architecture and Environmental Design,4',Bachelor's degrees,95,75,20
1985-1986,204796,Ohio State University-Main Campus,Physical Sciences,40',Bachelor's degrees,99,75,24
1985-1986,204796,Ohio State University-Main Campus,Psychology,42',Bachelor's degrees,197,82,115
1985-1986,204796,Ohio State University-Main Campus,Public Affairs,44',Bachelor's degrees,98,9,89
1985-1986,204796,Ohio State University-Main Campus,Social Sciences,45',Bachelor's degrees,402,240,162
1985-1986,204796,Ohio State University-Main Campus,Transportation and Material Moving,49',Bachelor's degrees,61,54,7
1985-1986,204796,Ohio State University-Main Campus,Area and Ethnic Studies,5',Bachelor's degrees,5,1,4
1985-1986,204796,Ohio State University-Main Campus,Visual and Performing Arts,50',Bachelor's degrees,176,81,95
1985-1986,204796,Ohio State University-Main Campus,Business and Management,6',Bachelor's degrees,956,631,325
