Year,unitid,Institution_Name,Award_Level,Major,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2001-2002,134097,Florida State University,Bachelor's degree,First major,Philosophy and Religion,'38',35,20,15,30,17,13,0,0,0,3,2,1,1,1,0,0,0,0,0,0,0,1,0,1
2001-2002,134097,Florida State University,Bachelor's degree,First major,Home Economics- General,'19',402,57,345,289,42,247,74,9,65,25,4,21,10,2,8,0,0,0,1,0,1,3,0,3
2001-2002,134097,Florida State University,Bachelor's degree,First major,Social Sciences and History,'45',859,439,420,643,334,309,88,37,51,86,47,39,23,11,12,5,3,2,1,0,1,13,7,6
2001-2002,134097,Florida State University,Bachelor's degree,First major,Visual and Performing Arts,'50',383,141,242,312,120,192,20,9,11,34,8,26,12,4,8,0,0,0,0,0,0,5,0,5
2001-2002,134097,Florida State University,Bachelor's degree,First major,Biological Science/Life Sciences,'26',140,57,83,114,51,63,5,0,5,8,1,7,5,2,3,2,0,2,0,0,0,6,3,3
2001-2002,134097,Florida State University,Bachelor's degree,First major,Mathematics,'27',15,10,5,15,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,134097,Florida State University,Bachelor's degree,First major,Engineering,'14',147,101,46,87,65,22,34,14,20,10,10,0,3,1,2,0,0,0,0,0,0,13,11,2
2001-2002,134097,Florida State University,Bachelor's degree,First major,Foreign Languages and Literatures,'16',56,16,40,34,13,21,8,1,7,10,2,8,4,0,4,0,0,0,0,0,0,0,0,0
2001-2002,134097,Florida State University,Bachelor's degree,First major,Area- Ethnic and Cultural Studies,'05',13,7,6,6,4,2,0,0,0,3,2,1,2,0,2,0,0,0,0,0,0,2,1,1
2001-2002,134097,Florida State University,Bachelor's degree,First major,Psychology,'42',295,60,235,201,42,159,50,8,42,32,8,24,7,1,6,2,0,2,0,0,0,3,1,2
2001-2002,131496,Georgetown University,Bachelor's degree,First major,Business Management and Administrative Services,'52',355,194,161,219,130,89,22,8,14,19,9,10,44,23,21,1,0,1,8,4,4,42,20,22
2001-2002,131496,Georgetown University,Bachelor's degree,First major,Health Professions and Related Sciences,'51',64,5,59,48,2,46,5,1,4,3,1,2,6,1,5,0,0,0,0,0,0,2,0,2
2001-2002,131496,Georgetown University,Bachelor's degree,First major,English Language and Literature/Letters,'23',179,75,104,141,60,81,6,3,3,6,3,3,10,3,7,1,0,1,10,4,6,5,2,3
2001-2002,131496,Georgetown University,Bachelor's degree,First major,Area- Ethnic and Cultural Studies,'05',20,9,11,19,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,131496,Georgetown University,Bachelor's degree,First major,Computer and Information Sciences,'11',13,12,1,10,9,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0
2001-2002,131496,Georgetown University,Bachelor's degree,First major,Liberal Arts and Studies- General Sciences and Humanities,'24',22,5,17,10,3,7,2,1,1,2,0,2,1,0,1,1,0,1,1,0,1,5,1,4
2001-2002,131496,Georgetown University,Bachelor's degree,First major,Psychology,'42',106,32,74,82,25,57,4,1,3,7,3,4,5,2,3,0,0,0,4,1,3,4,0,4
2001-2002,131496,Georgetown University,Bachelor's degree,First major,Social Sciences and History,'45',594,296,298,373,200,173,27,8,19,40,20,20,52,25,27,2,0,2,32,19,13,68,24,44
2001-2002,131496,Georgetown University,Bachelor's degree,First major,Visual and Performing Arts,'50',13,4,9,11,3,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
2001-2002,131496,Georgetown University,Bachelor's degree,First major,Physical Sciences,'40',21,13,8,19,12,7,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2001-2002,131496,Georgetown University,Bachelor's degree,First major,Philosophy and Religion,'38',28,17,11,23,14,9,0,0,0,2,1,1,1,0,1,0,0,0,2,2,0,0,0,0
