Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.NON,T.NON.M,T.NON.F
1986-1987,159391,Louisiana State University and Agricultural & Mechanical College,Home Economics,'19.0000',Bachelor's degree,128,6,122,117,6,111,5,,5,1,,1,4,,4,0,0,0,1,,1
1986-1987,159391,Louisiana State University and Agricultural & Mechanical College,Law (non-first professional),'22.0000',Bachelor's degree,15,10,5,15,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,159391,Louisiana State University and Agricultural & Mechanical College,Liberal/General Studies and Humanities,'24.0000',Bachelor's degree,308,160,148,287,146,141,12,5,7,4,4,,0,0,0,1,1,,4,4,
1986-1987,159391,Louisiana State University and Agricultural & Mechanical College,Mathematics,'27.0000',Bachelor's degree,21,12,9,18,10,8,1,1,,1,1,,0,0,0,0,0,0,1,,1
1986-1987,159391,Louisiana State University and Agricultural & Mechanical College,Multi/Interdisciplinary Studies,'30.0000',Bachelor's degree,5,2,3,4,1,3,1,1,,0,0,0,0,0,0,0,,,0,,
1986-1987,159391,Louisiana State University and Agricultural & Mechanical College,Philosophy and Religion,'38.0000',Bachelor's degree,11,9,2,10,8,2,0,0,0,1,1,,0,0,0,0,0,0,0,0,0
1986-1987,159391,Louisiana State University and Agricultural & Mechanical College,Physical Sciences,'40.0000',Bachelor's degree,48,40,8,40,33,7,0,0,0,1,1,,2,2,,0,0,0,5,4,1
1986-1987,159391,Louisiana State University and Agricultural & Mechanical College,Protective Services,'43.0000',Bachelor's degree,47,27,20,40,23,17,5,3,2,2,1,1,0,0,0,0,0,0,0,0,0
1986-1987,159391,Louisiana State University and Agricultural & Mechanical College,Psychology,'42.0000',Bachelor's degree,108,42,66,86,35,51,11,2,9,9,5,4,1,,1,0,0,0,1,,1
1986-1987,159391,Louisiana State University and Agricultural & Mechanical College,Public Administration and Services,'44.0000',Bachelor's degree,5,3,2,4,3,1,1,,1,0,,,0,0,0,0,0,0,0,,
1986-1987,159391,Louisiana State University and Agricultural & Mechanical College,Social Sciences and History,'45.0000',Bachelor's degree,194,113,81,174,101,73,11,4,7,4,3,1,0,0,0,2,2,,3,3,
1986-1987,159391,Louisiana State University and Agricultural & Mechanical College,Visual and Performing Arts,'50.0000',Bachelor's degree,84,25,59,79,24,55,1,1,,0,0,0,0,0,0,0,,,4,,4
1986-1987,147767,Northwestern University,Allied Health,'17.0000',Bachelor's degree,79,17,62,77,17,60,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
1986-1987,147767,Northwestern University,Area- Ethnic and Cultural Studies,'05.0000',Bachelor's degree,5,1,4,4,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,147767,Northwestern University,Biological Sciences/Life Sciences,'26.0000',Bachelor's degree,77,47,30,48,30,18,6,3,3,2,0,2,20,14,6,0,0,0,1,0,1
1986-1987,147767,Northwestern University,Business and Management,'06.0000',Bachelor's degree,25,6,19,21,3,18,1,1,0,1,1,0,2,1,1,0,0,0,0,0,0
1986-1987,147767,Northwestern University,Communications,'09.0000',Bachelor's degree,319,120,199,282,112,170,23,6,17,2,1,1,9,1,8,0,0,0,3,0,3
1986-1987,147767,Northwestern University,Computer and Information Sciences,'11.0000',Bachelor's degree,56,45,11,47,41,6,3,2,1,1,0,1,4,2,2,0,0,0,1,0,1
1986-1987,147767,Northwestern University,Education,'13.0000',Bachelor's degree,22,11,11,18,8,10,3,2,1,0,0,0,1,1,0,0,0,0,0,0,0
1986-1987,147767,Northwestern University,Engineering,'14.0000',Bachelor's degree,304,204,100,224,157,67,24,10,14,3,2,1,47,32,15,0,0,0,6,3,3
1986-1987,147767,Northwestern University,English Language and Literature/Letters,'23.0000',Bachelor's degree,94,41,53,91,40,51,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0
1986-1987,147767,Northwestern University,Foreign Languages and Literatures,'16.0000',Bachelor's degree,40,10,30,39,10,29,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,147767,Northwestern University,Health Sciences,'18.0000',Bachelor's degree,120,31,89,99,26,73,7,0,7,2,0,2,12,5,7,0,0,0,0,0,0
1986-1987,147767,Northwestern University,Mathematics,'27.0000',Bachelor's degree,26,17,9,18,10,8,2,1,1,1,1,0,4,4,0,0,0,0,1,1,0
1986-1987,147767,Northwestern University,Multi/Interdisciplinary Studies,'30.0000',Bachelor's degree,42,20,22,39,19,20,1,1,0,0,0,0,2,0,2,0,0,0,0,0,0
1986-1987,147767,Northwestern University,Philosophy and Religion,'38.0000',Bachelor's degree,17,11,6,15,10,5,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0
1986-1987,147767,Northwestern University,Physical Sciences,'40.0000',Bachelor's degree,36,24,12,29,20,9,2,1,1,1,1,0,4,2,2,0,0,0,0,0,0
1986-1987,147767,Northwestern University,Psychology,'42.0000',Bachelor's degree,71,19,52,53,14,39,10,2,8,1,1,0,7,2,5,0,0,0,0,0,0
1986-1987,147767,Northwestern University,Public Administration and Services,'44.0000',Bachelor's degree,53,16,37,40,10,30,11,5,6,0,0,0,2,1,1,0,0,0,0,0,0
1986-1987,147767,Northwestern University,Social Sciences and History,'45.0000',Bachelor's degree,459,267,192,380,225,155,34,14,20,8,4,4,27,16,11,3,3,0,7,5,2
1986-1987,147767,Northwestern University,Visual and Performing Arts,'50.0000',Bachelor's degree,180,74,106,163,68,95,5,1,4,4,3,1,5,0,5,0,0,0,3,2,1
1986-1987,204796,Ohio State University-Main Campus,Agricultural Business and Production,'01.0000',Bachelor's degree,67,53,14,66,53,13,0,,,0,0,0,0,0,0,0,0,0,1,,1
1986-1987,204796,Ohio State University-Main Campus,Agricultural Sciences,'02.0000',Bachelor's degree,212,135,77,202,127,75,2,1,1,1,1,,4,3,1,0,0,0,3,3,
1986-1987,204796,Ohio State University-Main Campus,Allied Health,'17.0000',Bachelor's degree,254,57,197,243,52,191,4,2,2,4,1,3,2,2,,1,,1,0,0,0
1986-1987,204796,Ohio State University-Main Campus,Architecture and Related Programs,'04.0000',Bachelor's degree,133,108,25,117,94,23,2,2,,1,1,,2,1,1,0,0,0,11,10,1
1986-1987,204796,Ohio State University-Main Campus,Area- Ethnic and Cultural Studies,'05.0000',Bachelor's degree,6,,6,1,,1,5,,5,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,204796,Ohio State University-Main Campus,Biological Sciences/Life Sciences,'26.0000',Bachelor's degree,194,109,85,176,102,74,6,1,5,3,2,1,8,4,4,0,0,0,1,,1
1986-1987,204796,Ohio State University-Main Campus,Business (Admin Support),'07.0000',Bachelor's degree,154,104,50,127,90,37,7,3,4,1,,1,4,2,2,0,0,0,15,9,6
1986-1987,204796,Ohio State University-Main Campus,Business and Management,'06.0000',Bachelor's degree,971,630,341,892,592,300,27,12,15,6,4,2,10,5,5,4,3,1,32,14,18
1986-1987,204796,Ohio State University-Main Campus,Communications,'09.0000',Bachelor's degree,476,170,306,440,159,281,27,9,18,2,,2,3,1,2,1,,1,3,1,2
1986-1987,204796,Ohio State University-Main Campus,Computer and Information Sciences,'11.0000',Bachelor's degree,237,182,55,190,148,42,9,4,5,1,1,,15,10,5,0,0,0,22,19,3
1986-1987,204796,Ohio State University-Main Campus,Conservation and Renewable Natural Resources,'03.0000',Bachelor's degree,48,33,15,47,32,15,0,0,0,1,1,,0,0,0,0,0,0,0,,
1986-1987,204796,Ohio State University-Main Campus,Education,'13.0000',Bachelor's degree,817,245,572,753,200,553,19,10,9,5,1,4,2,1,1,0,,,38,33,5
1986-1987,204796,Ohio State University-Main Campus,Engineering,'14.0000',Bachelor's degree,835,706,129,714,596,118,10,7,3,5,5,,20,16,4,0,0,0,86,82,4
1986-1987,204796,Ohio State University-Main Campus,English Language and Literature/Letters,'23.0000',Bachelor's degree,125,49,76,117,47,70,4,1,3,1,,1,2,1,1,0,0,0,1,,1
1986-1987,204796,Ohio State University-Main Campus,Foreign Languages and Literatures,'16.0000',Bachelor's degree,51,16,35,46,14,32,1,,1,1,,1,2,1,1,0,0,0,1,1,
1986-1987,204796,Ohio State University-Main Campus,Health Sciences,'18.0000',Bachelor's degree,359,53,306,341,50,291,3,1,2,2,,2,8,1,7,0,0,0,5,1,4
1986-1987,204796,Ohio State University-Main Campus,Home Economics,'19.0000',Bachelor's degree,207,18,189,205,18,187,1,,1,0,0,0,1,,1,0,0,0,0,,
1986-1987,204796,Ohio State University-Main Campus,Marketing Operations/Marketing and Distribution,'08.0000',Bachelor's degree,498,286,212,467,272,195,12,6,6,3,1,2,3,1,2,0,0,0,13,6,7
1986-1987,204796,Ohio State University-Main Campus,Mathematics,'27.0000',Bachelor's degree,87,54,33,74,45,29,6,5,1,0,0,0,3,1,2,1,,1,3,3,
1986-1987,204796,Ohio State University-Main Campus,Multi/Interdisciplinary Studies,'30.0000',Bachelor's degree,16,5,11,16,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,204796,Ohio State University-Main Campus,Parks- Recreation- Leisure and Fitness,'31.0000',Bachelor's degree,24,18,6,24,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,204796,Ohio State University-Main Campus,Philosophy and Religion,'38.0000',Bachelor's degree,10,9,1,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,204796,Ohio State University-Main Campus,Physical Sciences,'40.0000',Bachelor's degree,99,87,12,91,81,10,5,4,1,1,1,,1,1,,0,0,0,1,,1
1986-1987,204796,Ohio State University-Main Campus,Psychology,'42.0000',Bachelor's degree,214,80,134,193,72,121,13,5,8,0,,,8,3,5,0,0,0,0,,
1986-1987,204796,Ohio State University-Main Campus,Public Administration and Services,'44.0000',Bachelor's degree,73,9,64,64,8,56,9,1,8,0,,,0,0,0,0,,,0,,
1986-1987,204796,Ohio State University-Main Campus,Social Sciences and History,'45.0000',Bachelor's degree,387,246,141,359,235,124,16,6,10,4,2,2,2,,2,0,0,0,6,3,3
1986-1987,204796,Ohio State University-Main Campus,Transportation and Material Moving Workers,'49.0000',Bachelor's degree,52,47,5,49,45,4,2,1,1,0,0,0,1,1,,0,0,0,0,0,0
1986-1987,204796,Ohio State University-Main Campus,Visual and Performing Arts,'50.0000',Bachelor's degree,217,99,118,204,92,112,5,3,2,4,2,2,2,,2,1,1,,1,1,
1986-1987,204796,Ohio State University-Main Campus,Vocational Home Economics,'20.0000',Bachelor's degree,30,19,11,30,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,207388,Oklahoma State University-Main Campus,Agricultural Business and Production,'01.0000',Bachelor's degree,83,65,18,79,62,17,0,0,0,0,0,0,0,0,0,1,0,1,3,3,0
1986-1987,207388,Oklahoma State University-Main Campus,Agricultural Sciences,'02.0000',Bachelor's degree,125,90,35,119,87,32,0,0,0,1,0,1,1,1,0,0,0,0,4,2,2
1986-1987,207388,Oklahoma State University-Main Campus,Architecture and Related Programs,'04.0000',Bachelor's degree,9,6,3,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,207388,Oklahoma State University-Main Campus,Biological Sciences/Life Sciences,'26.0000',Bachelor's degree,109,61,48,95,54,41,1,0,1,1,1,0,2,1,1,1,1,0,9,4,5
1986-1987,207388,Oklahoma State University-Main Campus,Business (Admin Support),'07.0000',Bachelor's degree,11,0,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,207388,Oklahoma State University-Main Campus,Business and Management,'06.0000',Bachelor's degree,922,510,412,801,450,351,26,9,17,2,1,1,7,3,4,8,5,3,78,42,36
1986-1987,207388,Oklahoma State University-Main Campus,Communications,'09.0000',Bachelor's degree,169,83,86,160,80,80,4,0,4,1,0,1,1,1,0,1,1,0,2,1,1
1986-1987,207388,Oklahoma State University-Main Campus,Computer and Information Sciences,'11.0000',Bachelor's degree,137,88,49,89,59,30,3,2,1,2,0,2,2,0,2,3,3,0,38,24,14
1986-1987,207388,Oklahoma State University-Main Campus,Conservation and Renewable Natural Resources,'03.0000',Bachelor's degree,13,11,2,10,8,2,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0
1986-1987,207388,Oklahoma State University-Main Campus,Education,'13.0000',Bachelor's degree,386,119,267,370,110,260,3,1,2,1,1,0,0,0,0,6,3,3,6,4,2
1986-1987,207388,Oklahoma State University-Main Campus,Engineering,'14.0000',Bachelor's degree,340,291,49,195,159,36,2,1,1,5,4,1,14,12,2,8,7,1,116,108,8
1986-1987,207388,Oklahoma State University-Main Campus,Engineering-Related Technologies,'15.0000',Bachelor's degree,227,222,5,196,194,2,4,4,0,0,0,0,5,5,0,5,3,2,17,16,1
1986-1987,207388,Oklahoma State University-Main Campus,English Language and Literature/Letters,'23.0000',Bachelor's degree,42,16,26,40,16,24,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
1986-1987,207388,Oklahoma State University-Main Campus,Foreign Languages and Literatures,'16.0000',Bachelor's degree,17,3,14,17,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,207388,Oklahoma State University-Main Campus,Health Sciences,'18.0000',Bachelor's degree,21,3,18,21,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,207388,Oklahoma State University-Main Campus,Home Economics,'19.0000',Bachelor's degree,163,12,151,151,10,141,2,1,1,2,0,2,0,0,0,5,0,5,3,1,2
1986-1987,207388,Oklahoma State University-Main Campus,Liberal/General Studies and Humanities,'24.0000',Bachelor's degree,10,8,2,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1986-1987,207388,Oklahoma State University-Main Campus,Mathematics,'27.0000',Bachelor's degree,25,14,11,20,12,8,1,1,0,0,0,0,1,1,0,2,0,2,1,0,1
1986-1987,207388,Oklahoma State University-Main Campus,Parks- Recreation- Leisure and Fitness,'31.0000',Bachelor's degree,32,14,18,28,12,16,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1
1986-1987,207388,Oklahoma State University-Main Campus,Philosophy and Religion,'38.0000',Bachelor's degree,6,4,2,5,3,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1986-1987,207388,Oklahoma State University-Main Campus,Physical Sciences,'40.0000',Bachelor's degree,36,31,5,33,29,4,0,0,0,1,1,0,0,0,0,0,0,0,2,1,1
1986-1987,207388,Oklahoma State University-Main Campus,Psychology,'42.0000',Bachelor's degree,72,29,43,67,27,40,2,0,2,1,1,0,0,0,0,0,0,0,2,1,1
1986-1987,207388,Oklahoma State University-Main Campus,Social Sciences and History,'45.0000',Bachelor's degree,153,73,80,139,64,75,3,2,1,0,0,0,0,0,0,7,5,2,4,2,2
1986-1987,207388,Oklahoma State University-Main Campus,Visual and Performing Arts,'50.0000',Bachelor's degree,29,10,19,29,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,209542,Oregon State University,Agricultural Business and Production,'01.0000',Bachelor's degree,54,34,20,53,33,20,0,0,0,1,1,,0,0,0,0,,,0,,
1986-1987,209542,Oregon State University,Agricultural Sciences,'02.0000',Bachelor's degree,96,59,37,82,47,35,0,0,0,0,0,0,3,1,2,4,4,,7,7,
1986-1987,209542,Oregon State University,Allied Health,'17.0000',Bachelor's degree,3,,3,3,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,209542,Oregon State University,Area- Ethnic and Cultural Studies,'05.0000',Bachelor's degree,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,209542,Oregon State University,Biological Sciences/Life Sciences,'26.0000',Bachelor's degree,137,71,66,120,63,57,0,,,0,0,0,8,4,4,3,2,1,6,2,4
1986-1987,209542,Oregon State University,Business and Management,'06.0000',Bachelor's degree,714,430,284,639,387,252,1,1,,4,3,1,29,16,13,11,4,7,30,19,11
1986-1987,209542,Oregon State University,Communications,'09.0000',Bachelor's degree,47,22,25,46,21,25,0,0,0,0,0,0,1,1,,0,0,0,0,,
1986-1987,209542,Oregon State University,Computer and Information Sciences,'11.0000',Bachelor's degree,70,54,16,54,41,13,0,0,0,0,0,0,5,3,2,1,,1,10,10,
1986-1987,209542,Oregon State University,Conservation and Renewable Natural Resources,'03.0000',Bachelor's degree,78,60,18,67,50,17,1,1,,1,1,,3,2,1,3,3,,3,3,
1986-1987,209542,Oregon State University,Education,'13.0000',Bachelor's degree,364,128,236,346,117,229,2,2,,6,3,3,3,1,2,6,4,2,1,1,
1986-1987,209542,Oregon State University,Engineering,'14.0000',Bachelor's degree,345,308,37,273,251,22,1,1,,0,0,0,39,33,6,3,1,2,29,22,7
1986-1987,209542,Oregon State University,Engineering-Related Technologies,'15.0000',Bachelor's degree,61,60,1,53,52,1,1,1,,0,0,0,3,3,,2,2,,2,2,
1986-1987,209542,Oregon State University,English Language and Literature/Letters,'23.0000',Bachelor's degree,113,56,57,99,49,50,8,4,4,2,1,1,3,1,2,1,1,,0,,
1986-1987,209542,Oregon State University,Foreign Languages and Literatures,'16.0000',Bachelor's degree,18,6,12,17,6,11,0,0,0,1,,1,0,0,0,0,0,0,0,0,0
1986-1987,209542,Oregon State University,Health Sciences,'18.0000',Bachelor's degree,81,40,41,63,33,30,1,1,,2,,2,11,4,7,4,2,2,0,,
1986-1987,209542,Oregon State University,Home Economics,'19.0000',Bachelor's degree,110,2,108,102,2,100,1,,1,0,,,4,,4,1,,1,2,,2
1986-1987,209542,Oregon State University,Mathematics,'27.0000',Bachelor's degree,47,35,12,37,28,9,0,0,0,0,0,0,5,2,3,0,0,0,5,5,
1986-1987,209542,Oregon State University,Multi/Interdisciplinary Studies,'30.0000',Bachelor's degree,63,32,31,52,28,24,0,0,0,0,0,0,9,4,5,1,,1,1,,1
1986-1987,209542,Oregon State University,Parks- Recreation- Leisure and Fitness,'31.0000',Bachelor's degree,9,6,3,8,5,3,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,209542,Oregon State University,Philosophy and Religion,'38.0000',Bachelor's degree,8,4,4,7,3,4,0,0,0,1,1,,0,0,0,0,0,0,0,0,0
1986-1987,209542,Oregon State University,Physical Sciences,'40.0000',Bachelor's degree,58,50,8,55,47,8,0,0,0,1,1,,1,1,,0,0,0,1,1,
1986-1987,209542,Oregon State University,Psychology,'42.0000',Bachelor's degree,40,13,27,38,12,26,1,1,,0,0,0,0,0,0,1,,1,0,0,0
1986-1987,209542,Oregon State University,Social Sciences and History,'45.0000',Bachelor's degree,247,142,105,219,127,92,11,8,3,1,,1,9,3,6,4,3,1,3,1,2
1986-1987,209542,Oregon State University,Visual and Performing Arts,'50.0000',Bachelor's degree,43,19,24,36,15,21,1,1,,1,1,,3,1,2,1,,1,1,1,
1986-1987,186380,Rutgers University-New Brunswick,Agricultural Sciences,'02.0000',Bachelor's degree,95,40,55,82,30,52,1,,1,2,2,,5,4,1,0,0,0,0,0,0
1986-1987,186380,Rutgers University-New Brunswick,Allied Health,'17.0000',Bachelor's degree,21,1,20,19,1,18,1,,1,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,186380,Rutgers University-New Brunswick,Architecture and Related Programs,'04.0000',Bachelor's degree,43,33,10,38,28,10,1,1,,2,2,,1,1,,0,0,0,0,0,0
1986-1987,186380,Rutgers University-New Brunswick,Area- Ethnic and Cultural Studies,'05.0000',Bachelor's degree,40,16,24,20,5,15,11,7,4,5,1,4,1,,1,0,0,0,0,0,0
1986-1987,186380,Rutgers University-New Brunswick,Biological Sciences/Life Sciences,'26.0000',Bachelor's degree,403,214,189,313,169,144,11,3,8,19,11,8,44,24,20,0,0,0,0,0,0
1986-1987,186380,Rutgers University-New Brunswick,Business and Management,'06.0000',Bachelor's degree,448,186,262,370,155,215,25,9,16,6,3,3,22,8,14,0,0,0,0,0,0
1986-1987,186380,Rutgers University-New Brunswick,Communications,'09.0000',Bachelor's degree,383,118,265,303,93,210,43,10,33,13,5,8,10,1,9,1,,1,0,0,0
1986-1987,186380,Rutgers University-New Brunswick,Computer and Information Sciences,'11.0000',Bachelor's degree,227,150,77,165,115,50,4,3,1,7,3,4,33,16,17,0,0,0,0,0,0
1986-1987,186380,Rutgers University-New Brunswick,Conservation and Renewable Natural Resources,'03.0000',Bachelor's degree,17,10,7,15,8,7,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,186380,Rutgers University-New Brunswick,Education,'13.0000',Bachelor's degree,81,24,57,73,20,53,3,2,1,4,2,2,1,,1,0,0,0,0,0,0
1986-1987,186380,Rutgers University-New Brunswick,Engineering,'14.0000',Bachelor's degree,552,424,128,426,324,102,14,12,2,20,18,2,63,43,20,0,0,0,0,0,0
1986-1987,186380,Rutgers University-New Brunswick,English Language and Literature/Letters,'23.0000',Bachelor's degree,271,89,182,224,76,148,21,4,17,8,1,7,5,,5,0,0,0,0,0,0
1986-1987,186380,Rutgers University-New Brunswick,Foreign Languages and Literatures,'16.0000',Bachelor's degree,118,31,87,80,20,60,9,1,8,20,6,14,3,2,1,0,,,0,0,0
1986-1987,186380,Rutgers University-New Brunswick,Health Sciences,'18.0000',Bachelor's degree,146,45,101,121,40,81,7,2,5,5,1,4,13,2,11,0,0,0,0,0,0
1986-1987,186380,Rutgers University-New Brunswick,Home Economics,'19.0000',Bachelor's degree,60,2,58,49,2,47,5,,5,0,0,0,4,,4,0,0,0,0,0,0
1986-1987,186380,Rutgers University-New Brunswick,Liberal/General Studies and Humanities,'24.0000',Bachelor's degree,112,7,105,93,7,86,8,,8,5,,5,3,,3,0,0,0,0,0,0
1986-1987,186380,Rutgers University-New Brunswick,Mathematics,'27.0000',Bachelor's degree,80,37,43,64,28,36,3,1,2,1,1,,8,5,3,0,0,0,0,0,0
1986-1987,186380,Rutgers University-New Brunswick,Multi/Interdisciplinary Studies,'30.0000',Bachelor's degree,3,,3,2,,2,0,0,0,1,,1,0,0,0,0,0,0,0,0,0
1986-1987,186380,Rutgers University-New Brunswick,Philosophy and Religion,'38.0000',Bachelor's degree,27,19,8,22,15,7,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,186380,Rutgers University-New Brunswick,Physical Sciences,'40.0000',Bachelor's degree,129,93,36,107,80,27,3,2,1,5,2,3,5,2,3,0,0,0,0,0,0
1986-1987,186380,Rutgers University-New Brunswick,Protective Services,'43.0000',Bachelor's degree,52,34,18,36,24,12,10,6,4,5,4,1,0,0,0,0,0,0,0,0,0
1986-1987,186380,Rutgers University-New Brunswick,Psychology,'42.0000',Bachelor's degree,312,89,223,250,70,180,26,4,22,8,1,7,13,8,5,0,0,0,0,0,0
1986-1987,186380,Rutgers University-New Brunswick,Public Administration and Services,'44.0000',Bachelor's degree,28,1,27,20,1,19,5,,5,0,,,0,,,0,0,0,0,0,0
1986-1987,186380,Rutgers University-New Brunswick,Social Sciences and History,'45.0000',Bachelor's degree,1355,748,607,1062,614,448,112,45,67,44,27,17,67,23,44,2,,2,0,0,0
1986-1987,186380,Rutgers University-New Brunswick,Visual and Performing Arts,'50.0000',Bachelor's degree,145,56,89,120,43,77,4,2,2,3,2,1,6,1,5,0,0,0,0,0,0
1986-1987,122755,San Jose State University,Allied Health,'17.0000',Bachelor's degree,74,8,66,51,4,47,0,0,0,6,2,4,6,1,5,5,1,4,1,0,1
1986-1987,122755,San Jose State University,Architecture and Related Programs,'04.0000',Bachelor's degree,35,7,28,25,4,21,0,0,0,0,0,0,4,1,3,3,1,2,0,0,0
1986-1987,122755,San Jose State University,Area- Ethnic and Cultural Studies,'05.0000',Bachelor's degree,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,122755,San Jose State University,Biological Sciences/Life Sciences,'26.0000',Bachelor's degree,82,43,39,50,22,28,1,1,0,6,4,2,13,7,6,5,3,2,2,2,0
1986-1987,122755,San Jose State University,Business and Management,'06.0000',Bachelor's degree,936,438,498,602,297,305,17,9,8,50,26,24,139,48,91,33,10,23,28,13,15
1986-1987,122755,San Jose State University,Communications,'09.0000',Bachelor's degree,255,100,155,158,53,105,14,8,6,16,9,7,24,8,16,8,5,3,10,7,3
1986-1987,122755,San Jose State University,Education,'13.0000',Bachelor's degree,37,19,18,23,12,11,1,1,0,2,0,2,2,0,2,2,1,1,3,3,0
1986-1987,122755,San Jose State University,Engineering,'14.0000',Bachelor's degree,370,294,76,145,121,24,6,5,1,13,11,2,160,119,41,3,3,0,9,7,2
1986-1987,122755,San Jose State University,Engineering-Related Technologies,'15.0000',Bachelor's degree,253,225,28,142,131,11,9,8,1,9,8,1,50,42,8,9,8,1,7,5,2
1986-1987,122755,San Jose State University,English Language and Literature/Letters,'23.0000',Bachelor's degree,63,17,46,49,14,35,3,1,2,5,0,5,2,2,0,0,0,0,0,0,0
1986-1987,122755,San Jose State University,Foreign Languages and Literatures,'16.0000',Bachelor's degree,16,5,11,8,1,7,0,0,0,6,3,3,1,0,1,0,0,0,0,0,0
1986-1987,122755,San Jose State University,Health Sciences,'18.0000',Bachelor's degree,196,14,182,138,8,130,8,1,7,7,1,6,17,2,15,5,0,5,2,0,2
1986-1987,122755,San Jose State University,Home Economics,'19.0000',Bachelor's degree,35,4,31,22,2,20,1,1,0,2,0,2,3,0,3,1,0,1,1,0,1
1986-1987,122755,San Jose State University,Liberal/General Studies and Humanities,'24.0000',Bachelor's degree,100,14,86,72,9,63,3,2,1,9,2,7,3,1,2,2,0,2,0,0,0
1986-1987,122755,San Jose State University,Mathematics,'27.0000',Bachelor's degree,149,80,69,64,36,28,1,1,0,5,5,0,48,20,28,2,1,1,18,11,7
1986-1987,122755,San Jose State University,Multi/Interdisciplinary Studies,'30.0000',Bachelor's degree,34,19,15,27,16,11,0,0,0,1,0,1,0,0,0,2,2,0,0,0,0
1986-1987,122755,San Jose State University,Parks- Recreation- Leisure and Fitness,'31.0000',Bachelor's degree,23,6,17,15,6,9,0,0,0,1,0,1,4,0,4,1,0,1,0,0,0
1986-1987,122755,San Jose State University,Philosophy and Religion,'38.0000',Bachelor's degree,13,9,4,12,8,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1986-1987,122755,San Jose State University,Physical Sciences,'40.0000',Bachelor's degree,92,64,28,55,38,17,3,3,0,5,5,0,12,7,5,3,3,0,4,2,2
1986-1987,122755,San Jose State University,Protective Services,'43.0000',Bachelor's degree,85,50,35,53,29,24,9,4,5,8,5,3,8,7,1,2,1,1,0,0,0
1986-1987,122755,San Jose State University,Psychology,'42.0000',Bachelor's degree,127,37,90,78,22,56,6,1,5,11,4,7,9,2,7,6,0,6,3,0,3
1986-1987,122755,San Jose State University,Public Administration and Services,'44.0000',Bachelor's degree,15,4,11,11,3,8,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1
1986-1987,122755,San Jose State University,Social Sciences and History,'45.0000',Bachelor's degree,276,126,150,183,77,106,15,5,10,24,14,10,17,6,11,11,6,5,4,3,1
1986-1987,122755,San Jose State University,Visual and Performing Arts,'50.0000',Bachelor's degree,202,96,106,126,57,69,3,2,1,9,6,3,33,13,20,9,4,5,3,2,1
1986-1987,228246,Southern Methodist University,Allied Health,'17.0000',Bachelor's degree,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,228246,Southern Methodist University,Area- Ethnic and Cultural Studies,'05.0000',Bachelor's degree,5,0,5,4,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1986-1987,228246,Southern Methodist University,Biological Sciences/Life Sciences,'26.0000',Bachelor's degree,37,23,14,34,21,13,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0
