Year,unitid,Institution_Name,Award_Level,Major,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.AI,T.AI.M,T.AI.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.C,T.C.M,T.C.F,T.AS,T.AS.M,T.AS.W,T.PI,T.PI.M,T.PI.W,T.MIX,T.MIX.M,T.MIX.W,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2007-2008,134097,Florida State University,Bachelor's degree,First major,History,'54',97,61,36,1,0,1,0,0,0,4,2,2,14,7,7,76,50,26,,,,,,,,,,1,1,0,1,1,0
2007-2008,134130,University of Florida,Bachelor's degree,First major,Area- ethnic- cultural- and gender studies.,'05',17,2,15,0,0,0,2,0,2,6,0,6,0,0,0,9,2,7,,,,,,,,,,0,0,0,0,0,0
2007-2008,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Biological and biomedical sciences.,'26',513,241,272,2,1,1,69,31,38,23,8,15,17,7,10,377,183,194,,,,,,,,,,7,3,4,18,8,10
2007-2008,243744,Stanford University,Bachelor's degree,First major,Biological and biomedical sciences.,'26',140,73,67,1,0,1,76,38,38,5,2,3,7,4,3,43,25,18,,,,,,,,,,5,2,3,3,2,1
2007-2008,221999,Vanderbilt University,Bachelor's degree,First major,Computer and information sciences and support services.,'11',17,16,1,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,,,,,,,,,,1,0,1,0,0,0
2007-2008,123961,University of Southern California,Bachelor's degree,First major,Public administration and social service professions.,'44',116,76,40,3,3,0,10,5,5,17,9,8,23,14,9,59,43,16,,,,,,,,,,2,0,2,2,2,0
2007-2008,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Engineering.,'14',372,307,65,1,1,0,16,12,4,26,19,7,10,5,5,273,230,43,,,,,,,,,,15,14,1,31,26,5
2007-2008,181464,University of Nebraska-Lincoln,Bachelor's degree,First major,Parks- recreation- leisure- and fitness studies.,'31',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0
2007-2008,170976,University of Michigan-Ann Arbor,Bachelor's degree,First major,Philosophy and religious studies.,'38',50,40,10,1,1,0,5,3,2,1,1,0,5,5,0,36,30,6,,,,,,,,,,2,0,2,0,0,0
2007-2008,155399,Kansas State University,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',156,59,97,0,0,0,4,1,3,2,0,2,5,1,4,140,54,86,,,,,,,,,,5,3,2,0,0,0
2007-2008,131496,Georgetown University,Bachelor's degree,First major,History,'54',54,30,24,1,0,1,0,0,0,1,0,1,2,0,2,44,26,18,,,,,,,,,,5,3,2,1,1,0
2007-2008,123961,University of Southern California,Bachelor's degree,First major,Multi/interdisciplinary studies.,'30',87,20,67,2,0,2,21,7,14,4,0,4,14,2,12,38,11,27,,,,,,,,,,2,0,2,6,0,6
2007-2008,100858,Auburn University,Bachelor's degree,First major,Agriculture- agriculture operations- and related sciences.,'01',184,107,77,1,1,0,0,0,0,2,2,0,1,1,0,177,102,75,,,,,,,,,,3,1,2,0,0,0
2007-2008,221999,Vanderbilt University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',60,22,38,0,0,0,2,0,2,0,0,0,4,1,3,45,16,29,,,,,,,,,,9,5,4,0,0,0
2007-2008,139959,University of Georgia,Bachelor's degree,First major,Agriculture- agriculture operations- and related sciences.,'01',217,128,89,0,0,0,4,2,2,5,1,4,2,2,0,201,120,81,,,,,,,,,,4,3,1,1,0,1
2007-2008,157289,University of Louisville,Bachelor's degree,First major,Philosophy and religious studies.,'38',24,16,8,1,0,1,1,1,0,1,1,0,0,0,0,21,14,7,,,,,,,,,,0,0,0,0,0,0
2007-2008,186380,Rutgers University-New Brunswick,Bachelor's degree,First major,Public administration and social service professions.,'44',32,0,32,0,0,0,3,0,3,3,0,3,1,0,1,23,0,23,,,,,,,,,,2,0,2,0,0,0
2007-2008,186380,Rutgers University-New Brunswick,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',515,169,346,3,0,3,68,29,39,45,13,32,43,10,33,338,111,227,,,,,,,,,,16,5,11,2,1,1
2007-2008,230728,Utah State University,Bachelor's degree,First major,Philosophy and religious studies.,'38',5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-2008,199120,University of North Carolina at Chapel Hill,Bachelor's degree,First major,Biological and biomedical sciences.,'26',406,173,233,2,1,1,61,29,32,24,7,17,12,5,7,284,124,160,,,,,,,,,,16,4,12,7,3,4
2007-2008,230728,Utah State University,Bachelor's degree,First major,Engineering.,'14',219,198,21,0,0,0,3,3,0,0,0,0,2,2,0,208,187,21,0,0,0,0,0,0,0,0,0,1,1,0,5,5,0
2007-2008,243744,Stanford University,Bachelor's degree,First major,Multi/interdisciplinary studies.,'30',245,89,156,7,1,6,63,19,44,24,14,10,24,9,15,108,40,68,,,,,,,,,,11,5,6,8,1,7
2007-2008,100858,Auburn University,Bachelor's degree,First major,Education.,'13',339,80,259,3,1,2,1,0,1,19,11,8,2,0,2,309,66,243,,,,,,,,,,1,1,0,4,1,3
2007-2008,228778,The University of Texas at Austin,Bachelor's degree,First major,Visual and performing arts.,'50',327,110,217,2,1,1,36,9,27,6,3,3,49,23,26,223,72,151,,,,,,,,,,2,1,1,9,1,8
2007-2008,135726,University of Miami,Bachelor's degree,First major,Computer and information sciences and support services.,'11',22,17,5,0,0,0,0,0,0,1,0,1,6,5,1,9,7,2,,,,,,,,,,0,0,0,6,5,1
2007-2008,181464,University of Nebraska-Lincoln,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',42,11,31,0,0,0,1,0,1,1,1,0,4,1,3,32,9,23,,,,,,,,,,4,0,4,0,0,0
2007-2008,228723,Texas A & M University-College Station,Bachelor's degree,First major,Engineering.,'14',1011,817,194,5,5,0,57,47,10,8,6,2,91,73,18,765,628,137,,,,,,,,,,2,2,0,83,56,27
2007-2008,134130,University of Florida,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',188,71,117,1,0,1,12,4,8,25,11,14,25,9,16,123,47,76,,,,,,,,,,1,0,1,1,0,1
2007-2008,228723,Texas A & M University-College Station,Bachelor's degree,First major,Family and consumer sciences/human sciences.,'19',132,16,116,0,0,0,8,1,7,3,1,2,17,4,13,102,9,93,,,,,,,,,,0,0,0,2,1,1
2007-2008,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Biological and biomedical sciences.,'26',382,188,194,2,1,1,33,19,14,37,12,25,15,8,7,267,139,128,,,,,,,,,,18,7,11,10,2,8
2007-2008,147767,Northwestern University,Bachelor's degree,First major,Public administration and social service professions.,'44',49,13,36,0,0,0,6,2,4,8,3,5,5,1,4,26,7,19,,,,,,,,,,4,0,4,0,0,0
2007-2008,181464,University of Nebraska-Lincoln,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',239,80,159,0,0,0,4,1,3,8,2,6,6,1,5,210,71,139,,,,,,,,,,9,5,4,2,0,2
2007-2008,155399,Kansas State University,Bachelor's degree,First major,English language and literature/letters.,'23',40,14,26,0,0,0,0,0,0,3,0,3,1,1,0,33,12,21,,,,,,,,,,3,1,2,0,0,0
2007-2008,243744,Stanford University,Bachelor's degree,First major,English language and literature/letters.,'23',51,13,38,1,0,1,8,2,6,2,2,0,5,2,3,33,7,26,,,,,,,,,,2,0,2,0,0,0
2007-2008,100751,The University of Alabama,Bachelor's degree,First major,Natural resources and conservation.,'03',7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-2008,218663,University of South Carolina-Columbia,Bachelor's degree,First major,Physical sciences.,'40',66,37,29,0,0,0,8,3,5,4,0,4,0,0,0,45,29,16,,,,,,,,,,7,4,3,2,1,1
2007-2008,134130,University of Florida,Bachelor's degree,First major,Multi/interdisciplinary studies.,'30',213,92,121,1,1,0,45,16,29,20,7,13,13,7,6,132,60,72,,,,,,,,,,1,0,1,1,1,0
2007-2008,230728,Utah State University,Bachelor's degree,First major,Public administration and social service professions.,'44',41,8,33,0,0,0,0,0,0,0,0,0,2,1,1,38,7,31,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2007-2008,170976,University of Michigan-Ann Arbor,Bachelor's degree,First major,Visual and performing arts.,'50',373,146,227,6,3,3,19,7,12,18,6,12,10,3,7,291,122,169,,,,,,,,,,18,5,13,11,0,11
2007-2008,122755,San Jose State University,Bachelor's degree,First major,Transportation and materials moving.,'49',27,21,6,0,0,0,6,4,2,2,2,0,1,1,0,13,10,3,,,,,,,,,,3,3,0,2,1,1
2007-2008,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Social sciences.,'45',1317,762,555,8,4,4,65,39,26,130,52,78,40,22,18,1012,605,407,,,,,,,,,,32,19,13,30,21,9
2007-2008,230728,Utah State University,Bachelor's degree,First major,History,'54',71,37,34,0,0,0,0,0,0,0,0,0,1,1,0,70,36,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
