Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1997-1998,198419,Duke University,Bachelor's degree,Philosophy and Religion,'38',28,16,12,24,12,12,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0
1997-1998,198419,Duke University,Bachelor's degree,Physical Sciences,'40',57,41,16,45,32,13,3,1,2,2,1,1,7,7,0,0,0,0,0,0,0,0,0,0
1997-1998,198419,Duke University,Bachelor's degree,Psychology,'42',153,29,124,109,20,89,17,3,14,6,1,5,19,3,16,0,0,0,0,0,0,2,2,0
1997-1998,198419,Duke University,Bachelor's degree,Public Administration and Services,'44',139,59,80,111,51,60,16,4,12,1,1,0,11,3,8,0,0,0,0,0,0,0,0,0
1997-1998,198419,Duke University,Bachelor's degree,Social Sciences and History,'45',467,271,196,359,211,148,42,23,19,16,8,8,38,24,14,0,0,0,2,0,2,10,5,5
1997-1998,198419,Duke University,Bachelor's degree,Visual and Performing Arts,'50',44,17,27,32,12,20,0,0,0,3,1,2,5,3,2,1,0,1,0,0,0,3,1,2
1997-1998,134097,Florida State University,Bachelor's degree,Area- Ethnic and Cultural Studies,'05',15,5,10,13,4,9,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,134097,Florida State University,Bachelor's degree,Biological Science/Life Sciences,'26',192,95,97,155,72,83,12,5,7,14,11,3,9,6,3,0,0,0,0,0,0,2,1,1
1997-1998,134097,Florida State University,Bachelor's degree,Business Management and Administrative Services,'52',1181,690,491,980,587,393,69,32,37,76,43,33,23,10,13,4,1,3,0,0,0,29,17,12
1997-1998,134097,Florida State University,Bachelor's degree,Communications,'09',315,103,212,269,91,178,24,3,21,16,6,10,0,0,0,2,0,2,0,0,0,4,3,1
1997-1998,134097,Florida State University,Bachelor's degree,Computer and Information Sciences,'11',61,48,13,43,36,7,3,2,1,10,7,3,4,3,1,0,0,0,0,0,0,1,0,1
1997-1998,134097,Florida State University,Bachelor's degree,Education,'13',554,162,392,475,137,338,36,8,28,31,13,18,10,3,7,1,1,0,0,0,0,1,0,1
1997-1998,134097,Florida State University,Bachelor's degree,Engineering,'14',160,127,33,112,93,19,15,7,8,12,10,2,7,4,3,2,2,0,0,0,0,12,11,1
1997-1998,134097,Florida State University,Bachelor's degree,English Language and Literature/Letters,'23',297,97,200,237,83,154,29,7,22,23,4,19,7,3,4,1,0,1,0,0,0,0,0,0
1997-1998,134097,Florida State University,Bachelor's degree,Foreign Languages and Literatures,'16',68,15,53,49,10,39,10,3,7,8,2,6,1,0,1,0,0,0,0,0,0,0,0,0
1997-1998,134097,Florida State University,Bachelor's degree,Health Professions and Related Sciences,'51',275,39,236,233,33,200,25,4,21,10,1,9,6,1,5,0,0,0,0,0,0,1,0,1
1997-1998,134097,Florida State University,Bachelor's degree,Home Economics- General,'19',345,50,295,262,39,223,52,8,44,23,3,20,4,0,4,1,0,1,0,0,0,3,0,3
1997-1998,134097,Florida State University,Bachelor's degree,Liberal Arts and Studies- General Sciences and Humanities,'24',26,6,20,26,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,134097,Florida State University,Bachelor's degree,Library Science,'25',20,10,10,15,8,7,3,1,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
1997-1998,134097,Florida State University,Bachelor's degree,Mathematics,'27',26,14,12,20,14,6,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
1997-1998,134097,Florida State University,Bachelor's degree,Parks- Recreation- Leisure and Fitness Studies,'31',43,7,36,38,6,32,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,134097,Florida State University,Bachelor's degree,Philosophy and Religion,'38',27,18,9,25,16,9,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,134097,Florida State University,Bachelor's degree,Physical Sciences,'40',88,54,34,78,51,27,2,0,2,5,2,3,1,0,1,0,0,0,0,0,0,2,1,1
1997-1998,134097,Florida State University,Bachelor's degree,Protective Services,'43',384,228,156,298,189,109,50,22,28,25,11,14,6,4,2,4,1,3,0,0,0,1,1,0
1997-1998,134097,Florida State University,Bachelor's degree,Psychology,'42',283,84,199,226,71,155,24,2,22,17,6,11,10,4,6,3,1,2,0,0,0,3,0,3
1997-1998,134097,Florida State University,Bachelor's degree,Public Administration and Services,'44',140,20,120,101,13,88,32,5,27,5,1,4,2,1,1,0,0,0,0,0,0,0,0,0
1997-1998,134097,Florida State University,Bachelor's degree,Social Sciences and History,'45',695,406,289,560,336,224,59,32,27,52,25,27,9,6,3,7,3,4,0,0,0,8,4,4
