"","A","B","C","D","Season","F","G","H","I","Source","Season.Type"
"436","581","Quinn","Quinn, Chris","NBA","MIA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"437","588","Foye","Foye, Randy","NBA","MIN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"438","589","C. Smith","Smith, Craig","NBA","MIN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"439","589","Smith","Smith, Craig","NBA","MIN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"440","590","Adams","Adams, Hassan","NBA","TOR","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"441","592","Williams","Williams, Marcus","NBA","GSW","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"442","593","Boone","Boone, Josh","NBA","NJN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"443","594","Armstrong","Armstrong, Hilton","NBA","NOH","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"444","594","H. Armstrong","Armstrong, Hilton","NBA","NOH","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"445","595","Simmons","Simmons, Cedric","NBA","CHI","2008-2009","SeasonStart","2008-10-28","2009-02-19","Basketball Value","Regular Season"
"446","595","Simmons","Simmons, Cedric","NBA","SAC","2008-2009","20090223NOHSAC","2009-02-19","2009-07-01","Basketball Value","Regular Season"
"447","597","Balkman","Balkman, Renaldo","NBA","DEN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"448","598","Collins","Collins, Mardy","NBA","LAC","2008-2009","Trade","2008-11-26","2009-07-01","Basketball Value","Regular Season"
"449","598","M. Collins","Collins, Mardy","NBA","NYK","2008-2009","SeasonStart","2008-10-28","2008-11-26","Basketball Value","Regular Season"
"450","598","Collins","Collins, Mardy","NBA","NYK","2008-2009","SeasonStart","2008-10-28","2008-11-26","Basketball Value","Regular Season"
"451","599","Redick","Redick, J.J.","NBA","ORL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"452","601","Carney","Carney, Rodney","NBA","MIN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"453","605","Rodriguez","Rodriguez, Sergio","NBA","POR","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"454","606","Roy","Roy, Brandon","NBA","POR","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"455","607","Aldridge","Aldridge, LaMarcus","NBA","POR","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"456","608","Douby","Douby, Quincy","NBA","SAC","2008-2009","SeasonStart","2008-10-28","2009-02-21","Basketball Value","Regular Season"
"457","608","Douby","Douby, Quincy","NBA","TOR","2008-2009","20090327OKCTOR","2009-03-24","2009-07-01","Basketball Value","Regular Season"
"458","610","Sene","Sene, Mouhamed","NBA","OKC","2008-2009","SeasonStart","2008-10-28","2009-02-19","Basketball Value","Regular Season"
"459","610","Sene","Sene, Mouhamed","NBA","NYK","2008-2009","20090415NJNNYK","2009-04-09","2009-07-01","Basketball Value","Regular Season"
"460","611","Farmer","Farmer, Desmon","NBA","SAS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"461","612","Bargnani","Bargnani, Andrea","NBA","TOR","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"462","614","A. Parker","Parker, Anthony","NBA","TOR","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"463","614","Parker","Parker, Anthony","NBA","TOR","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"464","617","Brewer","Brewer, Ronnie","NBA","UTA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"465","619","Brown","Brown, Dee","NBA","PHX","2008-2009","20081229PHXOKC","2008-12-24","2009-07-01","Basketball Value","Regular Season"
"466","619","Brown","Brown, Dee","NBA","WAS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"467","622","Mason","Mason, Roger","NBA","SAS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"468","629","Millsap","Millsap, Paul","NBA","UTA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"469","640","Kleiza","Kleiza, Linas","NBA","DEN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"470","643","Azubuike","Azubuike, Kelenna","NBA","GSW","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"471","644","A. Brown","Brown, Andre","NBA","CHA","2008-2009","SeasonStart","2008-10-28","2008-11-19","Basketball Value","Regular Season"
"472","650","Richardson","Richardson, Jeremy","NBA","ORL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"473","653","Amundson","Amundson, Louis","NBA","PHX","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"474","654","White","White, James","NBA","HOU","2008-2009","20090320MINHOU","2009-03-03","2009-07-01","Basketball Value","Regular Season"
"475","655","Morris","Morris, Randolph","NBA","ATL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"476","660","Mahinmi","Mahinmi, Ian","NBA","SAS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
