"","A","B","C","D","Season","F","G","H","I","Source","Season.Type"
"206","214","D. Wright","Wright, Dorell","NBA","MIA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"207","218","Warrick","Warrick, Hakim","NBA","MEM","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"208","220","Krstic","Krstic, Nenad","NBA","OKC","2008-2009","Signing","2008-12-31","2009-07-01","Basketball Value","Regular Season"
"209","221","Jefferson","Jefferson, Richard","NBA","MIL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"210","222","Kidd","Kidd, Jason","NBA","DAL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"211","223","Collins","Collins, Jason","NBA","MIN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"212","224","Carter","Carter, Vince","NBA","NJN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"213","224","V. Carter","Carter, Vince","NBA","NJN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"214","231","Vaughn","Vaughn, Jacque","NBA","SAS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"215","235","Curry","Curry, Eddy","NBA","NYK","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"216","236","Blount","Blount, Mark","NBA","MIA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"217","237","Richardson","Richardson, Quentin","NBA","NYK","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"218","237","Q. Richardson","Richardson, Quentin","NBA","NYK","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"219","239","West","West, Delonte","NBA","CLE","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"220","240","Pierce","Pierce, Paul","NBA","BOS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"221","241","Barnes","Barnes, Matt","NBA","PHX","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"222","243","R. Davis","Davis, Ricky","NBA","LAC","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"223","244","Marbury","Marbury, Stephon","NBA","NYK","2008-2009","SeasonStart","2008-10-28","2009-02-25","Basketball Value","Regular Season"
"224","244","Marbury","Marbury, Stephon","NBA","BOS","2008-2009","20090227INDBOS","2009-02-27","2009-07-01","Basketball Value","Regular Season"
"225","245","Ariza","Ariza, Trevor","NBA","LAL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"226","246","Gomes","Gomes, Ryan","NBA","MIN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"227","247","Jefferson","Jefferson, Al","NBA","MIN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"228","247","A. Jefferson","Jefferson, Al","NBA","MIN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"229","249","Crawford","Crawford, Jamal","NBA","NYK","2008-2009","SeasonStart","2008-10-28","2008-11-25","Basketball Value","Regular Season"
"230","249","Crawford","Crawford, Jamal","NBA","GSW","2008-2009","Trade","2008-11-25","2009-07-01","Basketball Value","Regular Season"
"231","250","James","James, Jerome","NBA","NYK","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"232","250","J. James","James, Jerome","NBA","NYK","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"233","252","Scalabrine","Scalabrine, Brian","NBA","BOS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"234","253","Perkins","Perkins, Kendrick","NBA","BOS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"235","254","N. Robinson","Robinson, Nate","NBA","NYK","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"236","254","Robinson","Robinson, Nate","NBA","NYK","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"237","255","Rose","Rose, Malik","NBA","OKC","2008-2009","20090227OKCDAL","2009-02-19","2009-07-01","Basketball Value","Regular Season"
"238","255","Rose","Rose, Malik","NBA","NYK","2008-2009","SeasonStart","2008-10-28","2009-02-19","Basketball Value","Regular Season"
"239","255","M. Rose","Rose, Malik","NBA","NYK","2008-2009","SeasonStart","2008-10-28","2009-02-19","Basketball Value","Regular Season"
"240","257","Gooden","Gooden, Drew","NBA","SAS","2008-2009","20090312LALSAS","2009-03-06","2009-07-01","Basketball Value","Regular Season"
"241","257","Gooden","Gooden, Drew","NBA","SAC","2008-2009","20090225CHASAC","2009-02-18","2009-03-02","Basketball Value","Regular Season"
"242","257","Gooden","Gooden, Drew","NBA","CHI","2008-2009","SeasonStart","2008-10-28","2009-02-18","Basketball Value","Regular Season"
"243","258","Ilgauskas","Ilgauskas, Zydrunas","NBA","CLE","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"244","260","L. James","James, LeBron","NBA","CLE","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"245","260","James","James, LeBron","NBA","CLE","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"246","261","Hughes","Hughes, Larry","NBA","NYK","2008-2009","20090222NYKTOR","2009-02-19","2009-07-01","Basketball Value","Regular Season"
"247","261","Hughes","Hughes, Larry","NBA","CHI","2008-2009","SeasonStart","2008-10-28","2009-02-19","Basketball Value","Regular Season"
"248","262","Snow","Snow, Eric","NBA","CLE","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"249","263","Marshall","Marshall, Donyell","NBA","PHI","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"250","264","Jones","Jones, Damon","NBA","MIL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"251","265","Pavlovic","Pavlovic, Sasha","NBA","CLE","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"252","266","Wilks","Wilks, Mike","NBA","ORL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"253","270","Hamilton","Hamilton, Richard","NBA","DET","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"254","270","R. Hamilton","Hamilton, Richard","NBA","DET","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"255","271","Billups","Billups, Chauncey","NBA","DET","2008-2009","SeasonStart","2008-10-28","2008-11-03","Basketball Value","Regular Season"
"256","271","Billups","Billups, Chauncey","NBA","DEN","2008-2009","Trade","2008-11-07","2009-07-01","Basketball Value","Regular Season"
"257","272","Prince","Prince, Tayshaun","NBA","DET","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"258","273","Wallace","Wallace, Ben","NBA","CLE","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"259","274","R. Wallace","Wallace, Rasheed","NBA","DET","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"260","274","Wallace","Wallace, Rasheed","NBA","DET","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"261","275","McDyess","McDyess, Antonio","NBA","DEN","2008-2009","Trade","2008-11-07","2008-12-08","Basketball Value","Regular Season"
"262","275","McDyess","McDyess, Antonio","NBA","DET","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"263","276","Evans","Evans, Maurice","NBA","ATL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"264","278","Milicic","Milicic, Darko","NBA","MEM","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"265","280","Maxiell","Maxiell, Jason","NBA","DET","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"266","281","L. Williams","Williams, Louis","NBA","PHI","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"267","281","Williams","Williams, Louis","NBA","PHI","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"268","283","Jaric","Jaric, Marko","NBA","MEM","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"269","284","Przybilla","Przybilla, Joel","NBA","POR","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"270","285","Garnett","Garnett, Kevin","NBA","BOS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"271","286","Miles","Miles, Darius","NBA","MEM","2008-2009","20090104DALMEM","2009-01-04","2009-07-01","Basketball Value","Regular Season"
"272","287","Z. Randolph","Randolph, Zach","NBA","NYK","2008-2009","SeasonStart","2008-10-28","2008-11-26","Basketball Value","Regular Season"
"273","287","Randolph","Randolph, Zach","NBA","LAC","2008-2009","Trade","2008-11-26","2009-07-01","Basketball Value","Regular Season"
"274","287","Randolph","Randolph, Zach","NBA","NYK","2008-2009","SeasonStart","2008-10-28","2008-11-26","Basketball Value","Regular Season"
"275","288","Szczerbiak","Szczerbiak, Wally","NBA","CLE","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"276","289","Telfair","Telfair, Sebastian","NBA","MIN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"277","292","Hassell","Hassell, Trenton","NBA","NJN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"278","293","McCants","McCants, Rashad","NBA","MIN","2008-2009","SeasonStart","2008-10-28","2009-02-19","Basketball Value","Regular Season"
"279","293","McCants","McCants, Rashad","NBA","SAC","2008-2009","20090223NOHSAC","2009-02-19","2009-07-01","Basketball Value","Regular Season"
"280","295","Dixon","Dixon, Juan","NBA","WAS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"281","296","Jack","Jack, Jarrett","NBA","IND","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"282","297","Ratliff","Ratliff, Theo","NBA","PHI","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"283","298","Carter","Carter, Anthony","NBA","DEN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"284","300","Madsen","Madsen, Mark","NBA","MIN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"285","302","Ming","Ming, Yao","NBA","HOU","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"286","302","Yao","Ming, Yao","NBA","HOU","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"287","304","Howard","Howard, Juwan","NBA","CHA","2008-2009","20081216CHICHA","2008-12-16","2009-07-01","Basketball Value","Regular Season"
"288","304","Howard","Howard, Juwan","NBA","DEN","2008-2009","SeasonStart","2008-10-28","2008-11-03","Basketball Value","Regular Season"
"289","305","McGrady","McGrady, Tracy","NBA","HOU","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"290","306","Swift","Swift, Stromile","NBA","NJN","2008-2009","SeasonStart","2008-10-28","2009-03-02","Basketball Value","Regular Season"
"291","306","Swift","Swift, Stromile","NBA","PHX","2008-2009","20090306PHXHOU","2009-03-04","2009-07-01","Basketball Value","Regular Season"
"292","308","Alston","Alston, Rafer","NBA","ORL","2008-2009","20090220ORLCHA","2009-02-19","2009-07-01","Basketball Value","Regular Season"
"293","308","Alston","Alston, Rafer","NBA","HOU","2008-2009","SeasonStart","2008-10-28","2009-02-19","Basketball Value","Regular Season"
"294","311","R. Bowen","Bowen, Ryan","NBA","NOH","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"295","311","Bowen","Bowen, Ryan","NBA","NOH","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"296","312","Mutombo","Mutombo, Dikembe","NBA","HOU","2008-2009","20090113LALHOU","2009-01-13","2009-07-01","Basketball Value","Regular Season"
"297","313","Arenas","Arenas, Gilbert","NBA","WAS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"298","315","Jeffries","Jeffries, Jared","NBA","NYK","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"299","316","Jamison","Jamison, Antawn","NBA","WAS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"300","317","Graham","Graham, Joey","NBA","TOR","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"301","317","J. Graham","Graham, Joey","NBA","TOR","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"302","318","James","James, Mike","NBA","NOH","2008-2009","SeasonStart","2008-10-28","2008-12-11","Basketball Value","Regular Season"
"303","318","James","James, Mike","NBA","WAS","2008-2009","Trade","2008-12-11","2009-07-01","Basketball Value","Regular Season"
"304","319","Bosh","Bosh, Chris","NBA","TOR","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"305","321","Daniels","Daniels, Antonio","NBA","WAS","2008-2009","SeasonStart","2008-10-28","2008-12-13","Basketball Value","Regular Season"
"306","321","Daniels","Daniels, Antonio","NBA","NOH","2008-2009","Trade","2008-12-14","2009-07-01","Basketball Value","Regular Season"
"307","321","A. Daniels","Daniels, Antonio","NBA","WAS","2008-2009","SeasonStart","2008-10-28","2008-12-13","Basketball Value","Regular Season"
"308","322","Haywood","Haywood, Brendan","NBA","WAS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
