"","PlayerName","PlayerTrueName","League","TeamName3","Season","Position","Comment","StartDate","EndDate","Source","Season.Type"
"92","Dunleavy","Dunleavy, Mike","NBA","IND","2010-2011",3,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"94","Smith","Smith, Josh","NBA","ATL","2010-2011",4,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"95","Harrington","Harrington, Al","NBA","DEN","2010-2011",4,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"97","Williams","Williams, Marvin","NBA","ATL","2010-2011",3,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"98","Pietrus","Pietrus, Mickael","NBA","PHX","2010-2011",2.49,"20101223MIAPHX","2010-12-19","2011-07-01","Basketball Value","Regular Season"
"98","Pietrus","Pietrus, Mickael","NBA","ORL","2010-2011",2.49,"SeasonStart","2010-10-25","2010-12-19","Basketball Value","Regular Season"
"101","Biedrins","Biedrins, Andris","NBA","GSW","2010-2011",5,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"103","Fisher","Fisher, Derek","NBA","LAL","2010-2011",1,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"109","Ivey","Ivey, Royal","NBA","OKC","2010-2011",1.5,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"110","Hinrich","Hinrich, Kirk","NBA","ATL","2010-2011",1.5,"20110225ATLGSW","2011-02-24","2011-07-01","Basketball Value","Regular Season"
"110","Hinrich","Hinrich, Kirk","NBA","WAS","2010-2011",1.5,"SeasonStart","2010-10-25","2011-02-24","Basketball Value","Regular Season"
"111","Wallace","Wallace, Gerald","NBA","CHA","2010-2011",3.5,"SeasonStart","2010-10-25","2011-02-24","Basketball Value","Regular Season"
"111","Wallace","Wallace, Gerald","NBA","POR","2010-2011",3.5,"20110227ATLPOR","2011-02-24","2011-07-01","Basketball Value","Regular Season"
"112","Nocioni","Nocioni, Andres","NBA","PHI","2010-2011",3.03,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"113","Duhon","Duhon, Chris","NBA","ORL","2010-2011",0.99,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"117","Okafor","Okafor, Emeka","NBA","NOH","2010-2011",5,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"118","Chandler","Chandler, Tyson","NBA","DAL","2010-2011",4.97,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"119","Gordon","Gordon, Ben","NBA","DET","2010-2011",2,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"121","Songaila","Songaila, Darius","NBA","PHI","2010-2011",4.48,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"122","Deng","Deng, Luol","NBA","CHI","2010-2011",3,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"123","Ely","Ely, Melvin","NBA","DEN","2010-2011",5,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"126","Felton","Felton, Raymond","NBA","NYK","2010-2011",1,"SeasonStart","2010-10-25","2011-02-22","Basketball Value","Regular Season"
"126","Felton","Felton, Raymond","NBA","DEN","2010-2011",1,"20110224BOSDEN","2011-02-22","2011-07-01","Basketball Value","Regular Season"
"128","Carroll","Carroll, Matt","NBA","CHA","2010-2011",2.5,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"130","Allen","Allen, Malik","NBA","ORL","2010-2011",4.02,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"132","Okur","Okur, Mehmet","NBA","UTA","2010-2011",4.98,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"136","Kirilenko","Kirilenko, Andrei","NBA","UTA","2010-2011",3,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"137","Collins","Collins, Jarron","NBA","LAC","2010-2011",4.52,"SeasonStart","2010-10-25","2011-03-01","Basketball Value","Regular Season"
"137","Collins","Collins, Jarron","NBA","POR","2010-2011",4.52,"20110301HOUPOR","2011-03-01","2011-07-01","Basketball Value","Regular Season"
"139","Williams","Williams, Deron","NBA","NJN","2010-2011",1,"20110225NJNSAS","2011-02-23","2011-07-01","Basketball Value","Regular Season"
"139","Williams","Williams, Deron","NBA","UTA","2010-2011",1,"SeasonStart","2010-10-25","2011-02-23","Basketball Value","Regular Season"
"141","Humphries","Humphries, Kris","NBA","NJN","2010-2011",4.49,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"143","J. O'Neal","O'Neal, Jermaine","NBA","BOS","2010-2011",4.5,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"144","Battie","Battie, Tony","NBA","PHI","2010-2011",4.99,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"145","Artest","Artest, Ron","NBA","LAL","2010-2011",3,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"147","Jackson","Jackson, Stephen","NBA","CHA","2010-2011",3,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"148","Stevenson","Stevenson, DeShawn","NBA","DAL","2010-2011",2,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"149","Howard","Howard, Dwight","NBA","ORL","2010-2011",5,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"151","Turkoglu","Turkoglu, Hedo","NBA","ORL","2010-2011",3.5,"20101220ORLATL","2010-12-19","2011-07-01","Basketball Value","Regular Season"
"151","Turkoglu","Turkoglu, Hedo","NBA","PHX","2010-2011",3.5,"SeasonStart","2010-10-25","2010-12-19","Basketball Value","Regular Season"
"155","Granger","Granger, Danny","NBA","IND","2010-2011",3.5,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"158","Nelson","Nelson, Jameer","NBA","ORL","2010-2011",1,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"163","Evans","Evans, Reggie","NBA","TOR","2010-2011",4.01,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"164","Kaman","Kaman, Chris","NBA","LAC","2010-2011",5,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"166","Allen","Allen, Ray","NBA","BOS","2010-2011",2,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"167","Brand","Brand, Elton","NBA","PHI","2010-2011",4.5,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"168","Petro","Petro, Johan","NBA","NJN","2010-2011",4.99,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"169","Ross","Ross, Quinton","NBA","NJN","2010-2011",2.49,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"170","Lewis","Lewis, Rashard","NBA","ORL","2010-2011",4,"SeasonStart","2010-10-25","2010-12-19","Basketball Value","Regular Season"
"170","Lewis","Lewis, Rashard","NBA","WAS","2010-2011",4,"20101222CHIWAS","2010-12-19","2011-07-01","Basketball Value","Regular Season"
"172","Collison","Collison, Nick","NBA","OKC","2010-2011",4.5,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"173","Ridnour","Ridnour, Luke","NBA","MIN","2010-2011",1.02,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"176","Wilkins","Wilkins, Damien","NBA","ATL","2010-2011",2.99,"20101204ATLMIA","2010-12-03","2011-07-01","Basketball Value","Regular Season"
